PassageID,Title,Author,Total termFreq,termFreq(adjoin),termFreq(amus),termFreq(appear),termFreq(art),termFreq(bank),termFreq(beauti),termFreq(beautifulli),termFreq(bend),termFreq(broken),termFreq(build),termFreq(canva),termFreq(cascad),termFreq(catch),termFreq(chiefli),termFreq(colour),termFreq(confid),termFreq(cours),termFreq(cover),termFreq(degre),termFreq(eleg),termFreq(examin),termFreq(exquisit),termFreq(ey),termFreq(fall),termFreq(feet),termFreq(fide),termFreq(fine),termFreq(follow),termFreq(form),termFreq(gener),termFreq(genuin),termFreq(give),termFreq(grandeur),termFreq(hang),termFreq(hill),termFreq(hollow),termFreq(idea),termFreq(landscap),termFreq(littl),termFreq(magnific),termFreq(mention),termFreq(natur),termFreq(nobl),termFreq(object),termFreq(open),termFreq(overhung),termFreq(paint),termFreq(painter),termFreq(part),termFreq(peculiar),termFreq(pictur),termFreq(picturesqu),termFreq(produc),termFreq(rang),termFreq(retir),termFreq(river),termFreq(rock),termFreq(romant),termFreq(rule),termFreq(scene),termFreq(seat),termFreq(spot),termFreq(sublim),termFreq(surround),termFreq(travel),termFreq(tree),termFreq(vari),termFreq(varieti),termFreq(view),termFreq(walk),termFreq(water),termFreq(white),termFreq(wind),termFreq(wood),termFreq(woodi),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0085100302_000167,"England displayed. Being a new, complete, and accurate survey and description of the Kingdom of England, and principality of Wales. Containing, I. A full and ample Account of whatever is remarkable in every County, City, Town, Village, Hamlet, and Parish in England and Wales. II. Description of the various Manufactures and other useful Arts established in different Parts of this Kingdom. III. Accounts of the Nature and Produce of the various Kinds of Land, with a complete History of the modern Improvements in Agriculture, Gardening, &c. IV. An historical Account of all the Forts, Castles, Roman Military Ways, Docks, Harbours, Creeks, Bays, &c. with the Particulars of their ancient and present State. V. A full Description of all the natural and artificial Curiosities of this Kingdom; such as Rocks, Mines, Caverns, Lakes, Grottos, Fossils, Minerals, Abbeys, Cathedrals, Churches, Palaces, and the Seats of the Nobility and Gentry. VI. A faithful Narrative of all Improvements made in the Roads, Rivers, and Canals of this Kingdom, for the Convenience of Travelling, and the Benefit of Inland Navigation. The whole forming such an accurate and comprehensive Account of this Country, as has never yet been published, and will be equally entertaining and instructive. By a society of gentlemen: Each of whom has undertaken that Part for which his Study and Inclination has more immediately qualified him. The particulars respecting England, revised, corrected, and improved, by P. Russell, Esq; and those relating to Wales, by Mr. Owen Price.",Society of Gentlemen,224,2,0,5,0,2,7,2,2,0,5,1,5,2,0,1,0,2,3,1,3,0,4,1,5,4,4,10,2,0,1,2,3,1,7,8,5,0,2,6,3,2,4,7,1,4,2,1,0,0,1,2,2,0,2,2,7,10,3,0,3,2,6,1,3,0,5,1,1,6,3,4,2,6,18,2,1769,2,2,"London : printed for the authors, by Adlard and Browne, Fleet-Street: and sold by S. Bladon, No. 28, T. Evans, No. 54, and J. Coote, No. 16, in Pater-Noster Row; W. Domville, and F. Blythe, at the Royal Exchange, MDCCLXIX. [1769].",London,381,unknown,,,FALSE,"air of grandeur that is striking: there is a building by way of objet, raised upon it, that is called an arch, or a ruin, almost hanging over a dell of wood ; the river peeping in one spot in a pleasing manner, and the murmer over the rocks in"
0635000302_000076,"A new display of the beauties of England: or, a description of the most elegant or magnificent public edifices, royal palaces, noblemens [sic] and gentlemens [sic] seats, and other curiosities, ... in different parts of the kingdom. Adorned with a variety of copper plate cuts, neatly engraved. ...",,228,2,0,5,0,3,7,2,2,1,6,1,4,1,0,1,1,1,3,1,3,0,4,1,5,4,3,10,2,0,1,2,2,0,8,9,5,0,2,7,3,2,4,8,1,4,3,0,0,0,1,0,2,0,2,2,7,10,2,0,3,2,8,1,4,0,5,1,1,6,3,5,2,7,18,2,1776,2,2,"London : printed for R. Goadby; and sold by J. Towers; and by R. Baldwin, 1776-77.",London,493,unknown,,,FALSE,"that s striking; their ia. 8 building by way f pbaet, rified upon VOL.. . it it, that is called an arch, or a ruin, almost hanging over a dell of wood ; te river peeping at one spot in a pleating manner, and the murmur over the rocks in"
0635000302_000077,"A new display of the beauties of England: or, a description of the most elegant or magnificent public edifices, royal palaces, noblemens [sic] and gentlemens [sic] seats, and other curiosities, ... in different parts of the kingdom. Adorned with a variety of copper plate cuts, neatly engraved. ...",,230,2,0,4,0,2,8,2,2,1,5,1,5,1,0,1,0,1,3,1,3,0,4,1,5,4,4,11,2,0,1,2,2,0,8,10,5,0,2,6,3,2,4,8,1,4,3,0,0,0,1,0,3,0,2,2,7,10,2,0,3,2,8,1,4,0,6,1,1,6,3,5,2,7,18,2,1776,2,2,"London : printed for R. Goadby; and sold by J. Towers; and by R. Baldwin, 1776-77.",London,493,unknown,,,FALSE,"straggling village beyond; between the hills a distant profpet is een; the whole truly beautiful X 2 Return it, that is called an arch, or a ruin, almost hanging over a dell of wood ; the river peeping at one spot in a pleasing manner, and the murmur over the"
0070200102_000064,"A six months tour through the North of England. Containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. In four volumes. ...",Arthur Young,194,2,0,4,0,2,6,1,1,0,3,1,4,2,0,1,0,2,3,1,2,0,5,0,5,3,4,10,2,0,1,2,2,0,5,9,4,0,2,6,3,2,2,7,2,3,2,2,0,0,1,1,3,0,2,2,4,9,2,0,2,2,6,1,4,0,5,1,1,4,2,3,2,3,14,2,1770,2,4,"London : printed for W. Strahan; W. Nicoll, No 11. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, MDCCLXX. [1770].",London,515,male,1741,1820,TRUE,"spot through the grove, we come next to a rustic stone temple, by the fide of a baoln, w ith the ltump of a jet decay in the middle ot it. It is in a small area, a hliusw in the hanging woods , retired , and; ra!uraiiy beautiful :"
0958500102_000069,"A six months tour through the North of England: containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects; Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. La seule vol de se procurer un corps complet Agriculture, seroit, sans doute, de rassembler les diverses observations quaeroient fourni dans chaque province. Encyclopedie. In Four Volumes. ...",Arthur Young,218,2,0,5,0,4,6,2,3,0,5,1,3,2,0,1,0,2,3,1,2,0,0,1,3,4,3,8,2,1,0,1,2,1,12,5,5,0,2,6,2,2,5,1,4,7,1,2,0,1,1,1,3,0,1,2,9,8,0,0,2,2,8,0,3,0,8,1,1,9,3,4,3,6,18,2,1770,2,4,"London : printed for W. Strahan; W. Nicoll, No 51. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, M.DCC.LXX. [1770]-71.",London,475,male,1741,1820,TRUE,"the fope; the effect fine . To the right is an opening among the trees , which lets in a most beautiful view of a range of hanging woods , which unite to form a gloomy hollow . Behind, through another opening in the adjoining trees , you look upon"
0242300202_000013,"A six months tour through the north of England. Containing, an account of the present state of agriculture, manufactures and population, in several counties of this kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Account of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed with Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. Experiments on Rearing and Fattening of Hogs. As laid before the Society of Arts, &c. In three volumes. ...",Arthur Young,209,2,0,3,0,2,7,2,3,0,5,1,3,2,0,1,0,2,1,0,4,0,1,1,4,4,3,7,1,1,0,1,3,1,10,4,5,0,2,6,0,2,5,4,4,6,0,2,0,1,1,2,5,0,1,2,9,8,2,0,2,2,5,0,2,0,7,1,1,9,3,5,3,6,16,1,1770,2,3,"Dublin : printed for P. Wilson, J. Exshaw, H. Saunders, W. Sleater, D. Chamberlaine, J. Potts, J. Holy, jun. J. Williams, W. Colles, J Porter, C. Ingham, and T. Walker, MDCCLXX. [1770].",Dublin,414,male,1741,1820,TRUE,"very picturesque : To the right is an opening among the trees , which leis in a mofi beautiful view of a fit e range of hainging woods , which unite to form a gloomy hollow . Behind, through aother opening in the adjoining trees , you look upon a"
0146001000_000079,"A new display of the beauties of England: or, a description of the most elegant or magnificent public edifices, royal palaces, noblemen's and gentlemen's seats, and other curiosities, natural or artificial, in different parts of the kingdom. Adorned with a variety of copper-plate cuts, neatly engraved. Volume the second.",,181,2,0,4,0,1,7,1,1,1,4,1,5,1,0,0,0,2,3,1,3,0,4,1,5,3,2,9,2,0,1,2,1,0,3,11,3,0,2,3,0,2,2,5,1,2,4,0,0,1,1,1,0,0,2,1,4,13,1,0,2,2,5,1,1,0,8,1,1,4,2,4,0,5,14,2,1774,1,1,"London : printed for R. Goadby; and sold by J. Towers, at No 111, in Fore-Street, near Cripplegate; and by R. Baldwin, No 47, in Pater-Noster-Row, MDCCLXXIV. [1774].",London,514,unknown,,,FALSE,"in gradual sheets above 40 feet , in the midst of a hanging wood - it is quite surrounded by the trees , and seems to gush forth by enchantment: the water is clear and transparent, and throws a moving lustre to the eye , inexpressibly elegant : for Ihe"
0162100502_000182,"A new display of the beauties of England; or, a description of the most elegant or magnificent public edifices, Royal Palaces, Noblemen's and Gentlemen's Seats, and other curiosities, natural or artificial, in different parts of the Kingdom. Adorned with a variety of copper-plate arts, Cuts, neatly engraved. ...",,209,3,0,2,0,4,9,2,3,0,6,0,4,2,0,1,0,0,1,0,3,0,2,1,4,4,2,8,0,1,0,1,2,0,9,6,5,0,0,7,0,1,5,5,2,6,1,0,0,1,1,1,3,0,1,2,7,6,2,0,2,4,7,0,3,1,8,1,1,10,3,6,4,6,16,1,1787,2,2,"London : printed for R. Goadby and Co. and sold by R. Baldwin, No. 47, in Pater-Noster-Row, M.DCC.LXXXVII. [1787].",London,546,unknown,,,FALSE,"the fine deep glens of woods , the winding itream falling in cascades , and surrounded with noble amphitheatres of wood ; the piaucefque views , ata distance, of Fountaini's abbey; the principal scenes viewed from the Gothic towver; the tent hill vale, the water adjoining , with some other"
0688400402_000069,"The farmer's letters to the people of England: containing the sentiments of a practical husbandman, on various subjects of great importance: particularly the exportation of corn. The balance of agriculture and manufactures. The present state of husbandry. The circumstances attending large and small farms. The present state of the poor. The price of provisions. The proceedings of the society for the encouragement of arts, &c. The importance of timber and planting. Emigrations to the colonies. The means of promoting the agriculture and population of Great Britain, &c., &c. To which are added, Sylvæ: or occasional tracts on husbandry and rural oeconomics.",Arthur Young,180,2,0,5,0,3,4,2,2,1,5,1,4,2,0,1,0,2,1,1,1,0,0,1,4,3,4,8,3,0,0,2,0,0,6,7,5,0,0,7,1,2,4,1,1,4,2,1,0,0,1,1,1,0,1,2,7,8,0,0,3,2,2,0,1,0,7,1,1,6,3,4,2,6,17,1,1771,2,2,"London : printed for W. Strahan; W. Nicoll, No. 51, in St. Paul's Church-Yard; T. Cadell, in the Strand; B. Collins, Salisbury; and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,479,male,1741,1820,TRUE,"others, how much ideal pictures are raised by the noise of a river foaming among rocks , but hid by wood ; the steeps, and torrents, receive a heightening from the fancy, which would be half dissipated by viewing the reality. -- To the left a bend of the river"
0242300202_000014,"A six months tour through the north of England. Containing, an account of the present state of agriculture, manufactures and population, in several counties of this kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Account of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed with Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. Experiments on Rearing and Fattening of Hogs. As laid before the Society of Arts, &c. In three volumes. ...",Arthur Young,171,1,0,5,1,3,7,0,1,1,5,0,6,1,0,0,0,1,3,1,1,0,4,2,3,2,4,7,1,2,1,0,0,0,2,13,2,0,2,6,2,0,4,5,2,1,3,0,0,1,0,1,1,0,2,0,3,8,1,0,4,2,5,1,3,0,5,0,1,3,3,5,0,4,12,1,1770,2,3,"Dublin : printed for P. Wilson, J. Exshaw, H. Saunders, W. Sleater, D. Chamberlaine, J. Potts, J. Holy, jun. J. Williams, W. Colles, J Porter, C. Ingham, and T. Walker, MDCCLXX. [1770].",Dublin,414,male,1741,1820,TRUE,"·; idc -- - - - 1 - under walls of them, covered with hills of wood ; a noble range , magnificently great. to the right of there objects , the other hills appear in a fine style, one in particular covered with shrubby wood , projects in a"
