PassageID,Title,Author,Total termFreq,termFreq(add),termFreq(answer),termFreq(articl),termFreq(better),termFreq(book),termFreq(clock),termFreq(commit),termFreq(copi),termFreq(deliv),termFreq(follow),termFreq(form),termFreq(hand),termFreq(hear),termFreq(heard),termFreq(know),termFreq(land),termFreq(late),termFreq(learn),termFreq(leav),termFreq(letter),termFreq(line),termFreq(littl),termFreq(love),termFreq(mean),termFreq(morn),termFreq(morrow),termFreq(note),termFreq(oath),termFreq(observ),termFreq(page),termFreq(peopl),termFreq(person),termFreq(read),termFreq(refer),termFreq(scriptur),termFreq(sens),termFreq(servic),termFreq(text),termFreq(think),termFreq(true),termFreq(vers),termFreq(word),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0653100300_000019,The intelligencer.,Thomas Sheridan,58,0,1,3,2,8,0,0,0,0,3,1,1,1,2,1,0,3,6,1,1,2,0,1,2,0,0,0,0,2,3,1,2,1,1,2,0,1,1,2,0,3,0,0,1729,1,1,"[London] : Printed at Dublin. London reprinted, and sold by A. Moor in St. Paul's Church-Yard, and the booksellers of London and Westminster, MDCCXXIX. [1729].",London,222,male,1687,1738,TRUE,"deeply smitten, Would read what underneath was written, The merry Tale with Moral grave. He now began to storm and rave; he cursed Villain! now Ifee this was a Libel meant at me; hejf Scribblers grow o bold of late , Agaiili us minijsers of State! Such Yacobites as he"
0454900500_000045,"Miscellaneous pieces, in prose and verse. By the Rev. Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. Not inserted in Mr. Sheridan's edition of the Dean's works.",Jonathan Swift,55,0,3,4,1,7,0,0,1,0,1,1,0,1,2,0,0,0,7,2,0,2,0,0,2,0,0,0,0,3,3,1,3,0,1,2,1,1,1,1,0,3,0,1,1789,1,1,"London : printed for C. Dilly, in the poultry, MDCCLXXXIX. [1789].",London,269,male,1667,1745,TRUE,"elegantfecimen of his the world will see what they are to expect from him; at least a val: deal of orthodox divinity, critical remarks, fulid agumient, wholk wholesome i2nfrucfion, clear information, with an entertaining beauty of ij)le, peculiar to the great and learned s d y. Your great admirer and"
0590000300_000019,The intelligencer. By the author of a Tale of a tub.,Thomas Sheridan,57,0,2,3,2,7,0,0,0,0,3,1,1,1,2,1,0,3,6,1,1,2,0,1,1,0,0,0,0,2,3,1,2,1,1,2,0,1,0,2,0,4,0,0,1730,1,1,"London : printed for Francis Cogan, at the Middle-Temple-Gate in Fleet-Street, MDCCXXX. [1730].",London,275,male,1687,1738,TRUE,"first I knew it, Just in this Dress the Painter drew it. Tim, with his Likeness deeply smitten, Would read what underneath was written, The merry Tale with Moral grave. He now began to storm and rave; The The'curfed Villain! now Ifee This was a Libel meant at me; bhefe"
0291600700_000042,"Shakespeare restored: or, a specimen of the many errors, as well committed, as unamended, by Mr. Pope in his late edition of this poet. Designed Not only to correct the said Edition, but to restore the True Reading of Shakespeare in all the Editions ever yet publish'd. By Mr. Theobald.",Lewis Theobald,44,1,0,0,1,1,0,1,2,1,3,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,3,2,0,2,6,0,0,1,1,0,2,0,2,3,0,2,3,0,1726,1,1,"London : printed [by Samuel Aris] for R. Francklin under Tom's, J. Woodman and D. Lyon under Will's, Covent-Garden, and C. Davis in Hatton-Garden, M.DCC.XXVI. [1726].",London,207,male,1688,1744,TRUE,"t the Botoam of t: e Page ; wvith an Asterisk referring to ;. the 1; : es cf teir irferl.is. I am afraid, all the degraded Passages are not thrown out with that due Care, but that there is left an actual Deficience in the Context for want of"
0308100300_000017,"A defence of the Hebrew bible, in answer to the charge of corruption brought against it by Mr. Whiston, in his Essay towards restoring the true text of the Old Testament, &c. Wherein Mr. Whiston's Pretences are particularly Examined and Confuted, by the Reverend Dr. Carpzov. of Leipsick. Translated from the Latin, with additional notes, by Moses Marcus, A Converted Jew, and Teacher of the Oriental Languages.",Johann Gottlob Carpzov,56,1,1,0,0,4,0,3,0,2,0,0,0,1,1,0,0,0,1,1,0,0,3,0,1,0,0,1,0,0,1,1,0,5,2,10,2,1,1,1,3,0,1,8,1729,1,1,"London : printed for Bernard Lintot at the Cross-Keys between the Temple-Gates in Fleet-Street, MDCCXXIX. [1729].",London,376,male,1679,1767,FALSE,"and fiend in the Scripture of Tiruth. t yoban. Svaningius, a most learned dani/h Commentator, explains this Place soundly and clearly, whose Words we think proper to write down. Thus he says, "" by nns rn: "" Katab Amat, the Scripture of Truth, is under"" "" in this Place, the"
0671600100_000021,"The printer's grammar: containing a concise history of the origin of printing; also, an examination of the Superficies, Gradation, and Properties of the different sizes of types cast by Letter Founders; Various Tables of Calculation; Models of Letter Cases; Schemes for casting off Copy, and Imposing; and Many Other Requisites for attaining a perfect Knowledge both in the Theory and Practice of the Art of Printing. With directions to authors, compilers, &c. How to prepare copy, and to correct their own proofs. Chiefly collected from Smith's edition. To which are added directions for pressmen, &c. The whole calculated for the Service of All who have any Concern in the Letter Press.","Smith, John           1755           fl. 1755",58,0,1,1,1,5,0,0,1,0,0,0,1,0,0,0,0,1,1,1,6,6,0,0,1,0,0,4,0,2,1,1,4,1,11,0,0,3,1,1,0,2,1,0,1787,1,1,"London : printed by L. Wayland; and sold by T. Evans, Pater-Noster-Row, M,DCC,LXXXVII. [1787].",London,371,unknown,,,FALSE,"the neatest, besides being the moult proper, are Superior Letters , or else Superior Figures; for both were originally contrived and intended to be employed in Matter that is explained by Notes , whether by way of Annotations, Quotations, Citations, or otherwise. Nevertheless we observe , that Superior letters are"
0973800101_000003,"Explanatory notes upon the Old Testament. By John Wesley, M. A. Late Fellow of Lincoln-College, Oxford. ...",John Wesley,58,1,1,0,0,3,0,0,1,0,1,0,1,2,0,1,0,0,3,0,0,0,2,3,1,0,0,4,0,3,0,0,0,6,0,2,2,1,4,4,2,2,5,3,1765,1,3,"Bristol : printed by William Pine, In Wine-Street, MDCCLXV. [1765].",Bristol,870,male,1703,1791,TRUE,"Notes for a bare abridgment of Mr. jhenry's exposition. Far from it: I not only omit imuch more than nineteen parts out of twenty of what he has written, but make many alterations and many additions, well nigh from the beginning to the end. In particular, I everywhere omit the"
1043102500_000005,"The scripture testimonies of the divinity of Jesus Christ, compared, and illustrated by one another, and the objections of the modern Socinians impartially considered. In a letter to Gilbert West, Esq; occasioned by a Treatise lately published, entitled, Critical notes on some passages of scripture.",,58,4,1,0,3,5,0,0,2,0,1,0,0,1,0,1,0,0,1,1,0,2,3,0,3,0,0,0,0,3,0,0,0,1,0,7,3,0,2,2,2,2,7,1,1747,1,1,"London : printed for T. Osborne, in Gray's-Inn, MDCCXLVII. [1747].",London,77,unknown,,,FALSE,"that the sacred text in its present slate is not TRUE ; and in another, talking of two translations of the sixth verse of the fortieth Psalm, he says they are both ab/lird, and that the more recent Englijn translation comes a little nearer to the nonsense of the Chaldee;"
0219800100_000001,"Objections to a pamphlet lately published, intituled, Critical notes on some passages of scripture. With an introduction; Wherein are laid down Certain Rules and Precautions necessary to be observed, in comparing the Ancient Versions with the Hebrew Text. In a letter to the author. By E. Langford, M.A.","Langford, E., M.A.",77,3,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,2,6,0,0,0,0,1,3,0,0,3,1,4,0,0,1,5,0,7,10,1,13,1,5,0,4,0,1747,1,1,"London : printed for J. Fox, in Westminster-Hall, and H. Clements at, Oxford, MDCCXLVII. [1747].",London,106,unknown,,,FALSE,"Jr · r 0.11 i. 4 1, - jj j I (- L.. > OBJECTIONS TO A Pamphlet lately published, ENTITLED, Critical Notes on ome Paifages of Scripture . [Price One Shilling and sixpence.] OBJECTIONS / TO A Pamphlet lately published, ENTITLED, Critical Notes onfome Pafjages of Scripture . WITH"
1763900300_000147,A concise history of the origin and progress of printing; with practical instructions to the trade in general. ...,"Luckombe, Philip  				 1803",82,0,2,0,2,0,0,0,18,0,3,1,2,0,0,1,0,0,1,3,7,6,0,0,2,0,0,6,0,1,8,0,0,3,2,0,0,0,3,0,0,0,1,10,1770,1,1,"London : printed and sold by W. Adlard and J. Browne, [1770?]",London,529,unknown,,,FALSE,"for Casting off than the first; for the manner which the pursuers of this method observe , is the following ; viz. They count their scopy off to lines for Printing, from one Chapter, Head, or Break, to another, taking notice how many lines each of the counted off parts"
