PassageID,Title,Author,Total termFreq,termFreq(admir),termFreq(amplitud),termFreq(aris),termFreq(attent),termFreq(author),termFreq(aw),termFreq(boundless),termFreq(caus),termFreq(charact),termFreq(constitu),termFreq(danger),termFreq(dark),termFreq(degre),termFreq(deriv),termFreq(emot),termFreq(essai),termFreq(excit),termFreq(extend),termFreq(extent),termFreq(fear),termFreq(firmament),termFreq(forc),termFreq(gener),termFreq(geniu),termFreq(grand),termFreq(grandeur),termFreq(great),termFreq(height),termFreq(highest),termFreq(idea),termFreq(imagin),termFreq(impress),termFreq(length),termFreq(life),termFreq(light),termFreq(magnific),termFreq(manner),termFreq(mighti),termFreq(mind),termFreq(mountain),termFreq(natur),termFreq(necessari),termFreq(night),termFreq(object),termFreq(ocean),termFreq(part),termFreq(philosoph),termFreq(pleasur),termFreq(poet),termFreq(power),termFreq(produc),termFreq(sensat),termFreq(soul),termFreq(sourc),termFreq(space),termFreq(strength),termFreq(strong),termFreq(sublim),termFreq(terribl),termFreq(terror),termFreq(thunder),termFreq(varieti),termFreq(vast),termFreq(view),termFreq(water),termFreq(work),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0516801200_000028,"A concise English grammar, rendered easy to every capacity, so that (without any other help) a person may acquire the knowledge of the English language. To perfect the Learner, there are many Exercises of good and bad English, Annexed to every Rule of Syntax; also, punctuation, and a help to reading, speaking, and composing; with many Examples of Composition, On interesting Subjects, expressive of the true Sublime; extracted from the best english authors. To which are added, a short compendium of logic and rhetoric, and A sketch of the constitution of England. By Benjamin Rhodes.","Rhodes, Benjamin",153,0,2,2,0,0,5,4,0,0,0,0,3,3,1,2,0,0,2,4,1,3,2,2,0,3,5,11,3,3,7,3,3,1,0,0,2,0,2,3,3,3,1,3,5,3,0,0,1,1,4,3,1,0,2,5,2,1,16,1,0,4,1,5,2,4,0,0,1795,1,1,"Birmingham : printed by J. Belcher, 1795.",Birmingham,203,male,1743,1816,FALSE,"is not easy to describe, in words, the precise impression which great and sublime objects make upon us, when we behold them; but every one has a conception of it. It produces a sort of internal elevation and expansion; it raises the mind much above its ordinary state; and fills"
0504100101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,151,0,1,3,0,0,4,4,0,1,0,0,1,4,0,2,0,0,2,4,0,3,2,1,0,3,11,10,3,2,5,4,3,2,0,0,2,0,2,3,3,2,1,2,4,3,0,1,2,1,2,2,1,0,2,4,2,1,18,1,0,4,1,5,1,4,0,2,1783,1,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,507,male,1718,1800,TRUE,"nourili man, By kind illusions of the wondering sense, Thou mak'ft all.nature, Beauty to his eye,. Or Music to his ear. I. SHALL begin with considering, the. Pleasure which arises from Sublimity or Grandeur , of which I propose to treat at some length ; both, as this has a"
0702600101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,139,0,2,1,0,1,4,3,0,0,0,0,7,1,1,0,0,0,1,4,0,2,2,1,0,3,5,11,1,2,7,3,2,2,0,1,1,0,3,2,3,1,1,3,6,3,0,1,1,1,2,2,1,0,2,4,2,1,16,1,0,4,1,4,1,4,0,1,1787,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1787.",London,464,male,1718,1800,TRUE,"boundless expanse of the Ocean . All vastness produces the impression of Sublimity . It is to be remarked, however, that space , extended in * See a Philosophical Inquiry into the Origin of our Ideas of the Sublime and Beautiful. Dr. Gerard on Talle, Selion II Elements of Criticism,"
0937200401_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,139,0,2,1,0,0,4,3,0,0,0,0,6,1,1,0,0,0,1,4,0,3,2,1,0,3,5,12,2,2,7,3,1,2,0,1,2,0,3,2,3,1,1,3,5,3,0,1,1,1,3,2,1,0,2,4,2,1,17,1,0,4,1,2,1,4,0,1,1793,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,468,male,1718,1800,TRUE,"to which the eye can see no limits; the firmament of i eaven; or the boundless expanse of the Ocean . All vastness produces the imprefion of Sublimity . It is to be remarked, however, that space , extended in * See a Philosophical Inquiry into the'origin of our Ideas"
0957700301_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,135,0,2,1,0,0,5,4,0,0,0,0,6,3,1,2,0,0,2,4,0,2,2,1,0,3,6,10,3,2,6,2,2,2,0,0,2,0,2,2,3,2,1,2,4,3,0,1,1,0,2,2,1,0,2,4,1,0,15,0,0,4,1,3,1,4,0,1,1790,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,468,male,1718,1800,TRUE,"much above its ordinary, state.; and fills it with a degree . of wonder and astonishment, which it canfiot well:, ex pres.. .The emotion is certainly delightful.; but it is altogether of the serious kind:. a; degree of awfulness and solemnity,; even!'ap proaching to severity, commonly attends: it when at"
0300401001_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the high church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,126,0,1,0,0,0,4,4,0,0,0,0,5,3,0,2,0,0,2,4,0,3,0,1,0,3,5,8,3,2,6,3,0,1,0,0,2,0,2,2,3,2,0,2,7,3,0,1,1,1,1,2,1,0,2,3,2,1,13,1,0,4,1,4,1,3,0,1,1798,1,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh; and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell) in the Strand, 1798.",London,428,male,1718,1800,TRUE,"a degree of wonder and aftonifiment, which it cannot well express. The emotion is certainly delightful; but it is altogether of the serious kind: a degree of awfulness and solemnity, even approaching to severity, commonly attends it when at its height ; very distinguishable from the more gay and brisk"
0382100201_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,131,0,2,1,0,1,4,2,0,0,0,0,7,1,1,0,0,0,0,4,0,1,2,1,0,3,5,12,2,2,8,5,1,2,0,1,2,0,3,2,3,1,1,3,2,2,0,1,1,1,3,1,1,0,2,3,2,1,15,1,0,4,1,1,1,4,0,1,1785,1,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,466,male,1718,1800,TRUE,"in * See a Philosophical Inquiry into the Origin of our Ideas of the Sublime and Beautiful. Dr. Gerard on Tafe, seftionii. Elements of Criticism, Chap. IV 4 length , T, E, T. length , makes not so strong an impression as *-.-* height or depth. Though a boundless plain"
1128700101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,134,0,2,2,0,1,4,2,0,0,0,0,7,1,1,0,0,0,0,4,0,2,2,1,0,3,5,12,1,2,8,5,1,0,0,1,2,0,3,2,3,1,1,3,8,2,0,0,1,1,2,1,1,0,2,3,2,0,15,1,0,4,1,2,1,4,0,1,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,435,male,1718,1800,TRUE,"boundless plain be a grand object , yet a high mountain , to which we look up, or an awful precipice or tower whence we look down on the objecs which lie below, is frill more so. The excelfive Grandeur of the firmament arises from its height , joined to"
0417500101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,130,0,2,2,0,1,5,1,0,0,0,0,7,1,1,0,0,0,0,4,0,2,2,1,0,2,5,12,1,2,8,5,1,0,0,0,2,0,3,2,2,1,1,2,4,2,0,0,1,1,4,1,1,0,2,3,2,0,17,1,0,3,1,3,1,4,0,1,1796,1,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,429,male,1718,1800,TRUE,"and Beautiful. Dr. Gerard on Taste, Session If. Elements of Criticilfr, Chap. IV £ 3 look L e T. look up, or an awful precipice or tower whence we look down on the objets which lie below, is fill more so. The excessive Grandeur of the firmament arises from its"
0546300201_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,128,0,2,2,0,1,4,1,0,0,0,0,7,1,1,0,0,0,0,4,0,2,2,1,0,2,5,12,1,2,8,5,1,0,0,1,2,0,3,2,2,1,1,3,4,2,0,0,1,1,4,1,1,0,2,3,1,0,16,1,0,4,1,1,1,4,0,1,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert [and 9 others in Dublin], 1783.",Dublin,436,male,1718,1800,TRUE,"the objecs which lie below, is still more so. The excessive Grandeur of the firmament arises from its height , joined to its boundless extent ; and that of the ocean , not from its extent alone, but from the perpetual motion and irrefifible force of that mass of waters"
