PassageID,Title,Author,Total termFreq,termFreq(answer),termFreq(believ),termFreq(better),termFreq(brother),termFreq(captain),termFreq(colonel),termFreq(cry),termFreq(daughter),termFreq(differ),termFreq(end),termFreq(famili),termFreq(father),termFreq(form),termFreq(friend),termFreq(girl),termFreq(god),termFreq(govern),termFreq(hand),termFreq(happi),termFreq(heart),termFreq(herself),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(kind),termFreq(know),termFreq(ladi),termFreq(letter),termFreq(life),termFreq(light),termFreq(littl),termFreq(love),termFreq(madam),termFreq(marri),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(miss),termFreq(morn),termFreq(mother),termFreq(near),termFreq(oblig),termFreq(old),termFreq(opinion),termFreq(person),termFreq(poor),termFreq(prai),termFreq(receiv),termFreq(return),termFreq(set),termFreq(suppos),termFreq(sure),termFreq(taken),termFreq(think),termFreq(thought),termFreq(turn),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0709800601_000041,"The errors of education. In three volumes. By Mrs. Parsons, ...",Eliza Parsons,84,3,1,2,0,0,3,0,2,0,1,2,0,0,1,5,0,0,1,0,1,3,1,0,1,0,0,15,0,2,0,2,0,3,1,1,1,0,5,1,3,0,0,1,2,1,2,2,0,2,0,0,1,0,1,2,1,2,2,1,3,1791,1,3,"London : printed for William Lane, at the Minerva Press, 1791.",London,249,female,1738,1811,TRUE,"the old lady ) when the was presented at Court, and a most charming woman I thought her. My Lord soon took her to Scotland, from whence, I believe , she has never returned ."" Whilst Lady Summers was addressing Sir William, the Colonel was busy in entertaining Miss Summers"
0653501103_000031,"Ethelinde, or the recluse of the lake. By Charlotte Smith. In five volumes. ...",Charlotte Turner Smith,83,3,1,1,5,0,4,0,2,0,0,3,1,0,2,2,1,0,0,0,0,4,3,1,0,0,2,9,0,0,0,4,1,2,1,0,2,1,2,1,2,0,2,0,1,1,0,1,0,0,0,2,3,1,3,1,1,0,4,1,2,1789,3,5,"London : printed for T. Cadell, 1789.",London,284,female,1749,1806,TRUE,"and wishes"" "" that may have been, my Lord,"" said Montgomery, who by no means liked the inclination he observed to censure rather than to serve, "" I persuade nlyfelf you will not susser your brother to quit the world without having the cohfo lation of feeing you and of"
0055500302_000032,"The history of Emily Willis, a natural daughter. In two volumes. ...",,90,0,1,1,2,0,2,0,5,0,0,6,6,0,0,4,0,1,0,2,0,2,0,2,0,0,1,12,1,0,1,1,0,2,1,0,3,1,6,0,4,1,0,2,0,0,0,1,1,0,0,0,2,1,3,4,1,1,1,1,4,1768,2,2,"London : printed for F. Noble, at his Circulating Library, near Middle-Row Holborn; and J. Noble, at his Circulating Library, in St. Martin's-Court, near Leicester-Square, MDCCLXVIII. [1768].",London,222,unknown,,,FALSE,"take the Part of their own Family , though' they are ever so much in the wrong! I swear, I believe , if your Uncle was to commit a Murder, and I think Fornication is not much better , your Father would certainly defend it. why, to be sure ,"
0016300301_000024,The history of Miss Sally Sable. By the author of Memoirs of a Scotch family. In two volumes. ...,"Woodfin, Mrs.",77,1,1,1,0,0,3,0,2,1,0,1,2,0,3,2,1,0,0,0,1,3,0,3,3,0,3,9,0,1,0,1,2,1,2,0,2,1,4,0,2,1,1,1,0,3,2,0,1,1,0,0,1,0,1,1,1,3,0,1,3,1757,1,2,"London : printed for F. Noble, at his Circulating-Library in King-Street Covent-Garden. and J. Noble, at his Circulating-Library in St. Martin's-Court, near Leicester-Square, [1757?].",London,271,female,,,FALSE,"get nothing by her. Isabel delivered him the Bundle, and with Tears in her Eyes, said, Poor Creature, God bless her. He was not long walking home, where he found Sally overwhelmed with Sorrow: He began to rail at Mr. Graham, and called him old Brute, and every hard Name"
0468400103_000046,"Memoirs of Miss Sidney Bidulph. Extracted from her own journal, and now first published. In three volumes. ...",Frances Sheridan,92,2,4,2,7,0,0,0,2,0,0,1,1,0,3,3,0,0,0,5,2,3,0,1,1,0,2,1,1,1,1,1,1,2,0,0,0,1,7,1,0,0,1,3,0,2,2,0,2,0,2,0,4,2,1,5,2,1,1,1,7,1767,3,3,"London : printed for J. Dodsley, 1767.",London,340,female,1724,1766,TRUE,"linen draper in the Strand, a second brother of my Patty's. You can't have forgot Harry Main, my dear, whom we both knew when a boy, remarkable for his sober behaviour, modeify, and sweetness of temper. He is jut now out of his time, and his eldest brother has set"
1069800104_000020,The history of Emily Montague. By the author of Lady Julia Mandeville. ...,Frances Brooke,74,0,0,1,1,1,3,0,2,0,0,2,3,0,2,1,0,0,1,2,1,1,1,2,1,2,3,3,3,2,2,2,4,0,5,0,2,3,2,1,1,0,1,2,1,0,0,0,0,0,0,2,0,0,2,0,0,1,1,3,1,1777,4,4,"London : printed for J. Dodsley, in Pall-Mall, M.DCC.LXXVII. [1777].",London,215,female,1724,1789,TRUE,"heri without that prejudice which the knowledge of her being the cause of his disappointment inight give, he cannot fail of having having for her that admiration which I never yet met with a mind savage enough to refuse her. His daughter has been educated abroad, which is a circumstance"
0290500100_000037,The works of Hugh Kelly. To which is prefixed the life of the author.,Hugh Kelly,89,1,0,1,0,5,0,0,5,0,1,5,5,0,0,1,0,0,0,2,0,1,3,0,2,1,4,2,0,1,0,2,3,4,4,2,0,0,7,1,1,0,0,2,0,0,4,1,0,0,0,2,1,0,5,0,1,6,0,1,2,1778,1,1,"London : printed for the author's widow; and sold by T. Cadell, in the Strand; J. Ridley, in St. James's Street; and N. Conant, in Fleet-Street, M,DCC,LXXVIII. [1778].",London,498,male,1739,1777,TRUE,"that's a very puzzling question upon the whole; notwithstanding all my levity, you know I have the deepest reverence for my father , and he must not be disobliged upon any account, though to deal honestly with you, I have no mighty inclination to mli!s Montagu. vil/ars. And what must"
0024200302_000080,"Memoirs of Miss Sidney Bidulph, extracted from her own journal, and now first published. In two volumes. ...",Frances Sheridan,87,2,3,3,5,0,0,0,2,0,0,1,2,0,4,3,0,0,0,5,2,3,0,1,0,0,2,1,1,1,1,1,1,2,0,0,0,1,6,1,0,0,1,3,0,2,2,0,1,0,1,0,3,2,1,5,2,1,2,1,6,1761,2,2,"Dublin : printed by and for G. Faulkner, MDCCLXI. [1761].",Dublin,417,female,1724,1766,TRUE,"be sure I am his customer. ""'Tis on this lad then that I have turned my thoughts , as a fit husband for the amiable girl . 1 went yesterday morning to buy Tome linen for Miss Price, and carried her with me, as 1 had done once or twice"
0073200106_000011,"The history of Sir Charles Grandison; in a series of letters. By Mr. Samuel Richardson, author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,89,1,3,0,2,0,0,3,0,0,0,0,1,0,0,5,4,0,0,2,2,3,1,1,0,0,2,4,3,1,0,1,6,9,3,2,0,0,8,0,2,0,1,1,0,0,3,2,2,0,2,0,0,0,3,1,2,1,2,0,0,1781,6,7,"London : printed for W. Strahan, J. Rivington and Sons, T. Caslon, S. Crowder, T. Longman, B. Law, T. Cadell, G. Robinson, T. Lowndes, W. Domville, J. Bew, W. Goldsmith, S. Bladon, T. Evans, W. Fox, J. Johnson, and M. Davenhill, 1781.",London,376,male,1689,1761,TRUE,"to accept of an honourable offer? As if, in other words , The was to be the felf denying receiver rather than conferer of an obligation Lord, how we ram ble headed creatures break in upon ourselves!] with a good grace he told us of his intention to marry ;"
1532601002_000011,Barham downs. A novel. In two volumes. By the author of Mount Henneth.,Robert Bage,75,0,1,1,0,1,0,0,0,0,1,1,2,0,0,1,3,0,3,2,1,1,3,3,0,1,2,3,1,1,1,1,3,1,0,0,1,0,5,1,1,1,1,1,0,2,2,1,1,3,0,0,4,0,3,0,1,5,1,1,2,1784,2,2,"Tamworth : Printed for and sold by B. Shelton, M DCC LXXXIV. [1784].",Tamworth,358,male,1728,1801,FALSE,"France to England, yet it is a month since I received her letter . IHAVE still further reason to be alarmed. It is affirmed here Lord Winterbottom is ruined by the.dice, disgraced at court, and obliged to leave England. Wycherley indeed persuades my father to believe these reports are merely"
