PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(believ),termFreq(child),termFreq(court),termFreq(daughter),termFreq(earl),termFreq(end),termFreq(enter),termFreq(famili),termFreq(father),termFreq(fortun),termFreq(friend),termFreq(gener),termFreq(gentleman),termFreq(hand),termFreq(happi),termFreq(hear),termFreq(heard),termFreq(heart),termFreq(herself),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(king),termFreq(knight),termFreq(know),termFreq(ladi),termFreq(late),termFreq(leav),termFreq(left),termFreq(letter),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(madam),termFreq(marri),termFreq(mean),termFreq(mind),termFreq(miss),termFreq(night),termFreq(old),termFreq(person),termFreq(poor),termFreq(prai),termFreq(present),termFreq(return),termFreq(room),termFreq(servant),termFreq(sure),termFreq(think),termFreq(thought),termFreq(told),termFreq(wife),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0423900302_000003,"Agitation: or, memoirs of George Woodford and Lady Emma Melvill. In three volumes. Dedicated (by permission) to the Honourable Mrs. Lionel Damer. By the author of The ring, and The false friends. ...",Author of The ring,83,1,1,1,0,0,3,5,2,0,2,1,1,2,1,1,0,1,2,1,1,0,0,2,3,0,0,1,8,0,2,3,1,1,3,0,3,0,1,2,0,6,0,1,0,0,0,1,1,1,2,1,2,3,1,3,2,1,1,1,1788,2,3,"London : printed for J. Barker, Russell-Court Drury-Lane, [1788?].",London,216,unknown,,,FALSE,"was there by this time. She had, by the means of the servants , ipread it about the country, that ihe was engaged to Mr. Woodford, and that the mhould certainly be his wife the ensuing winter. This soon reached the ears of Miss Melvill; she could not resist a"
0016300301_000024,The history of Miss Sally Sable. By the author of Memoirs of a Scotch family. In two volumes. ...,"Woodfin, Mrs.",83,0,4,1,3,0,2,0,0,0,1,2,2,3,0,0,0,0,1,1,1,3,0,3,3,0,0,3,9,0,1,0,0,1,1,2,2,1,2,2,1,4,1,1,3,2,0,0,1,0,1,1,1,1,1,4,3,0,1,3,1757,1,2,"London : printed for F. Noble, at his Circulating-Library in King-Street Covent-Garden. and J. Noble, at his Circulating-Library in St. Martin's-Court, near Leicester-Square, [1757?].",London,271,female,,,FALSE,"get nothing by her. Isabel delivered him the Bundle, and with Tears in her Eyes, said, Poor Creature, God bless her. He was not long walking home, where he found Sally overwhelmed with Sorrow: He began to rail at Mr. Graham, and called him old Brute, and every hard Name"
0394400104_000094,"The works of Henry Fielding, Esq; with the life of the author. In eight volumes. ...",Henry Fielding,73,0,1,1,1,1,1,1,0,1,2,2,1,1,0,6,2,0,0,1,0,2,0,0,0,1,1,2,5,0,0,2,0,0,2,1,0,3,0,1,1,6,0,0,3,1,2,3,1,2,3,1,2,1,1,1,0,1,0,2,1762,4,8,"London : printed for A. Millar, in the Strand, M.DCC.LXII. [1762].",London,549,male,1707,1754,TRUE,"for they were but one person ; and he was liable to pay damages, which he said must be considerable, where so bloody a disposition appeared . Adams answered, if it was TRUE that they were but one person , he had assaulted the wife ; for he was sorry"
0024300103_000009,"The voluntary exile, in five volumes, by Mrs. Parsons, author of Lucy, &c. &c. ...",Eliza Parsons,78,0,0,2,2,0,2,0,0,1,0,1,0,2,1,0,1,3,1,0,1,1,0,0,4,0,0,0,5,0,1,4,1,1,2,0,1,2,3,0,2,5,0,4,2,3,1,1,3,2,2,2,1,2,2,0,1,0,1,2,1795,3,5,"London : printed for William Lane, at the Minerva Press, Leadenhall-Street, M.DCC.XCV. [1795].",London,251,female,1738,1811,TRUE,"imagine, when I left America, that villain Oliver had so basely seduced her, or ever could have given her up. The heart wounding intelligence of her fituadon, her being driven from her father's house , and subsequent events was sent to me by a friend , I endeavoured to expedite"
0817700402_000012,The history of Fanny Meadows. In a series of letters. By the author of The exemplary mother. ...,Maria Susanna Cooper,87,2,0,1,5,0,1,0,2,0,0,1,0,5,1,1,1,4,1,1,0,0,2,3,0,0,0,1,5,2,0,1,2,2,1,4,2,3,0,1,1,4,1,1,0,7,6,0,0,1,2,1,0,2,2,2,0,1,1,0,1775,2,2,"London : printed for T. Becket, 1775.",London,179,female,1737,1807,FALSE,"her so, Miss , and if ihe had minded your good Counsel she would have been an honest Man's Wife , and been very well to live , as a Body may say. When she was made a Lady (I shall never forget her the longest Day I have to"
0023500801_000017,"The history of Lord Belford, and Miss Sophia Woodley. In a series of letters. ...",,94,2,1,2,1,0,1,0,0,1,0,1,0,4,0,5,2,0,0,0,3,1,1,0,1,0,0,3,9,0,2,2,2,1,1,1,2,4,0,0,1,9,2,3,0,7,0,0,0,2,2,2,3,2,1,1,0,2,0,4,1784,1,3,"London : printed for Francis Noble, opposite Gray's Inn Gate, Holborn, 1784.",London,238,unknown,,,FALSE,"About two o'clock my lady re. turned, and ran upstairs, as usual, into Miss Woodley's apartment. Her surprise was great not to find her; but when night arrived, the was quite like a diftrated thing. My poor old master sat in such concern for he loved her as his own"
0457600104_000099,"The works of Henry Fielding, Esq; with the life of the author. In eight volumes. ...",Henry Fielding,68,0,0,1,1,1,1,1,0,1,2,2,1,1,0,4,2,0,0,1,0,2,0,0,0,1,1,2,5,0,0,3,0,0,2,1,0,3,0,1,1,7,0,0,1,1,2,2,1,2,3,1,2,1,1,0,0,1,0,2,1771,4,8,"London : printed for W. Strahan, J. & F. Rivington, L. Hawes & Co. R. Horsfield, W. Johnston, T. Caslon, S. Crowder, T. Longman, E. & C. Dilly, W. & J. Richardson, G. Kearsly, R. Dymott, T. Cadell, W. Woodfall, T. Lowndes, S. Bladon, Robinson and Roberts, R. Baldwin, T. Davies, T. Becket, J. Robson, D. Wilson and G. Nicol. T. Noteman, and T. Evans, MDCCLXXI. [1771].",London,565,male,1707,1754,TRUE,"to the court ; for here was no evidence pre'  but the lame man in the chair, whom I sup'  to be your friend ; and would consequently  ay nothing but what made for you.'  How, Sir,  says Adams,  do you take me for"
0332600300_000047,"Religious courtship: being historical discourses on the necessity of marrying religious husbands and wives only; as also, of husbands and wives being of the same opinions in religion with one another. With an appendix, Of the necessity of taking none but Religious Servants; and, A proposal for the better managing of Servants.",Daniel Defoe,95,0,0,2,1,0,2,0,2,0,5,7,0,2,0,3,1,1,0,1,0,1,0,2,1,0,0,4,6,1,2,1,0,2,1,1,0,8,1,1,3,0,2,7,2,0,2,1,1,0,1,0,3,2,2,2,1,0,0,7,1762,1,1,"Edinburgh : printed for William Gray, the Eastmost Laigh Shop in the Front of the Exchange, MDCCLXII. [1762].",Edinburgh,288,male,1660,1731,TRUE,time. I hope hope you will give the young ladies leave to return this visit. I derign to invite them to come and see me. [Upon this foot the di'courfe ended for that time; and all thoughts of the match for the eldest daughter with the son of that gentlewoman
0739200100_000079,"The history of Joshua Trueman, Esq; and Miss Peggy Williams.",,84,2,2,2,1,0,1,0,0,0,1,1,0,1,0,3,1,1,0,2,0,3,0,2,2,0,0,0,10,2,4,1,2,0,1,1,0,0,2,0,1,7,0,2,1,1,0,0,3,1,2,0,1,4,3,4,2,0,1,3,1755,1,1,"Dublin : printed by A. Reilly, for the booksellers, MDCCLV. [1755].",Dublin,339,unknown,,,FALSE,"for his return with the greatest ardour; but he was destined to remain some time longer ignorant of his happiness . As soon as cleora's.health would permit, they again set out for Calais, which they reached without any hindrance, the young lady fill wearing the disguise of a servant ;"
1205801500_000007,Sir John Cockle at court. Being the sequel of The king and the miller of Mansfield. A dramatick tale. By R. Dodsley.,Robert Dodsley,91,0,0,2,2,1,4,0,0,5,0,0,1,1,0,1,0,0,4,1,1,0,3,3,1,12,0,2,1,0,2,0,0,1,1,3,0,3,1,0,1,4,0,2,0,1,5,5,2,2,2,1,1,1,1,0,1,3,1,2,1738,1,1,"London : printed for R. Dodsley, at Tully's Head in Pall-Mall; and sold by T. Cooper, at the Globe in Pater-Noster-Row, 1738.",London,42,male,1703,1764,TRUE,"I am capable of something, I have wrote a Poem in Praise of that, Virtue, which I beg leave to E 2 present (z8) present to you, and hope you will receive it kindly. [Gives him the Poem. Sir John. Sir, I am not used to these Things; I don't"
0375401300_000047,"Religious courtship: being historical discourses, on the necessity of marrying religious husbands and wives only. As also of husbands and wives being of the same opinions in religion with one another. With an appendix Of the Necessity of taking none but Religious Servants, and a Proposal for the better managing of Servants.",Daniel Defoe,105,1,1,5,1,0,4,0,1,0,4,4,0,0,0,4,0,1,0,3,0,1,1,2,1,0,0,4,6,0,3,1,0,2,1,1,0,9,1,0,2,0,0,6,3,1,3,1,1,0,0,0,2,3,1,11,1,2,0,6,1736,1,1,"Belfast : printed by and for John Potts, Samuel Wilson, and James Magee, M,DCC,XXXVI. [1736].",Belfast,296,male,1660,1731,TRUE,"a Christian she has shown in her Conduct. Fa. So you would say indeed, if you knew all her Conduct, and knew the Person too. Wife . It it be not improper, I Should beglad to know the Person . Fa. Madam , 1 should be loth to name him"
