PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(arm),termFreq(bed),termFreq(birth),termFreq(blood),termFreq(bodi),termFreq(born),termFreq(bring),termFreq(brought),termFreq(cafe),termFreq(care),termFreq(caus),termFreq(child),termFreq(children),termFreq(continu),termFreq(dead),termFreq(death),termFreq(deliv),termFreq(deliveri),termFreq(father),termFreq(feet),termFreq(follow),termFreq(forc),termFreq(gener),termFreq(god),termFreq(hand),termFreq(happen),termFreq(head),termFreq(hous),termFreq(infant),termFreq(know),termFreq(labour),termFreq(ladi),termFreq(left),termFreq(life),termFreq(littl),termFreq(live),termFreq(mean),termFreq(month),termFreq(mother),termFreq(natur),termFreq(observ),termFreq(open),termFreq(oper),termFreq(order),termFreq(pain),termFreq(parent),termFreq(person),termFreq(present),termFreq(reason),termFreq(taken),termFreq(turn),termFreq(uteru),termFreq(water),termFreq(wife),termFreq(woman),termFreq(womb),termFreq(women),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0993700102_000062,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement, and modern improvements, incorporated in one alphabet. By Abraham Rees, D.D. In four volumes ...",Abraham Rees,107,0,0,2,4,1,1,1,4,2,3,0,2,7,1,0,2,1,4,11,0,1,1,2,2,0,2,0,3,0,3,1,4,0,4,0,0,2,0,1,1,2,1,0,2,3,1,0,1,3,0,0,1,7,5,1,2,5,0,0,1779,2,1,"London : printed for W. Strahan, J. F. and C. Rivington, A. Hamilton, J. Hinton, T. Payne [and 31 others in London], 1778-1788.",London,625,male,1743,1825,FALSE,"sensibility of weight. The tumour formed by the waters diitending the membranes below the mouth of the womb , dilates the parts, till at length it burits, and discharges the waters . If the child's head presents fairly, it flops the discharge of the waters . Sometimes the same effort"
0202800300_000046,"A system of midwifery, theoretical and practical. Illustrated with copper-plates. By David Spence, M.D. Licentiate of the Royal College of Physicians, Edinburgh, and Fellow of the Society of Scottish Antiquaries.","Spence, David",126,1,0,0,2,0,0,0,3,1,10,2,1,13,1,3,1,1,2,5,0,6,2,0,3,0,4,1,4,0,0,0,7,0,1,2,1,0,3,2,3,4,3,1,4,1,9,0,0,3,1,1,3,3,1,0,4,2,1,0,1784,1,1,"Edinburgh : printed for William Creech; and sold in London by T. Longman and J. Murray, M,DCC,LXXXIV. [1784].",Edinburgh,628,male,1747,1786,FALSE,"month . But between the fifth and sixth months , and the full time, the danger is greater. If, therefore, the discharge is so violent as to threaten the life of the mother , the opera rtr's hand ought gently to be insinuated into into the vagina, the os uteri"
1508101402_000123,"Culpeper's English physician; and complete herbal. To which are now first added upwards of one hundred additional herbs, with a display of their medicinal and occult properties, physically applied to the cure of all disorders incident to mankind. To which are annexed, rules for compounding medicine according to the true system of nature: forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of four hundred and fifty different plants, and a set of anatomical figures. Illustrated with notes and observations, critical and explanatory. By E. Sibly, M.D. Fellow of the Harmonic Philosophical Society at Paris; author of the Complete illustration of astrology.",Nicholas Culpeper,106,3,0,1,5,3,1,1,0,1,5,1,0,6,1,2,1,0,3,4,0,4,2,1,4,0,4,1,2,0,8,1,2,0,3,1,0,0,0,0,4,2,0,1,0,2,3,0,0,1,0,3,0,8,1,0,5,4,1,0,1805,2,2,"London : Printed by Lewis and Roden, Paternoster-Row, for the proprietor; and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, M.DCCC.V. [1805].",London,271,male,1616,1654,FALSE,"wrapped over one another; an ichorous lymphatic sanies flows from the uterus , the..mather .is fabjeft to fainting.. There is.no pullation.io the navel firing: u.xs soft arid indolent to the touch, and absolutely deprived of motion. If the placenta. comes first, and is hot, the child is alive. Above all,"
0202800300_000042,"A system of midwifery, theoretical and practical. Illustrated with copper-plates. By David Spence, M.D. Licentiate of the Royal College of Physicians, Edinburgh, and Fellow of the Society of Scottish Antiquaries.","Spence, David",116,0,5,0,1,2,4,1,2,2,10,1,2,15,1,0,0,0,3,2,0,3,0,1,3,0,6,1,1,0,0,1,1,0,3,2,1,0,2,0,3,1,1,0,7,1,4,0,1,2,1,1,3,5,3,0,2,3,2,0,1784,1,1,"Edinburgh : printed for William Creech; and sold in London by T. Longman and J. Murray, M,DCC,LXXXIV. [1784].",Edinburgh,628,male,1747,1786,FALSE,"for any length of time, in the pelvis, it may be rendered im pracicable to deliver the woman by the methods just now recommended. Here an attempt may be made with the forceps; which failing, the crotchet must be had recourse to. The The sooner that assistance is given, in"
1144100300_000026,"A treatise on the improvement of midwifery, chiefly with regard to the operation. To which are added, fifty-seven cases, Selected from upwards of Twenty-Seven Years Practice. The third edition, with large additions and improvements. Imbellished with copper-plates. By Edmund Chapman, surgeon.","Chapman, Edmund",129,1,5,0,2,0,2,3,0,2,3,1,0,13,5,0,2,0,6,2,0,6,1,1,0,0,12,2,7,0,3,0,4,0,5,1,1,2,0,2,3,1,1,1,0,1,4,0,1,3,1,2,1,1,3,0,8,4,0,0,1753,1,1,"London : printed for John Brindley, Book-Binder, Book-Seller, and Stationer to his late Royal Highness the Prince of Wales, in New Bond-Street; and James Hodges on London-Bridge, M.DCC.LIII. [1753].",London,263,male,1680,1756,FALSE,"is what I have Several times met with. CASE C A S E XXV Three Children Presenting with their Arms , Turned and Extraided. I DELIVERED a Woman three times successively, where the Waters gathering, and the Pains increasing to a proper Degree, the Membranes broke, and thrust out one"
0461001200_000026,"A treatise on the improvement of midwifery; chiefly with regard to the operation. To which are added, fifty-seven cases, Selected from upwards of Twenty-Seven Years Practice. A Work particularly adapted to improve such, of either Sex, whose Profession has already led them to make some Progress in this Science. The third edition; with large additions. By Edmund Chapman, Surgeon.","Chapman, Edmund",123,1,4,0,2,0,2,3,0,2,2,2,0,13,4,0,2,0,5,2,0,6,1,1,0,0,12,2,7,0,3,0,4,0,5,1,1,2,0,2,3,1,1,1,0,1,4,0,1,2,1,2,0,1,3,0,7,4,0,0,1759,1,1,"London : printed for L. Davis and C. Reymers, against Gray's-Inn, Holborn, Printers to the Royal Society, M.DCC.LIX. [1759].",London,264,male,1680,1756,FALSE,"three times successively, where the Waters gathering, and the Pains increasing to a proper Degree, the Membranes broke, and thrust out one of the Child's Arms . The Pafages and Pelvis were so large, that I found no Difficulty in taking the Child by the Feet , and so Delivered"
0270500500_000025,"The works of Aristotle, the famous philosopher. In four parts. Containing I. His complete master-piece; displaying the Secrets of Nature in the Generation of Man. To which is added The Family Physician, being approved Remedies for the several Distempers incident to the Human Body. II. His experienced midwife; absolutely necessary for Surgeons, Midwives, Nurses, and Child-Bearing Women. III. His book of problems; containing various Questions and Answers, relative to the State of Man's Body. IV. His last legacy; unfolding the Secrets of Nature respecting the Generation of Man.",Aristotle,135,3,1,2,5,2,2,0,2,2,6,1,1,20,0,0,6,0,3,5,0,5,4,0,0,0,8,2,5,0,2,1,1,0,3,0,1,0,0,0,3,5,3,1,8,1,1,0,0,1,0,2,2,0,0,0,8,5,2,0,1784,1,1,"Edinburgh : [s.n.], Printed in the Year MDCCLXXXIV. [1784].",Edinburgh,366,male,,,FALSE,"and his hold may be the fuirer, he must farlen or wrap a linen cloth about the child's thighs, observing to bring it into the world with its feet downwards, But in cafe there be a flux of blood , let the operator be well fatisfisd whether the child "
0650701600_000025,"A treatise on the improvement of midwifery, chiefly with regard to the operation. To which are added fifty-seven cases, selected from upwards of twenty-seven years practice. The second edition, with large additions and improvements. By Edmund Chapman, Surgeon.","Chapman, Edmund",115,2,3,0,2,0,2,2,0,1,3,1,0,11,3,0,2,0,5,2,0,6,1,2,0,0,10,2,8,0,3,0,4,0,5,1,1,2,0,2,1,1,1,1,0,1,3,0,1,3,1,2,1,1,3,0,6,3,0,0,1735,1,1,"London : printed for John Brindley, at the King's Arms in New Bond-Street; John Clarke, under the Royal Exchange; and Charles Corbett, at Addison's Head against St. Dunstan's Church in Fleetstreet, 1735.",London,254,male,1680,1756,FALSE,"prevented a very good and quick Delivery , appeared to be the uncommon Thickness and Strength of the Membranes; which is what I have several times met with. CASE XXV Three Children presenting with their Arms , turned and extracted. D E L I V E R E D a"
0216600100_000047,"A treatise of midwifery, comprehending the whole management of female complaints, and the treatment of children in early infancy. To which are added, Prescriptions for women and children, and Directions for preparing variety of Food and Drinks, adapted to the Circumstances of Lying-in-Women. By Alexander Hamilton, Professor of Midwifery in the University of Edinburgh, and Member of the Royal College of Surgeons.",Alexander Hamilton,110,2,0,0,5,2,2,1,1,2,3,0,0,18,2,1,0,1,2,4,0,4,0,1,0,0,7,0,2,0,1,0,3,0,1,1,2,0,0,0,3,0,0,2,5,1,5,0,0,1,1,1,3,2,1,0,5,11,1,0,1781,1,1,"Edinburgh : printed for J. Dickson, W. Creech, and C. Elliot, M,DCC,LXXXI. [1781].",Edinburgh,486,male,1739,1802,TRUE,"unfavourable, the hand must be passed into the uterus , the feet of the child taken hold of and brought down. The womb now contracing, soon flops the flow of blood , or prevents an excessive discharge; therefore, after the feet are brought down, the body of the child should"
0649200100_000145,"A treatise on the theory and practice of midwifery, to which is now added, a set of anatomical plates, exhibiting the various cases that occur in practice, accurately engraved, with explanations. By W. Smellie, M.D. in three parts. part I.",William Smellie,120,4,1,1,0,1,1,1,0,1,2,0,0,13,3,1,2,0,3,1,2,1,1,3,1,0,2,2,9,0,0,0,4,0,2,0,1,0,0,10,5,2,1,4,0,0,1,0,0,7,0,0,3,6,2,0,8,3,4,1,1790,1,1,"London : printed for Alexander Cleugh, No. 14, Ratcliff-Highway; and M. Watson, Hermitage-Bridge. Five Shillings in Boards, 1790.",London,506,male,1697,1763,FALSE,"in but womb with more force than her other children ; but it was dead born , it having remained ing in the passage, and afterwards been turned . The mother imputed its monidrous ihape to her having fixed her eyes feadfafly on the figure of an ape. k'i&k Phiiof."
