PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(baron),termFreq(bodi),termFreq(bond),termFreq(children),termFreq(common),termFreq(court),termFreq(daughter),termFreq(death),termFreq(debt),termFreq(declar),termFreq(deed),termFreq(defend),termFreq(dower),termFreq(estat),termFreq(executor),termFreq(father),termFreq(feme),termFreq(fine),termFreq(god),termFreq(grant),termFreq(hall),termFreq(heir),termFreq(hous),termFreq(husband),termFreq(know),termFreq(land),termFreq(law),termFreq(leas),termFreq(life),termFreq(live),termFreq(love),termFreq(marri),termFreq(marriag),termFreq(monei),termFreq(parti),termFreq(person),termFreq(power),termFreq(reason),termFreq(receiv),termFreq(rent),termFreq(tenant),termFreq(term),termFreq(widow),termFreq(wife),termFreq(wive),termFreq(woman),termFreq(women),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1113600101_000554,"A new and complete law-dictionary. Or, general abridgment of the law; on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq. In two volumes. ...",Timothy Cunningham,117,0,8,0,4,0,0,2,2,4,4,1,0,0,3,1,4,1,9,0,0,2,5,3,0,14,0,2,2,2,1,0,0,3,3,4,0,2,0,0,2,4,3,3,0,18,0,1,0,0,1764,1,2,"Dublin : printed for Sar. Cotter, Hen. Saunders, and Jam. Williams, 1764.",Dublin,843,male,,1789,FALSE,"who with some earnetnefs said, he would change the law in that point. Can. Ca. 295 If brrfland and wife hae judgement in fire facias for a debt due to the wife , the benefit thereof survives to the husband ; for the judgement is joint, and therefore ( hall"
0677600200_000022,"The lady's law: or, a treatise of feme coverts: containing all the laws and statutes relating to women, ...",,131,0,2,0,5,0,1,3,0,2,2,0,1,2,1,4,7,0,10,0,0,0,4,1,2,26,0,3,1,0,2,1,0,10,7,1,0,2,2,1,2,3,0,2,1,12,0,7,1,0,1737,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer) for H.L. and sold by C. Corbett, and E. Littleton, 1737.",London,286,unknown,,,FALSE,"her Thirds, the Wife waves the Benefit of Entry into Lands , so as to hold them in Jointure. And if a Woman conceals her Jointure, and brings Dower , and recovers it, and then sets up her Jointure, she is barred thereof: 3 Rep. 5 Cro. Fliz. 128 A"
1113600101_000529,"A new and complete law-dictionary. Or, general abridgment of the law; on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq. In two volumes. ...",Timothy Cunningham,140,1,0,0,6,0,1,0,0,2,5,0,1,3,0,1,6,0,6,0,0,4,4,0,1,19,0,8,3,9,1,0,0,8,4,4,1,0,0,0,3,8,2,9,1,17,0,1,0,1,1764,1,2,"Dublin : printed for Sar. Cotter, Hen. Saunders, and Jam. Williams, 1764.",Dublin,843,male,,1789,FALSE,"by consequence he may dispose of any part of it; but the remainder of the term , whereof no disposition was made by him, shall return to the wife . Popb. 5 Feme file being lesee for years, the lessor covenanted with her to repair the houses during the term"
0598500103_000182,"Reports of cases argued and determined in the High Court of Chancery, and of two special cases adjudged in the courts of common law: collected by William Peere Williams, Late of Gray's Inn, Esq; Vol. III. Published with Notes and References, and Two tables; one of the Names of the Cases, the other of the Principal Matters: by his son William Peere Williams, of the Inner Temple, Esq;",William Peere Williams,119,1,1,0,3,0,1,3,0,2,5,0,0,4,1,3,3,0,3,2,0,2,0,1,0,15,0,4,1,3,0,5,0,3,2,6,3,2,0,1,3,4,4,0,0,25,0,3,0,0,1749,3,3,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; for T. Osborne in Gray's Inn, MDCCXLIX. [1749].",London,646,male,1664,1736,FALSE,"his Wife and living in Adultery, as a Wife forfeits her Dower by Elopement. ibid. An Husband voluntarily, and after Marriage , allows the Wife , for her separate Use, to make Profit of all Butter, Eggs, Pigs, Poultry and Fruit, beyond what is used in the Family; out of"
0573800102_000101,"A digest of the laws of England. By the Right Honourable Sir John Comyns, Knight; Late Lord Chief Baron of His Majesty's Court of Exchequer. Continued down to the present time, by a gentleman of the Inner Temple. ...","Comyns, John, Sir",118,0,1,0,2,3,0,1,2,6,1,2,2,0,0,3,1,0,3,3,0,0,0,1,0,21,0,6,1,4,2,3,0,4,7,3,1,1,1,0,1,0,2,6,1,20,2,1,0,0,1780,2,5,"London : printed by W. Strahan, and M. Woodfall Law-Printers to the King's Most Excellent Majesty; for W. Strahan, J. Pote, J. Rivington and Sons, T. Longman, G. Robinson, T. Cadel, J. White, W. Flexney, E. Brooke, J. Hayes, M. Hingeston, W. Fox, and Wheildon and Co, MDCCLXXX. [1780].",London,705,male,,,FALSE,"Term for Years in Right of his Wife lc. fs for a less Term , and, for the Security of Money borrowed of his Lesee, covenants to make him another Lease after the End of the Prior; the Wife fllall be bound thereby; for this Covenant amounts to a Disposition"
0503600101_000119,"The practical register: or, a general abridgment of the law, as it is now practised in the several courts of Chancery, King's Bench, Common Pleas and Exchequer, ... Together with all the modern rules of court brought down to ... 1719. In two volumes. ... By John Lilly, ...","Lilly, John",129,1,6,0,5,0,0,2,0,4,1,1,0,1,0,5,2,3,10,10,0,1,2,4,0,17,0,7,0,2,2,2,0,4,2,3,0,0,0,0,2,3,5,0,1,18,0,3,0,0,1719,1,2,"[London] : In the Savoy: printed by Eliz. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq; ) for Tho. Ward; W. Mears, and F. Clay; and J. Hooke, 1719.",London,676,male,,,FALSE,"receives the Rents and dies; the Feme brings her Bill, in Chancery against the Executors of her Husband to pay her the Money received by the Baron : But decreed that the AGREEMENT made by the Baron before the Marriage was by the Mar iage determined. Chanc. Rep. 21, 117,"
0677600200_000045,"The lady's law: or, a treatise of feme coverts: containing all the laws and statutes relating to women, ...",,123,0,6,1,2,0,0,1,2,4,1,4,0,2,0,2,4,0,15,0,0,1,2,4,0,14,0,9,3,4,7,5,0,1,1,1,0,1,3,0,0,2,2,5,1,13,0,0,0,0,1737,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer) for H.L. and sold by C. Corbett, and E. Littleton, 1737.",London,286,unknown,,,FALSE,"is made to Baron and Feme for their Lives , with Remainder to the Heirs of the Survivor, it is a good Remainder, not withfianding the Uncertainty; and in that Cafe the Husband , after the Death of the Wife , shall have Judgement to recover the Land . Godb."
0637100101_000307,"Cases argued and determined in the High Court of Chancery, in the time of Lord Chancellor Hardwicke, from the year 1746-7, to 1755. With tables, notes, and references. The third edition, revised and amended, with several additional notes and references, by the original reporter, Francis Vesey, Esq. One of the Masters in the High Court of Chancery of Ireland. In two volumes. ...","Vesey, Francis",98,2,0,3,3,1,2,2,1,3,4,0,5,0,4,10,4,0,2,5,0,3,2,5,2,2,0,4,1,1,5,0,0,2,1,0,2,7,1,0,0,1,1,0,0,4,0,0,0,3,1788,1,2,"London : printed for T. Cadell, in the Strand, MDCCLXXXVIII. [1788].",London,691,male,1721,1804,FALSE,"to the heir , or be conto pay debts : to B. for life fined to a tingle person , but withoutimpeachmentofwafte; goes to the flock of the Pyots to trustees during b.'s life to who were nearet : and those N support, c. to the heirs of who had"
0677600200_000016,"The lady's law: or, a treatise of feme coverts: containing all the laws and statutes relating to women, ...",,160,0,5,1,1,0,0,0,4,3,0,0,0,0,0,2,4,0,12,0,0,4,8,5,0,30,0,7,6,3,2,1,0,5,4,4,0,3,1,1,6,2,5,5,0,23,0,3,0,0,1737,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer) for H.L. and sold by C. Corbett, and E. Littleton, 1737.",London,286,unknown,,,FALSE,"he hath Power to alien them at his Pleasure, in the mean Time the Husband is possessed of the Chattel Real in her Right. Co. Lit. 300 Marriage is an absolute Gift of Chattels Personal in Possession, whether the Husband survive the Wife or not. Co. Lit. 351 But a"
0997100103_000184,"The accomplish'd conveyancer. Containing the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law relating to all sorts of conveyances of estates, with every Thing belonging to them; proved by many Law Cases and Resolutions thereupon. And also All Manner of Precedents made Use of in Conveyancing, under the Heads of Bargain and Sale, Gifts, Grants, Articles, Special Conditions, Covenants, Exchanges, Deeds of Partition, Partnerships, Special Releases, Letters of Attorney, Licences, Bills of Sale, Charter-Parties of Affreightment, Leases, Settlements of Leases; and also of personal Estates, Annuities, Money in Funds, &c. instead of Jointures of Lands, &c. The second edition, corrected; with additions. By Giles Jacob, Gent. In three volumes.",Giles Jacob,129,0,0,1,1,4,2,0,3,1,3,3,5,0,2,7,1,3,0,6,0,1,0,10,2,13,0,7,1,6,5,4,0,0,6,2,0,1,3,0,0,3,3,2,0,18,0,0,0,0,1750,3,3,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty, for Dan. Browne, at the Black Swan without Temple-Bar; and John Shuckburgh at the Sun, next the Inner-Temple-Gate, Fleet-Street, 1750.",London,643,male,1686,1744,FALSE,"95 Indenlture s Indentures to lead Uses of Fines and Recoveries. An Indenture to lead the Use of a File, on a Purchase. Page 98 An Indenture to lead the Uses of a Fine of a Manor and Lands , to be levied by the Husband by Way of Settlement"
