PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(author),termFreq(bishop),termFreq(brother),termFreq(canon),termFreq(cardin),termFreq(caus),termFreq(church),termFreq(citi),termFreq(clergi),termFreq(council),termFreq(court),termFreq(crown),termFreq(death),termFreq(declar),termFreq(duke),termFreq(emperor),termFreq(empir),termFreq(england),termFreq(faith),termFreq(father),termFreq(follow),termFreq(forc),termFreq(franc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(hand),termFreq(head),termFreq(held),termFreq(holi),termFreq(itali),termFreq(king),termFreq(kingdom),termFreq(latin),termFreq(law),termFreq(legat),termFreq(letter),termFreq(life),termFreq(matter),termFreq(mean),termFreq(oblig),termFreq(order),termFreq(peopl),termFreq(person),termFreq(pope),termFreq(power),termFreq(present),termFreq(princ),termFreq(reason),termFreq(receiv),termFreq(return),termFreq(roman),termFreq(rome),termFreq(sever),termFreq(taken),termFreq(took),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0246000601_000069,"The history of France: from the establishment of that monarchy under Pharamond, to the death of Lewis XIII. Interspers'd with Relations of the most memorable Events which have happened in the several Kingdoms and States of Europe, in the Course of that Period. Written at the request and under the direction of M. Harlay, first President of the Parliament of Paris, by M. Chalons. In two volumes.","Châlons, Vincent-Claude",118,0,0,3,3,0,5,1,3,1,0,5,2,0,1,5,0,15,1,3,1,1,0,0,5,3,0,0,1,0,1,1,3,2,10,3,0,0,3,1,1,0,1,1,2,0,1,15,2,0,1,2,1,0,1,3,1,0,3,0,1752,1,2,"Dublin : printed by George Faulkner in Essex-Street, MDCCLII. [1752].",Dublin,447,male,1642,1694,FALSE,"Saracens, had belonged to the holy see; wherefore the pope demanded it of the emperor , as being a demcfne of the' church ; but that prince not thinking the demand just, gave the island to one of his sons, n: amed Henry, by the title of the kingdom of"
0004300403_000098,"The history of the world, ecclesiastical and civil: from the creation to this present time. With chronological remarks. By the learned M. Chevreau. In five volumes. Done into English by several hands from the fourth and best edition. With a large Alphabetical Index of the principal Matters, Persons, and Places. ...",Urbain Chevreau,90,0,0,5,1,0,3,3,4,2,1,3,0,5,3,2,3,4,2,0,1,3,0,3,2,0,2,0,1,1,0,1,2,1,1,1,0,0,2,0,0,1,2,0,2,2,1,6,1,1,4,1,2,2,0,1,0,1,1,0,1703,3,5,"London : printed for D. Brown, at the Black Swan, without Temple-Bar; T. Benskin, against Lincoln's-Inn Back-Gate; J. Walthoe, in the Middle-Temple Cloysters; J. Hartley, next the King's-Head Tavern, in Holbourn; F. Coggan, in the Inner-Temple Lane, 1703.",London,520,male,1613,1701,FALSE,"twenty Cardinals , and a great number of other Prelates. He was no better used in France by a Council in which were pre. sent Guido Archbishop of Vienna, Hugh Bishop of Greno blc, Godfrey Bishop of Amiens; and the Pope was there blamed for his Condescension to Henry, who"
0091400105_000467,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,125,2,0,6,1,2,0,0,4,4,0,8,0,6,2,1,3,8,2,0,0,1,1,3,7,0,1,0,1,0,1,4,2,6,3,2,0,0,1,1,0,0,1,3,0,0,0,20,1,0,2,1,1,1,2,9,1,0,0,0,1799,5,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,647,male,1747,1822,FALSE,"Lewis of Germany and Charles of France , sur J 0 named the Bald, became competitors for the empire , and the kingdom of Italy . But Charles entering Italy at the head of a powerful army, and proceeding to Rome , whither he was invited by the pope ,"
0365200103_000047,"A compendious history of the church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",Louis Ellies Dupin,113,0,0,4,0,1,4,3,3,1,1,7,0,5,4,4,0,10,3,0,0,4,0,1,1,1,1,0,3,0,0,5,2,3,1,0,0,1,1,0,0,0,0,1,4,1,1,13,0,2,4,0,0,1,2,7,2,0,1,0,1713,3,4,"London : printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, MDCCXIII. [1713].",London,335,male,1657,1719,FALSE,"moll common Study, and the Body of Canon Law , such as it is at present , was then formed and eflablilh'd. The Church was enriched with many monastical and regular Orders . The Exemptions and Immunities of Ecclesiastical Goods and Persons were maintained with vigour by the Biflops, and"
0444800106_000106,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Esq; Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,109,0,0,5,1,0,1,3,5,6,1,8,0,1,2,3,0,9,5,0,0,0,0,1,1,0,3,0,0,2,0,1,1,1,1,4,0,1,2,2,0,1,1,3,6,0,3,7,0,1,2,1,0,1,2,4,2,3,2,0,1748,6,7,"London : printed for the author: and sold by A. Millar, over-against Catharine-Street in the Strand: and by W. Sandby, opposite to St. Dunstan's Church, Fleet-Street, M.DCC.XLVIII. [1748].",London,495,male,1686,1766,FALSE,"his See. Great Numbers of the Romans took the Cross, and not satisfied with defending the Walls marched out in good Order against the Emperor as he approached Rome . A Battle thereupon ensued, in which mary fell on both Sides, but the Romans were in the End driven back"
0010800101_000075,"The history of religion: particularly of the principal denominations of Christians, viz. Of the Church of Rome, --- England, --- Scotland, - Nonjurors, - Lutherans, - Presbyterians, Of the Independents, - Baptists in general, - Quakers, -- Antinomians, - Moravians, - Methodists in general. Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: With a general Account of the various Sectaries of less Note, since the first Establishment of Christianity. Including a general History of the Reformation, and so much of Civil and Ecclesiastical History as is connected with, or necessary to explain and illustrate the Work. To which is added, A Dictionary of the principal Religious Orders, Offices, Days, Rites, Customs, Habits, and Characters; the most important Transactions of Ecclesiastical Councils, Synods, &c. explaining all such ambiguous Words and Phrases as have a proper Connexion with the Subjects of this History. By an impartial hand.",James Murray,103,1,1,3,0,3,1,0,6,1,0,2,1,7,1,1,0,6,0,1,1,2,0,1,1,0,5,0,2,0,3,2,3,2,0,2,0,1,1,1,1,1,1,1,3,0,0,13,5,0,2,0,2,1,0,5,2,1,2,1,1764,1,4,"London : printed for C. Henderson, at the Royal Exchange; W. Nicoll, in St. Paul's Church Yard; and J. Johnson, opposite the Monument, MDCCLXIV. [1764].",London,507,male,1732,1782,FALSE,"expeditions; they retained the sovereign command of those armies by their legates ; and they became, in some sort, lords in chief of all who went to the crusade, not only because the pope exated obedience from them, but because they took the other under their protection till their return"
0118200102_000620,"A new history of ecclesiastical writers: containing an account of the authors of the several books of the Old and New Testament; Of the Lives and Writings of the primitive fathers; An Abridgment and Catalogue of their Works: Their Various Editions, and Censures Determining the Genuine and Spurious. Together with a Judgment upon their Stile and Doctrine. also, a compendious history of the councils; with chronological tables of the whole. Written in French by Lewis Ellies du Pin, Doctor of the Sorbon, and Regins Professor of Divinity at Paris. ...; Containing the Authors that flourished in the Seventh, Eighth, Ninth, Tenth, Eleventh, Twelfth, Thirteenth, and Fourteenth Ages of the Church.",Louis Ellies Dupin,84,0,0,3,1,1,9,1,2,1,1,5,0,2,1,3,1,4,1,1,0,0,2,0,3,1,0,0,1,0,0,2,4,1,3,1,0,0,1,1,0,0,1,2,0,3,0,8,0,0,2,0,2,2,1,3,1,1,0,1,1724,2,3,"Dublin : printed by and for George Grierson, at the Two Bibles in Essex-Street, MDCCXXIV. 1723-[24].",Dublin,818,male,1657,1719,FALSE,"declared to him the Joy he conceived at this Success, he returns him Thanks tor having superseded for a while the Sentence passed against the Archbishop of Sesr, in favour of the Archbishop of Lyons, and desires he would be pleased wholly' to revoke it, observing to him that he"
1376200301_000069,"The history of France: From the establishment of that monarchy under Pharamond, to the death of Lewis XIII. Interspers'd with relations of the most memorable events which have happened in the several kingdoms and states of Europe, in the course of that period. Written at the request and under the direction of M. Harlay, first president of the Parliament of Paris, by M. Chalons.","Châlons, Vincent-Claude",108,0,2,2,0,1,4,0,5,1,0,4,2,1,1,3,0,16,0,3,1,1,1,1,4,1,1,0,1,0,1,1,2,1,6,1,0,0,2,0,0,0,1,2,2,0,1,16,3,1,0,2,2,0,1,3,1,0,3,0,1752,1,2,"London : Printed for R. Dodsley, at Tully's Head in Pallmall, MDCCLII. [1752].",London,568,male,1642,1694,FALSE,"was true, as the pope said, that the emperor was a heretic or infidel, the king was then ready to take up arms against him, and that he would send ambairadors to be informed of it. In effect, the king sent to Frederic to inform him of the pope's proposals,"
1372900203_000097,Elements of general history. Translated from the French of the Abbé Millot. ...,"Cushing, Thomas Croade",89,1,2,2,1,0,3,1,4,1,0,2,3,1,1,2,0,3,1,6,2,1,1,1,5,0,1,0,0,1,0,2,1,1,4,3,0,1,1,1,0,1,0,1,1,1,3,10,1,0,1,2,1,0,2,4,0,1,0,0,1796,3,5,"Salem [Mass.] : Printed and sold by Thomas C. Cushing, MDCCXCVI. [1796].",Salem,383,male,1764,1824,FALSE,"a treadiy tfperflitious age, he law that the ecclesiastical power France . was absurd, and had steadiness to oppose it, without losing the respect due to the church . The temporalities of some bishops were seized, as a punishment for censures and odious interdias, which they had fulminated from views"
1667200109_000679,"The Modern part of the universal history. Compiled from original writers. By the authors of the antient. Which will perfect the work, and render it a complete body of history, from the earliest account of time, to the present. Vol. XIV.",,102,0,1,2,0,2,3,0,2,3,0,6,1,3,1,2,1,10,1,0,0,0,1,0,2,0,2,0,2,0,1,3,1,0,10,4,1,1,1,1,0,0,0,2,2,0,0,10,1,1,3,0,3,4,0,3,3,1,1,0,1763,9,16,"London : Printed for T. Osborne, C. Hitch and L. Hawes, A. Millar, J. Rivington, S. Crowder, B. Law and Co. T. Longman, C. Ware, and S. Bladon, M.DCC.LXIII. [1763].",London,721,unknown,,,FALSE,"a general d gauged to attend the general council at Vienne. He soon after went thither with the cardinals , Councilar and the patriarchs of alexandria and Antioch, and opened the council , at which were prefene,, en z. according to Villanius and Antoninurs, upwards of 300 archbishops and bishops"
