PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(anim),termFreq(appear),termFreq(author),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(christ),termFreq(common),termFreq(confid),termFreq(creatur),termFreq(death),termFreq(degre),termFreq(differ),termFreq(divin),termFreq(end),termFreq(evil),termFreq(father),termFreq(form),termFreq(gener),termFreq(god),termFreq(holi),termFreq(human),termFreq(idea),termFreq(kind),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(moral),termFreq(natur),termFreq(noth),termFreq(observ),termFreq(order),termFreq(origin),termFreq(particular),termFreq(person),termFreq(power),termFreq(principl),termFreq(proper),termFreq(reason),termFreq(religion),termFreq(sens),termFreq(spirit),termFreq(state),termFreq(think),termFreq(true),termFreq(virtu),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0507702200_000001,"Common sense; or, the plain man's answer to the question, whether Christianity be a religion worthy of our choice in this age of reason? In two letters to a deistical friend. By Philalethes.",Philalethes,119,1,0,0,1,1,1,0,1,3,1,0,0,0,1,2,2,1,1,0,3,8,0,3,4,0,1,0,3,1,0,2,2,5,2,1,4,4,7,7,2,0,1,0,2,0,8,2,0,4,10,3,1,2,2,2,3,0,0,4,1796,1,1,"London : printed for the author; and sold by T. Knott, No. 47, Lombard Street; and J. Marsom, No. 187, High Holborn, London, [1796?].",London,30,male,,,FALSE,"- I. -, 1 /. i  COMMON - SENSE ; OR, SHE PLAIN man's ANSWER TO THE QUESTION, WHETHER CHRISTIANITY Be a Religion worthy of our Choice in this AGE of REASON ? TWO LETTERS TO A DEISTICAL FRIEND. BY PHILALETHES. PRINTED FOR THE AUTHOR ; AND SOLD BY"
0045900700_000061,"The providential history of mankind opened, by the key ""of the knowledge of good and evil."" Applied to the Holy Scriptures, by the Rev. James Stronge, A. M. Of the Diocese of Armagh.","Stronge, James",101,1,1,0,0,6,0,1,1,0,2,1,1,0,2,2,2,4,0,2,1,2,0,2,1,0,0,1,7,6,0,4,0,2,1,0,0,0,3,5,0,1,3,1,1,0,0,11,1,2,3,4,0,1,0,4,2,1,1,4,1764,1,1,"London : printed for J. Dodsley, in Pall-Mall, MDCCLXIV. [1764].",London,532,unknown,,,FALSE,"Ihewing or dilcoserig vihat :. is; tor as the principle is the work of in: rn ation ai framnl, every man's imagirrt on mulb, i: to v. rk, and iat is doue by a confident asllrtion of .lithinc, the idea of which is left to us at large io frime"
0849500300_000028,"The immortality of the soul: a poem: from the Latin of Isaac Hawkins Browne: translated by John Lettice, ... To which is added the original poem; with a commentary and annotations, by the translator.",Isaac Hawkins Browne,87,0,2,0,3,2,1,1,0,1,0,3,0,0,3,2,1,1,1,0,1,0,0,2,2,1,0,2,6,2,0,2,2,1,0,2,1,1,4,5,1,4,6,2,0,0,1,2,0,3,1,2,2,1,1,0,1,1,0,4,1795,1,1,"Cambridge : printed by John Ardhdeacon [sic] and John Burges; and sold by F. & C. Rivington; Cadell & Davies; and Clarke, London; J. Deighton, and W.H. Lunn, Cambridge, 1795.",Cambridge,331,male,1705,1760,FALSE,"Decrees, demands the Poet, is this, which thou hast devised for the Almighty Governor of the world ? Recoilet, that, within our own contracted Sphere of Observation , we manifestly discern a variety of Laws and a difference of Orders in the different parts of this lower Creation. Man is"
0046700700_000003,"A view of revealed religion; a sermon, preached at the ordination of the Rev. William Field of Warwick, July 12, 1790. By Joseph Priestley, LL.D. F.R.S. With a charge, delivered at the same time, by the Rev. Thomas Belsham.",Joseph Priestley,103,2,0,1,3,0,0,1,3,0,0,1,0,1,1,3,0,1,1,0,1,13,0,1,0,0,0,3,1,4,1,0,1,6,2,0,1,2,3,8,2,1,3,1,0,5,1,1,1,1,4,1,0,3,0,3,2,0,2,7,1790,1,1,"Birmingham : printed by J. Thompson; and sold by J. Johnson, St. Paul's Church-Yard, London, MDCCXC. [1790].",Birmingham,73,male,1733,1804,TRUE,"find ourselves destitute of power to carry us through revere trials and sufferings in the cause of truth and a good conscience. But an habitual respect to the being, the presence, and the providence of God , extending through this life and the next, is abundantly sufficient for all these"
0907100300_000008,"The doctrines of a trinity and the incarnation of God examined upon the principles of reason and common sense. With a prefatory address to the King, ... By a member of the Church of England from birth and education, ...",Edward Evanson,77,0,0,1,2,2,0,1,3,2,1,1,0,2,2,3,0,1,2,0,0,6,1,1,1,0,0,1,2,1,1,2,2,1,0,0,1,2,4,3,0,0,0,1,1,1,3,1,1,3,2,2,1,1,0,3,1,1,0,3,1772,1,1,"[London] : Printed for the author; and sold by S. Bladon, in Pater-Noster Row, 1772.",London,186,male,1731,1805,FALSE,"world , they D have [ 50o 3 have no more claim to Divinity than yourselves; and as members of a kingdom which is of this world , they have not near so much; and with respect to either, they can have no other means of information, light , and"
0196100400_000004,"The christian a new creature: being the substance of a discourse of Mons. Superville, deliver'd on a New-Year's-Day. With a preface to the reader concerning regeneration. This Subject is very important, and always seasonable, and ought to be thoroughly meditated by People of all Persuasions and Parties; that thereby they may judge what Advance they have made in true Christianity, or what they chiefly ought to labour after, under all external Performances in Religion.",Daniel de Superville,113,1,2,0,1,2,0,1,6,2,0,5,0,0,0,5,1,1,1,1,0,13,10,0,0,0,2,1,1,5,0,2,4,1,1,0,2,1,1,11,2,0,2,1,0,2,2,2,0,0,0,1,3,1,2,3,0,3,1,4,1739,1,1,"London : printed for C. Rivington in St. Paul's Church-Yard, MDCCXXXIX. [1739].",London,31,male,1657,1728,FALSE,"it signifies our being united to him by a real, internal and vital Union, as Members are in the Body , which live by the same Soul; as flou rifling Branches in the Vine, which are animated and nourished by the same Sap, and vegetative Nature . For to all"
0031701100_000008,"Logical tracts, comprising observations and essays illustrative of Mr. Locke's treatise upon the human understanding: With Occasional Remarks on the Writings of the Two Scottish Professors, Reid and Stewart, Upon the Same Subject: and a Preface in Vindication of Mr. Locke, Against the Mistakes and Misrepresentations of the Late Mr. Milner, of Hull, Dr. Horne, Bishop of Norwich; Mr. Kett, Fellow of Trinity College, Oxford; and Dr. Napleton, Canon of Hereford. By Thomas Ludlam, M.A.",Thomas Ludlam,100,0,1,0,2,2,2,0,0,1,0,0,1,3,5,0,2,1,2,3,1,5,1,1,4,0,0,1,3,1,0,0,0,3,1,3,2,2,0,7,2,1,1,1,2,1,9,0,3,3,3,2,1,1,3,0,0,4,2,1,1790,1,1,"Cambridge : printed by M. Watson: for J. Nicholson, Cambridge; sold also by Rivington's, St. Paul's Church Yard, London; Cooke, Oxford; and Gregory, Leicester, [1790?].",Cambridge,107,male,1727,1811,FALSE,"their private families? what is the use of such a.power, and why is it given to the father only, and not to the mother of whom the Bishop says nothing ! Or is it meant only to show thatfaome fjti of 29 power does,, and must exist amongst mankind ."
0812201300_000028,"The main argument of a late book, intitled, Christianity as old as the creation, fairly stated and examined. Or, a short view of that whole controversy.","Atkey, Anthony",107,0,0,2,4,0,2,1,0,2,0,1,1,1,1,3,0,0,0,0,3,3,1,5,0,0,0,2,9,1,2,0,0,4,2,1,1,1,7,16,2,1,0,1,1,2,3,0,0,3,4,1,0,2,1,1,4,1,1,3,1733,1,1,"London : printed for S. Lobb, Bookseller in Bath; C. Rivington in St. Paul's Church-Yard, and J. Roberts in Warwick-Lane, [1733].",London,94,male,1702,1734,FALSE,"God ; but that Sincere Per ibns, who never enjoyed that Advantage, if they acted agreeable to the Light which they had, may be happy. And thus much also may, 1 think , be concluded ficm the want of an Universal Revelation; which, had it been absolutely necessary, would never"
0539400200_000100,"The moral philosopher. In a dialogue between Philalethes a Christian deist, and Theophanes a Christian Jew. In which The Grounds and Reasons of Religion in general, and particularly of Christianity, as distinguish'd from the Religion of Nature; the different Methods of conveying and proposing Moral Truths to the Mind, and the necessary Marks or Criteria on which they must all equally depend; the Nature of positive Laws, Rites and Ceremonies, and how far they are capable of Proof as of standing perpetual Obligation; with many other Matters of the utmost Consequence in Religion, are fairly considered, and debated, and the Arguments on both Sides impartially represented.",Thomas Morgan,112,0,3,0,1,0,0,0,2,1,0,1,0,0,2,1,9,0,0,0,2,2,0,2,0,0,2,4,1,2,1,0,1,2,1,3,8,5,11,5,3,1,1,1,0,2,0,2,1,4,16,1,3,0,0,2,1,1,1,0,1737,1,1,"London : printed for the author, MDCCXXXVII. [1737].",London,462,male,,1743,FALSE,"Moment, when the Spirit , as it is supposed, might have worked upon them effectually and instantaneously, and at once have brought them out of Darkness into Light , before they had been aware of it. They look upon Ordinances, and Means of Grace, as the Food and Physic sick"
0532601900_000032,"An essay on religion. Demonstrating, that God's being, and existing as a Trinity in unity, and his attributes, are self-evident, by the universal and concurrent Witness of his Works; and that his Attributes are the only infallible Test of Truth. Or, Plain Reasons for believing the Great Misteries of the True Christian Religion; leaving no Room for any Doubt of the Truth, nor any Plea for implicit Faith. Shewing the Fallibility of Human Reason, and the Certainty of Divine Revelation; God's general and particular Providence; Predestination and Free Will; Man's Fall, Redemption, and final Perfection: Asserting, That the Want of trying our Reason by the Test of Truth, is the Cause of misunderstanding the Scriptures, and of all Error in Religion: And proving, That by that Test, we may clearly distinguish Truth from Error; and be certain in all Things, that God requires us to learn, believe, and practice, for our Temporal and Eternal Happiness. Introduc'd by a necessary dissertation on thought, and the wrong notion of free-thinking.",Philoveritas,103,0,2,3,0,0,0,0,0,0,0,2,3,1,1,1,1,6,0,2,1,10,2,1,1,0,2,1,0,4,0,1,5,6,0,0,1,2,2,6,2,0,0,3,1,0,3,0,0,1,2,3,2,5,0,7,3,0,2,2,1737,1,1,"London : printed for J. Roberts, at the Oxford Arms, in Warwick-Lane; and sold at the pamphlet shops in London and Westminster, [1737].",London,154,unknown,,,FALSE,"the TRUE Value of Good. But rational Creatures being capable of knowing God , they could never have been fatisfy'd in and with his Dispensations, had they suffered Evil in their original Nature , and not as a Penalty for the Milthfe of' their Freewill. And though the Offqpring of"
1466600100_000143,"Sermons upon the following subjects, viz. I. Eternal life the reward of patient continuance in well doing. II. Moral perfection the ultimate intention of all the works and ways of God. III. The nature of enthusiasm. IV. Christianity the spirit of power. V. Christianity the spirit of love. VI. Christianity the spirit of wisdom, and of a sound mind. VII. The nature and faculties of the human soul; and particularly the operations of the understanding. VIII. Of the will, of liberty, and particularly of moral liberty. IX. Of the affections. X. Of reason and conscience. XI. The loss of the soul, and the torments it may suffer in a future state. XII. The loss of the soul opposed to temporal acquisitions. XIII. The happiness of the righteous. XIV. The greatness of God, and of his works. XV. The dissolution of the material system, and the final consummation of all things. XVI. Communion with God explained. XVII. Of the reverence a man owes to himself. XVIII. Of friendship. By the late Rev. James Duchal, D.D.",James Duchal,93,1,3,2,1,0,0,2,0,0,2,4,0,2,0,2,1,1,0,3,0,4,2,2,2,6,1,0,1,2,0,0,0,0,1,6,2,1,2,3,0,1,4,3,2,0,5,2,0,2,0,1,1,3,4,0,0,2,1,3,1767,1,1,"Dublin : printed by T. Ewing in Dame-Street, MDCCLXVII. [1767].",Dublin,1507,male,1697,1761,FALSE,"an original intelligent cause , to which we ascribe all of them. But yet, when we confider that the intelligent prin Q. 4 ciple SER m.ciple within us, which is the subject of IX all our perceptions, the agent that thinks , '"" and the cause of all voluntary aations,"
