PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(apostl),termFreq(appear),termFreq(believ),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(confid),termFreq(coven),termFreq(dead),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(foul),termFreq(glori),termFreq(god),termFreq(gospel),termFreq(grace),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(know),termFreq(law),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mean),termFreq(natur),termFreq(noth),termFreq(peopl),termFreq(person),termFreq(power),termFreq(preach),termFreq(promis),termFreq(receiv),termFreq(righteou),termFreq(salvat),termFreq(save),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(soul),termFreq(speak),termFreq(spirit),termFreq(think),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1100301500_000002,The sum of Christianity in a confession of faith by Daniel Wilcox. Deliver'd at his ordination to the ministry. September 15. 1703. Now Publish'd at the Request of many.,"Wilcox, Daniel",119,3,3,1,8,1,3,5,0,1,0,1,1,3,2,1,2,2,2,1,0,2,12,2,2,2,1,3,4,1,1,1,4,1,1,1,1,2,0,0,1,1,1,4,0,0,1,2,2,3,4,2,1,5,0,2,0,2,1,6,1706,1,1,"London : printed for John Clark, at the Bible and Crown in the Old Change, 1706.",London,29,male,,,FALSE,"in the Couniels of .iheaven, God so loved the World , that he sent his eternal only begot i ~ B. 3· ttea (v) ten Son, promised in the beginning, to accomplish our Redemption. As twas requisite that the same Nature that Sinned should also susser, and the Children to"
1130601400_000005,"A sermon preached at the ordination of the Reverend Mr. Joseph Saunders, in the Old Meeting-House, Cambridge, October 13, 1768. By John Conder, D.D. Together with an introductory discourse, by Thomas Towle, B. D. Mr. Saunders's confession of faith, and a charge delivered t him by Edward Hitchin, B. D. Published at the unanimous Request of the Church.",John Conder,116,1,1,0,9,1,1,7,0,2,0,4,1,2,3,0,1,4,1,2,0,1,14,2,1,1,1,3,3,3,0,2,3,0,1,2,0,5,0,2,3,2,1,0,1,2,2,2,2,2,2,4,0,3,0,1,2,2,0,1,1768,1,1,"London : printed for E. and C. Dilly, in the Poultry, MDCCLXVIII. [1768].",London,71,male,1714,1781,FALSE,"shut up in the dark dungeon of despair, without the least glimmer of hope, it might justly have been expeeted, that, the great God would have for ever left the whole apostate, guilty race of Adam. But, "" his ways and thoughts are not ours : "" and therefore, XV"
0767500902_000009,"Village sermons on the following important subjects, viz. The Cries of the Son of God. The Gift and Office of the Holy Ghost. The Danger of Infidelity; or, the Necessity of a living Faith in Christ. Naaman cleansed. The bloody Issue healed. St. Paul's Conversion. The best Foundation. The good Samaritan. Simon and Mary. The Marriage of Isaac. The two Covenants. The Benefits of the New Testament. The Divinity of Christ. The Sower. The lost Sheep, Piece of Silver, and Prodigal Son. The Syrophoenician. The Shadows of Christ. The Fall and Redemption. By John Cennick. ...",John Cennick,130,1,0,0,8,3,1,5,1,1,0,0,2,2,3,1,0,1,7,3,1,0,9,1,0,0,6,2,4,7,2,1,4,1,3,3,3,1,1,2,0,1,0,1,0,0,1,3,5,2,6,4,1,4,0,3,2,1,3,3,1795,2,2,"London : printed and sold by V. Griffiths, No. I, Paternoster-Row, [1795?].",London,371,male,1718,1755,TRUE,"in the mire; "" and this lalf fate is worse than thefirft. Orperhapstheyfatisfythemfelvesin abitaining from outward sins , without coming to Christ crucified and obtaining pardon and a new heart from him, and To nothing farther is the fruit but a moral life ; and lill, though they have a"
0661800100_000809,"The new and complete book of martyrs, or, an universal history of martyrdom: being Fox's Book of martyrs, revised and corrected with Additions and great Improvements. Containing Not only a New, Copious, Complete, Universal and Authentic Account of the Lives, Actions, Characters, Trials, Religious Principles, Sufferings, Tortures, and Triumphant Deaths, of the English Protestant Martyrs, In the Reign of Queen Mary the First. But also a Genuine, Full, and Circumstantial History of all the many dreadful and cruel Persecutions against the Church of Christ, in all Parts of the World, by Papists, Pagans, Jews, Turks, and Others, From the very Earliest Ages of the Church, to the Present Period. Comprehending the Life, Meritorious Sufferings, and Martyrdom of our Blessed Lord and Saviour Jesus Christ, with the Martyrdoms of the Apostles, Evangelists, Disciples, and other Primitive Martyrs. - And including the Ten Great Persecutions, under the Roman Emperors, and many other Particulars under the following General Heads: An Ecclesiastical History of the Persecutions in Persia, under Sapores: and the Persecutions under the Arian Vandals. - The horried Persecutions under the Papacy; particularly the Martyrdoms of the Waldenses and Albigenses in France. - The Persecutions in Germany and Poland. - The Cruelties exercised in Bohemia and Lusatia. - The Martyrdoms in Italy. - The shocking Barbarities practised by the Inquisitions of Spain, Portugal, Goa, &c. and the Popish Persecutions of the Protestants during the Massacre of Paris. - A full Account of all the English Martyrdoms, particularly those in the Times of King Henry Viii. and Queen Mary I. wherein are amply displayed all the Butcheries, Tortures, and Cruelties exercised by the Roman Catholics against the Protestants, in the Reign of that tyrannical King and bloody Queen. - The Persecutions of the Quakers, &c. - Persecutions in the West of England by Judge Jeffreys. - Persecutions in Holland, Flanders, Scotland, &c. - The bloody Irish Massacre. - The great Spanish Invasion. - The dreadful Fire of London. - The shocking Gunpowder Plot. - The horrid Conspiracies in 1678. - The barbarous Murder of Sir Edmundbury Godfrey, and the Designs of Perkins, Friend, and Fenwick, for the Re-Establishment of Popery, and the Extirpation of Protestantism. - The Martyrdoms of the Missionaries in China. - The Persecutions in the East-Indies. - The Barbarities exercised in America. - The Cruelties practised on the Christians of Abyssinia and Georgia. - The late Persecutions in France against the Calas Family. - Also the final Establishment of the Reformed Religion in the various Protestant Countries. - With a great Number of other Cruelties exercised against the Christian Martyrs, not related in any other Work of the Kind. Together with the Martyrdoms of The Faithful and Virtuous in the first Ages of the World; the Persecutions of the Maccabees by the Greeks; of the Hebrews by the Egyptians; and of the Children of Israel by the Philistiries, and other barbarous Nations. Throughout this Work will be Interspersed Accounts of several singular Judgments against Persecutors, a great Variety of Original Anecdotes, the Letters which passed between the Martyrs, Letters from Bishop Bonner, and other Papists, to the Magistrates, &c. concerning the Methods of Indictment and Treatment, Translations of Popish Bulls, and other Deeds of Destruction, levelled against the Protellants, in England, Scotland, Ireland, &c. &c. suitable Notes and practical Reflections adapted to the various Subjects, and many curious Lives and Memoirs; to which will be added; an Account of the Life and Death of the original Author, the Rev. Mr. John Fox. The Whole Forming At Once A General Christian Martyrology, and Complete History of Persecutions. A Work Calculated to promote the Protestant Religion, and expel Romish Superstition, and by giving a pious and Christian Turn to the Mind, be general Use and Advantage to Mankind. The whole originally composed by the Rev. Mr. John Fox, M. A. formerly of Magdalen College, Oxford, And Prebendary in the Church of Balisbury; And now revised, corrected and improved, with many necessary additional Articles relating to the Acts and Monuments of the Church, not to be found in any other Publication of this Sort, and written in a clear intelligible Stile, free from that Obscurity of Language, and Tediousness of Diction, as well as that impertect Brevity and Coheiseness, which have been so much complained of in former Works of this kind. By Paul Wright, D. D. F. S. A. Vicar of Oakley and Rector of Snoreham in Essex. late of Pembroke-Hall, Cambridge; and Author of the Complete British Family Bible, and of the New and Complete Life of Our Blessed Lord and Saviour Jesus Christ, elegantly printed in Folio; both of which Works (with the inimitable Sets of fine Copper-Plates) have met with universal Approbation, as the best and most perfectly complete Works of the Kind, for the Use of all Christian Families. Embellished with a great variety of copper-plates, representing the various Modes of cruelly torturing the Christian Martyrs for their Constancy.",John Foxe,159,3,0,3,5,1,7,12,3,2,1,0,5,1,1,0,1,1,6,5,0,5,18,1,2,2,3,2,4,8,0,0,6,9,4,0,0,2,0,2,0,3,2,0,0,1,1,0,0,2,2,3,0,7,0,4,1,4,3,1,1800,1,1,"London : printed for Alex. Hogg & Co. at the King's-Arms, No. 16, Paternoster-Row. By M. Allen, Paternoster-Row, [1800?].",London,793,male,1516,1587,FALSE,"to the community: and here we are led to confider their tenets, with refpece to the grand articles of the Christian faith , and their discipline concerning church communion. They profess faith in God , by his only begotten Son Jesus Christ , as being their light and lite, as"
0018000200_000674,"A new universal history of the religious rites, ceremonies, and customs of the whole world: or, a complete and impartial view of all the religions in the various nations of the universe. Both Antient and Modern, from the Creation down to the present Time. Containing, besides many other Curious, Instructive and Entertaining Particulars, a full and authentic Account of the Rise and Progress, including the antient and present State of Religion amongst the Jews, Egyptians, Carthagenians, Druids, Bramins, Assyrians, Babylonians, Medes, Persians, Chinese, Japanese, Africans, and all the other Idolatrous and Pagan Nations, Mahometans, Greeks, Christians, Romish Church, with the various Orders of her Communion, &c. &c. Together with a very particular History of the Protestant or Reformed Churches, and of all the Sects and Denominations in Great-Britain and Ireland, and the Colonies abroad, viz. the Church of England, -Scotland, Lutherans, Moravians, Dissenters, Presbyterians, Calvinists, Arminians, Independents, Baptists, Arians, Socinians, Quakers, Nonjurors, Sandimanians, Antinomians, &c. Comprehending also a genuine and circumstantial Description of all the most material lesser Sects, Parties, Heresies, and Religious Opinions, since the first Promulgation of Christianity; and likewise the Ecclesiastical Laws and History concerning every Religion. To which are added the most important Transactions of Church Councils, Assemblies, Synods, &c. &c. I. An Account of those Persons by whom the various Modes of Worship were established, and the Means used in propagating them. II. The most satisfactory Information concerning their Tenets, Creeds, Sentiments and Doctrines, with respect to religious, moral and civil Obligations. III. The Causes which promoted their Prevalence in the World; the Methods taken for their Support; and the Reasons why many of them have sunk into Obscurity. IV. Their general Consequences and Effects in operating on the Minds and Conduct of Men. V. The Ceramonies and Discipline in their different Temples, Cathedrals, Churches, Mosques, Sanctuaries, and other Places of Worship. VI. Their Forms, Ceremonies and Customs in Marriage, Births, Funerals, &c. Vii. A Display of the several Sacrifices, and the Dresses of the Priests and Religious Orders; with an Account of the early Attachment of Mankind to Idolatry. Viii. An exact Summary of the different Objects of Adoration, Deities and Idols; Times and Places of religious Observance, Fasts and Festivals; with a Survey of the Utensils employed at Altars, in Divine Offices, &c. and whatever else is worthy of Notice respecting the origin or present State of every sacred Institution. The Whole being the Result of many Years study, and comprising not only all that is valuable on the Subject of Religion, but also a Variety of new and interesting Matter relative to the Manners and Customs of all Nations, not to be found in any other Work. Designed to Form a Complete Family Library. Including The Whole Body of Divinity, According to the different religious Usages in every Part of the known World. Calculated for Christians of all Denominations; And illustrated by Quotations from the most celebrated Authors. By William Hurd, D.D. Embellished with a set of numerous folio copper-plates, more elegantly designed and engraved than any usually given with periodical Publications. Messrs. Walker, Collyer, Taylor, &c. have united their successful Endeavours in finishing them in the highest Taste: And to make the Whole as superb and masterly as possible, a great number of Ornamental Borders are added by an eminent Hand.","Hurd, William",157,2,0,3,5,1,8,11,2,2,1,0,5,0,1,0,1,1,6,5,0,5,17,1,2,2,3,3,4,7,0,0,7,9,4,0,0,3,0,4,0,3,3,0,0,2,1,0,0,2,2,3,0,6,0,3,1,4,1,1,1780,1,1,"London : printed for Alexander Hogg, at No. 16, Pater-Noster Row, [1780?].",London,790,male,,,FALSE,"honest industry. As the whole colony was the property of Mr. Penn, so he invited people of all denominations to come and settle with him. An universal liberty of conscience took place; and in this new colony the natural rights of mankind were, for the first time, established. These Friends"
0922300800_000024,"An account of the life and death of Mr. Matthew Henry, Minister of the Gospel at Chester, Who died June 22. 1714, in the 52d Year of his Age. Chiefly collected out of his own papers, by the Rev. Mr William Tong.",William Tong,137,2,1,0,8,0,3,10,0,5,0,3,0,4,1,1,1,3,5,2,0,1,11,2,2,0,0,1,8,8,0,2,4,0,3,1,0,4,0,0,2,0,1,2,1,1,1,2,1,3,8,3,1,3,0,4,0,0,4,4,1794,1,1,"Berwick : printed for W. Phorson; and B. Law and Son, Ave-Maria-Lane, London, 1794.",Berwick-upon-Tweed,255,male,1662,1727,FALSE,"creatures, and all their ations, iccording to the wife, holy , and eternal counsel of his own ""ill to the praise and glory of his own name. - "" 3 I believe that God , as the Governor of the world , Math given alaw to his ratiopal creatures, according"
1221900600_000002,"Three sermons preached in Swallow-Street Chapel; the first, on January 10, 1770, at the admission of the Rev. Doctor John Trotter to the pastoral charge of the Scots congregation which meets in that place. By the Rev. William Langford, D.D. The second, On the Lord's-Day Morning, immediately following. By the Rev. Thomas Davidson, M.A. and the last, In the Afternoon of that Day. By the Rev. John Trotter, D.D.","Trotter, John",116,1,2,0,4,1,1,11,1,2,1,1,0,0,2,0,0,1,7,2,0,1,7,5,3,2,4,1,5,2,0,1,2,2,0,6,1,0,0,2,0,2,6,1,1,0,1,1,1,2,2,2,1,3,0,0,2,5,2,3,1770,1,1,"London : printed for E. and C. Dilly, (no 22.) in the Poultry, M.DCC.LXX. [1770].",London,55,male,1726,1788,FALSE,"their hands had handled of the word of life ; we testify the things which they reported, and which we have believed and rested lupon for our salvation ; and though we have not that immediate and extraordinary call and mission which the first preachers of christianity were honoured with,"
0125300500_000003,"The first principles of Christianity. Being the substance of a discourse delivered in the north of Ireland, in the year 1752. By John Cennick.",John Cennick,120,0,1,0,10,2,0,6,2,0,1,1,0,4,2,1,1,1,12,3,1,2,8,0,2,0,0,4,4,5,1,3,1,2,2,5,2,0,0,1,0,1,0,1,2,0,3,3,3,1,2,1,2,2,0,4,1,1,0,3,1791,1,1,"London : printed and sold by M. Trapp, 1791.",London,35,male,1718,1755,TRUE,"asserted, than that "" whosoever believeth in Jcfus Christ , shall be saved ; "" and this experience proves TRUE , for none have perished finally who believed ; they, already, have a heaven upon earth ; it is the very means whereby they escape the curse of the law"
0683200104_000081,"The works of the long-mournful and sorely-distressed Isaac Penington, Whom The Lord, in his tender Mercy, at length visited and relieved by the Ministry of that despised People called Quakers; and in the Springings of that Light, Life, and Holy Power in him, which they had truly and faithfully testified of, and directed his Mind to, were these Things written; and Are now published as a thankful Testimony of the Goodness of the Lord unto him, and for the Benefit of others. ...",Isaac Penington,140,3,2,0,2,2,0,4,0,0,1,9,0,1,0,1,0,1,6,1,2,0,15,2,2,0,1,0,1,1,3,3,8,3,0,5,0,5,0,1,0,6,0,0,1,1,2,3,0,2,6,4,1,10,0,3,2,2,11,1,1784,4,4,"London : printed and sold by James Phillips, George-Yard, Lombard-Street, M.DCC.LXXXIV. [1784].",London,538,male,1616,1679,FALSE,"well as an old (and the new is not like the old); and a walking with God in the new covenant ; and every step in it his life justifies, and every step out of it his life condemns; and the Mediator of the new covenant . jutifies it according"
0651300600_000010,"A specimen of plain and practical catechising; by John Mcnaight, A. M. Minister of Buitle.","McNaight, John           1783",127,0,2,1,0,5,0,12,1,0,0,3,0,3,2,3,0,3,2,4,0,0,9,4,3,3,0,3,2,7,2,1,4,0,0,1,5,0,0,3,0,4,3,0,1,2,6,2,2,1,7,0,0,1,3,2,0,2,2,1,1783,1,1,"Dumfries : printed by Robert Jackson, M,DCC,LXXXIII. [1783].",Dumfries,58,unknown,,,FALSE,"Palt. TRUE , and the easier for your memory: and for a larger explication, I refer you to your Confession of Faith and Catechisms. And in the mean time, a few of many scrip. tures that prove what is now said, will be no bad enlargement for you. Our Lord"
