PassageID,Title,Author,Total termFreq,termFreq(author),termFreq(axiom),termFreq(book),termFreq(breviti),termFreq(celebr),termFreq(comprehens),termFreq(contain),termFreq(contract),termFreq(curios),termFreq(digest),termFreq(discern),termFreq(discov),termFreq(discoveri),termFreq(doctrin),termFreq(establish),termFreq(fact),termFreq(fame),termFreq(few),termFreq(foundat),termFreq(gener),termFreq(geniu),termFreq(grandeur),termFreq(human),termFreq(idea),termFreq(infinit),termFreq(intellig),termFreq(judgment),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(littl),termFreq(magnific),termFreq(mankind),termFreq(maxim),termFreq(multitud),termFreq(natur),termFreq(notion),termFreq(number),termFreq(opinion),termFreq(order),termFreq(perceiv),termFreq(philosophi),termFreq(precept),termFreq(principl),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(reduc),termFreq(refin),termFreq(sentenc),termFreq(set),termFreq(short),termFreq(simpl),termFreq(small),termFreq(specul),termFreq(studi),termFreq(subject),termFreq(sublim),termFreq(suprem),termFreq(system),termFreq(tenet),termFreq(theorem),termFreq(truth),termFreq(univers),termFreq(varieti),termFreq(variou),termFreq(view),termFreq(volum),termFreq(wonder),termFreq(word),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0508700102_000057,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,49,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,4,0,1,0,0,3,1,0,3,0,2,1,2,0,0,0,1,0,0,2,0,1,3,1,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,1,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,FALSE,"the scope of which Dr Reid professes his inability to discover . One sentence , in particular, on which he has animadvertedc philosophy ; in particular, of the obvious tendency which it has to withdraw the attention from that unity of design which with some severity, is, in my opinion"
0557200101_000071,"Essays moral and literary. By Vicesimus Knox, ... In three volumes. ...",Vicesimus Knox,66,0,1,0,0,0,1,0,0,0,0,0,1,0,3,2,0,1,1,0,1,1,1,2,3,0,0,0,1,0,2,3,3,0,2,0,1,4,1,1,5,1,0,3,1,1,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,2,2,1793,1,3,"London : printed for Charles Dilly, 1793.",London,501,male,1752,1821,TRUE,"it, were under a necessity of flliling; and to smile, if not to laugh, was allowed to be graceful by the great Iciflator of decorum. 7 The The speculative opinions of Ptudious men, however erroneous, often afford them innocent amusement in their closets, without diffusing any malignant influence on the"
0386000501_000071,"Essays moral and literary. By Vicesimus Knox, M.A.",Vicesimus Knox,63,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,2,1,0,1,1,1,2,3,0,0,0,1,0,1,3,3,0,2,0,1,3,1,1,4,1,0,3,1,2,3,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,2,2,1784,1,2,"London : printed for Charles Dilly, 1784.",London,372,male,1752,1821,TRUE,"who are agitated in the busy walk of life, by the common pursuits ofintereit and pleasure. The metaphysician thinks his labours of great importance to the happiness of mankind , and would be not a little mortified to find, that in the great numbers who compose the community to which"
1175500200_000001,An essay on the investigation of the first principles of nature: together with the application thereof to solve the phænomena of the physical system. Part I. Containing a new philosophical theory; ... By Felix O'Gallagher.,"O'Gallagher, Felix",80,1,4,3,0,0,0,1,0,0,1,0,5,5,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,14,0,0,0,1,0,5,0,8,0,0,1,2,0,0,1,0,1,0,0,2,1,1,1,3,0,1,3,3,0,2,0,0,0,0,0,1,0,1784,1,1,"London : printed for J. Murray, 1784.",London,400,unknown,,,FALSE,"A N E S S A Y ON THE INVESTIGATION OF THE FIRST PRINCIPLES OF NATURE : TOGETHER WITH THE APPLICATION THEREOF TO SOLVE THE PHENOMENA OF THE PHYSICAL SYSTEM . P A R T I. CONTAINING . A NEW PHILOSOPHICAL THEORY; WHEREBY Firt Principles , with their Material Substances"
0133300202_000072,"The history of ancient Greece, its colonies, and conquests; from the earliest accounts till the division of the Macedonian Empire in the east Including the History of Literature, Philosophy, and the Fine Arts. By John Gillies, L L. D. F. A. S.",John Gillies,59,3,0,0,0,0,1,0,0,1,0,0,4,2,0,1,0,1,0,0,2,1,0,1,0,0,1,0,1,1,1,1,0,0,0,2,0,3,0,0,1,0,0,3,0,3,0,1,0,0,1,2,0,0,1,0,1,0,1,1,0,1,1,0,2,3,0,1,0,0,0,0,3,5,1,1790,2,5,"Basil : printed for J. J. Tourneisen; and J. L. Legrand, MDCCXC. [1790].",Basel,408,male,1747,1836,FALSE,"have preceded any systematic account of morality. Each of the seven sages, as they were called, had his favourite maxims "", which he engraved in temples and other places of public resort; but at this distance of time it is impolfible, amidst the differences of authors , to discover what"
0707101400_000003,"An essay tending to prove that Christianity has promoted the happiness of man, as an intellectual, moral and social being.",,54,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,2,2,2,0,0,1,1,0,1,0,4,0,1,6,1,0,0,1,0,1,2,4,0,0,0,1,0,0,0,0,2,0,2,0,0,2,1,0,1,0,0,3,1,1,2,1,0,0,0,1,0,1800,1,1,"Cambridge : printed by M. Watson; Angel Inn Yard. And sold by J. Deighton, J. Nicholson, and O. Gregory: by Mathews, Strand; Button, Paternoster-Row, and W. H. Lunn, Oxford-Street, London, 1800.",Cambridge,96,unknown,,,FALSE,"intelligences , and iis imlaginary principles of good and evil. For as the ( 13) the human foul.e, xperienced. the agency of the one or the other, it would.incline to superstition or enthusiasm; and we have already seen that neither superstition nor enthufiafin, are of a nature to confirm and"
0508700102_000099,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,63,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5,0,0,2,2,0,0,0,0,1,5,0,1,0,0,0,0,9,0,1,0,1,1,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,2,1,1,1,0,0,1,1,0,3,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,FALSE,"with what particular combinations of them the effect is conjoined. If there be no possibility of making this separation, and if;  at the same time, wve wislh to obtain the same result, the only method of insuring success is to com bine together all the various circumstances which were"
1124300101_000174,"The history of ancient Greece, its colonies and conquests; from the earliest accounts, till the division of the Macedonian Empire in the East. ... In three volumes. ... By John Gillies, LL.D.",John Gillies,59,3,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,1,0,0,2,1,0,1,0,1,1,0,0,2,1,1,0,0,0,2,0,3,0,0,1,0,0,2,1,3,0,2,0,0,1,3,0,0,1,0,1,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0,3,6,1,1786,1,3,"Dublin : printed for Messrs. Burnet, Colles, Moncrieffe, Exshaw, White, [and 6 others in Dublin], 1786.",Dublin,608,male,1747,1836,FALSE,"we have already proved 37) their lively fancy had often hurried them. The same romantic cast of imagination which had animated woods and winds, mountains and rivers, which had changed heroes into gods, and gods into frail men, might endow animals with reason , and even speech, The gno The"
0363800203_000041,The works of David Mallet Esq; in three volumes.,David Mallet,76,6,0,0,0,1,1,0,0,1,0,0,2,0,2,0,0,1,2,1,3,0,0,2,0,1,0,0,0,3,1,4,1,0,4,0,1,5,1,0,2,1,0,6,0,1,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,3,1,1,0,0,0,1,3,0,3,1,1759,3,3,"London : printed for A. Millar, and P. Vaillant, in the Strand, MDCCLIX. [1759].",London,236,male,1705,1765,FALSE,"unexampled severity, the miserable Author is folemnlyinterdieted from transcribing, even from reading , his own compositions! WE might from hence be led to imagine, that when the authority of an ancient philosopher was held so sacred, philosophy itself must have been thoroughly underfood, and cultivated with uncommon success. But the"
0106700301_000071,"Essays moral and literary. By Vicesimus Knox, M. A. Late Fellow of St. John's College, Oxford. In three volumes. ...",Vicesimus Knox,60,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,1,0,1,1,1,2,3,0,0,0,1,0,2,3,2,0,1,0,1,3,1,0,4,1,0,3,1,2,3,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,2,2,1787,1,3,"London : printed for Charles Dilly, MDCCLXXXVII. [1787].",London,501,male,1752,1821,TRUE,"midnight oil, a very small part knows that there ever existed such men as Berkeley or Hume; and that, if they knew, and could understand their works , they would prefer the opportunity of earning a penny, or enjoying a good dinner, to all the advantage that ever could be"
