PassageID,Title,Author,Total termFreq,termFreq(aaron),termFreq(accord),termFreq(behold),termFreq(bring),termFreq(brought),termFreq(children),termFreq(citi),termFreq(command),termFreq(countri),termFreq(deliv),termFreq(earth),termFreq(eat),termFreq(egypt),termFreq(evil),termFreq(face),termFreq(faith),termFreq(father),termFreq(fear),termFreq(forth),termFreq(gave),termFreq(god),termFreq(hall),termFreq(hand),termFreq(hear),termFreq(heard),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(hous),termFreq(israel),termFreq(jacob),termFreq(judah),termFreq(king),termFreq(know),termFreq(laid),termFreq(land),termFreq(law),termFreq(left),termFreq(mose),termFreq(nation),termFreq(offer),termFreq(pass),termFreq(peac),termFreq(peopl),termFreq(pharaoh),termFreq(power),termFreq(priest),termFreq(prophet),termFreq(return),termFreq(river),termFreq(sea),termFreq(servant),termFreq(set),termFreq(took),termFreq(tribe),termFreq(turn),termFreq(voic),termFreq(water),termFreq(word),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0275801200_000006,"Short histories transcribed from the Holy Scriptures; intended for the use, entertainment, and benefit of children, and by an easy step to introduce young minds to an early acquaintance with the Bible. By a lady.",Lady,132,7,0,2,2,3,6,0,4,1,0,1,0,6,0,0,0,2,1,1,1,11,0,0,0,3,1,0,1,1,6,2,0,5,3,1,3,1,0,19,0,0,0,0,8,12,1,2,0,1,3,0,0,1,1,0,2,2,5,0,0,1787,1,1,"London : printed and sold by John Marshall and Co. at No. 4. Aldermary Church Yard, in Bow-Lane, MDCCLXXXVII. [1787].",London,107,female,,,FALSE,"and the land was filled with them. And the king said unto his people , Let us deal wisely with them: set taskmasters over them: afflit them with hard burdens, and make their lives bitter with hard bondage. This will prevent their multiplying and growing powerful ; lest they join"
0065200800_000106,"The family and school New Testament. With notes. Also an introductory account of the Jews, and various historical events preceding the nativity of Jesus Christ.",,110,1,1,2,1,3,3,0,0,0,3,0,0,12,2,0,0,12,0,1,3,12,1,3,1,2,2,1,1,3,3,6,0,2,0,1,4,0,0,5,1,2,0,0,2,3,0,0,2,0,0,1,0,1,2,0,2,1,0,1,1,1800,1,1,"London : printed for the booksellers, [1800?].",London,492,unknown,,,FALSE,"that they should bring them into bondage, and entreat them evil four hundred years. 7 And the nation to whom they shall be in bondage will I judge, said God : and after that ( hall they come forth , and serve me in this place. 8 And he gave"
1225900600_000097,"The new Testament of our Lord and Saviour Jesus Christ, Newly Translated out of the Original Greek, and With the former translations diligently Compared and Revised. By His Majesties special Command. Appointed to be Read in Churches.",,110,1,1,2,1,2,3,0,0,0,3,0,0,11,2,0,0,11,0,1,3,13,0,3,1,2,2,1,0,3,3,6,0,2,0,1,4,0,0,9,1,2,0,0,2,3,0,0,2,0,0,1,0,1,2,0,2,1,0,1,1,1721,1,1,"London : printed by John Baskett, Printer to the Kings most Excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd, 1721.",London,482,unknown,,,FALSE,"strange land , and that they should bring them into bondage, and entreat them evil four hundred years. 7 And the nation to whom they shall be in bondage, will I judge, said God : and after that shall they come forth , and serve me in this place. 8"
1617300100_000529,"The Holy Bible, Containing the Old testament and the New: translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,98,0,0,1,2,2,4,3,1,1,1,1,1,2,4,2,0,1,1,1,0,7,11,1,1,0,0,2,2,3,3,1,2,1,1,1,10,1,0,0,2,2,3,0,3,0,0,2,1,0,1,0,1,1,0,0,0,0,4,2,1,1790,1,1,"Cambridge : Printed by J. Archdeacon printer to the University; and sold by John, Francis & Charles Rivington, Benjamin White, and Charles Dilly, in London; and J. & J. Merrill, in Cambridge, 1790.",Cambridge,1193,unknown,,,FALSE,"fame, neither have seen my glory; and they ( hall declare my glory among the Gentiles. z0' And they ( hall bring all your brethren for an offering unto the LORD out of all nations upon horses, and in chariots, and in litters, and upon mule, and upon swift beasts,"
0616200300_000456,"An exposition on the books of the New Testament, extracted from the writings of the best authors, antient and modern; in which difficult Texts are explained, many Mis-Translations rectify'd, and seeming Contradictions reconciled. The Whole render'd of singular Advantage to Persons of every Religion and Capacity; and designed to Promote the Knowledge of the Scriptures and the Practice of sincere Piety and Virtue. By John Marchant, Gent.","Marchant, John           18th Cent",114,1,2,3,0,3,3,0,0,0,2,1,0,6,1,1,0,11,0,0,1,17,1,7,1,2,4,4,2,4,3,2,0,1,0,1,3,1,0,9,0,1,0,0,2,1,0,0,4,0,0,0,0,1,2,0,2,2,0,1,1,1743,1,1,"London : printed for the author, and sold by the booksellers in town and country, MDCCXLIII. [1743].",London,902,unknown,,,FALSE,"that Abraham bought for a sum of money of the sons of Emmor the father of Sy chem. But when the time of the promise drew nigh, which God had sworn to Abraham, the people grew and multiplied in Egypt , Till another king arose, which knew not Joseph. The"
0065700102_000392,"The holy Bible, containing the Old and New Testaments, Translated Out Of The Original Tongues, And With The Former Translations Diligently Compared And Revised. With select notes. Vol. I. Appointed to be Read in Churches.",,107,1,1,2,1,3,3,0,0,0,3,0,0,11,2,0,0,9,0,1,3,13,0,3,0,2,1,1,1,3,3,5,0,2,0,1,5,0,0,9,1,2,0,0,2,3,0,0,1,0,0,1,0,1,2,0,1,1,0,2,1,1795,2,2,"London : printed by M. Ritchie, for John Parsons, Paternoster Row, MDCCXCV. [1795].",London,996,unknown,,,FALSE,"it to him for a possession, and to his seed after him, when as yet he had no child. 6 And God spake on this wise, That his seed should sojourn in a strange land , and that they should bring them into bondage, and entreat them evil four hundred"
0118603000_000092,"The fall of man, or, Milton's Paradise lost. In prose. With critical, philosophical, and explanatory notes, From several Authors; wherein the Technical Terms in the Arts and Sciences are explained, Cities, Towns, and Rivers faithfully described, and the Mythological Fables of the Heathens historically related. A new translation, from the French. The second edition. Adorned with copperplates.",John Milton,88,1,1,0,1,0,1,0,1,1,1,0,1,6,0,0,2,0,1,0,0,9,4,1,0,0,1,0,1,0,3,1,0,3,1,1,6,2,2,4,1,0,1,1,4,4,3,0,1,3,2,6,1,0,0,1,1,1,2,0,0,1770,1,1,"London : sold by R. Thompson, in the Strand, [1770?].",London,365,male,1608,1674,TRUE,"the head of the serpent; about which, before I depart, I ( hall reveal more to thee. This blessed patriarch (who, by reason of his obedience ( hall be called faithful ABRA. ham) leaves a son called ISAAC; and of him a grandchild called JACOB very much like him in"
0299000800_000333,"The holy Bible; Adapted to the use of Schools and Private Families: Containing all those Parts of the old and new testament Which relate to the Faith and Practice of A Christian: The Whole divided into Chapters and Paragraphs, with short notes and observations. By Richard Wynne, A. M. Rector of St Alphage, London; and Chaplain to the Right Honourable the Earl of Dunmore.","Wynne, Richard",92,1,0,2,1,1,3,0,0,1,2,0,0,9,1,2,0,6,0,1,2,12,1,2,1,1,2,1,0,2,1,4,0,2,0,2,8,0,0,6,1,2,0,0,1,1,0,1,1,0,0,1,0,1,1,0,2,1,0,1,1,1772,1,1,"London : printed for J. Wilkie, at No 71, in St Paul's-Church-Yard, M.DCC.LXXII. [1772].",London,626,male,1718,1779,FALSE,"him lav, that this Jcfus of "" raoh king of Egypt ; and he made ""Nazareth Shall destroy this place, him governor over Egypt , and all  and shall change the customs ""his house . ""which Moses delivered us."" And  Now there came a dearth over all that"
1515900100_001187,"The Holy Bible, containing the Old and New Testaments; Newly translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,87,4,1,0,0,0,4,0,2,0,1,0,0,4,0,0,0,2,1,1,0,9,0,2,0,0,0,1,1,0,4,1,1,1,0,1,4,4,0,7,0,1,1,0,3,7,0,2,0,2,2,3,1,2,0,1,1,1,3,1,0,1762,1,1,"Cambridge : Printed by Joseph Bentham printer to the University; sold by Benjamin Dod, bookseller, at the Bible and Key in Ave-Mary Lane, near St. Paul's, London, 1762.",Cambridge,1283,unknown,,,FALSE,"midnight, the firstborn of Eg pt being i706"" that his son Joseph is yet alive; goes with all +49"" 29, 4r. all slain, Pharaoh and his servants make his family into Egypt , in the third year of hae to send away the Ifraelirtes; and they, famine, and 130th year"
0078100202_000292,The Holy Bible.,,105,1,1,2,0,3,3,0,0,0,2,1,0,7,1,1,0,12,0,0,1,14,0,5,1,2,4,2,2,4,3,3,0,1,0,1,3,1,0,8,0,1,0,0,2,1,0,0,3,0,0,1,0,1,2,0,2,1,0,1,1,1796,2,2,"[London] : Published by R. Bowyer, London, 1796.",London,720,unknown,,,FALSE,"him, and all his kindred, threescore and fifteen souls. lt So Jacob went down into Egypt , and died, lie, and our fathers , 16; And were carried over into Sy clhem, and laid in the sepulchre tlat Abraham bought for a sum of money of the sons of Emmor"
0070600600_000773,"The holy Bible, containing the Old Testament and the New: Newly Translated out of the Original Tongues, and With the former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be read in Churches.",,104,1,0,2,0,3,3,0,0,0,3,0,0,11,1,0,2,8,0,1,2,12,1,3,1,3,2,1,1,1,2,6,0,2,0,2,4,0,0,8,0,1,0,0,4,2,1,0,1,0,0,0,0,2,1,0,2,1,0,2,1,1764,1,1,"London : printed by Mark Baskett, Printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett, M.DCC.LXIV. [1764].",London,1029,unknown,,,FALSE,"disciples multiplied in after that shall theycome forth , andfern Jerusalem greatly; and a great company me in this place. of the priets were obedient to the faith . 8 Andhe gavehimthe covenantof CI 8 And Stephen, fullof faith and power , cumcifion. And so Abrabam begat isaac did great"
0065500401_000091,"The grand imperial Bible. By the Revd. Wm. Luke Phillips, late of Lembroke College Oxford. ...","Phillips, William Luke",132,15,1,3,4,0,6,0,3,0,3,0,0,11,0,0,0,3,0,2,0,6,2,4,1,0,3,0,0,0,6,1,0,2,2,0,5,0,0,14,0,0,1,0,3,19,1,0,1,0,2,0,1,0,2,1,2,0,2,0,0,1764,1,2,"London : [s.n.], Printed in the Year 1764-66.",London,1172,unknown,,,FALSE,"in allufien, called those uncircumciled, who. ad .a natual. imp. dimcnt, either of the body or mind .',. Ver. zo. She bare hbin Aaro andl M, s.] Hence it is sees p. VI The gepzeallggy of Reuben, c. Before fathers sister to wife; and (he bare him Cthri Aaron and"
0060200200_001186,"The holy Bible, containing the Old and New Testaments; Newly Translated out of the Original Tongues, and With the former Translations diligently compared and revised, By His Majesty's special Command. Appointed to be read in Churches.",,101,4,1,0,0,0,4,0,2,0,1,0,0,7,0,0,0,2,1,1,0,11,0,2,0,0,0,1,1,0,5,0,1,1,0,1,4,3,0,12,0,2,2,0,4,8,0,2,0,2,2,2,1,2,0,1,1,1,5,1,0,1768,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, Cambridge, 1768.",Cambridge,1294,unknown,,,FALSE,"yet alive; goes with all his family into Egypt , in the third year of famine, and 1301t year of his age. He is seated in the land of Goflien. Joseph getteth all the money, lands , and cattle of the Egyptians, for bread; only the lands belonging to the"
