PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(alon),termFreq(appear),termFreq(arm),termFreq(art),termFreq(beauti),termFreq(care),termFreq(charm),termFreq(death),termFreq(earth),termFreq(face),termFreq(fall),termFreq(fate),termFreq(fear),termFreq(fight),termFreq(flow),termFreq(form),termFreq(foul),termFreq(friend),termFreq(glori),termFreq(god),termFreq(grace),termFreq(hand),termFreq(happi),termFreq(head),termFreq(hear),termFreq(heart),termFreq(heaven),termFreq(hope),termFreq(hour),termFreq(joi),termFreq(king),termFreq(know),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mind),termFreq(natur),termFreq(night),termFreq(onc),termFreq(pain),termFreq(peac),termFreq(plain),termFreq(power),termFreq(prais),termFreq(ring),termFreq(round),termFreq(song),termFreq(sweet),termFreq(tear),termFreq(thought),termFreq(turn),termFreq(vain),termFreq(view),termFreq(virtu),termFreq(voic),termFreq(world),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0110402800_000006,"Odes and elegies, descriptive & sentimental: with The patriot, a poem; by John Corry.",John Corry,105,3,0,0,2,1,4,1,2,5,2,1,0,0,1,0,1,3,0,1,2,5,1,0,3,1,1,2,3,2,0,3,2,0,1,4,2,5,3,5,1,0,1,2,3,3,3,0,0,1,4,2,0,1,2,3,1,1,1,4,1797,1,1,"Newry : printed by R. Moffet, 1797.",Newry,159,unknown,1667,1726,FALSE,"Hope whispers to my anxious heart , That every sin's forgiven. 0! can such mercy be bestowed On wretches such as I? yes for our sins, the Son of God , Our Saviour, Lord, did die. The The sons of light , rejoicing, sing Our dear Redeemer's praise ; And"
0264100400_000017,"The conquest of Canäan; a poem, in eleven books.",Timothy Dwight IV,115,3,0,0,1,0,6,1,9,0,2,3,0,2,1,0,0,4,1,1,2,1,2,2,0,1,0,3,2,2,0,2,0,0,4,0,2,10,4,6,0,2,3,0,3,1,1,0,2,1,4,2,1,1,1,4,4,1,3,4,1788,1,1,"[London] : Hartford, New-England: printed MDCCLXXXV. London: reprinted for J. Johnson, No 72, St. Paul's Church-Yard, 1788.",London,363,male,1752,1817,FALSE,"unaffeeed ease, Moved in his limbs, and framed his soul to please; To worth complacent gave the just reward, And noticed humble life , with kind regard. 40 Nature can form the soul, or rough, or fine; But all her clouded beauties faintly shine: Religion bids a new creation rise,"
1112000701_000030,"The miscellaneous works, in prose and verse, of Mrs. Elizabeth Rowe: Published by her Order, By Mr. Theophilus Rowe. To which are added, Poems on several occasions, by Mr. Thomas Rowe. And to the Whole is prefixed, An Account of the Lives and Writings of the Authors. In two volumes. ... . The fourth edition, corrected. To which is added, The history of Joseph, a Poem in Ten Books.",Elizabeth Rowe,111,0,1,0,1,1,3,2,6,2,1,1,0,1,0,1,0,3,0,2,0,2,4,2,2,1,2,2,8,3,5,5,0,0,5,0,1,5,2,2,0,0,2,3,2,0,5,0,1,1,2,2,1,0,2,2,9,1,1,1,1756,1,2,"London : printed for Henry Lintot, MDCCLVI. [1756].",London,382,female,1674,1737,TRUE,"heart ! Yet was thy sex's pride, to lure the gaze With radiant beauty , but thy fmalletl praise ; Exalted goodness, and a soul divine, (Immortal charms by seraphs loved ) were thine. So midst the blooming race the spring supplies, Smiles tome fair flower decked with diflinguifh'd dyes."
0106200904_000094,The works of Mrs Elizabeth Rowe: in four volumes. ... . Containing Letters from the Dead to the Living. In Twenty Letters. Letters Moral & Entertaining Parts First & Second.,Elizabeth Rowe,112,0,1,0,1,1,2,2,5,2,1,1,0,1,0,0,1,3,0,1,0,3,4,2,2,1,3,1,10,3,6,7,0,0,5,0,1,4,2,2,0,0,2,3,2,0,4,0,1,2,2,2,0,0,2,2,8,2,1,1,1796,4,4,"London : printed for John & Arthur Arch, Grace-Church Street, & for Silvester Doig, Edinburgh, 1796.",London,386,female,1674,1737,TRUE,"pride alone , But wondrous virtues its gay honours crown; Potent to heal, the sacred plant contains Balm for our wounds, and medicine for our pains . 0 favourite of the Nine! in whom conspire, The Sapphic sweetness , and Pindaric fire, What various beauty decks thy happy song !"
0154201600_000034,"The conquest of Canäan; a poem, in eleven books. By Timothy Dwight. [Two lines from Pope].","Babcock, Elisha",107,0,4,0,2,0,1,2,2,2,1,1,0,0,1,0,1,1,1,3,2,1,2,3,0,1,2,3,3,3,0,6,0,1,1,2,3,9,5,1,2,0,4,2,2,1,2,0,1,0,2,5,2,0,1,2,1,5,1,4,1785,1,1,"Hartford : Printed by Elisha Babcock, M,DCC,LXXXV. [1785].",Hartford|Hartford.,323,male,1753,1821,FALSE,"favourite -- To thy faithful son Whenever thy choice, indulgent sire, was known, No counter choice unduteous words confessed, But my sole answer was obedience blessed. 460 When last mild evening closed the cheerful day, Over southern plains I traced my careless way; There as I gazed the works of"
0113100802_000117,"English miscellanies consisting of various pieces of divinity, morals, politicks, philosophy and history; as likewise of some choice poems; All collected Out of the most approved Authors in the English Tongue, Viz. Tillotson Nichols Lock Milton Cowley Waller Denham Dryden Buckingham Prior Addison Pope &c. And chiefly intended for the advantage of such, as are willing to apply themselves to the learning of this usefull language by John Tompson. ...",,112,0,1,0,1,1,3,2,6,2,1,1,0,1,0,1,0,4,0,2,0,2,4,2,2,1,2,2,7,3,5,5,0,0,5,0,1,7,2,2,0,0,2,3,2,0,5,0,1,1,2,2,1,0,2,1,9,1,1,1,1746,2,2,"Gottingen : by Abram. Vandenhoeck Printer and Bookseller to the University, 1746.",Göttingen,523,unknown,,,FALSE,"theme my numbers should agree, Inipir'd by every muse, and worthy thee. Fair shone thy form ; how fitted toimpart Joy to the eye, and passion to the heart ! Yet was, thy sex's pride, to lure the gaze With radiant beauty , but thy smallest praise : Exalted goodness,"
0903100101_000069,"The lady's poetical magazine; or, Beauties of British poetry.",Harrison and Co.,106,1,0,1,3,0,6,1,4,0,3,0,1,1,1,0,1,3,0,0,0,0,2,3,1,2,1,4,1,1,1,5,0,2,2,2,1,9,3,1,3,2,3,2,2,4,1,0,2,0,1,4,3,1,3,2,0,2,0,4,1781,1,4,"London [England] : printed for Harrison and Co. no. 18, Paternoster-Row, 1781-1782.",London,493,unknown,,,FALSE,"Now Now seem to climb, while hills on hills arise, In vain ; or fall in tempefis from. the Skies: Tread burning plains , or swim in seas of fire, Julf reach the shore, then see the Shore retire! As oft, dear youth ! thy pleasing form appears ; I"
0255300301_000031,"The miscellaneous works in prose and verse of Mrs. Elizabeth Rowe. The Greater Part now first published, by her Order, from her Original Manuscripts, By Mr. Theophilus Rowe. To which are added, Poems on several occasions, by Mr. Thomas Rowe. And to the whole is prefix'd, An Account of the Lives and Writings of the Authors. In two volumes. ...","Rowe, Thomas",98,0,1,0,1,1,2,2,6,1,2,1,0,1,0,1,0,3,0,1,1,1,4,2,2,1,2,2,7,2,2,4,0,0,1,0,2,5,2,1,0,0,1,2,2,0,5,0,1,2,3,2,1,0,1,2,9,1,1,1,1739,1,2,"London : printed for R. Hett, at the Bible and Crown in the Poultry; and R. Dodsley, at Tully's-Head in Pall-Mall, MDCCXXXIX. [1739].",London,400,male,1687,1715,FALSE,"the laughter of licentious fools; Thy strains, fair saint, teach us, from error free, Like thee to live , and to be blessed like thee. TH o U glory of thy sex and age, farewell! Thy various virtues future bards shall tell; Men yet unborn thy memory shall revere, And"
0821600302_000056,A collection of poems in two volumes. By several hands.,"Pearch, G.",100,1,0,1,3,0,6,1,4,0,3,0,1,1,1,0,1,3,0,0,0,0,2,2,1,1,1,3,1,1,1,5,0,2,3,2,1,8,3,1,3,2,3,2,2,4,1,0,2,0,1,2,3,1,2,2,0,2,0,4,1768,2,2,"London : printed for G. Pearch, No. 12, Cheapside, MDCCLXVIII. [1768].",London,322,unknown,,,FALSE,"fancy torn, In dreams my agonising soul to mourn? Why am I oft on angry billows toil, Now in some wide and dreary desert lost? Why yet in life infernal tortures feel, Bound by fierce demons to some rapid wheel i Now ( 302) Now fecm to climb, while hills"
0276602400_000007,"Poems, by the late Mr. and Mrs. Johns, of Plymouth.","Johns, Mrs.",103,0,0,2,2,1,1,3,3,2,2,2,1,0,1,0,2,3,0,2,1,3,4,0,1,1,1,4,1,0,4,2,0,1,3,3,0,5,4,0,2,2,1,2,1,7,3,0,5,6,2,0,0,0,1,3,0,2,1,0,1797,1,1,"Plymouth : Clarence Press, [1797?].",,93,female,1731,1792,FALSE,"From threatening ills to guard the fair. High privilege you claim, my friend , The couch of beauty to attend; With health and all her cheerful train You come. to banish care and pain . watch and life's dying flame restore, Till gladdening smiles return once more, Over those pale"
0183800100_000034,The poetical works of David Mallet. With the life of the author.,David Mallet,84,1,2,3,1,4,2,3,1,1,0,2,3,2,3,0,1,0,1,2,0,0,2,1,0,1,0,3,2,1,1,1,1,2,2,1,2,3,1,2,1,1,1,2,1,1,3,0,1,2,2,2,2,0,0,0,1,0,3,3,1780,1,1,"Edinburg : at the Apollo Press, by the Martins, Anno 1780.",Edinburgh,205,male,1705,1765,FALSE,"health with beauty glowed A deadly pale o'ercaft; So fades the fresh rose in its prime Before the northern blast. 60 XVI The parents now, with late remorse, Hung over his dying bed, And wearied Heaven with fruitless vows, And fruitless sorrow Ihed. XVII ""'Tis past,"" he cried"" but if"
0560001000_000034,"Poems by Mr. Thomas Blacklock. To which is prefix'd, an account of the life, character, and writings, of the author, by the Reverend Mr. Spence, Late Professor of Poetry, at Oxford.",Thomas Blacklock,95,1,1,1,0,2,0,0,4,4,2,0,1,5,0,0,1,2,0,1,1,0,2,1,1,0,1,4,6,1,1,4,0,1,2,3,1,3,2,3,1,0,3,2,0,2,1,0,1,2,3,4,1,0,4,2,4,2,0,1,1756,1,1,"London : printed for the author, by R. and J. Dodsley, in Pallmall, M.DCC.LVI. [1756].",London,305,male,1721,1791,FALSE,"the neighbouring hills and pastures round , Let sheep with tender bleat salute my ear; Nor fox insidious haunt the guiltless ground, Nor man pursue the trade of murder near: 20 Far hence, kind heaven ! expel the savage train, Inured to blood, and eager to destroy; Who pointed steel"
0934100101_000028,"The miscellaneous works, in prose and verse, of Mrs. Elizabeth Rowe: Published by her Order, By Mr. Theophilus Rowe. To which are added, Poems on Several Occasions, By Mr. Thomas Rowe. And to the Whole is prefixed, An Account of the Lives and Writings of the Authors. In two volumes.",Elizabeth Rowe,97,0,1,0,1,1,3,2,5,1,2,1,0,1,0,1,0,3,0,2,1,1,4,1,2,1,2,2,8,2,2,4,0,0,2,0,2,4,2,1,0,0,1,2,2,0,5,0,1,2,2,2,1,0,1,2,9,0,1,1,1749,1,2,"London : printed for Henry Lintot, MDCCXLIX. [1749].",London,367,female,1674,1737,TRUE,"entice, And add falte beauties to the monfier vice; Not thine to bid religion's heavenly rules. Become the laughter of licentious fools : Thy Itrains, fair saint, teach us, from error free, Like thee to live , and to be blessed like thee. THOU glory of thy sex and age,"
0154201600_000061,"The conquest of Canäan; a poem, in eleven books. By Timothy Dwight. [Two lines from Pope].","Babcock, Elisha",111,1,3,0,3,2,1,4,2,2,3,3,0,3,1,0,2,1,0,7,2,0,4,5,0,2,1,3,5,2,0,1,0,1,5,3,1,6,3,2,0,0,3,3,1,1,0,0,1,0,2,5,1,0,0,3,1,0,3,3,1785,1,1,"Hartford : Printed by Elisha Babcock, M,DCC,LXXXV. [1785].",Hartford|Hartford.,323,male,1753,1821,FALSE,"i80 But now more solemn fcenen thy care demand; Choose twice ten thousand of the warrior band; To yonder hapless field thy footsteps speed, And pay the last, honours to the dead. In one broad pit, our flaughter'd friends entomb; 25 Nor grudge our foes the same unenvied doom: Let"
0184200404_000025,Choice of the best poetical pieces of the most eminent English poets. Published by Joseph Retzer. ...,,90,1,0,1,1,2,2,2,4,2,2,1,0,2,1,0,3,1,0,1,1,1,2,2,1,0,0,2,4,2,1,7,0,0,3,2,2,4,1,5,1,0,2,2,0,3,0,0,1,2,3,2,1,0,2,2,1,1,0,1,1783,4,6,"Vienna : printed for Sonnleithner and Hoerling, MDCCLXXXIII. [1783].",Vienna,334,unknown,,,FALSE,"incefiant pain The wealth of earth and ocean to secure, Then with fond hopes caress the precious bane, In grandeur abjea' and in affluence poor. But soon, to soon, in Fancy's timid eyes Wiid waves shall roll, and conflagrations spread, While bright in arms and of gigantic lize The fear"
1056000700_000002,Elegies. By Robert Scott.,"Scott, Robert, writer of verse",96,2,0,2,1,0,1,0,6,3,0,0,2,3,0,0,1,2,0,1,5,0,1,2,3,0,2,3,1,1,2,2,0,0,5,1,1,5,0,2,1,1,0,0,4,2,0,1,2,5,4,5,1,0,3,1,2,1,2,1,1764,1,1,"London : printed for G. Burnet, at Bishop Burnet's Head, in the Strand, MDCCLXIV. [1764].",London,24,unknown,,,FALSE,"plain ; In vain the flowers are sweet , the groves are gay. No more the glowing scene my bosom warms No more the vernal song delights my ear; Thy absence throws a veil over nature's charms , And lessens every glory of the year. Short and uncertain is our"
