PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(account),termFreq(appear),termFreq(author),termFreq(believ),termFreq(book),termFreq(build),termFreq(carri),termFreq(christ),termFreq(church),termFreq(death),termFreq(earth),termFreq(end),termFreq(faith),termFreq(father),termFreq(feet),termFreq(follow),termFreq(foot),termFreq(form),termFreq(gener),termFreq(glori),termFreq(god),termFreq(grace),termFreq(half),termFreq(hall),termFreq(hand),termFreq(heart),termFreq(holi),termFreq(hous),termFreq(kind),termFreq(king),termFreq(know),termFreq(labour),termFreq(laid),termFreq(law),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(manner),termFreq(mean),termFreq(natur),termFreq(neat),termFreq(nothig),termFreq(observ),termFreq(order),termFreq(peopl),termFreq(person),termFreq(piec),termFreq(power),termFreq(reason),termFreq(receiv),termFreq(set),termFreq(sever),termFreq(spirit),termFreq(think),termFreq(water),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0267100100_000113,"The life and posthumous works of Richard Claridge, being memoirs and manuscripts relating to his experiences and progress in religion: His Changes in Opinion, and Reasons for them. With essays in defence of several principles and Practices of the People call'd Quakers. Collected by Joseph Besse.",Richard Claridge,76,1,1,0,0,1,0,1,1,4,2,0,2,2,4,3,0,1,0,0,1,1,7,2,0,0,2,1,2,3,1,0,0,1,0,0,4,0,1,4,0,0,1,1,0,0,0,2,1,0,2,0,1,0,1,4,0,1,2,2,5,1726,1,1,"London : printed and sold by the assigns of J. Sowle, at the Bible in George-Yard, Lombard-Street, 1726.",London,609,male,1649,1723,FALSE,"have Sinned, and come short of mjrkable the Glory of God , and there is none other Pretabl Name under Heaven given among Men, whereto i by we mull be saved, but that of Jesus Christ , who was delivered for our Offences, and was raised again for our jurification,"
0266500700_000034,"An epistle to the inhabitants of Gillingham, in the county of Dorset: wherein is a looking-glass for the faithful, to shew them that their Names were Written In the Lamb's Book of Life, Before the Foundation of the World: with a Variety of Similies typical of Jesu's Blood. To which is added, a large Appendix, Very Instructive; wherein is proved that God is the first Cause of all second Causes, and his Plan of Operations fixed. - Free-Will is also detected, proved to be a Robber of God, and condemned by the Scriptures. By John Cave, Brecon.","Cave, John, glover",94,1,0,4,0,2,10,0,0,2,1,0,1,1,3,3,1,0,0,0,1,3,7,6,0,3,0,2,3,1,0,1,2,1,1,2,6,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,2,0,0,2,2,4,1787,1,1,"Brecknock : printed for the author, by W. and G. North, [1787] [1788].",Brecon,204,unknown,,,FALSE,"likewise clothe him with white Raiment, and I will not blot out his Name out of the Book of Life ; but I will confess his Name before my Father , and before his holy Angels, Rev. III 5 Here let the dclpiled Believer view his Happinefl in having iuch"
1170000900_000005,"A preservative against Quakerism: by way of conference between a minister and his parishioner. Wherein The Erroneous Tenets of the Leading Quakers are fairly Consider'd and Stated, and plainly and fully Confuted; and the True Principles of the Christian Religion in Opposition thereto, are Asserted and Vindicated. All being accommodated to the Understanding of the meanest Capacity. By Patrick Smith, M. A. Vicar of Great Paxton, Huntingdonshire.","Smith, Patrick, Vicar of Great Paxton",102,3,0,0,1,0,1,1,0,10,0,2,0,2,11,2,0,0,0,0,1,2,10,6,0,1,1,1,4,0,1,1,0,0,0,6,8,1,1,3,1,1,8,0,0,1,1,0,0,0,1,2,1,0,1,1,0,1,0,2,1,1740,1,1,"London : printed for C. Rivington, at the Bible and Crown, in St. Paul's Church-Yard, M.DCC.XL. [1740].",London,331,unknown,,,FALSE,"Father , the Son, and the Holy Ghost, one God , the Incarnation of the Son, Son, both God , Man, one Christ , the one Mediator between God and Men, our great Prophet, Priest, and King ; his outward Birth, Life , Death , Relur retion, and Ascension into"
0196100400_000004,"The christian a new creature: being the substance of a discourse of Mons. Superville, deliver'd on a New-Year's-Day. With a preface to the reader concerning regeneration. This Subject is very important, and always seasonable, and ought to be thoroughly meditated by People of all Persuasions and Parties; that thereby they may judge what Advance they have made in true Christianity, or what they chiefly ought to labour after, under all external Performances in Religion.",Daniel de Superville,100,1,1,0,1,2,0,2,2,6,0,0,0,1,2,1,0,1,0,1,0,0,13,2,0,0,0,1,10,0,0,0,2,1,0,1,5,0,2,4,1,2,11,0,0,0,2,0,2,0,2,0,2,1,2,3,2,0,3,1,4,1739,1,1,"London : printed for C. Rivington in St. Paul's Church-Yard, MDCCXXXIX. [1739].",London,31,male,1657,1728,FALSE,"it signifies our being united to him by a real, internal and vital Union, as Members are in the Body, which live by the same Soul; as flou rifling Branches in the Vine, which are animated and nourished by the same Sap, and vegetative Nature . For to all TRUE"
1022900800_000104,"The divine right of church government: wherein it is proved, by fair and conclusive Arguments, that the Presbyterian government, by Preaching and Ruling Elders, in Sessional, Presbyterial, and Synodical Assemblies, may lay the only lawful claim to a divine right, according to the Holy Scriptures. A new edition corrected and amended. By sundry ministers of Christ within the City of London. To which is added, an appendix, Containing Extracts from some of the best Authors, who have written on Church Government, concerning the scriptural qualifications and Duties of Church members; the sole Right of Gospel Ministers to preach the Gospel; the People's Divine Right to choose their own Pastors; together with an Abstract of the Arguments of the great Dr. Owen (though a professed Independent) in Favours of the Divine Right of the Office of the Ruling Elder.",,113,0,0,0,1,7,2,3,0,14,13,0,0,2,3,0,0,3,0,1,1,0,8,2,0,0,1,5,11,1,0,1,0,0,1,8,0,0,2,1,0,1,1,0,0,1,2,0,4,0,1,0,1,1,0,3,1,1,1,2,2,1799,1,1,"Paisley : printed by Neilson and Weir, 1799.",Paisley,268,unknown,,,FALSE,"oblcrve his laws , declare before the world there owning of him for their Lord, by their open and public profession of, and subjection unto him, as such, and that, by their regular and diitin&t following of him in their unit edchurch itate, they might manifeit to all men, that"
0914501200_000808,"The biographical and martyrological dictionary: containing the lives, sufferings, and deaths, of the most eminent martyrs and confessors of Christ, From The Earliest Ages Of At The World To The Present Time. Extracted From The scriptures of the Old and New Test Aments, Acts and Monuments, and the Works of the most eminent Writers in several Languages, both ancient and modern, who have made this important Part of History their Study. Including the Life, Sufferings, and Martyrdom [of] our blessed Lord and Saviour Jesus Christ, ... the Martyrdoms of the Apostles, Evangelists, and other Primitive Christians; The History of some of the most eminent Martyrs and confessions during The Ten Great Persecutions Under The Roman Emperors; Persecutions in Asia and Europe under the Arians. - ... of the Witnesses under Popery, ... the Persecutions in ... and Flanders; the Martyrdoms of Italy; and the ... Barbarities practised by the Inquisition of Spain and ... The History of the Spanish. Invasion,-of the Gun-Powder Plot,-of the Fire of London,-of the Conspiracy in 1668,-of the barbarous Murder of Sir Edmonbury Godirey, and the Design of Parkins, Friend, and Fenwick, for the Re-Establishment of Popery and the Extirpation of the Protestant Religion,-of the Cruelties committed by Judge Jefferies in the West of England,-And of the Persecution against the People called Quakers:-An accurate Account of the Martyrdoms of Scotland, especially under the inauspicious Reigns of Mary, Charles II. and James VI. - And a distinct Narrative of the bloody Massacre of Ireland with a particular Relation of the Cruelties exercised by the Papists in consequence of that detestable Tragedy. - With many other Articles too numerous to be particularized. Forming At Once Complete Biographical Dictionary of Martyrs and Confessors, Upon a more useful and methodical Plan than any that have hitherto appeared. To the whole is annexed, a general index, A General Index, By the Help of which the Reader may turn up any particular Article at Pleasure. By a clergyman and others.",Clergyman and others,105,3,0,3,2,3,1,0,0,11,1,1,0,2,4,5,0,2,0,0,1,4,15,2,0,0,2,3,5,0,1,1,0,0,0,1,5,0,4,0,0,0,1,0,0,1,0,2,0,0,3,0,0,1,0,5,0,1,4,3,2,1790,1,1,"Newcastle upon Tyne : printed by M. Angus, In Drury-Lane, Flesh-Market, M.DCC.XC. [1790].",Newcastle upon Tyne,917,unknown,,,FALSE,"they come, we submit to the communion. wisdom and pleasure of Almighty God ; for we cannot They profess faith in God , by his orily begotten Son presume to determine. Jesus Christ , as being their light andlife, as well as their As to the doctrine of the final"
0960400800_000057,"Essays on the most important subjects in religion. By Thomas Scott, Chaplain to the Lock Hospital.",Thomas Scott,87,1,0,0,3,2,0,0,0,5,3,2,2,1,1,3,0,1,0,2,0,2,5,0,0,0,2,1,4,0,0,5,1,0,0,2,2,1,0,7,1,1,2,0,0,2,1,2,0,1,4,0,1,1,0,4,0,0,4,2,3,1800,1,1,"London : printed by D. Jaques. Lower Sloane-Street; Sold by Mathews, 18, Strand; Woodhouse, Lower Brook-Street; Button, Paternoster-Row; Hatchard, Piccadilly; and by the author, Chapel Street, Upper Grosvenor-Place; also by Ogle, Edinburgh, 1800.",London,497,male,1747,1821,FALSE,"thus rules all worlds with absolute sway, as king.of kings , and Lord of lords. The rise, fall, and revolutions of empires are ordered by him: and he hath all hearts in his halidj and turneth them as he pleaseth. For the Father ,, hath set his King upon his"
0808900101_000209,"The works of the Right Reverend Father in God Thomas Wilson, D. D. Fifty-Eight Years Lord Bishop of Sodor and Man. With his life, compiled from authentic papers by the Revd. C. Cruttwell. ...",Thomas Wilson,75,1,0,0,0,0,0,1,0,4,6,1,0,2,3,1,2,2,0,3,0,1,4,2,0,1,2,3,9,2,0,0,1,0,1,1,1,0,2,1,1,0,1,0,0,0,1,1,2,0,2,1,2,1,1,2,0,0,2,1,0,1782,1,2,"Bath : printed by R. Cruttwell; and sold by C. Dilly, Poultry, London, MDCCLXXXII. [1782].",Bath,484,male,1663,1755,FALSE,"parish of Leigh, and county of Lancaster, according to the following Form . THOUGH. SODOR AND MAN. Ladyday, March 25, i735. I consecrated the Church of Kirk lonan, by the following Form , in the presence of a numerous congregation, to whom I preached, and administered the Lord's Supper, and"
1284800300_000097,"An essay on Christ's cross and crown. To which are subjoined, six sermons. By the Reverend Mr. George Muir, Minister of the Gospel at Paisley.","Muir, George",82,2,1,1,1,1,0,4,0,4,5,1,0,2,2,4,1,1,0,0,0,3,7,4,0,0,0,2,6,0,0,0,1,2,3,1,4,0,0,0,0,2,2,0,0,1,2,1,3,0,0,0,1,0,0,1,0,0,3,3,0,1769,1,1,"Paisley : printed by Weir and M'lean. And sold at the shop of A. Weir, near the Cross, M,DCC,LXIX. [1769].",Paisley,330,male,1723,1771,FALSE,"4' Father which is in heaven,"" Matth. V x6. III We come now to the improvement of the subject. And, If the church of Chrilt be built upon himfelfl the office and work of gofpel minifters will naturally appear . As to their ffice, according to my text, they are"
0329400100_001020,"Expository notes, with practical observations, upon the New Testament of our Lord and Saviour Jesus Christ. wherein the whole of the Sacred Text is Recited, the Sense Explained, and the Instructive Example of the Blessed Jesus and his Apostles, to our Imitation Recommended. By William Burkitt, M. A. Late Vicar and Lecturer of Dedham, in Essex.",William Burkitt,90,0,0,0,0,1,0,1,1,7,2,1,3,2,2,2,0,1,0,0,1,1,5,3,0,0,1,1,3,0,0,0,2,5,0,0,3,0,4,5,0,2,0,0,0,2,1,9,5,1,2,1,0,0,1,1,0,0,3,5,0,1789,1,1,"Birmingham : printed by J. Thompson; and sold by all the booksellers in Great-Britain, MDCCLXXXIX. [1789].",Birmingham,1186,male,1650,1703,FALSE,"be iober, c. 9 For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ , IO Who died for us; that whether we wake or sleep, we should live together with him. 11 Wherefore comfort yourselves together, and edify one another, even as"
