PassageID,Title,Author,Total termFreq,termFreq(church),termFreq(civil),termFreq(conscienc),termFreq(equiti),termFreq(exercis),termFreq(fear),termFreq(god),termFreq(govern),termFreq(law),termFreq(mind),termFreq(opinion),termFreq(ought),termFreq(passion),termFreq(peac),termFreq(persecut),termFreq(pretenc),termFreq(pretend),termFreq(privat),termFreq(public),termFreq(reason),termFreq(religion),termFreq(soul),termFreq(state),termFreq(toler),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0821500102_000187,An account of the life and writings of John Locke Esq;,Jean Leclerc,52,1,9,0,1,1,1,6,1,3,3,0,2,2,1,1,3,2,0,2,1,7,3,1,1,1714,2,2,"London : printed for J. Clarke, and E. Curll, 1714.",London,678,male,1657,1736,FALSE,"Sword, or other lnitruments Vol. II G g of of Force, but prepared with the Gospel of Peace , and with the exemplary Holiness of their Conversation. This was his Method. Though' if Infidels were to be converted by Force, if those that are either blind or obitinate were to"
1495301100_000005,"A sermon preach'd before the Right Honourable the Lord-Mayor, Aldermen, and citizens of London, at the Cathedral-Church of St. Paul, on November the 5th, 1712. By Thomas Sherlock, D.D. dean of Chichester, master of the Temple, and chaplain in Ordinary to Her Majesty.",Thomas Sherlock,51,4,3,1,0,2,2,2,2,2,1,1,2,0,2,1,2,1,1,2,2,14,0,3,1,1717,1,1,"London : Printed for John Pemberton, at the Buck and Sun against St. Dunstan's Church in Fleetstreet, MDCCXVII. [1717].",London,24,male,1678,1761,FALSE,"I shall not attend to its Pretences . Nor indeed is it pofiblec that he should, since tis in every Man's Power in all Cafes to plead Conscience ; which is never more easily pretended to, than by those who have none. A Man under a Criminal Accusation might as"
0315401000_000017,Letters concerning toleration by Iohn Locke.,John Locke,50,4,7,0,1,1,1,5,1,3,2,0,2,1,2,1,3,2,0,2,1,7,3,0,1,1765,1,1,"London : printed for A. Millar, H. Woodfall, I. Whiston and B. White, I. Rivington, L. Davis and C. Reymers, R. Baldwin, Hawes Clarke and Collins, W. Iohnston, W. Owen, S. Crowder, T. Longman, B. Law, C. Rivington, E. Dilly, R. Withy, C. and R. Ware, S. Baker, T. Payne, A. Shuckburgh, M. Richardson [and 15 others in London], MDCCLXV [1765].",London,405,male,1632,1704,TRUE,"a numerous assembly joined in the same procession with himself; but that he principally intends by those means to compose a truly Christian church , is altogether incredible. It is not therefore to be wondered at, if those who do not really contend for the advancement of the TRUE religion"
0879600102_000202,"The works of John Locke, in four volumes.",John Locke,49,5,9,0,1,0,1,1,1,3,0,1,4,2,2,1,3,2,0,2,1,4,4,0,2,1768,2,4,"London : printed for H. Woodfall, A. Millar, J. Beecroft, J. and F. Rivington, J. Whiston, S. Baker, T. Payne, L. Davis and Co. [sic] R. Baldwin, Hawes, Clarke and Collins, B. White, W. Johnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, A. and J. Shuckburgh, and T. Cadell, MDCCLXVIII. [1768].",London,721,male,1632,1704,TRUE,"amongflt men, ought to apply himself with no less care and industry to the rooting out, of there immoralities, than to the extirpation of feets. But if any one do otherwise, and whilst he is cruel and.implacable towards those that differ £rom.him rin TOLERATION . in opinion , he be"
1109702800_000005,"A sermon preach'd before the Right Honourable the Lord-Mayor, Aldermen, & Citizens of London, at the Cathedral-Church of St. Paul, On November the 5th. 1712. By Tho. Sherlock, M. A. Master of the Temple, and Chaplain in Ordinary to Her Majesty.",Thomas Sherlock,51,3,4,2,0,2,2,2,3,2,1,1,2,0,1,1,2,1,1,2,2,14,0,2,1,1712,1,1,"London : printed for John Pemberton, at the Buck and Sun against St. Dunstan's Church in Fleetstreet, MDCCXII. [1712].",London,23,male,1678,1761,FALSE,"it does not lye before me, and therefore I thall not attend to its Pretences . Nor indeed is it possible that he should, fince'tis in every Man's Power in all Cafes to plead Conscience ; which is never more easily pretended to, than by those who have none. A"
0104200105_000003,"The works of John Locke, in nine volumes.",John Locke,52,1,10,0,1,1,1,6,1,3,3,0,2,2,0,1,3,2,0,2,2,7,3,0,1,1794,5,9,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. and J. Robinson, [and 14 others in London], 1794.",London,585,male,1632,1704,TRUE,"of the church , how potent soever, with all his dragoons. The toleration of those that differ from others in matters of religion , is so agreeable to the gospel of Jesus Christ, and to the genuine reason of mankind, that it seems monstrous for men to be so blind,"
0358900102_000189,"The works of John Locke, in four volumes.",John Locke,50,4,9,0,1,0,1,3,1,3,2,0,3,1,2,1,3,2,0,2,1,6,4,0,1,1777,2,4,"London : printed for W. Strahan, J. F. and C. Rivington, L. Davis, W. Owen, S. Baker and G. Leigh, [and 18 others in London], 1777.",London,687,male,1632,1704,TRUE,"ought to be compelled by fire.and sword to profess certain doctrines, and conform to this .or that exterior worship, without any regard had unto their morals; if any .one endeavour to convert those that are erroneous unto the faith, by forcing them to profess things that they do not believe,"
0432300104_000212,"The works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes, complete. Published by David Mallet, ...","Henry St John, 1st Viscount Bolingbroke",54,2,3,5,0,0,0,3,8,5,0,1,1,1,2,4,1,1,1,2,0,11,0,2,1,1777,4,5,"London : printed in the year, 1777.",London,630,male,1678,1751,TRUE,"Just so at the reformation, various interpretations of authentic scriptures, and various comments upon them, divided the reformers and the reformed. Every teacher had his followers, and some of these affected to preach as well as pray by the spirit. Ambiguous and obscure expressions in the text had the same"
0108100102_000184,The works of John Locke Esq; In three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,49,5,8,0,1,0,1,5,1,3,0,0,3,1,2,1,3,2,0,2,1,5,3,0,2,1714,2,3,"London : printed for John Churchill, and Sam. Manship, 1714.",London,676,male,1632,1704,TRUE,"unbecoming the Name of a Christian, let such a one talk never so much of the Church he plainly demonstrates by his Actions, that tis another Kingdom he aims at, and not the Advancement of the Kingdom of God ; That any Man should think fit to cause another Man,"
0312300102_000187,The works of John Locke Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,48,1,9,0,1,1,1,5,1,3,2,0,2,2,0,1,3,2,0,2,2,6,3,0,1,1722,2,3,"London : printed for A. Churchill, and A. Manship, and sold by W. Taylor in Pater-noster-Row. M.DCC.XXII. [1722].",London,675,male,1632,1704,TRUE,"Errors by armed Soldiers, we know very well that it was much more easy for him to do it with Armies of heavenly Legions, than for any Son of the Church , hovw potent soever, with all his Dragoons. The Toleration of those that differ from others in Matters of"
0319200102_000218,The works of Iohn Locke in four volumes Volume I.,John Locke,55,5,5,3,1,0,0,3,1,5,0,2,4,0,5,1,0,0,1,2,1,11,2,1,2,1768,2,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,714,male,1632,1704,TRUE,"more abominable, or is the civil peace more endangered, by their meeting in public than in their private houses? But if there things may be granted to Jews and Pagans, surely the condition of any Christians ought not to be worse than theirs, in a Christian commonwealth. You will say,"
0230800900_000011,"The case of toleration consider'd with respect both to religion and civil government, in a sermon preach'd in St. Andrew's, Dublin, before the Honourable House of Commons; on Saturday, the 23d of October, 1725. Being the anniversary of the Irish rebellion. By Edward Synge, M. A. Prebendary of St. Patrick's, Dublin; and Chaplain to his Excellency, the Lord Lieutenant. Published by Order of the House of Commons.","Synge, Edward",49,0,4,3,0,1,1,1,1,1,0,7,2,0,2,2,1,1,0,4,6,7,0,2,3,1725,1,1,"Dublin : printed by A. Rhames in Capel-Street, for Robert Owen, Bookseller in Skinner-Row, MDCCXXV. [1725].",Dublin,53,male,,,FALSE,"because tlefe Professions and Actions, the Opinions being suppose, are commonly necessary, and their Duty. And therefore, A Liberty of Conscience , i. e. of Opinion , without Liberty of pro fegijng C 31) fsi]ng and asing according to that Opinion , is in Reality no Liberty at all. The"
0732400701_000078,"A philosophical commentary on these words of the Gospel, Luke XIV. 23. Compel them to come in, that my house may be full. In four parts. I. Containing a Refutation of the Literal Sense of this Passage. II. An Answer to all Objections. III. Remarks on those Letters of St. Austin which are usually alledg'd for the compelling of Hereticks, and particularly to justify the late Persecution in France. IV. A Supplement, proving, That Hereticks have as much Right to persecute the Orthodox, as the Orthodox them. Translated from the French of Mr. Bayle, Author of the Great Critical and Historical Dictionary.",Pierre Bayle,49,5,0,3,1,0,3,4,1,2,0,1,1,0,0,5,1,1,1,1,2,4,0,3,10,1708,1,2,"London : printed by J. Darby in Bartholomew-Close, and sold by J. Morphew near Stationers-Hall, 1708.",London,407,male,1647,1706,FALSE,"very score, because the Protestants would not tolerate her if they were uppermost, Ihe is obliged not to tolerate them when it is her turn: let no one, I say, reason thus, because there is this material difference between her and us, that Non toleration on our part is deprived"
0346100501_000101,"Practical discourses on several subjects. By Richard Fiddes, Rector of Halsham, in Holderness, in the County of York. Vol. I.",Richard Fiddes,44,5,3,6,0,1,0,1,3,2,0,1,2,0,1,2,2,1,0,4,2,3,0,4,1,1714,1,1,"London : printed by J. B. for John Wyat at the Rose, in St. Paul's Church-Yard; Benj. Tooke at the Middle-Temple-Gate in Fleet-Street; and Henry Clements at the Half-Moon in St. Paul's Church-Yard, 1714.",London,416,male,1671,1725,FALSE,"a word, if weunderfand by it mean and popular Condescensions in Favour of corrupt pra&ices, .or a servile betraying the Cause of Truth and Piety to the Iniquity of the Times; if, I say, the Virtue of Moderation lies in these Things, there is no TRUE Son of the Church"
