PassageID,Title,Author,Total termFreq,termFreq(aaron),termFreq(accept),termFreq(accord),termFreq(altar),termFreq(anoint),termFreq(aton),termFreq(blood),termFreq(bread),termFreq(bring),termFreq(brought),termFreq(bullock),termFreq(burn),termFreq(burnt),termFreq(children),termFreq(clean),termFreq(command),termFreq(congreg),termFreq(continu),termFreq(door),termFreq(drink),termFreq(eat),termFreq(fat),termFreq(father),termFreq(favour),termFreq(fine),termFreq(flour),termFreq(foul),termFreq(goat),termFreq(god),termFreq(hall),termFreq(halt),termFreq(hand),termFreq(head),termFreq(holi),termFreq(israel),termFreq(kid),termFreq(kill),termFreq(lamb),termFreq(law),termFreq(levit),termFreq(meat),termFreq(month),termFreq(mose),termFreq(offer),termFreq(oil),termFreq(peac),termFreq(peopl),termFreq(priest),termFreq(princ),termFreq(ram),termFreq(sacrific),termFreq(servic),termFreq(spake),termFreq(tabernacl),termFreq(tenth),termFreq(unclean),termFreq(vow),termFreq(water),termFreq(work),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1617300100_000114,"The Holy Bible, Containing the Old testament and the New: translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,176,4,0,1,2,2,1,0,0,2,0,7,0,4,8,1,1,3,0,0,0,0,0,0,0,3,4,0,8,0,2,5,2,1,0,6,4,0,8,0,12,5,0,5,33,4,4,0,0,4,8,4,3,3,3,1,0,0,1,2,5,1790,1,1,"Cambridge : Printed by J. Archdeacon printer to the University; and sold by John, Francis & Charles Rivington, Benjamin White, and Charles Dilly, in London; and J. & J. Merrill, in Cambridge, 1790.",Cambridge,1193,unknown,,,FALSE,"of the first year: this was the offering of Abidan the son of Gideoni. 66 On the tenth day Ahiezer the son of Ammifhaddai, prince of the children of Dan, off red: 67 His offering , was one silver charger, the weight whereof, was an hundred and thirty fhekels, one"
1162300200_000123,"The Holy Bible, containing the Old and New Testaments: ...",,165,2,0,4,5,3,0,0,1,0,2,3,0,3,3,0,0,2,0,1,2,0,0,1,0,3,3,0,4,1,7,1,3,3,1,3,2,0,5,2,2,4,0,6,35,3,5,0,4,8,6,4,5,2,5,0,0,3,0,0,3,1795,1,1,"Oxford : printed at the Clarendon Press, by William Jackson and WIlliam Dawson: and sold at the Oxford Bible Warehouse, London, 1795.",Oxford,1086,unknown,,,FALSE,"sin offering , and his burnt offering : 17 And he ( hall offer the ram for a sacrifice of peace offerings unto the LORD, with the baltket of unleavened bread : the priest hall offer also his meat offering , and his drink offering . i8 b And the"
1617300100_000112,"The Holy Bible, Containing the Old testament and the New: translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,171,2,0,4,4,3,1,0,3,3,3,1,0,4,2,0,0,4,0,3,3,0,0,1,0,2,2,0,2,0,8,0,3,6,1,3,1,0,5,3,2,3,0,5,36,3,5,0,8,7,4,3,5,2,6,0,0,3,0,0,2,1790,1,1,"Cambridge : Printed by J. Archdeacon printer to the University; and sold by John, Francis & Charles Rivington, Benjamin White, and Charles Dilly, in London; and J. & J. Merrill, in Cambridge, 1790.",Cambridge,1193,unknown,,,FALSE,"man die very suddenly by him, and he hath defiled the head of his consecration; then he ( hall ihave his head in the day of his cleansing, on the seventh day flhall he shave it. o10 And on the eighth day he shall bring two turtles or two young"
0073900301_000108,"The holy Bible, containing the Old and New Testaments; Translated out of the Original Tongues, and With the former Translations diligently compared and revised, by his Majesty's Special Command. Appointed to be Read in Churches.",,173,2,0,3,3,4,0,0,3,1,2,3,0,4,2,0,0,2,0,1,3,0,0,0,0,3,3,0,5,0,4,0,3,3,1,3,3,0,6,2,2,4,0,4,41,4,7,1,5,9,9,4,3,2,3,0,0,3,0,0,3,1796,1,2,"Cambridge : printed by John Archdeacon and John Burges, Printers to the University; and sold by C. Dilly, F. & C. Rivington, and B. & J. White, in London; and J. & J. Merrill, in Cambridge, MDCCXCVI. [1796]-98.",Cambridge,988,unknown,,,FALSE,"sin offering , and one ram without blemish for peace offerings , 5 And a basket of unleavened bread , cakes of fine flour mingled with oil , and wafers of unleavened bread anointed with oil , and their meat offering , and their drink offerings . 16 And the"
1682500200_000128,"The Holy Bible, Containing the Old testament and the New: newly translated out of the original tongues, and with the former translations diligently compared and revised. By His Majesty's special command. Appointed to be read in churches.",,155,2,0,4,5,4,1,0,3,2,3,1,0,4,1,0,0,4,0,3,3,0,0,1,0,2,2,0,2,1,6,1,3,4,1,1,1,0,4,3,2,1,0,2,31,3,5,0,5,7,5,3,5,1,7,0,0,3,1,0,2,1712,1,1,"Edinburgh : Printed by the heirs and successors of Andrew Anderson, printers to the Queen's Most Excellent Majesty, MDCCXII. [1712].",Edinburgh,916,unknown,,,FALSE,"his cleansing, on the seventh day ( hall he (have it. o10 And on the eighth day he thall bring two turtles, or two young pigeons to the priest , to the door of the tabernacle of the congregation . I: And the priest thall offer the one for a"
0065700101_000116,"The holy Bible, containing the Old and New Testaments, Translated Out Of The Original Tongues, And With The Former Translations Diligently Compared And Revised. With select notes. Vol. I. Appointed to be Read in Churches.",,166,2,0,4,4,3,0,0,1,1,2,3,0,4,4,0,0,2,0,1,2,0,0,1,0,3,3,0,5,1,3,0,3,3,1,4,3,0,5,2,2,4,0,5,34,3,5,0,7,9,7,4,5,1,4,0,0,3,0,0,3,1795,1,2,"London : printed by M. Ritchie, for John Parsons, Paternoster Row, MDCCXCV. [1795].",London,725,unknown,,,FALSE,"the priest shall bring them before the Lord, and hall offer his sin offering , and his burnt offering : 17 And he hall offer the ram for a sacrifice of peace offerings unto the Lord, with the basket of unleavened bread : the priest ahall offer also his meat"
0927900102_000018,"A short and plain exposition of the Old Testament, with devotional and practical reflections, for the use of families. By the late Reverend Job Orton, S.T.P. Published from the author's manuscripts, by Robert Gentleman. ...",Job Orton,161,5,0,1,2,2,1,0,0,2,0,7,0,4,8,1,0,3,0,0,0,0,0,0,0,3,3,0,6,1,2,6,2,1,0,7,3,0,5,0,12,4,0,5,29,3,3,0,2,3,5,3,2,4,4,0,0,0,1,2,4,1791,2,3,"Shrewsbury : printed and sold by J. and W. Eddowes. Sold also by T. Longman, Paternoster Row; C. Dilly, in the Poultry; and J. Johnson, St. Paul's Church Yard, London, MDCCXCI. [1791].",Shrewsbury,540,male,1717,1783,FALSE,"year: this [was] the offering of Ahiezer' the son of Ammifhaaddai. 72 On the eleventh day Pagiel the son of Ocran, prince 73 of the children of Asher, [ offered : ] His offering [was] one silver charger, the weight whereof [was] an hundred and thirty [flekels, ] one silver"
0074200500_000118,"The Holy Bible, containing the Old and New Testaments: ...",,155,2,0,4,2,3,1,0,3,3,3,1,0,4,2,0,0,3,0,3,3,0,0,1,0,2,2,0,2,2,10,0,3,7,2,2,1,0,5,3,2,3,0,2,27,3,4,1,8,4,5,3,3,1,5,0,0,3,0,0,2,1731,1,1,"Oxford : printed by the University Printer, 1731.",Oxford,876,unknown,,,FALSE,"t confe ation of his God is upon his head . 8 All the days of his reparation. he is holy unto the LORD. 9 And if any man die veryt.fuddenly by him, and he hath defiled the head of his"" confecra tioni then he ( hall have his head"
0927900102_000016,"A short and plain exposition of the Old Testament, with devotional and practical reflections, for the use of families. By the late Reverend Job Orton, S.T.P. Published from the author's manuscripts, by Robert Gentleman. ...",Job Orton,163,1,0,3,4,3,0,0,3,1,2,2,0,2,3,0,0,2,0,1,3,0,0,1,1,3,3,0,4,1,1,0,3,3,1,2,2,0,4,2,2,4,0,6,40,4,6,1,5,9,7,4,3,2,4,0,0,3,0,0,2,1791,2,3,"Shrewsbury : printed and sold by J. and W. Eddowes. Sold also by T. Longman, Paternoster Row; C. Dilly, in the Poultry; and J. Johnson, St. Paul's Church Yard, London, MDCCXCI. [1791].",Shrewsbury,540,male,1717,1783,FALSE,"for a sin offering , and one ram without blemish for peace offer 15 ings, And a basket of unleavened bread , cakes of fine flour mingled with oil , and wafers of unleavened bread anointed with oil , and their meat offering , and their i6 drink offerings ."
1515900100_000128,"The Holy Bible, containing the Old and New Testaments; Newly translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,151,2,0,4,5,4,1,0,3,2,3,1,0,4,2,0,0,3,0,2,2,1,0,1,0,2,2,0,1,1,1,0,2,4,1,3,1,0,3,3,2,3,0,6,35,3,4,0,6,7,3,2,5,2,5,0,0,3,0,0,1,1762,1,1,"Cambridge : Printed by Joseph Bentham printer to the University; sold by Benjamin Dod, bookseller, at the Bible and Key in Ave-Mary Lane, near St. Paul's, London, 1762.",Cambridge,1283,unknown,,,FALSE,"for a * sin offering , and the other for a burnt offer i ing, and make an atonement for him, for that he finnedby the dead, and shall hallow; his head that same day. 12 And he shall consecrate unto the lordi the days of his separation, and shall"
