PassageID,Title,Author,Total termFreq,termFreq(adam),termFreq(believ),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(church),termFreq(command),termFreq(commit),termFreq(confid),termFreq(corrupt),termFreq(death),termFreq(devil),termFreq(etern),termFreq(evil),termFreq(faith),termFreq(fall),termFreq(father),termFreq(forgiv),termFreq(god),termFreq(grace),termFreq(guilt),termFreq(guilti),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(hell),termFreq(holi),termFreq(know),termFreq(law),termFreq(life),termFreq(live),termFreq(love),termFreq(mean),termFreq(merci),termFreq(mind),termFreq(natur),termFreq(obedi),termFreq(offer),termFreq(pardon),termFreq(person),termFreq(power),termFreq(reason),termFreq(repent),termFreq(sacrif),termFreq(salvat),termFreq(save),termFreq(saviour),termFreq(scriptur),termFreq(sens),termFreq(sin),termFreq(sinner),termFreq(soul),termFreq(spirit),termFreq(state),termFreq(think),termFreq(true),termFreq(wick),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0438300200_000121,"Sermons on various divine subjects; I. Salvation by grace. II. The Spirit, the Sanctifier and Comforter of the Redeemed. III. The Doubts of dejected Christians answered. IV. The Robe of Righteousness. V. On Elijah's Translation. VI. The tempted Saviour. Vii. The tempted Believer. Viii. All Things working together for the Good of Believers. IX. The Thief on the Cross. X. The Strength of Christ's Love to weak Believers. XI. The sanctified Rod. XII. The suffering Jesus; or, A View of Christ in his dying Love. XIII. On Christ's Transfiguration. XIV. Persevering Grace. XV. A Door of Hope opened for the greatest Sinners. XVI. God the Christian's Refuge in the greatest Afflictions. XVII. On the Conversion of the Apostle Paul. XVIII. Balaam's Request. XIX. The Support of aged Christians. XX. The Sin and mischief of bad company. By John Farmer, M.A.","Farmer, John, M.A.",148,0,3,3,0,12,2,0,0,0,3,0,0,1,0,7,4,0,2,17,4,2,1,0,5,4,2,5,0,1,0,2,3,0,5,2,2,0,0,4,5,1,0,5,0,2,4,0,3,0,15,5,2,1,1,1,1,4,2,0,0,1756,1,1,"London : printed for J. Buckland, at the Buck in Pater-Noster-Row; G. Keith, at the Bible and Crown in Grace-Church street; and E. Dilly, at the Rose and Crown in the Poultry, near the Mansion-House, M.DCC.LVI. [1756].",London,566,unknown,,,FALSE,"the precious Blood of Jesus Christ the Son of God ! Al! Sinners whatsoever, that trust in it by Faith , how many and heinous soever their former Iniquities have been, Shall be pardoned and saved . But those Sinners , who refuse to believe in Christ , are already"
0767300900_000003,"Jesus Christ made of God unto us wisdom, righteousness, sanctification and redemption. A discourse on I Cor. i. 30. By Thomas Walsh.","Walsh, Thomas",117,1,2,2,2,6,0,0,1,0,1,5,2,0,0,1,1,0,2,11,1,2,1,1,3,2,1,4,0,7,2,1,4,0,1,2,2,0,2,0,2,2,0,2,0,3,1,2,0,1,12,3,2,4,0,0,2,0,3,3,2,1763,1,1,"London : printed, and sold at the Foundery, Upper-Moor-Fields, MDCCLXIII. [1763].",London,40,male,1730,1759,FALSE,"such wretched Circumfiances, but he begins to aamend his Ways, and his Doings; and to turn td the LORD his GOD . Even the Spirit of Bondage imr .plies, a breaking off from outward Wickedness, and; an Endeavour to walk in the Prafice of Chritlian Duties, with regard both to"
1138200700_000023,"The funeral of infidelity: or infidels in their separate state. In this treatise, the origin of evil, the state of man immediately upon his death, and the duration of hell-torments, are fully discuss'd, and set in so clear a Light, as to cut off all reasonable Grounds for any future Disputes about them. Written with a Design to put a Stop to the growing Sins of Infidelity, and a stupid Carelessness about a Future State.",,133,4,1,0,4,8,0,0,0,1,3,3,2,10,2,1,0,0,1,14,0,2,0,0,1,0,2,0,1,0,2,1,2,2,2,2,2,0,0,0,1,3,1,6,0,1,9,2,2,0,13,1,4,4,5,0,3,1,1,0,3,1750,1,1,"London : printed for the author, and sold by Joseph Fox , in Westminster-Hall ; and M. Cooper, at the Globe in Paternoster-Row, M,DCC,L. [1750].",London,104,unknown,,,FALSE,"Man to destroy him; yet Men (as they have freewill) may de itroy themselves. Lord Jzuft. The Doetrine of Hell torments is so clearly taught in Scripture , that I wonder how any Man of Learning can deny it. Eufeb. Infidels are lead by their Imagination, which discerns nothing aright"
0563902000_000045,"Sermons on several subjects. By George Baddelley, A. B. Rector of Markfield, Leicestershire.","Baddelley, George",112,0,0,0,0,4,4,1,0,0,1,0,2,1,1,4,0,1,2,9,2,2,0,0,1,0,1,8,1,0,1,3,3,0,6,2,0,2,1,6,0,0,1,5,0,1,1,2,3,0,10,6,1,3,0,2,0,4,2,2,0,1752,1,1,"London : printed for G. Keith, at Mercer's-Chapel, Cheapside, 1752.",London,311,unknown,,,FALSE,"disputed our Lord's authority; he repeats her pardon , gives her his divine word , that her faith hath saved her, and commands her to go in peace. And, ( 221) And, no doubt, the departed in peace, and lived and died in the faith of Christ , her Saviour"
0651500400_000004,"The christian monitor, containing an earnest exhortation to an holy life: with some directions in order thereto. Written in a plain and easie stile, for all sorts of people.",John Rawlet,115,0,1,1,0,6,1,1,0,1,1,3,3,1,4,1,0,1,0,10,2,0,0,4,3,2,0,7,1,0,2,2,8,1,1,2,2,1,0,2,1,1,1,2,0,1,2,6,1,0,8,3,3,4,0,0,2,1,1,2,1,1727,1,1,"London : printed for Edmund Parker at the Bible and Crown in Lombard-Street, 1727.",London,60,male,1642,1686,FALSE,"vain and evil Conversation, to purifie our Hearts and reform ourlives, and make us a peculiar People zealous of good Works , Matte 1 2r. Asss 3 26 Tit. 2 14 I Pet. I. 18 The Death of Christ for us vile Sinners , shows the in. finite Love of"
1096900400_000003,"The poor man's help, and young man's guide. Containing I. Doctrinal instructions for the Right Informing of his Judgment. II. Practical directions for the General Course of his Life. III. Particular advice for the well managing of every Day. With Reference to his I. Natural Actions. II. Civil Employments. III. Necessary Recreations. IV. Religious Duties Unto which is added, principles of religion, useful to be known, believ'd, and practis'd, by such as desire to Receive the Holy Communion with Benefit and Comfort. With Forms of prayer for Families and Single Persons. Also divine hymns on several Occasions. By William Burkitt, M. A. of Pembroke-Hall in Cambridge, late Vicar of Dedham in Essex.",William Burkitt,129,1,2,1,4,5,1,0,0,0,1,4,1,6,1,3,1,2,0,18,2,0,0,2,1,3,2,2,2,0,5,3,1,3,1,0,8,1,1,1,1,2,1,4,0,4,4,2,0,0,13,1,1,1,1,0,1,0,2,1,1,1741,1,1,"London : printed for D. Midwinter, C. Hitch, M. Downing, A. Ward, J. Clarke, R. Hett, and J. Oswald, 1741.",London,191,male,1650,1703,FALSE,"God hath made Man upright, but he hati found out many Inventions. 3 That by reason of Man's Fall , his Nature is wholly corrupted with Original Sin , which is the Seed and Root of all other Sins , derived upon us by Natural Generation, whereby we are disabled"
1260400300_000004,"The christian monitor, Containing an Earnest exhortation to an Holy Life: with some directions in order thereto. Written in a plain and easie stile, for all sorts of people.",John Rawlet,119,0,1,1,0,7,1,1,0,1,1,3,1,1,2,1,0,1,0,11,2,0,0,3,3,2,0,9,2,0,3,5,8,1,1,2,2,1,0,2,1,1,1,2,0,1,3,6,1,0,8,3,3,3,0,0,2,1,1,2,1,1724,1,1,"London : printed for Edmund Parker at the Bible and Crown in Lombard-Street, 1724.",London,60,male,1642,1686,FALSE,"that we might have Liberty to live in them, and yet be lived at the last: No; but he came to save us from our Sins , not in them. she makes us Blessed by turning us from our Iniquities. He died to redeem us from a vain and evil"
1100301500_000002,The sum of Christianity in a confession of faith by Daniel Wilcox. Deliver'd at his ordination to the ministry. September 15. 1703. Now Publish'd at the Request of many.,"Wilcox, Daniel",107,0,8,1,3,5,1,1,1,0,1,3,0,2,0,2,0,1,0,12,2,0,1,2,1,3,0,4,1,1,4,1,1,1,1,0,2,2,1,1,1,1,0,1,0,1,2,2,3,0,4,2,2,5,1,0,2,1,2,1,6,1706,1,1,"London : printed for John Clark, at the Bible and Crown in the Old Change, 1706.",London,29,male,,,FALSE,"in the Couniels of .iheaven, God so loved the World , that he sent his eternal only begot i ~ B. 3· ttea (v) ten Son, promised in the beginning, to accomplish our Redemption. As twas requisite that the same Nature that Sinned should also susser, and the Children to"
0578100103_000016,"Religious tracts, dispersed by the Society for Promoting Christian Knowledge. In twelve volumes. Vol. I.",,117,0,1,1,0,8,1,1,0,1,1,3,1,1,2,1,0,1,0,11,2,0,0,2,3,2,0,8,1,0,3,4,8,0,1,1,2,1,0,2,0,1,1,2,0,2,4,6,1,0,9,3,3,3,0,1,2,1,1,2,1,1800,3,12,"London : printed for F. and C. Rivington, booksellers to the Society, No. 62, St. Paul's Church-Yard, by Bye and Law, St. John's Square, Clerkenwell, 1800.",London,549,unknown,,,FALSE,"our Sins , it gives not the least Encouragement to our Continuance in them. Let us not think that Christ died for our Sins , that we might have Liberty to live in them, and yet be saved at the last. No; but he came to save us from our"
1253501000_000004,"The christian monitor; containing an earnest exhortation to an holy life: with some directions in order thereto. Written in a plain and easy stile, for all sorts of people.",John Rawlet,115,0,1,1,0,7,1,1,0,0,1,3,3,1,3,1,0,1,0,11,2,0,0,3,2,2,0,6,1,0,3,3,8,0,1,2,2,1,0,2,0,1,1,2,0,2,2,6,1,0,8,3,3,5,0,0,2,2,1,2,1,1792,1,1,"London : printed for J. F. and C. Rivington, No 62, St. Paul's Church-Yard, MDCCXCII. [1792].",London,73,male,1642,1686,FALSE,"our Lives , and make us a peculiar People, zealous of good Works , miatthew i. 21 as II 26 Tit. II 14 I Peter i. 18 The Death of Christ for us vile Sinners , hews the infinite Love of God in finding out this Way for our Salvation"
