PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(amen),termFreq(angel),termFreq(apostl),termFreq(baptiz),termFreq(believ),termFreq(bless),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(command),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(ghost),termFreq(glori),termFreq(gospel),termFreq(grace),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(king),termFreq(know),termFreq(law),termFreq(life),termFreq(live),termFreq(love),termFreq(manner),termFreq(mean),termFreq(merci),termFreq(mind),termFreq(natur),termFreq(offer),termFreq(order),termFreq(peopl),termFreq(person),termFreq(power),termFreq(prayer),termFreq(reason),termFreq(receiv),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(spirit),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0668602300_000011,"Forms of morning and evening prayers, a selection of psalms, and occassional [sic] prayers, principally taken from the collects and other parts of the liturgy of the Church of England. ... By a committee of the clergy of ... deanries.",Church of England,152,2,12,1,2,0,0,2,1,1,8,1,4,0,0,0,1,3,2,5,8,4,5,0,2,6,0,3,3,1,9,6,1,2,1,4,1,6,0,0,4,2,0,0,2,3,1,2,2,0,3,1,0,6,6,2,1,0,1,9,1800,1,1,"London : printed by T. Crowder, [1800?].",London,51,unknown,,,FALSE,"and reigneth with thee and the Holy Ghost , one God, world without end . Amen . XLII For the Enjytmenlt o God in Heaven . O God, who, by the leading of a star, didst manifest thy only begotten Son to the Gentiles; mercifully grant , that we, who"
0266601900_000122,"The new practice of piety: containing the necessary duties. of a Christian life: OR The Means of acquiring every Virtue The Remedies against every Vice, And Directions how to resist all Temptations: Adapted to the Genius of the Present Age. Whereby The Ignorant will be instructed, the Unbelieving convicted; the Vicious awakened and reclaimed; and the Religious confirmed in their holy Resolutions. And Directed how to walk in the Favour of God and Man. By his Majesty's Speical Authority, For Public Use and Benefit.","Hodges, James, Sir           1774",128,0,2,3,2,0,4,3,0,0,9,0,3,1,1,2,1,0,3,6,2,1,7,2,4,4,0,0,3,2,11,9,0,0,1,2,0,3,0,0,1,1,0,0,2,2,2,2,10,1,1,1,1,3,3,2,1,0,0,4,1749,1,1,"London : printed for J. Hodges, at the Looking-Glass, facing St. Magnus Church, London-Bridge, MDCCXLIX. [1749].",London,495,unknown,,,FALSE,"c, Direction t. be Meditation on Trinity sunday is to be found on page 26, c. The Prayer for Trinity sunday. A Lmighty and everlasting God, who art one God, one A Lord; not one only person , but three persons in one substance; for that which I believe of"
1187500200_000005,"Devotions, for the use of the Liverpool congregation.",Catholic Church (England),123,1,2,0,1,0,1,2,2,2,4,0,3,2,1,0,2,1,2,1,9,3,5,1,4,5,0,2,2,4,9,6,1,1,0,6,3,2,0,0,2,0,1,5,0,1,0,0,2,0,1,2,1,5,0,3,3,1,0,6,1783,1,1,"Liverpool : printed by G. Woods, MDCCLXXXIII. [1783].",Liverpool,248,unknown,,,FALSE,"we give thee thanks for thy great glory . Lord God, heavenly King , Father Almighty Lord Jesus Chriss, tne only begotten Son. Lord God, lamb of God, Son of the Father , who takeft away the sins of the world , hear our prayers : who fittest at the"
0288100101_000111,"The works of the Right Reverend Father in God Thomas Wilson, D.D. Lord Bishop of Sodor and Man. In two volumes. With his life, compiled from authentic papers by C. Cruttwell. ...",Thomas Wilson,121,2,4,3,1,0,2,1,7,7,9,1,1,1,3,1,0,0,2,1,5,3,1,3,2,3,1,1,1,0,9,10,0,0,0,3,0,1,0,1,7,0,0,1,1,1,2,1,3,0,4,1,0,4,3,1,1,0,0,1,1781,1,2,"Bath : printed for C. and R. Cruttwell; and sold in London by C. Dilly; J. F. and C. Rivington, and J. Johnson, St. Paul's Church-Yard; J. Phillips, George-Yard, Lombard-Street; and James Fox, Westminster, Westminster, MDCCLXXXI. [1781].",Bath,648,male,1663,1755,FALSE,"the Gospel , efrablifed in these nations by the power of the Holy Ghoft. may the same g cd s/i'rit jfictify, govern, and CG rre; :  "" Proper Prefaces. n mighty wind, in the likeness of fiery tongues, lighting upon the Apostles , to teach them, and to lead."
0354500100_000088,"A manual of devout prayers for every day in the week, morning and evening; with other devotions and instructions ...",,126,2,3,0,1,0,0,4,3,3,7,0,3,2,3,1,1,2,2,1,6,1,6,3,4,3,0,1,2,1,7,5,1,0,1,4,1,0,1,0,11,0,1,1,0,2,1,0,4,0,3,1,0,6,0,2,3,2,0,4,1778,1,1,"London : printed in the year, 1778.",London,513,unknown,,,FALSE,"pray. And lastly, for obtaining all graces and blessings , both for myself and for thy whole church . 0 be thou pleated to assist me in such a manner by thy grace , that I may behave myself this day as I ought in thy divine presence, and that"
1078300200_000201,"The new whole duty of man, containing the faith as well as practice of a Christian: made easy for the practice of the present age, As the Old Whole Duty of Man was design'd for those unhappy Times in which it was written; And Supplying the Articles of The Christian Faith, Which are Wanting in that Book, Tho' Essentially necessary to Salvation. Necessary for All Families, and Authorised by the King's most Excellent Majesty With Devotions proper for several Occasions.",,112,2,4,3,1,0,0,2,0,1,5,2,2,1,2,1,2,3,1,4,3,2,7,1,3,4,1,0,5,4,11,7,0,0,1,1,2,2,0,1,0,1,0,2,0,0,1,1,6,0,1,0,0,1,0,2,1,2,1,2,1763,1,1,"London : printed only for John Hinton, at the King's Arms, in Newgate-Street, [1763].",London,592,unknown,,,FALSE,"make me careful to obey them that have the rule overme, because they watch for my soul, as they that must give an account; that they may do it with joy, and not with grief; that so by a faithful discharge of my duty to my spiritual fuperioi s, I"
0266601900_000123,"The new practice of piety: containing the necessary duties. of a Christian life: OR The Means of acquiring every Virtue The Remedies against every Vice, And Directions how to resist all Temptations: Adapted to the Genius of the Present Age. Whereby The Ignorant will be instructed, the Unbelieving convicted; the Vicious awakened and reclaimed; and the Religious confirmed in their holy Resolutions. And Directed how to walk in the Favour of God and Man. By his Majesty's Speical Authority, For Public Use and Benefit.","Hodges, James, Sir           1774",118,1,3,2,7,0,2,5,1,1,8,0,2,2,1,0,0,2,6,3,2,1,3,1,4,4,3,1,1,2,6,5,0,0,0,3,1,3,0,0,3,0,0,0,0,0,0,2,8,0,3,1,0,1,2,1,4,3,1,3,1749,1,1,"London : printed for J. Hodges, at the Looking-Glass, facing St. Magnus Church, London-Bridge, MDCCXLIX. [1749].",London,495,unknown,,,FALSE,"O God, by whose grace the blessed apostles Philip and ames watered with their blood the heavenly seed, which they had sown over the world ; teach me, by their examples, constancy in suffering for the truth ; and let me not shrink in that warfare, which has been so"
0354001400_000089,"A manual of prayers and other Christian devotions. Revised and corrected, with large additions, by R- C-, D.D.",Richard Challoner,117,2,5,1,0,0,1,2,3,1,2,0,3,3,0,1,2,1,1,2,9,2,4,2,1,1,0,2,2,8,8,5,0,1,0,8,4,0,0,0,2,1,1,3,0,1,0,0,2,0,3,2,1,2,0,3,3,2,0,4,1800,1,1,"London : printed by Sampson Low, Berwick Street, Soho; for E. Booker, No. 56, New Bond Street, 1800.",London,575,male,1691,1781,FALSE,"us according to our iniquities: Lord, remember not our former offenccs, but let thy mercy speedily c(me in to our succour, becaif!re we have great need of it. Help us, O God our Saviour , and for the glory of thy name deliver us: O Lord, be merciful to us,"
1092601000_000042,"The true Church of England-Man's companion in the closet: or, a complete manual of private devotions. Fitted for most persons and cases. Collected from the writings of Archbishop Laud, Bishop Andrews, Bishop Kenn, Dr. Hickes, Mr. Kettlewell, Mr. Spinckes, And other Eminent Divines of the Church of England. With a preface, by the Reverend Mr. Spinckes.",,97,0,4,1,1,0,1,6,1,1,1,0,1,1,3,3,0,1,5,2,1,1,3,2,3,3,0,2,2,2,5,1,1,1,1,5,0,0,0,0,2,1,2,0,1,1,0,4,1,1,1,3,1,3,2,2,2,1,1,3,1749,1,1,"London : printed for John and James Rivington, at the Bible and Crown in St. Paul's Church-Yard, M.DCC.XLIX. [1749].",London,400,unknown,,,FALSE,"who follow the steps of the blessed apofte, whom we this day carnm memorate, through the merits of ejiis Chrifp our merciful Redeemer. Amen . On the Annunciationof the blefd Yirgin.: Eternal God, who didlft manifest to thy humble handmaid Mary the incarnation of thy blessed Son, by the message"
0518200900_000025,"A short and plain instruction for the better understanding of the Lord's supper; With the Necessary Preparation requir'd: For the Benefit of Young Communicants, And of such as have not well Consider'd this Holy Ordinance. To which is annex'd, The Office of the Holy Communion: With proper Helps and Directions for joining in every Part thereof with Understanding and Benefit. By the Right Reverend Father in God, Thomas, Lord Bishop of Sodor and Man.",Thomas Wilson,107,3,2,3,1,0,2,3,4,4,6,0,1,1,3,1,0,0,3,1,4,4,1,3,2,2,1,2,1,1,8,7,0,0,0,2,0,1,0,1,7,0,0,1,2,0,2,1,2,0,3,1,0,3,3,2,1,0,0,1,1765,1,1,"London : printed for and sold by B. Dod: sold also by J. Rivington, L. Hawes, W. Clark, and R. Collins, S. Crowder and Co., B. Law and Co. and T. Longman, M.DCC.XLIX. [1765].",London,225,male,1663,1755,FALSE,"entirely to thy Service, and following the holy Example of thy Son, I may, through his Merits and Mediation, be made eternally happy. Upoil i37 Upon Whitsunday, andfi Dajs asfter. T HRO' Jesus Christ my Lord, according to whose most TRUE Promise, the Holy Ghost came down, as at this"
