PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(answer),termFreq(appear),termFreq(argument),termFreq(author),termFreq(believ),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(certain),termFreq(christ),termFreq(christian),termFreq(church),termFreq(concern),termFreq(confid),termFreq(differ),termFreq(divin),termFreq(end),termFreq(evid),termFreq(faith),termFreq(gener),termFreq(god),termFreq(ground),termFreq(holi),termFreq(human),termFreq(idea),termFreq(judg),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(life),termFreq(light),termFreq(love),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(moral),termFreq(natur),termFreq(noth),termFreq(opinion),termFreq(person),termFreq(power),termFreq(principl),termFreq(proof),termFreq(prove),termFreq(reason),termFreq(receiv),termFreq(religion),termFreq(rule),termFreq(scriptur),termFreq(sens),termFreq(spirit),termFreq(suppos),termFreq(think),termFreq(true),termFreq(truth),termFreq(word),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1723900201_000491,"The works of John Locke, Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables.",John Locke,119,1,3,0,1,0,1,1,2,0,1,1,1,0,0,1,0,2,1,2,6,0,4,2,0,1,4,0,1,1,0,0,1,1,0,8,0,1,0,12,1,1,0,2,7,3,6,17,3,2,1,1,3,1,0,5,1,2,3,0,1740,1,3,"London : printed for Edmund Parker, at the Bible and Crown, in Lombard-Street; Edward Symon, against the Royal-Exchange, in Cornhill; Charles Hitch, at the Red-Lion, in Paternoster-Row; and John Pemberton, at the Golden-Buck, in Fleetstreet, M.DCC.XL. [1740].",London,659,male,1632,1704,TRUE,"no easy matter to give an account how it was. This, as I take it, your Lordship condemned in others, as a very unreasonable principle , and such, as would subvert all the articles of the Christian religion , that were mere matters of faith , as I think it"
0210900800_000100,"Alciphron: or, the minute philosopher. In seven dialogues. Containing an apology for the Christian religion, against those who are called free-thinkers. By George Berkeley, D. D. Late Lord Bishop of Cloyne.",George Berkeley,91,0,1,1,1,1,2,0,0,1,1,2,1,1,3,0,1,1,1,3,6,0,2,3,0,2,0,5,3,2,1,1,1,2,0,2,0,1,4,3,3,0,0,5,5,1,1,4,0,2,0,0,2,1,2,1,1,2,0,2,1755,1,1,"Dublin : printed for Thomas Watson, Bookseller, at the Poets Heads in Caple-Street, MDCCLV. [1755].",Dublin,382,male,1685,1753,TRUE,"things. CJIL It were to be wished those capable Men wpbaldieploy their Judgement and attention on the same objeas. If the theological Inquiries are unpalatable, the field of nature is wide. How many Discoveries to be made! how many Errors to be cqrreded in arts and sciences! how many Vices"
0361000300_000073,"Logick: or, the right use of reason in the enquiry after truth. With a variety of rules to guard against error in the affairs of religion and human life, as well as in the sciences. By Isaac Watts, D.D.",Isaac Watts,112,0,1,0,2,1,5,0,1,0,1,4,2,0,0,0,1,3,0,8,2,2,11,0,0,1,4,1,4,1,0,0,3,1,0,1,0,3,2,1,0,1,0,3,9,1,2,10,2,1,2,3,2,0,1,0,1,4,0,4,1775,1,1,"London : sold by T.Davidson, St. Paul's Church-Yard, and R. Thomson, and D. Manson, in the Strand, [1775?].",London,316,male,1674,1748,TRUE,"four classes wherein matters of revelation may be said to rise above, or go beyond our reason . r. When revelation asserts two things of which we have clear ideas , to be joined, whose connexion or agreement is not dilcoverable by reason ; as when scripture informs us, that"
0768600800_000040,"Truth triumphant: or, a summary view Of the Late controversy Occasioned by a Book, Intitled, The Moral Philosopher.",,131,0,0,1,1,3,3,0,1,0,4,0,1,0,2,3,1,3,0,7,1,0,9,2,1,1,1,1,2,0,1,0,0,0,0,3,3,1,16,3,1,0,3,0,6,3,2,6,4,4,0,0,3,0,2,0,7,13,2,0,1739,1,1,"London : printed for T. Cooper, at the Globe in Paternoster-Row, M.DCC.XXXIX. [1739].",London,147,unknown,,,FALSE,"are contending for, and the Ule we would make of such Writings transmitted down to us, is to inform us, as I said, in fasi, what were truly the original Doctrines of the divine Revelation, and what were the Proofs of its being such. But whether our Forefathers ought to"
0954500400_000015,"The progress of a female mind, in some interesting enquiries. Containing, I. A Soliloquy. II. A Letter to a Jew, on the Evidences of Revelation. III. A Letter to a Christian Divine on the Gospel System; with some References to a late Free Enquirer. IV. A Remark on the Importance of the Hebrew Language. By a lady.",Lady,109,1,1,1,0,0,1,0,1,0,1,0,2,0,0,2,3,10,0,5,2,0,3,0,0,4,2,1,2,0,0,0,1,1,0,1,1,5,4,5,2,1,3,3,0,3,2,8,1,8,1,1,1,2,1,2,1,5,1,3,1764,1,1,"London : printed for A. and C. Corbett, opposite St. Dunstan's Church, Fleet-Street, MDCCLXIV. [1764].",London,94,female,,,FALSE,"the spirit of the Gospel;; the same spirit can never inculcate oppojite doctrines, and whenever it seems to do so, I conclude the matter is set before me in words which do not diflinaly give the original idea . And though I may not be able to. answer the objeetions"
0371900800_000101,"Alciphron: or, the minute philosopher. In seven dialogues. Containing an apology for the Christian religion, against those who are called free-thinkers.",George Berkeley,108,0,1,2,2,1,3,0,0,1,1,4,2,1,0,0,0,0,0,3,10,0,1,5,0,1,0,0,2,6,2,1,0,3,0,2,0,1,4,6,4,0,0,3,7,6,1,4,0,1,2,0,3,1,3,1,0,3,0,4,1755,1,1,"Dublin : printed for Thomas Watson, Bookseller, at the Poets Heads in Caple-Street, M,DCC,LV. [1755].",Dublin,382,male,1685,1753,TRUE,"conjecural are the Principles of Infidelity. Whereas on the other hand, the Principles of Faith seem to be points plain and clear. It is a clear point, that this Faith in Christ was spread abroad throughout the world soon after his death. It is a clear point, that this was"
0177400800_000015,"The christian's magazine, or treasure. Containing, a choice collection of many remarkable passages upon several important religious subjects, Taken out of the Writings of Some of the Most Eminent Modern Divines: Tending to Our Confirmation Both in the Belief and Practice of the True Christian Religion, against Atheists, Deists, Socinians, Papists, And other Corrupt and Loose Christians. By James Mauclerc, M. D. One of the Oldest Members of the Royal College of Physicians.","Mauclerc, James",108,0,2,0,4,1,5,0,2,0,3,0,1,0,3,1,1,3,1,1,0,1,12,0,3,1,1,3,2,3,1,0,0,0,0,2,1,1,1,6,1,0,2,0,1,2,2,0,0,16,1,4,1,0,2,1,3,4,1,1,1745,1,1,"London : printed for the author, by S. Richardson; and sold at his house in Orange-Street near Leicester Fields, and at the Sign of Erasmus's Head, in the Strand, [1745?].",London,414,unknown,,,FALSE,"ridiculous to ask for other kind of Proof than the Nature of the Thing in question will bear, it being the same as to desire that the Nature of Things flould be changed; and therefore to call for mathematical Demonstration in Point of Religion , is as much as to"
0518400105_000148,"A discourse concerning the idolatry practised in the Church of Rome, and the hazard of salvation in the communion of it: In Answer to some Papers of a Revolted Protestant. Wherein A Particular Account is given of the Fanaticisms and Divisions of that Church. The fifth volume. By the Right Reverend Father in God Edward Stillingfleet, D. D. Late Lord Bishop of Worcester.",Edward Stillingfleet,122,2,0,0,1,0,8,0,0,0,4,0,6,8,1,0,2,3,0,5,9,2,5,4,0,0,0,3,1,0,0,0,1,0,0,5,1,0,4,2,2,2,6,0,1,1,2,4,2,1,2,6,5,0,2,0,4,4,1,0,1709,5,5,"London : printed for Henry and George Mortlock, at the Sign of the Phaenix in St. Paul's Church-Yard, MDCCIX. [1709].",London,1003,male,1635,1699,FALSE,"Evidence to us. 21 It is therefore necessary in order to an infallible Assent, that every particular Person be infallibly assisted in judging of the matters proposed by him to be believed so that the ground , on which a necessity of Tome external infallible Proponent is asserted, must rather"
0298801300_000074,"Logick: or, the right use of reason in the inquiry after truth. With A Variety of Rules to guard against Error, in the Affairs of Religion and Human Life, as well as in the Sciences. By Isaac Watts, D.D.",Isaac Watts,117,0,1,0,2,0,5,0,1,1,1,3,1,0,0,0,1,5,0,7,2,1,13,0,0,2,4,2,4,1,0,0,1,3,0,2,2,2,1,2,0,0,0,4,8,1,2,14,2,2,1,2,2,0,0,0,2,1,2,4,1775,1,1,"London : printed for J. Buckland, W. Strahan, T. Caslon, T. Longman, T. Field, E. and C. Dilly, G. Robinson, W. Flexney, and W. Goldsmith, M.DCC.LXXV. [1775].",London,376,male,1674,1748,TRUE,"Assistance of the Bible. In Matters of Revealed Religion , that is, Christianity , Judaifin, c. which we could never have known by the Light of Nature , the Word of God is our only Foundation and chief Light ; though here our Reason must be used both to find"
0980900900_000006,"The inspired Scripture an adequate rule of faith and practice, illustrated in a sermon, preached October 23, 1793, at the ordination of Mr. Thaddeus Mason Harris, to the pastoral care of the church and Christian society in Dorchester. By Samuel Kendal, A.M. Pastor of the Congregational Church and Society in Weston.","First Church (Dorchester, Boston, Mass.)",107,0,1,0,0,1,3,0,0,0,0,2,3,0,0,1,0,4,0,2,8,1,11,1,3,3,2,2,0,3,1,4,1,4,2,1,0,4,0,4,0,0,2,1,1,0,1,0,2,2,4,10,1,2,1,0,1,0,3,4,1794,1,1,"[Boston] : Printed at the Apollo Press, in Boston, by Belknap and Hall, no. 8, Dock Square, --1794.",Boston,44,unknown,,,FALSE,"to support those doctrines, which are founded upon such uncertain conclusions, drawn from some of the darkest and most doubtful passages of scripture , than they are to defend those which are clearly expressed. And too often they confider a belief in such dotrines the highest evidence , if not"
