PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(ag),termFreq(alexandria),termFreq(ancient),termFreq(build),termFreq(built),termFreq(charact),termFreq(column),termFreq(countri),termFreq(cut),termFreq(egypt),termFreq(egyptian),termFreq(empir),termFreq(emploi),termFreq(figur),termFreq(granit),termFreq(height),termFreq(hieroglyph),termFreq(inhabit),termFreq(king),termFreq(knowledg),termFreq(languag),termFreq(long),termFreq(marbl),termFreq(monument),termFreq(nile),termFreq(peopl),termFreq(pharoah),termFreq(poster),termFreq(pyramid),termFreq(red),termFreq(rock),termFreq(roof),termFreq(ruin),termFreq(sepulchr),termFreq(sphinx),termFreq(stone),termFreq(strabo),termFreq(templ),termFreq(time),termFreq(travel),termFreq(upper),termFreq(variou),termFreq(wall),termFreq(work),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0145800400_000021,"Report of the Commission of Arts to the First Consul Bonaparte, on the antiquities of Upper Egypt, and the present state of all the temples, palaces, obelisks, statues, tombs, pyramids &c. Of philoe, syene, thebes, tentyris, latopolis, memphis, heliopolis, &c. &c. From the cataracts of the nile to cairo: with an accurate description of the pictures with which they are decorated, and The Conjectures that may be drawn from them, respecting the Divinities to whom they were consecrated. Translated from the French of Citizen Ripaud, Librarian to the Institute of Egypt.",Louis Ripault,84,0,0,1,4,0,2,0,1,1,1,10,3,0,4,2,2,2,1,0,2,0,0,1,0,4,1,0,0,0,11,3,3,0,3,5,5,0,0,3,0,3,4,1,1,0,0,1800,1,1,"London : printed for J. Debrett [by S. Gosnell], opposite Burlington House, Piccadilly, 1800.",London,109,male,1775,1823,FALSE,"have served as mausoleums to three kings of Memphis: the largess is that of Cheops, the second was built by Chephren, and the third by Mycerimes. The easternmost is alio the most:. elevated, - though it does not appear so high as that which succeeds to it, and the second"
1557400200_000021,"Report of the Commission of Arts to the First Consul Bonaparte on the antiquities of upper Egypt, and the present state of all the temples, palaces, obelisks, statues, tombs, pyramids, &c. of philo, syene, thebes, tentyris, latopolis, memphis, heliopolis, &c. &c. From the cataracts of the Nile to Cairo: with an accurate description of the pictures with which they are decorated, and the conjectures that may be drawn from them, respecting the divinities to whom they were consecrated. Translated from the French of citizen Ripaud, librarian to the institute of Egypt.",Louis Ripault,74,0,0,1,5,1,1,0,3,1,1,9,2,0,3,2,2,2,1,1,1,0,0,1,0,6,1,0,0,0,9,2,2,0,2,2,4,0,0,2,0,2,3,1,1,0,0,1800,1,1,"London : Printed for J. Debrett, opposite Burlington House, Piccadilly, 1800.",London,70,male,1775,1823,FALSE,"four at its bare. It was opened by an Airabian caliph. The king who conitructed it, had done everything in his power to conceal his sepulchre . His fiarcophagus is placed in a fiepukchre lined with granite , which was never employed but in those places where it was designed"
0334200602_000015,"Letters on Egypt, containing, a parallel between the manners of its ancient and modern inhabitants, its Commerce, Agriculture, Government, and Religion; with the descent of Louis IX. at Damietta, extracted from Joinville, and Arabian authors. Translated from the French of M. Savary. In two volumes. ...","Savary, M. (Claude Étienne)",65,0,0,0,1,0,1,0,4,1,5,4,3,0,2,0,5,0,1,1,0,1,0,0,2,1,2,1,1,0,2,1,4,1,1,1,0,1,3,5,1,3,0,1,2,0,3,1799,2,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1799.",London,477,male,1750,1788,FALSE,"the first increase of the waters, and regulate the labours of agriculture, is no longer to be found. According to Strabo's description, we may suppose it was a chamber, like that of Mekias, in the island of Raouda, except that it was made from a single stone ; and, instead"
1123200112_000048,"The beauties of nature and art displayed, in a tour through the world; containing I. A General Account of all the Countries in the World, remarkable for either Natural or Artificial Curiosities; their Situation, Boundaries, Extent and Divisions; their Rivers, Air, Soil, Chief Cities, &c. II. A particular Account of the most curious natural Productions of each Country, in the Animal, Vegetable, and Fossil Kingdoms; of remarkable Mountains, Caverns, and Volcano's; of Medicinal and other singular Springs; of Cataracts, Whirlpools, &c. III. An Historical Account of the most remarkable Earthquakes, Inundations, Fires, Epidemic Diseases, and other public Calamities, which have, at different times, visited the Inhabitants. IV. Extraordinary Instances of Longevity, Fertility, &c. among the Inhabitants; together with an Account of their most celebrated Inventions, Discoveries, &c. V. Particular Descriptions of the most remarkable Public Buildings, and other singular Productions of Art. VI. Curious Remains of Antiquity; remarkable Laws, Customs, and Traditions of the Inhabitants; together with a Summary View of the most extraordinary Revolutions among them. Illustrated and embellished with copper plates. Vol. I.",,62,0,0,2,3,3,2,0,3,2,1,2,1,0,0,2,1,1,1,0,2,0,0,1,7,1,4,1,0,0,1,1,1,1,2,2,1,4,2,4,0,1,0,1,1,0,0,1763,12,14,"London : printed for J. Payne, at the Feathers, in Pater-Noster-Row, M.DCC.LXIII. [1763]-64.",London,222,unknown,,,FALSE,"sixty feet long , and eighty broad, supposed to have been the square pyramid which Strabo speaks of at the end of the labyrinth. There are some remnants of large marble pillars, which supported a very rustic portico, almost entirely destroycd; but through it we pass into a fine spacious"
0175500702_000016,"Letters on Egypt, containing, a parallel between the manners of its ancient and modern inhabitants, its Commerce, Agriculture, Government and Religion; with the descent of Louis IX. at Damietta. Extracted from Joinville, and Arabian authors. Translated from the French of M. Savary. In two volumes. ...","Savary, M. (Claude Étienne)",65,0,4,2,0,0,0,0,2,4,1,6,3,3,0,0,2,0,0,3,1,1,0,0,1,2,2,5,1,0,2,1,1,1,1,1,0,0,3,7,0,1,1,0,1,0,2,1787,2,2,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCLXXXVII. [1787].",London,508,male,1750,1788,FALSE,"ocock observed obclitks, and columns half formed. formed. They were cut from the fides of the rock , and, when detached, drawn to the river, and transportcd o; rafts to the place intended. The granite of there qua.rrics, being spotted, red and grey, resembles the column of Alexander Severus, is"
1352000101_000035,"Travels through Arabia, and other countries in the East, performed by M. Niebuhr, now a Captain of engineers in the service of the King of Denmark. Translated into English by Robert Heron. With notes by the translator; and illustrated with engravings and maps. In two volumes.",Carsten Niebuhr,74,0,0,0,4,1,0,6,0,4,0,6,3,0,2,4,0,1,8,1,0,2,4,0,0,1,0,2,1,1,3,0,1,1,0,1,2,2,0,1,1,5,2,1,1,0,2,1792,1,2,"Dublin : printed for Gilbert, Moore, Archer, and Jones, 1792.",Dublin,444,male,1733,1815,FALSE,"had accompanied Mr Montague into ET 2 ypt. gypt. That chamber is thirty feet above the firfit, and as large, but not so lofty in the roof . The famous Sphinx is sinking still deeper in the sand; and a great part of the body is already buried. It seems"
0002600100_000186,"Primitive history, from the creation to Cadmus. By W. Williams, Esqr. Formerly of St. John's College, Cambridge.","Williams, William           1785",69,0,0,1,2,0,2,0,2,0,1,0,4,0,0,4,3,1,5,0,4,0,0,3,3,1,2,0,0,0,2,0,0,1,4,0,0,4,4,7,0,0,1,1,4,0,3,1789,1,1,"Chichester : printed and sold by J. Seagrave, 1789.",Chichester,625,unknown,,,FALSE,"by Diodorus, and were seen by Herodotus. "" The third wall con. tained in sculptures anrd paintings, the kings triumphs and oblations. In the centre of the piazza flood, sub dio, an altar of a beautiful stone , admirable for its size and workmanship. At the farther wall were two"
1000700103_000139,"The farmer's magazine, and useful family companion. Consisting of practical essays, ... on the different branches of husbandry, ... A miscellaneous collection of valuable family receipts, ... Useful hints and curious observations ... By Agricola Sylvan, gentleman.",,59,0,0,3,3,0,1,0,1,1,2,7,1,1,0,3,1,1,2,1,5,0,0,1,1,0,2,1,1,0,1,0,3,1,2,0,1,2,0,1,1,0,1,1,2,1,3,1778,3,5,"[London, England] : Printed for R. Snagg, no. 129, Fleet-Street, London; and R. Cruttwell, in Bath; and sold by every bookseller, stationer, and news-carrier, in the kingdom, MDCCLXXVI. [1776-1780].",London|Bath.,512,unknown,,,FALSE,"stone , and others of different sorts of earth. nce.r the largest pyramid stands what is usually called the sphinx , which, if entire, should resemble a woman in the upper part, and a lion in the lower. Nothing more of this figure , however, is difccrnible, than from the"
0798800101_000035,"Travels through Arabia, and other countries in the East, performed by M. Niebuhr, ... Translated into English by Robert Heron. With notes by the translator; and illustrated with engravings and maps. In two volumes. ...",Carsten Niebuhr,71,0,0,0,4,1,0,5,0,4,0,5,3,0,2,4,0,1,8,1,0,2,4,0,0,1,0,2,1,1,3,0,1,0,0,0,2,2,0,1,2,5,2,1,1,0,2,1792,1,2,"Edinburgh : printed for R. Morison and Son, Perth, G. Mudie, Edinburgh; and T. Vernor, London, 1792.",Edinburgh,445,male,1733,1815,FALSE,Sphinx is finking still deeper in the sand; and a great part of the body is already buried. It seems to be formed out of the rock upon which the pyramid stands; a circumn stance which confirms my conjeture concerning the place from which the stones for building the pyramids
1101700302_000014,"Letters on Egypt, with a parallel between the manners of its ancient and modern inhabitants, the present State, the Commerce, the Agriculture, and Government of that Country; and an account of the descent of St. Lewis at Damietta: extracted from Joinville, and Arabian authors. Illustrated with maps. By Mr. Savary, Author of the Life of Mahomet, and Translator of the Coran. In two volumes. ...","Savary, M. (Claude Étienne)",55,0,0,0,1,4,2,1,3,0,0,0,4,0,0,1,4,2,3,2,0,1,1,0,2,2,0,1,0,0,1,1,0,1,3,0,1,1,1,7,1,0,0,1,2,0,1,1786,2,2,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCLXXXVI. [1786].",London,629,male,1750,1788,FALSE,"the terraces. Above and in the front of the temple , is a second court, the extent of which corresponds with the majesty of the building . It is likewise decorated with two ranges of co lumnns, which are more than fifty feet high, by eighteen in circumference at the"
