PassageID,Title,Author,Total termFreq,termFreq(ancient),termFreq(appear),termFreq(arm),termFreq(armi),termFreq(author),termFreq(battl),termFreq(bodi),termFreq(caus),termFreq(citi),termFreq(command),termFreq(consul),termFreq(continu),termFreq(countri),termFreq(death),termFreq(defeat),termFreq(emperor),termFreq(empir),termFreq(end),termFreq(enemi),termFreq(father),termFreq(follow),termFreq(forc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(govern),termFreq(greek),termFreq(hand),termFreq(head),termFreq(honour),termFreq(itali),termFreq(king),termFreq(land),termFreq(law),termFreq(left),termFreq(manner),termFreq(mean),termFreq(near),termFreq(number),termFreq(offic),termFreq(order),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(receiv),termFreq(return),termFreq(roman),termFreq(rome),termFreq(senat),termFreq(sever),termFreq(soldier),termFreq(state),termFreq(taken),termFreq(templ),termFreq(thought),termFreq(took),termFreq(tribun),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0853300100_000020,"Rom? antiqu? notitia: or, the antiquities of Rome. In two parts. I. A Short History of the Rise, Progress, and Decay of the Commonwealth. II. A Description of the City: An Account of the Religion, Civil Government, and Art of War; with the Remarkable Customs and Ceremonies, Publick and Private. With Copper Cuts of the Principal Buildings, &c. To which are prefixed Two Essays, concerning the Roman Learning, and the Romar Education. By Basil Kennet. of C. C. C. Oxon.",Basil Kennett,93,0,1,0,6,2,0,0,0,3,1,3,0,0,1,2,0,2,2,2,1,2,3,0,3,0,1,0,1,0,1,3,6,2,1,1,3,1,1,1,1,0,1,1,1,1,1,3,5,4,3,3,1,2,2,0,0,1,1,1,5,1776,1,1,"London : printed for C. Bathurst, J.F. & C. Rivington, R. Horsfield, W. Owen, G. Keith, T. Caslon, S. Crowder, T. Longman, B. Law, G. Robinson, E. Johnston, R. Fuller, and T. Beecroft, M.DCC.LXXVI. [1776].",London,460,male,1674,1715,FALSE,"Admiral, engaging with the King's Forces at Sea, under the Command of Hannibal, entirely ruined the whole Fleet. Which viceory being immediately followed by another as signal at Land , the effeminate Prince was contented to purchase a Peace at the Price of almost half his Kingdom (b). The vicorious"
0992200600_000020,"Romæ antiquæ notitia: or, the antiquities of Rome. In two parts. I. A Short History of the Rise, Progress, and Decay of the Commonwealth. II. A Description of the City: An Account of the Religion, Civil Government, and Art of War; with the Remarkable Customs and Ceremonies, Publick and Private. With Copper Cutts of the Principal Buildings, &c. To which are prefix'd Two Essays; concerning the Roman Learning, and the Roman Education. By Basil Kennett, of C. C. C. Oxon.",Basil Kennett,94,0,1,0,7,4,0,0,0,4,1,3,0,0,1,3,0,2,2,2,1,1,2,0,3,0,2,0,1,0,0,3,5,1,2,1,3,1,1,1,1,0,1,1,2,1,1,2,4,5,3,2,1,2,2,0,0,1,1,1,5,1746,1,1,"London : printed for W. Innys, A. Ward, J. and P. Knapton, [S.] Birt, D. Browne, T. Longman and T. Shewell, Hodges, E. Wicksteed, C. Bathurst, J. and R. Jonson, J. Hutton, and M. Cooper, MDCCXLVI [1746].",London,460,male,1674,1715,FALSE,"Prince was contented to purchase a Peace at the Price of almost half his Kingdom (b). The victorious Romans had scarce included the public Re joicings on Account of the late Success, when the Death of King Philip of Macedon presented them with an Occasion of a more glorious Triumph."
0900000102_000010,"The roman history, in a series of letters, from a nobleman to his son. ...",,94,0,1,1,5,2,1,1,1,5,1,1,0,1,1,1,0,1,1,3,0,1,4,1,3,0,2,0,1,2,1,1,0,1,2,2,4,1,1,1,1,2,0,5,0,1,1,2,3,6,3,2,3,1,2,0,4,2,0,0,1,1775,2,2,"Dublin : printed for J. Williams, No. 21, Skinner-Row, M.DCC.LXXV. [1775].",Dublin,263,unknown,,,FALSE,"place in the forces , ..' * on on account of their not having received an equal dividend of the spoils that had been taken from the enemy . The tenth legion, which had been so long attached to Csefar, first discovered their discontent, and marching from Campania to Rome"
1514000104_000717,"An universal history, from the earliest account of time to the present: compiled from original authors; and illustrated with maps, cuts, notes, chronological, and other tables.",,94,1,0,1,3,0,1,0,1,2,1,6,2,3,1,2,0,0,1,0,1,0,1,1,7,0,1,2,0,1,0,2,1,0,5,1,0,0,2,1,1,2,2,8,1,1,0,1,6,3,2,2,0,0,1,1,1,1,3,1,6,1744,4,7,"Dublin : printed by and for George Faulkner, in Essex-Street, M.DCC.XLIV. [1744-1745].",Dublin,879,unknown,,,FALSE,"nothing worth mentioning in Cisalpine Gaul, when the time of the elections drew near , was called home to assemble the centuries. The persons raised to the consulate this year were C Cornelius Cethegus and. Minucius Rufus. They were both sent into Cisalpine Gaul against Hamilcar, who still headed the"
0271800610_000046,"Modern history: or, the present state of all nations. Describing their respective situations, persons, habits, ... animals and minerals. By Mr. Salmon. Vol.X. ... Illustrated with cuts and maps, ... by Herman Moll.",Thomas Salmon,107,0,1,2,9,2,1,1,0,3,7,4,0,0,0,6,0,2,1,2,1,1,4,0,4,0,4,0,2,1,0,2,3,1,1,2,1,1,0,0,0,1,1,3,1,1,1,2,4,6,7,1,0,5,0,0,0,0,1,2,2,1729,10,26,"London : printed for Tho. Wotton; J. Shuckburgh: and T. Osborne, jun., 1729.",London,441,male,1679,1767,FALSE,"Interests, who served his Ends by encouraging the Disaffection of the People . This was the State of Rome when Sylla was constituted General against Mithridates King of Pontur, who had encroached upon the Roman Territories in Asia and Greece, and reduced several of their Towns and Provinces under his"
1236600300_000020,"Rom? antiqu? notitia: or, the antiquities of Rome. In two parts. I. A short history of the rise, progress, and decay of the commonwealth. II. A description of the city: An Account of the Religion, Civil Government, and Art of War; with the Remarkable Customs and Ceremonies, Publick and Private. With Copper Cuts of the Principal Buildings, &c. To which are prefix'd two essays; concerning the Roman learning, and the Roman education. By Basil Kennett, of C. C. C. Oxon.",Basil Kennett,93,0,1,0,7,4,0,0,0,4,1,3,0,0,0,3,0,2,2,2,1,1,2,0,3,0,2,0,1,0,1,3,4,1,2,1,3,2,1,1,1,0,0,1,2,1,0,3,4,4,3,3,1,2,2,0,0,1,1,1,5,1754,1,1,"London : printed for W. Innys, J. & P. Knapton, S. Birt, D. Browne, T. and T. Longman , J. Hodges, E. Wicksteed, C. Bathurst, J. and R. Tonson, J. Ward, and M. Cooper, MDCCLIV. [1754].",London,461,male,1674,1715,FALSE,"resolving to break with the Senate , applied himself wholly to raising Forces , and procuring other Neceffaiies for a War . Never were greater Appearances in the Field than on both Sides, most of the considerable Princes in the World being engaged in this Quarrel. But Fortune still declared"
1514100106_000063,"An universal history, from the earliest account of time to the present: compiled from original authors; and illustrated with maps, cuts, notes, chronological, and other tables.",,95,1,1,1,1,1,0,0,2,1,1,3,1,2,1,1,9,4,1,1,0,2,1,0,1,1,0,0,1,0,0,3,1,0,1,3,0,1,1,2,0,0,1,1,2,0,0,3,6,11,2,2,1,0,2,1,1,2,0,2,8,1744,6,7,"Dublin : printed by and for George Faulkner, in Essex-Street, M.DCC.XLIV. [1744-1745].",Dublin,934,unknown,,,FALSE,"p. zz2 & Ver p. 38- NOL. VI S that were subject to, or had any communication with, Rome , or the Romans . We are a told by Ammianus Marcellinus, that this plague first broke out at Seleucia, where the soldiers , pillaging the temple of Apollo, found a"
0002901601_000015,"The commentaries of Cæsar, translated into English. To which is prefixed a Discourse concerning the Roman art of war. By William Duncan, ... In two volumes. ...",Julius Caesar,114,0,2,1,5,2,1,3,0,1,9,7,2,1,0,0,0,0,0,0,0,1,7,3,9,0,1,0,0,1,1,2,0,0,1,1,4,1,1,4,4,5,1,2,1,1,2,0,4,1,2,1,1,6,2,0,0,0,2,6,2,1755,1,2,"London : printed for J. and R. Tonson and S. Draper, and R. and J. Dodsley, 1755.",London,489,male,,,FALSE,"in every Legion. During the Infancy of the Come monwealth they were nominated by the Consuls ; and afterwards, partly by the Consuls , partly by the People . Their Business was to decide all Controversies in the Army ; to give the Word to the Watch; to see that"
0974500202_000054,"The general history of the world, being an abridgment of Sir Walter Raleigh. With a continuation from the best historians to the present times. In four volumes.",Walter Raleigh,89,0,1,0,3,1,0,0,0,2,2,3,0,1,4,3,1,2,1,1,2,0,1,1,3,1,1,0,1,0,1,2,7,1,0,3,1,1,1,0,1,2,4,0,1,1,2,3,4,2,4,1,2,1,1,0,1,4,0,1,2,1708,2,4,"London : printed for A. Bell , at the Cross-Keys in Cornhil ; R. Smith, at the Bible under the Piazza of the Royal-Exchange, and J. Round, at Seneca's Head, in Exchange-Ally, 1708.",London,464,male,1552,1618,FALSE,"Anthony endeavoured to persuade him to it; and Pompey being Master at Sea, cut offall Provisions from coming to the City : At which the Citizens, who were almost flarv'd, made grievous Complaints, and was so en raged at Ostavius, that they threw Stones at him, and would have stone"
0515100103_000070,"The universal traveller: or, a compleat description of the several nations of the world. Shewing, I. The Situation, Boundaries, and Face of the respective Countries. II. Number of Provinces and Chief Towns in each. III. The Genius, Temper, and Habits of the several People. IV. Their Religion, Government, and Forces by Sea and Land. V. Their Trafick, Produce of their Soil, Animals, and Minerals. VI. An Abstract of the History of each Nation. Brought down to the present Time. And illustrated with a great variety of maps and cuts. By Mr. Salmon.",Thomas Salmon,108,0,1,0,6,4,1,1,0,1,3,4,0,0,0,4,0,2,0,1,0,0,2,1,3,0,1,0,1,2,0,3,5,1,5,2,1,0,0,0,1,1,3,3,1,3,2,3,5,8,12,0,0,5,0,0,0,0,3,1,2,1752,3,3,"London : printed for Richard Baldwin, at the Rose in Pater-Noster-Row, M.DCC.LII. [1752].",London,879,male,1679,1767,FALSE,"brave De Carthage defence of tlhee Years, levelling it with the A. R. 603 Ground. abobj' softy Years aftr, Atralus King Pergimus of Pergamita dying Without Children, lest Ro,, t' his Ddmitiiolts to the Romani State , which A. R. 64.l gave tfiem the Pofieffion of the best Part of"
0443000200_000071,"The history of the decline and fall of the Roman Empire. By Edward Gibbon, Esq; volume the first.",Edward Gibbon,81,1,0,1,1,2,1,1,2,0,2,1,1,2,4,2,3,2,1,3,2,1,1,0,2,0,1,0,1,2,1,4,0,1,0,0,0,0,0,1,0,2,1,3,0,1,1,0,1,5,12,1,1,0,0,1,0,0,1,0,4,1776,1,1,"London : printed for W. Strahan; and T. Cadell, 1776.",London,695,male,1737,1794,TRUE,"enjoy the prudence and felicity of Gordian the fa"" "" the valour and constancy of Gordian the son ` !"" The noble ardour of the consul revived the languid spirit of the senate . and declares By an unanimous decree the elecion of the Gordians was ratified, Maximin a publicenemy."
1747600102_000169,"A new history of the Holy Bible, from the beginning of the world, to the establishment of Christianity. ... To which are added, notes ... The whole illustrated with proper maps and sculptures. By the Reverend Mr. Thomas Stackhouse, ...",Thomas Stackhouse,87,1,3,1,1,1,0,0,1,1,2,2,0,1,2,1,0,1,0,3,3,1,2,1,2,0,2,0,2,1,1,2,2,1,1,1,1,0,0,2,4,1,1,3,1,8,0,0,3,6,1,0,2,1,0,0,2,2,2,0,4,1733,2,2,"London : printed and sold, for the author, at J. Huggonson's, 1733.",London,710,male,1677,1752,FALSE,"tpleurefy, occasioned by excessive Drinking, to which, in the Decline of Life, he accustomed himself, and young Marius, who inherited his Father's Cruelty, as well as Power , entered into a close League with Cinna, and engaged Valerius Flaccus, (whom they procured to be made Confiul) in their Interest, and"
0547400204_000028,"A summary of universal history from the creation to the present time. In letters from a father to his son. By Francis Dobbs, Esq. Member for the Borough of Charlemont, in Ireland. ...",Francis Dobbs,77,0,0,0,2,0,1,0,2,3,4,3,0,1,0,1,0,1,3,2,0,1,4,1,3,0,1,0,1,1,1,4,1,1,1,1,0,1,1,0,0,0,1,3,1,1,2,1,4,3,3,1,2,1,1,0,1,2,1,2,1,1800,4,9,"London : printed for the author [by S. Gosnell], and sold by S. Sael and Co. No. 192, Strand, 1800.",London,250,male,1750,1811,FALSE,"was doubtful; and at best deftrutive to his country . For a short time there rcfletions made him hesitate. But at length his ruling passion prevailed. He passed the Rubicon: which bounded the province in which he had a right to as. And surprising the strong city of Ariminium, he"
1646200200_000010,"A Summary of geography and history, both ancient and modern. For the use of the highest class in the High School of Edinburgh.",,99,0,0,2,2,1,0,0,2,2,3,3,1,2,4,6,0,0,1,2,0,0,2,3,2,0,2,0,0,2,1,4,3,0,2,0,0,2,3,2,2,1,1,1,1,4,0,3,4,4,0,5,0,2,1,0,0,2,2,1,6,1784,1,1,"Edinburgh : [s.n.], Printed in the year 1784.",Edinburgh,178,unknown,,,FALSE,"of the nobility gave occasion to the advaancement of Marius, a person of low extraaion, .to the consulship, by the interest of the people , who had been incited against the nobles by the eloquence of Mum mains, a tribune of the commonxs, A. U. 647 Marius Ioon nifthed that"
0271800610_000045,"Modern history: or, the present state of all nations. Describing their respective situations, persons, habits, ... animals and minerals. By Mr. Salmon. Vol.X. ... Illustrated with cuts and maps, ... by Herman Moll.",Thomas Salmon,103,0,0,0,4,1,3,2,0,3,3,4,0,0,0,6,0,2,1,0,0,0,4,0,6,0,1,1,0,1,0,3,5,1,3,2,0,1,0,0,0,0,3,4,0,3,1,1,11,4,4,1,0,1,0,0,1,1,2,3,6,1729,10,26,"London : printed for Tho. Wotton; J. Shuckburgh: and T. Osborne, jun., 1729.",London,441,male,1679,1767,FALSE,"the Carthaginians quite out of Sicily; at asa the same time making themselves Masters of Rome Sardinia and Corsica. After which the Romans , 488 under the Command of Regulus and Manlius their Consuls , transported their Forces into Africa, making that the Seat of the War . Whereupon the"
1542400103_000241,"Modern history: or, The persent state of all nations. Describing their respective situations, persons, habits, buildings, manners, laws and customs, religion and policy, arts and sciences, trades, manufactures and husbandry, plants, animals and minerals. Vol. III. The second part of the present state of Europe. Containing, the present of the seven united provinces, their antient history, great towns, provinces, government, manners, fisheries and revenues: of the Austrian and French Netherlands, and Switzerland. As also the present state of Italy, particularly the Great Dukedom of Tuscany; the republick, territories and politicks of Venice; the dominions of the pope; all the antient and modern curiosities of which they obtain'd the dominion over the churches of Christendom: an account of Naples, Sicily, Sardinia, Corsica and Malta. A complete description of all the provinces and great cities of France, particularly Paris, Versailles, &c. with all their churches, hospitals, palaces, and curuisitites; with a clear and exact, tho' compendious history of all the great events, and memorable revolutions of France, from its original, down to the year 1730. Illustrated with several curious copper-plates of the most remarkable buildings and habits; with maps of the several countries described in this volume, accurately drawn, according to the geographical part of this work: by Herman Moll.",Thomas Salmon,91,0,2,1,5,3,1,1,0,3,3,2,0,2,1,3,0,2,1,3,1,2,3,0,1,0,3,0,2,2,1,1,2,1,2,2,0,0,0,1,0,1,0,2,1,0,2,2,1,6,8,1,1,5,1,0,0,0,0,2,1,1731,3,3,"Dublin : Printed by and for Geo. Grierson, at the Two Bibles in Essex-Street, M,DCC,XXXI. [1731].",Dublin,796,male,1679,1767,FALSE,"of Armenia, whither them to make Laws themrnfelves, and to exer Pompey following him, Tigranes was so terri cife a kind of Sovereign Authority . In their fled at his Approach, that he immediatelyfub Contentions with the Senate they seldom mitted himself and his Kingdom to tnedil wanted some ambitious"
