PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(antiqu),termFreq(art),termFreq(board),termFreq(book),termFreq(bound),termFreq(calf),termFreq(complet),termFreq(copi),termFreq(cut),termFreq(edit),termFreq(elegantli),termFreq(elegi),termFreq(england),termFreq(essai),termFreq(fine),termFreq(gilt),termFreq(half),termFreq(head),termFreq(histori),termFreq(larg),termFreq(law),termFreq(leav),termFreq(letter),termFreq(life),termFreq(map),termFreq(memoir),termFreq(moral),termFreq(natur),termFreq(neat),termFreq(neatli),termFreq(note),termFreq(opera),termFreq(origin),termFreq(paper),termFreq(plate),termFreq(poem),termFreq(portrait),termFreq(print),termFreq(sermon),termFreq(state),termFreq(translat),termFreq(travel),termFreq(voyag),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0570100200_000006,"A catalogue of an extensive collection of curious books: with ancient manuscripts, ... are now selling, ... by G. Sael, ...",George Sael,126,2,9,2,3,1,4,6,1,11,2,2,2,0,3,0,4,3,2,1,4,1,2,1,1,1,8,1,0,5,13,1,0,0,2,3,13,0,2,1,0,2,1,3,2,1,1794,1,1,"[London, 1794].",London,167,male,1760,1799,FALSE,"Prints , heads , &c.price on each i24 Rennes's Memoirs of a Map of Hindostan, uwithplates, and the map on 4 jheets' fnely coloured, mounted on canvas and rollers, 2l 7s6d - 1792 125 Guettard de Mlleartires sir difjl'rentes Parties intcrejfanies s es Si ences et Arts , ouvrage ofpe"
1198600600_000022,"A catalogue of books for the year 1800, in various languages and classes of literature, on sale for ready money, by J. Cuthell, Middle-Row, Holborn; Where Catalogues may be had, Price One Shilling and Sixpence each. Libraries Purchased.","Cuthell, John",155,0,6,1,12,0,8,0,2,15,2,2,3,0,2,1,5,4,5,0,9,1,0,1,6,0,4,0,0,0,30,2,1,0,3,4,10,3,3,2,1,3,0,1,2,1,1800,1,1,"London : printed by G. Auld, Greville-Street, London, [1800].",London,421,unknown,,,FALSE,"Revolt of Ali Bey againit the Ottoman Port, boards , is 6d - 178+ 2249 Another copy , neat , 2s - 1784 25.o Hlewlett's Vindication of the Authenticity of the Parian Chronicle, boards , 2s 6d - 1789 2 7; hut tclhirlt; )n on Beauty and Virtue, is 6d"
1198600500_000008,"A catalogue of books, prints, &c. Which are now selling (for ready money) at the prices marked in the catalogue, by Brownlow Waight bookseller, No. 73, Berner's Street, Oxford Street. (late with Mr. Chapman, of Woodstock-Street.) Who will pay the strictest attention and execute with punctuality such Orders as his Friends and the Publick may be pleased to Favor him with. Catalogues to be had at the place of Sale, of Mr. Collins, Change-Alley, Cornhill; Mr. Hatchard, Piccadilly; Mr. Lea, Compton-Street, Corner of Greek-Street, Soho; and Mr. Bremner, in the Strand.","Waight, Brownlow",142,5,1,0,8,1,6,0,1,5,7,2,3,0,1,0,4,4,2,0,12,4,0,1,1,5,5,4,0,1,19,0,0,0,1,2,1,10,7,1,1,2,1,8,2,4,1799,1,1,"[London, s.n., 1799].",London,58,unknown,,,FALSE,"481 Cumberland's Origines Gentium Antiquiffime, neat , 21724 48z Perry s State of Russia, map , 2s 1716 483 Another copy , neat , as 6d 484 History of the Popes Nephews, with a portrait by Chantry, is 1669 485 Menin's Form and Certmon'ies used at tbr Coronatiorrs of all"
1242401000_000003,"A catalogue of the valuable collection of coins, Medals, Antiquities, Bronzes, Royal and other antient Seals, Books, Manuscripts, Prints, Drawings, &c. of Benjamin Bartlett, Esq. Fellow of the Society of Antiquaries, deceased. Part II. Containing the Printed Books, Manuscripts, Prints, Drawings, &c. Among which are many Books of Antiquities and Topographical History, in fine Preservation, and very rare, which (by order of the executor,) will be sold by auction, By Mr. Gerard, At his House, in Litchfield-Street, St. Anne's, Soho, On Thursday, May 3, 1787, and the Two following Days, To be viewed on Wednesday the 2d, and each Day till the Time of Sale, which will begin at Half after eleven O'Clock precisely. Catalogues to be had at Mr. Gerard's aforesaid.","Gerard, John",129,2,1,0,10,0,12,0,1,1,14,1,2,0,5,3,2,7,3,2,5,0,0,3,6,2,3,2,1,0,5,8,2,1,0,0,0,6,7,5,2,0,0,1,1,3,1787,1,1,"[London : s.n., 1787].",London,20,male,,,FALSE,"Well indies. 1655 izi Burton's Commentary on Antoninus's Itinerary, with a fire portrait of Gul. Burton, by Hollar. 1658 z12 Bible, black letter , the wve; es not divided. 123 Smith's General History of Virginia. 163s 124 Pharmacopoeia Coll. Lond. - 165o 125 Michael Drayton's Poems , vwii hisportrazt. Prints"
1205300700_000213,"Second volume of Lackington's catalogue for 1793. Consisting of above ninety thousand volumes, ... selling ... By J. Lackington, ...",James Lackington,105,4,3,0,12,1,9,4,2,1,3,4,2,0,1,2,5,4,2,0,0,1,1,1,3,2,1,2,0,0,9,10,1,0,0,2,1,1,0,3,2,0,1,2,2,1,1793,1,1,"[London, 1793].",London,431,male,1746,1815,FALSE,"France, new, fewved, is iod (fi; me as is sold at is 6d) -- -- - 784 1x444. Walpole's Catalogue of Royal and'noble Authors of Enig land, 2 vol, northeast, vin boards , 7s 1792 ?4445 Wilibn's Youth's Pocket Companion, 9d - 178 144..6 Webb on the Beauties of Poetry,"
1206600600_000012,"A catalogue (for 1786,) of several libraries and parcels of books, lately purchased; ... Which will be sold ... by William Collins, ... Catalogues ... to be had of Mr. Hayes, ... Mr. Lea, ... Mr. Chapman, ... Mr. Whieldon, ... Mr. Walker, ... Mess. Merrill's, at Cambridge; and at the place of sale. ...","Collins, William           1801",124,4,1,1,11,1,17,3,2,3,11,2,1,0,0,0,4,2,11,0,4,3,1,1,7,0,2,1,0,2,4,3,2,2,0,1,2,3,2,3,0,2,0,3,1,1,1786,1,1,"[London, 1786].",London,144,unknown,,,FALSE,"Discovery and Natural Hillory of Florida, with Maps and Plamns, sued, 4s _.... 1 763 60o Holy 6o5 Holy Bible, Apocrypha, Common Prayer, Index, Downame's Concordance and Psalms, large 4to. rebound in rough calf , new, 11 Is London 1756 6o6 Bible, Apocrypha, Common Prayer, Index and Psalms, rebound in"
1205300100_000209,"Second volume of Lackington's catalogue for 1792. Consisting of about ninety thousand volumes, ... The whole selling ... By J. Lackington, ...",James Lackington,138,1,0,1,15,0,9,8,4,0,3,8,5,0,2,2,4,7,0,1,4,3,1,0,9,1,1,1,0,1,14,9,1,0,0,2,5,4,0,0,1,0,2,3,2,4,1792,1,1,"[London, 1792].",London,404,male,1746,1815,FALSE,"6s 6d 178s 1394 Clarendon's History of the Rebellion, 6 vol. slained, 135 6d 13946 Clarendon's Life , 3 vol. in 2, very neat , fiarce, 133s 759 i3947 Collins's Peerage of England , 6 vol. with the Coats of Arms, * very neat , J'arce, 1 Iis -17 s6"
1094500600_000002,"Catalogue of several thousand volumes, in various languages, arts, and sciences, containing several parcels of books, lately purchased: the books in general are in good condition, ... which will be sold ... on Tuesday the 27th of June, 1769. ... by Homan Turpin, ...","Turpin, Homan           1791",152,0,4,1,2,6,6,1,2,0,18,5,4,0,0,0,8,5,1,2,12,5,2,3,1,3,9,1,1,0,23,2,0,0,0,3,3,1,0,0,1,1,3,6,5,2,1769,1,1,"[London, 1769].",London,113,unknown,,,FALSE,"A R T O. History , Antiquities , Voyages , Travels , Poetry, Physic, Mathematics, c. 9 Divinity and Ecelefiaflical History 12 Divinity, Tracts, e- -- Libri Graeci Latini & Francois, c - O C T A V O. History , Antiquities , Voyages , Travels , Miscellanies, Lives, Memoirs"
1210200300_000013,"A catalogue of several libraries lately purchased, containing a curious and valuable collection of books in most languages and faculties. And in very neat condition, which will begin to be sold cheap, (The price printed in the catalogue) at J. and J. Fletcher's, in the Turle, Oxford, on Friday, June 26, 1772. Catalogues may be had at the place of sale; and at Mr. Rivington's, in St. Paul's Church Yard, London. ...","J. and J. Fletcher (Firm : Oxford, England)",129,1,3,1,13,1,7,3,2,1,3,6,1,0,5,0,3,3,0,1,10,5,2,0,2,2,2,2,0,0,14,7,6,0,0,4,4,4,0,3,0,0,2,0,1,5,1772,1,1,"[Oxford, 1772].",Oxford,112,unknown,,,FALSE,"Lord Bolingbroke's Works by Mallet, 5 vol. neatly bound and gilt , 51 15s. 6d 175+ oog Blackweli's Memoirs of the Court of Augustus, 3 vol. very neat , 31 3 1764 1olo Polybius, translated from' the Greek by Mr. Hampton, 2 v1h. neat , zl 4s 1772 loi i"
1192900800_000008,"Catalogue of books, consisting of near ten thousand volumes, In various Languages, Arts, and Sciences, Including several libraries lately Purchased, with Pamphlets, Prints, Music, &c. Among others equally valuable are the following: Folio. Bibles, by Wright, Rider, Moore, Purver, Cruden, Stackhouse, the Bishops, &c. Hargrave's State Trials, 10 vols. Chambers's Dictionary, 4 vols. Harris's Voyages, 2 vols Horsman's Conveyancing, 2 vols. Large English Atlas Middleton's Geography, 2 vols. Middleton's Dictonary of Arts and Sciences, 2 vols. Moore's Voyages, 2 vols Quarto Grosse's Antiquities, 4 vs. & Sup. Blair's Lectures, 2 vols. Wallis's Northumberland, 2 vs. Baskerville's Classics, 5 vols. Burn's Westmor. and Cumber. 2 vs. Anson's Voyage Hawkesworth's Voyages, 3 vols. Josephus's Works, 2 vols Leland's History of Ireland, 3 vs. Millar's Gardener's Dictionary Mosheim's Ecclesiastical Hist. 2 vs. Priestley's Vision, Light and Colo. Ruff head's Statutes, 9 vols. Octavo, &c. Bell's British Theat. 21 vs. roy. pa. Coke's Reports, 7 vols. Atkins's ditto, 3 vols. Strange's ditto, 2 vols. Blackstone's Comm. 4 vs. by Burn Pennant's Zoology, 4 vols. Bible, 4 vols. large print Antiquites of West. Abbey, 2 vs. Universal Magazines, 63 vs com. London ditto, 50 vs. complete. Martin's ditto, 11 vols Buffon's Natural History, 6 vols. Baskerville's Shakespeare, 9 vols. Baskerville's Classics, 6 vols Clarendon's Hist of Rebel. 6 vs. Dodsley's Poems, 6 vols. Johnson's Shakespeare, 8 vols. Smollett's Hist. of England, 12 vs, Rapin's ditto, 15 vols. Goldsmith's ditto, 4 vols. Robertson's Hist. of America, 2 vs. Bp Beveridge's Sermons, 12 vols. Nature Display'd, 7 vols. Van Swieten's Commentar. 18 vs. Hist. des Indes, par Raynal, 7 tom. Swift's Works, 14 vols. The Books in general are in good Condition, many of them new, and in elegant Bindings. Which will begin to be Sold at the very low Prices printed in the Catologue, on Monday Nov. 17, 1783, By R. Christopher, bookseller and printer, in Stockton. Who gives the full value for any Library or Parcel of Books. Catalogues to be had (gratis) at the Place of Sale, and of Mr Goldsmith, Pater-Noster-Row, London; and may be seen at the Booksellers Shops in Edinburgh, Newcastle, Durham, Sunderland, Kendal, Whitby, Scarbro', Hull, Leeds, York, Doncaster, Whitehaven, &c.","Christopher, Robert",125,1,1,1,3,6,10,1,4,3,1,2,4,0,2,1,3,7,2,3,6,4,0,2,3,3,2,1,0,2,20,0,1,0,0,1,10,1,0,5,1,0,4,1,0,3,1783,1,1,"[Stockton : printed by Robert Christopher, 1783].",Stockton-on-Tees,142,male,1751,1819,FALSE,"the East in[lies, plates , is 6d. 1718 422 Bentley's Poems , royalpaper, new andgilt, 4s. 1774 423 Berkley on Tar Water; and Mason on the Intermitting Fever and Ague, half bound , 2s. 1744 424 Bennet's Confutation of Popery, is. - 170 425 Ditto, rs. #425 Bennets confutation of"
