PassageID,Title,Author,Total termFreq,termFreq(acid),termFreq(air),termFreq(alkali),termFreq(appear),termFreq(arsen),termFreq(becom),termFreq(bodi),termFreq(calx),termFreq(colour),termFreq(combin),termFreq(contain),termFreq(copper),termFreq(crystal),termFreq(differ),termFreq(dissolv),termFreq(distil),termFreq(earth),termFreq(experi),termFreq(form),termFreq(grain),termFreq(heat),termFreq(iron),termFreq(lead),termFreq(lime),termFreq(liquor),termFreq(marin),termFreq(mercuri),termFreq(metal),termFreq(miner),termFreq(mix),termFreq(mixtur),termFreq(muriat),termFreq(nitr),termFreq(nitrou),termFreq(obtain),termFreq(oil),termFreq(oxygen),termFreq(precipit),termFreq(principl),termFreq(process),termFreq(produc),termFreq(properti),termFreq(proport),termFreq(pure),termFreq(quantiti),termFreq(red),termFreq(salt),termFreq(separ),termFreq(silver),termFreq(solut),termFreq(spirit),termFreq(substanc),termFreq(sulphur),termFreq(tartar),termFreq(tin),termFreq(unit),termFreq(veget),termFreq(vitriol),termFreq(volatil),termFreq(water),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0665000102_000024,"The callico printers' assistant; from the first operation of designing patterns, to the delivery of work for sale: including, Among various other matters of more general Import. thoughts on genius and invention. Suggestions for an improved mode of printing. - --An Essay (applicable to Manufacturers in general) on the attention due from Masters and Men to each other. And a concise history of callico printing to the present time; Comprizing many Particulars both immediately respecting it, and that has affinity with it, in remote Points of view.","O'Brien, Charles, callico printer",191,18,2,4,1,4,0,4,3,1,2,5,4,2,2,5,2,2,0,5,0,5,2,3,0,0,3,0,12,3,2,1,0,3,7,1,6,0,6,1,1,7,1,0,0,2,2,2,2,2,3,2,8,8,0,2,8,4,8,2,6,1789,2,2,"London : printed for and sold by Charles O'brien, Designer and Metallic Fancy Figure-Worker Forcylindrical, Copper Plate Press, and Block Printing, at his Drawing School and Circulating-Library, White Lion-Street, Pentonville, Islington; sold likewise by J. Bew, Pater-Noster-Row; and by the booksellers of Manchester, Carlisle, Glasgow, Dublin, and other places where callico-printing is performed, MDCCLXXXIX. [1789]-92.",London,295,unknown,,,FALSE,"It readily unites with sulphur . LEAD . This is the heaviet of all metals , gold and silver excepted, is softer than any, and except tin , melts the easiest: Vitriolic acid asses it nearly as it does silver , the nitrous acid diflolves it with much ease, and"
0185100204_000009,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",206,32,3,3,1,1,5,0,5,6,6,1,2,4,1,9,1,2,2,9,1,4,0,2,3,1,0,2,8,4,1,0,2,5,5,5,1,0,5,1,3,1,1,0,0,3,0,22,0,2,8,2,1,0,0,1,2,2,4,2,9,1788,4,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,487,male,1755,1809,FALSE,"other half inflammable gas, which burned with a blue flame. The Abbe Fontana, who repeated this experiment , obtained from an ounce of the crystallised salt , 432 inches of gas, of which one third was cretaceous acid , and the rest inflammable gas, mixed with common air . On"
1750300102_000064,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D.D. author of Essays Historical and Moral, &c. In three volumes. With fifty-six plates.",George Gregory,142,9,0,4,4,1,2,1,4,2,6,2,5,0,0,1,2,1,0,4,0,6,3,2,2,1,0,10,7,1,2,3,1,0,2,1,0,2,7,1,2,2,3,3,0,6,3,2,0,1,3,0,1,3,1,1,4,2,1,1,4,1798,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1798.",London,552,male,1754,1808,FALSE,"a more silvery appearance . The ingredients, however, are not fuffciently mixed by the first subi limation; they mufi be rubbed together again and sublimed; and these processes mult be repeated at least three times. The converflon of the corrosive sublimate into the milder fubitance, calomel, may be explained on"
0329000402_000024,"A treatise on calico printing, theoretical and practical: including the latest philosophical discoveries - any way applicable: - accompanied with suggestions relative to various manufactures.","O'Brien, Charles, callico printer",192,17,2,4,2,4,0,4,3,1,2,4,5,3,2,7,1,2,0,4,0,5,3,2,0,0,3,0,12,3,2,1,0,3,7,0,4,0,7,0,0,8,2,0,0,2,3,3,1,3,3,2,8,8,0,3,8,2,8,2,7,1792,2,2,"[London] : Printed for C. O'Brien, Islington; and sold by Bew: Richardson: Murray: and the booksellers of Manchester, Glasgow, Dublin, &c., 1792.",London,293,unknown,,,FALSE,"property of giving red colcurs in general, hence tin vessels are used in making fine fyrupofviolet. It is not affetled by water as iron and copper are, but it loses its polish o exposure to the air : It readily unites with sulphur . L E A D. This is"
1115600104_000247,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,175,24,11,5,1,1,0,2,2,6,2,0,1,1,1,1,1,6,0,3,0,7,1,1,0,2,4,1,2,1,0,7,1,2,5,2,2,0,7,0,2,3,2,0,5,0,1,2,1,0,18,0,2,2,3,1,1,3,10,3,3,1798,4,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,401,unknown,,,FALSE,"cafes it may be made to filpport flame, and even animal life. Its property of condcnfing along with phlogifticated air renders it a test of the salubrity of the atmosphere. 6 /itriolic acid air . The same with volatile or fillphurcous vitriolic acid . 7 Marine acid air . The"
0197800800_000019,"Heads of lectures on a course of experimental philosophy, particularly including chemistry, delivered at the New College in Hackney. By Joseph Priestley, LL.D. F. R. S.",Joseph Priestley,189,10,16,4,0,3,5,1,4,2,7,1,1,0,0,3,0,1,0,5,1,10,4,3,0,1,3,25,9,2,2,1,0,0,5,0,1,0,7,0,3,0,2,1,5,2,5,1,0,3,4,0,6,6,0,3,3,1,4,1,2,1794,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, 1794.",London,211,male,1733,1804,TRUE,"it is found in small particles, never exceeding the size of a pea, mixed with ferruginous sand and quartz. The strongest fire will pot melt these grains , though it will make them cohere; but they may be melted by a burning lens, or a blowpipe supplied with dephlogifti cated"
0185100203_000005,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",156,9,2,7,0,8,1,0,7,12,3,2,6,2,1,2,2,0,3,6,0,2,3,0,1,0,0,0,10,2,1,1,2,4,2,4,1,0,2,0,0,2,7,1,2,1,1,3,5,0,8,0,1,4,0,0,3,1,2,4,3,1788,3,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,517,male,1755,1809,FALSE,"are not known; its calx , when melted with matters proper to form glass,. gives them a hyacinthine colour , more or less red . The acion of lime , magnesia, and the three pure alkalies , on nickel, are still unknown. Mr. Sage affirms, that when four parts of"
0090302001_000043,"A dictionary of chemistry, Exhibiting the present State of the Theory and Practice of that Science, its Application to Natural Philosophy, the Processes of Manufactures, Metallurgy, and numerous other Arts dependant on the Properties and Habitudes of Bodies, in the Mineral, Vegetable, and Animal Kingdoms. With a considerable number of tables, Expressing the Elective Attractions, Specific Gravities, Comparative Heats, Component Parts, Combinations, and other Affections of the Objects of Chemical Research. Illustrated with engravings. By William Nicholson. In two volumes. ...",William Nicholson,210,39,4,11,2,1,1,1,3,1,2,1,2,4,0,6,2,0,0,12,1,0,1,3,4,0,3,4,12,2,1,1,0,1,5,0,1,0,9,0,1,0,0,2,1,4,0,5,1,2,8,0,1,0,23,5,7,1,3,1,5,1795,1,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, M.DCC.XCV. [1795].",London,583,male,1753,1815,FALSE,"fumes, becomes black, and burns, by the contac of ignited bodies . By distillation it affords an acid phlegm, a small quantity of oil , and much fixed air , together with inflammable air , leaving behind a coaly residue, which contains neither acid nor alkali . The crystals of"
0185100203_000020,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",154,20,3,9,2,0,4,0,11,4,5,0,1,2,0,3,3,0,3,4,0,2,2,0,1,1,3,0,7,1,0,1,4,3,3,2,0,0,5,0,0,2,3,0,2,4,2,4,0,0,7,1,2,3,1,0,1,1,5,5,2,1788,3,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,517,male,1755,1809,FALSE,"the same salt with the nitrous acid , according to Hellot. The muriatic acid ads on zink as firong ly as the nitrous . During the rapid effervescence which accompanies this combination , much inflammable gas is disengaged, which has the same properties as that afforded by the nitrous acid"
1115600104_000286,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,179,23,2,10,0,5,0,0,1,2,5,2,1,4,0,10,1,2,3,4,0,0,4,0,1,2,3,1,3,2,0,2,0,5,1,1,1,0,4,0,1,2,1,2,3,8,0,4,1,1,12,9,0,4,3,0,3,2,8,4,6,1798,4,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,401,unknown,,,FALSE,"of gold, 799 matic By repeated diltillations fronti xo Quantity of phlogiston in rcia, 80o This solution useful Arfcnic decomposed by dcphlogi pure clay, its filell became mild, and it, 507 Proper method of burn in dyeing, ibis dccollpofed by fticated spirit of salt , 919 it acquired an apparent"
