PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(appear),termFreq(appli),termFreq(attend),termFreq(begin),termFreq(bleed),termFreq(blood),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(cold),termFreq(continu),termFreq(cure),termFreq(danger),termFreq(degre),termFreq(differ),termFreq(diseas),termFreq(disord),termFreq(drink),termFreq(fever),termFreq(follow),termFreq(frequent),termFreq(gener),termFreq(happen),termFreq(head),termFreq(heat),termFreq(increas),termFreq(inflamm),termFreq(kind),termFreq(littl),termFreq(matter),termFreq(mean),termFreq(medicin),termFreq(method),termFreq(natur),termFreq(observ),termFreq(occas),termFreq(open),termFreq(oper),termFreq(pain),termFreq(patient),termFreq(person),termFreq(physician),termFreq(prevent),termFreq(produc),termFreq(proper),termFreq(purg),termFreq(quantiti),termFreq(remedi),termFreq(remov),termFreq(sever),termFreq(small),termFreq(sometim),termFreq(symptom),termFreq(taken),termFreq(ulcer),termFreq(urin),termFreq(violent),termFreq(warm),termFreq(water),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0824600300_000283,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, physically applied to the cure of all disorders incident to mankind. To which are annexed, rules for compounding medicine according to the True System of Nature: forming a complete family dispensatory, And Natural System of Physic. Beautified and enriched with engravings of upwards of four hundred and fifty different plants, And a Set of Anatomical Figures. Illustrated With Notes And Observations, Critical And Explanatory. By E. Sibly, Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,142,3,5,2,2,1,7,2,5,5,1,2,3,3,4,1,0,5,1,2,11,1,4,7,0,2,5,0,4,1,0,0,0,4,0,1,0,3,1,1,1,10,0,0,1,0,2,4,3,0,1,0,4,4,5,0,2,0,2,3,1,1789,1,1,"London : printed for the proprietors, and sold by Green and Co. 176, Strand, MDCCLXXXIX. [1789].",London,783,male,1616,1654,FALSE,"at the turn of the disease the fever assumes new vigour, and there appears great danger of suffocation, bleeding must be repeated according to the patient's strength, and blisters mut .be applied , with a view to prevent the load from being thrown on the lungs, where if an inflammation"
0164600500_000116,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a Dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,128,3,1,0,6,1,2,10,3,4,2,1,0,1,2,1,2,5,2,3,3,1,3,2,0,0,1,1,3,0,0,1,1,2,0,1,0,3,2,1,5,8,2,0,1,1,0,4,2,1,0,0,5,3,3,2,4,7,3,0,3,1784,1,1,"Dublin : printed for H. Chamberlaine, J. Williams, R. Moncrieffe, R. Burton, and W. Sleater, MDCCLXXXIV. [1784].",Dublin,653,male,1729,1805,FALSE,"by which means a dysentery or putrid fever may be occasioned . The best way of preventing this, is to keep the body gently open , by frequently exhibiting emollient clyster. Purges must not be given till the discharge is stopped, otherwise they will irritate the stomach, and increase the"
0166800600_000113,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a Dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,132,0,0,0,5,0,2,10,4,4,2,1,1,1,6,1,2,4,2,3,2,1,3,2,0,0,1,1,3,0,1,1,1,3,0,1,0,7,2,1,5,6,0,0,1,1,0,5,5,1,0,0,3,4,2,3,3,7,3,0,5,1781,1,1,"London : printed for W. Strahan; T. Cadell in the Strand ; and J. Balfour, and W. Creech, at Edinburgh, MDCCLXXXI. [1781].",London,793,male,1729,1805,FALSE,"drops of laudanum may be given in a cup of barley water twice a day, and continued for lobm time, provided they be found beneficial. THE conserve of roses is likewise a very good medicine in this cafe , provided it be taken iri sufficient B b quantity , quantity"
0165100400_000116,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh. The twelfth edition, enlarged and improved. To which is added, a chapter on cold bathing, and drinking the mineral waters, with additions.",William Buchan,136,0,0,0,5,0,2,13,4,4,2,1,0,1,6,1,2,6,2,3,2,1,3,2,0,0,1,1,4,0,0,1,2,2,0,1,0,7,2,1,5,6,0,0,1,2,0,5,2,1,0,0,4,4,3,3,4,7,3,0,4,1792,1,1,"Dublin : printed for W. Sleater, J. Moore, R. White, and J. Rice, M.DCC.XCII. [1792].",Dublin,705,male,1729,1805,FALSE,"the syrup of poppies. If stronger astringents be necessary, fifteen or twenty drops of the elixir of vitriol may be given in a glass of water t' ree or four times a day. Those who are subjecto frequent returns of this disease should avoid all excess. Their diet should be"
0269000200_000116,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,133,0,0,0,5,0,2,11,4,4,2,1,0,1,7,1,2,4,2,3,2,1,3,2,0,0,1,1,3,0,1,1,2,3,0,1,0,7,2,1,5,5,0,0,1,1,0,5,4,1,0,0,2,4,3,5,3,7,3,0,4,1788,1,1,"London : printed for A. Strahan; T. Cadell in the Strand; and J. Balfour, and W. Creech, at Edinburgh, MDCCLXXXVIII. [1788].",London,851,male,1729,1805,FALSE,"very good medicine in this cafe , provided it be taken in sufficient quantity , and long enough persisted in. It may be taken 377 taken -: the quantity of three or four ounces a day; and, ir .-; : K: : be troubled with a cough, it should be"
1046300400_000113,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a Dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,131,0,0,1,5,0,5,8,4,3,2,1,1,1,6,1,2,4,2,4,1,1,4,2,0,0,1,1,3,0,1,1,1,3,0,1,0,6,2,1,5,5,0,0,0,1,0,5,5,1,0,0,4,3,1,5,2,6,4,0,5,1779,1,1,"London : printed for W. Strahan; T. Cadell in the Strand; and J. Balfour, and W. Creech, at Edinburgh, MDCCLXXIX. [1779].",London,798,male,1729,1805,FALSE,"day, as is found necessary. If the bleeding proves violent , ligatures may be applied to the extremities, as directed for the bleeding at the nose. IF the patient be hot or feverish, bleeding and small doses of nitre will be of use; a scruple or half a dram of"
0521200100_000119,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh. The fifteenth edition; to which is added, Observations concerning the diet of the common people, recommending a Method of living less expensive, and more conducive to Health, than the present.",William Buchan,131,0,0,0,5,0,2,11,4,2,2,1,1,1,6,1,2,3,2,4,1,1,4,2,0,0,1,1,2,0,1,1,2,3,0,1,0,7,2,1,5,4,0,0,1,1,0,5,4,1,0,0,4,4,3,5,2,7,3,0,5,1797,1,1,"London : printed for A. Strahan, and T. Cadell jun. and W. Davies, (successors to Mr. Cadell,) in the Strand; and J. Balfour, and W. Creech, Edinburgh, MDCCXCVII. [1797].",London,823,male,1729,1805,FALSE,"drachm of nirre may be taken in a cup of his ordinary drink twice or thrice a day. His drink may likewise be sharpened with acids, as juice of lemon, or a few drops of the spirit of vitriol; or he may take frequently a cup of the tinaurt of"
0165000200_000113,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,132,2,0,0,5,0,2,9,3,5,3,1,0,1,5,1,2,6,2,3,2,1,2,2,0,0,1,1,4,0,0,1,1,2,0,1,0,8,2,1,5,7,1,0,1,2,0,5,2,1,0,0,4,4,2,3,4,7,2,0,3,1776,1,1,"London : printed for W. Strahan; T. Cadell in the Strand ; and J. Balfour, and W. Creech, at Edinburgh, MDCCLXXVI. [1776].",London,787,male,1729,1805,FALSE,"is generally preceded by pain of the stomach, sickness, and nausea; and is accompanied with great anxiety, and frequent fainting fits; THIS disease is sometimes periodical; in which cafe it is less dangerous . It often proceeds from an obstruction of the menses in women; and Sometimes from the slopping"
0758900400_000268,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a Display of their Medicinal and Occult Properties, Physically Applied to The Cure of all Disorders incident to Mankind. To which are Annexed, Rules for Compounding Medicine according to the True System of Nature: Forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of Four Hundred and Fifty different Plants, And a Set of Anatomical Figures. Illustrated with notes and observations, Critical and Explanatory. By E. Sibly, M. D. Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,112,1,3,1,2,2,2,1,2,2,0,4,1,1,2,1,2,8,0,3,4,0,4,4,1,0,1,0,5,2,1,0,1,3,0,1,1,2,2,1,1,8,1,0,0,2,2,3,1,0,0,0,2,1,4,3,5,1,1,4,2,1794,1,1,"London : printed for the author, and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, [1794?].",London,711,male,1616,1654,FALSE,"be proper , as soon as the symptoms appear , to bleed in the arm, or rather in the jugular vein, and to repeat the operation if circumstances require. The body should likewise be kept gently open . This may be done by giving the patient for his ordinary drink"
0264600200_000028,"The modern family physician, or the art of healing made easy; being a plain description of diseases to which Persons of every Age are most liable, with the methods of cure. Extracted from the Writings of Sydenham, Mead, Sloane, Boerhaave, Buchan, Tissot, and other eminent physical writers, and Adapted to the Use of private Families.",,130,0,2,3,3,2,3,0,1,6,2,3,2,3,2,0,1,5,2,4,1,2,2,7,2,2,0,1,4,0,4,1,0,2,0,0,0,0,1,1,7,10,4,1,0,2,4,1,3,1,1,0,2,1,4,2,0,0,4,4,5,1775,1,1,"London : printed for F. Newbery, the Corner of St. Paul's Church-Yard, 1775.",London,287,unknown,,,FALSE,"be applied to the neck milk warm spread en a soft flannel cloth, and a little rice may be added to it, although the sift commonly aufwer s. the end. It often happens that the symptoms abate soon after bleeding , but still the pain conti sues; and in such."
