PassageID,Title,Author,Total termFreq,termFreq(asleep),termFreq(awak),termFreq(bed),termFreq(bodi),termFreq(brain),termFreq(consciou),termFreq(dai),termFreq(dream),termFreq(excit),termFreq(experi),termFreq(fanci),termFreq(idea),termFreq(imag),termFreq(imagin),termFreq(impress),termFreq(memori),termFreq(mind),termFreq(night),termFreq(percept),termFreq(phantasm),termFreq(real),termFreq(reason),termFreq(rise),termFreq(sens),termFreq(sleep),termFreq(soul),termFreq(state),termFreq(thought),termFreq(vision),termFreq(wake),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0303200100_000028,"A treatise concerning eternal and immutable morality. By Ralph Cudworth, D. D. Formerly Master of Christ's College in Cambridge. With a preface by the Right Reverend Father in God, Edward Lord Bishop of Durham.",Ralph Cudworth,76,1,5,1,1,1,3,1,3,2,1,2,1,1,6,1,0,2,0,4,18,2,3,0,3,1,13,0,0,0,0,1731,1,1,"London : printed for James and John Knapton, at the Crown in St. Paul's Church-Yard, M,DCC,XXXI. [1731].",London,325,male,1617,1688,FALSE,"Phantasms would q of course. become Dreams , and run on, and appear not as Phantasms or Imaginations only of things feigned or nonexistent, but as Perceptions of things really existent, that is, as Sensations. W H lere AS there Imaginations that we have of Individual Corporeal things when we"
0031801500_000033,"Philosophical essays on various subjects, viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, Innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals; with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or the Science of Being in general with its Affections. By I. W.",Isaac Watts,98,4,7,0,7,6,1,0,14,1,0,0,5,5,1,3,2,5,1,1,0,0,4,0,1,7,7,1,10,0,5,1733,1,1,"London : printed for Richard Ford at the Angel, and Richard Hett at the Bible and Crown in the Poultry., MDCCXXXIII. [1733].",London,418,male,1674,1748,TRUE,"the same Effetc as: the excessive Numbers. and Violence of the third kind, ie. they leave no diftint Traces or Memorials . The jirfj is our common and most refreshing Sleep , which is usually called Sleep without dreaming , and very much resembles what is often called Brown Study,"
0260300303_000024,"A view of nature, in letters to a traveller among the Alps. With reflections on Atheistical philosophy, now exemplified in France. By Richard Joseph Sulivan, ...","Sulivan, Richard Joseph, Sie",65,2,4,0,5,1,1,1,6,0,2,0,2,1,0,4,2,2,1,1,0,1,4,0,1,7,8,3,1,3,2,1794,3,6,"London : printed for T. Becket, 1794.",London,537,male,1752,1806,FALSE,"remnarked, that such pli nomena cannet csta!, !ih! the dei; ndence of the rational natuic of the soul on matter, tor its per festio;; nor can they in any other way be supposed of i: o' .ev full consideration in this question, than by sen ing to disturb t':; intellecual"
0612600202_000062,Dialogues concerning education.,Michael Vandergucht,72,2,5,0,7,1,0,1,11,0,1,2,2,1,2,4,0,9,1,1,0,0,1,1,2,5,1,3,4,3,2,1745,2,2,"London : [s.n.], printed in the year M.DCC.XLV. [1745].",London,470,male,1660,1725,FALSE,"Paper. Soph. T H A T is a notable Proof of the Strength of the Action of the Mind in Sleep , when the Impressions of external Objects are removed, and it is, as it were, disencumbered of its material Organs. It happens, I do not know how, that we"
0660601702_000062,"Dialogues concerning education. By Mr. David Fordyce, Late Professor of Philosophy of Marishal College, in the University of Aberdeen. ...",David Fordyce,70,2,5,0,7,1,0,1,11,0,1,2,2,1,2,3,0,7,1,1,0,0,1,1,3,5,1,3,4,3,2,1757,2,2,"London : printed for E. Dilly, at the Rose and Crown in the Poultry, near the Mansion-House, MDCCLVII. [1757].",London,474,male,1711,1751,FALSE,"arc more inventive asleep , than when awake , and can perform fuprizing Seats then, which ar quite inconceiveable at other Times. Simp. IN D E ED the Imagination seems to much at Work, while we are asleep , and there fore Sleep has been commonly esteemed the Pr vince"
0586600200_000062,Dialogues concerning education. Vol. II.,David Fordyce,69,2,5,0,7,1,0,1,11,0,1,2,2,1,2,2,0,8,1,1,0,0,1,1,2,5,1,3,4,3,2,1748,1,1,"London : [s.n.], Printed in the Year M.DCC.XLVIII. [1748].",London,470,male,1711,1751,FALSE,"how, that we are more inventive asleep , than when awake , and can perform fuprizing Seats then, which are quite inconceiveable at other Times. Simp. INDEED the Imagination seems to be much at Work, while we are asleep , and therefore Sleep has been commonly esteemed the Province or"
0361000600_000033,"Philosophical essays on various subjects, viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, Innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals: with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or The Science of Being in general, with its Affections. By I. Watts, D.D.",Isaac Watts,94,4,6,0,7,7,0,0,12,1,0,0,6,6,1,3,1,5,1,1,0,0,2,0,1,6,8,1,10,0,5,1734,1,1,"London : printed for Richard Ford at the Angel, and Richard Hett at the Bible and Crown, both in the Poultry, MDCCXXXIV. [1734].",London,422,male,1674,1748,TRUE,"or at least only the very last Thought we had; because the Traces on the Brain , that excited those flighty and passing Thoughts , were very faint and superficial. They produce but feeble and indiftind Images , like the Sight of alandskip in the Twilight, which soon vani Ihes"
0303200100_000027,"A treatise concerning eternal and immutable morality. By Ralph Cudworth, D. D. Formerly Master of Christ's College in Cambridge. With a preface by the Right Reverend Father in God, Edward Lord Bishop of Durham.",Ralph Cudworth,61,1,5,0,6,5,0,0,5,1,1,2,2,1,4,2,0,0,0,0,3,3,3,0,6,1,8,0,0,0,2,1731,1,1,"London : printed for James and John Knapton, at the Crown in St. Paul's Church-Yard, M,DCC,XXXI. [1731].",London,325,male,1617,1688,FALSE,"as to a Thing's being Such or Such, its having such a Mode or Quality, we have already demonstrated by Reason , that in this respect, most of our Sensible Ideas are Phan taifical things. And the same may be Evinced and made Evident also by Sense itself; For it"
1120900100_000034,"Philosophical essays on various subjects, viz. space, substance, body, spirit, the Operations of the Soul in Union with the Body, innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals: with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined a brief scheme of ontology, or the Science of Being in general, with its Affections. By I. Watts, D.D.",Isaac Watts,87,3,6,0,7,5,1,0,12,0,0,0,5,5,1,2,1,4,1,1,0,0,4,0,1,5,10,1,7,0,5,1755,1,1,"London : printed for T. Longman and J. Buckland, J. Oswald, J. Waugh, and J. Ward, [1755?].",London,421,male,1674,1748,TRUE,"indiftindt Images , like the Sight of a Land skip in the Twilight, which soon vanifles because the Irnpreflions were so feeble. The Second more resembles our common wakeful Thoughts and Actions of Life, of which we can recollect many, at least a little after we have finished them: And"
0053000106_000328,"The works of the Rev. Isaac Watts, D.D. In seven volumes. Vol. I. Containing Sermons,",Isaac Watts,80,2,6,0,3,6,0,0,12,1,0,0,5,7,1,7,2,4,1,1,0,0,2,0,1,3,4,1,8,0,3,1800,6,7,"Leeds : printed by Edward Baines; for the editor; for Conder, Bucklersbury; Chapman, Fleet-Street; Button, Paternoster-Row; Williams, Stationers'-Court; Ogle, Great-Turn-Stile, and Baynes, Paternoster-Row, London; and for Edward Baines, Leeds, [1800?].",Leeds,689,male,1674,1748,TRUE,"they had not been, this is not usually called dreaming ., s: ondlj, There are some impressions .which do, more firongly han the former, affeet the brtan, and occasion ideas in the fou), and yet do not with an over vigorous tide of imnpreflions delude and confound one another; this"
