PassageID,Title,Author,Total termFreq,termFreq(agre),termFreq(bodi),termFreq(caus),termFreq(certain),termFreq(certainti),termFreq(clear),termFreq(complex),termFreq(conceiv),termFreq(confid),termFreq(differ),termFreq(essenc),termFreq(evid),termFreq(exist),termFreq(figur),termFreq(form),termFreq(gener),termFreq(god),termFreq(idea),termFreq(imagin),termFreq(infinit),termFreq(know),termFreq(knowledg),termFreq(lordship),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(mode),termFreq(motion),termFreq(natur),termFreq(noth),termFreq(notion),termFreq(number),termFreq(observ),termFreq(oper),termFreq(particular),termFreq(perceiv),termFreq(percept),termFreq(power),termFreq(produc),termFreq(proposit),termFreq(qualiti),termFreq(real),termFreq(reason),termFreq(receiv),termFreq(relat),termFreq(sens),termFreq(sensat),termFreq(sever),termFreq(simpl),termFreq(space),termFreq(speci),termFreq(substanc),termFreq(suppos),termFreq(term),termFreq(think),termFreq(thought),termFreq(togeth),termFreq(true),termFreq(truth),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0315800101_000167,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,161,0,2,1,0,0,0,8,0,1,1,4,1,7,4,0,1,0,31,1,0,3,0,0,0,0,11,4,0,0,3,1,1,1,1,1,1,1,12,6,1,3,4,1,2,3,1,4,0,4,0,0,11,0,2,1,0,1,9,3,3,1759,1,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,646,male,1632,1704,TRUE,"that one body is apt to receive , and make in other bodies , upon a due application, exceeding far, not only what we know , but what we are apt to imagine . Which will not appear so much a paradox to any one, who will but confider how"
0895300101_000179,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,160,0,2,1,0,0,0,9,0,1,1,6,1,5,4,0,1,0,31,1,0,3,0,0,0,0,11,5,0,0,3,1,1,1,1,1,0,1,12,6,2,4,4,1,2,4,1,4,0,4,0,0,8,0,2,1,0,1,6,4,3,1788,1,2,"London : printed for J. F. and C. Rivington, T. and T. Payne, L. Davis, B. and B. White, S. Crowder, T. Longman, B. Law, C. Rivington, J. Robson, J. Johnson, C. Dilly, N. Conant, G. G. J. and J. Robinson, T. Cadell, J. Nichols, W. Richardson, W. Otridge, J. Sewell, W. Goldsmith, S. Hayes, Leigh and Sotherby, W. Lowndes, G. and T. Wilkie, Scatcherd and Whitaker, and R. Ryan. MDCCLXXXVIII. [1788].",London,491,male,1632,1704,TRUE,"by diverse men known of this metal, there would an hundred times as many ideas go to the complex idea of gold, as any one man yet has in his; and yet, perhaps, that not be the thousandth part of what is to be discovered in it: the changes which"
0035700200_000183,"An essay concerning humane understanding. In four books. Written by John Locke, Gent.",John Locke,150,0,2,1,0,0,0,9,0,1,1,6,0,4,4,0,1,0,30,1,0,3,0,0,0,0,11,4,0,0,3,1,1,1,1,1,1,1,12,6,2,3,4,1,2,3,0,4,0,3,0,1,9,0,2,1,1,1,5,1,1,1706,1,1,"London : printed for Awnsham and John Churchill, at the Black Swan in Pater-Noster-Row; and Samuel Manship, at the Ship in Cornhill, near the Royal Exchange, MDCCVI. [1706].",London,586,male,1632,1704,TRUE,"this Species more accurately, could, I believe, enumerate ten times as many Properties in Gold, all of them as inseparable from its internal Constitution, as its Colour, or Weight : And, tis probable, if any one knew all the Properties that are by diverse Men known of this Metal, there"
0343700203_000030,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,136,2,5,0,5,7,2,1,0,0,1,3,5,0,4,0,9,0,18,0,0,3,6,0,2,0,0,0,6,0,0,1,0,2,5,2,4,1,3,2,6,5,5,4,0,0,2,2,1,0,0,1,1,1,2,2,1,1,0,2,1,1798,3,3,"Edinburgh : printed for Mundell & Son; and J. Mundell, College, Glasgow, 1798.",Edinburgh,323,male,1632,1704,TRUE,"This is in truth no less than to know all the effets of matter , under its diverse modifications of bulk, figure , cohesion of parts, motion and rest, which, I think , everybody will allow, is utterly impossible to be known by us without revelation. Nor if it were"
0104200101_000196,"The works of John Locke, in nine volumes.",John Locke,166,0,0,1,0,0,0,6,0,0,1,6,1,6,2,0,0,0,31,0,0,1,0,0,0,0,14,5,0,0,3,1,0,1,1,1,1,2,12,7,4,3,4,1,1,4,3,4,0,4,0,0,11,0,2,1,0,1,10,7,3,1794,1,9,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. and J. Robinson, [and 14 others in London], 1794.",London,590,male,1632,1704,TRUE,"in reference to other figures . How uncertain and imperfect would our ideas be of an ellipsis, if we had no other idea of it, but some few of its properties? Whereas having in our plain idea the whole essence of that figure , we from thence discover those properties,"
0108100101_000175,The works of John Locke Esq; In three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,150,0,1,1,0,0,0,8,0,0,1,3,1,6,4,0,1,0,29,1,0,3,0,0,0,0,10,4,0,0,3,1,1,1,1,1,1,1,12,6,2,3,4,1,2,3,1,4,0,4,0,0,5,0,2,1,0,1,9,4,3,1714,1,3,"London : printed for John Churchill, and Sam. Manship, 1714.",London,659,male,1632,1704,TRUE,"the thousandth part of what is to be discovered in it. The Changes which that one Bcdy is apt to receive , and make in other Bodies , upon a due Application, exceeding far not only what we know , but what we are apt to imagine . Which will"
0312100803_000050,"An essay concerning human understanding. In four books. Written by John Locke, Esq. in Three Volumes. ...",John Locke,145,2,6,0,5,8,1,1,0,0,1,3,6,0,3,0,8,0,20,0,0,5,4,0,2,0,0,0,6,0,0,1,0,2,5,2,3,0,3,4,7,9,5,2,1,1,2,2,1,0,0,1,4,0,2,2,1,1,0,2,1,1759,3,3,"Glasgow : printed by Robert Urie, MDCCLIX. [1759].",Glasgow,384,male,1632,1704,TRUE,"names of substances , let the idea it is applied to be what it will, of which we can generally , and with certainty pronounce, that it has or has not this or that other quality belonging to it, and constantly 0 3 co exifling or inconsistent with that idea"
0865700104_001180,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement and modern improvements, incorporated in one alphabet. By Abraham Rees, ... In four volumes. ...",Abraham Rees,154,0,6,1,2,0,2,4,2,3,3,1,0,2,3,1,3,0,32,1,0,2,0,0,4,1,4,4,2,4,3,1,1,3,3,3,0,0,4,4,0,7,1,2,1,1,3,0,2,10,1,0,3,4,0,5,1,4,0,0,0,1786,4,1,"London : printed for J. F. and C. Rivington, A. Hamilton, T. Payne and Son, W. Owen, B. White and Son [and 24 others in London], 1786-88.",London,697,male,1743,1825,FALSE,"levied and col leted by the same means , and under the same penalties, cas are directed for the old /fujidy: subsidies on spirits: fubjidy outwards, compoaed of a tonnage and poundage, and paid in ready money before hipping off in order to exportation: febfidy graited in 1758-9, of poundage"
0211100300_000045,An abridgment of Mr. Locke's Essay concerning humane understanding.,John Locke,144,2,1,1,6,11,1,5,1,0,0,5,2,1,0,0,6,0,14,1,0,9,6,0,0,0,1,1,0,0,1,0,0,3,0,1,2,0,1,0,5,3,6,2,0,1,2,0,0,3,0,7,5,2,6,1,0,3,0,11,5,1721,1,1,"London : printed for A. Churchill, and sold by W. Taylor at the Ship and Black Swan in Pater-Noster-Row, 1721.",London,385,male,1632,1704,TRUE,"mentioned: tyhem. C H A P. VI Of Utiwverfa2 propofjtions, their truth and Certainty . ""T  HE prevailing Custom of using Sounds, for Ideas , even when Men think and reason within their own Breasts, makes the Consideration of Words and Propojtions so necelt fary a part of the"
1723900201_000158,"The works of John Locke, Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables.",John Locke,160,0,5,1,0,0,0,11,0,1,1,6,1,4,5,0,2,0,32,1,1,3,0,0,0,0,11,5,0,0,2,1,1,1,3,1,1,0,14,6,1,3,4,0,2,6,0,4,0,5,0,1,8,0,1,0,0,2,2,1,0,1740,1,3,"London : printed for Edmund Parker, at the Bible and Crown, in Lombard-Street; Edward Symon, against the Royal-Exchange, in Cornhill; Charles Hitch, at the Red-Lion, in Paternoster-Row; and John Pemberton, at the Golden-Buck, in Fleetstreet, M.DCC.XL. [1740].",London,659,male,1632,1704,TRUE,"powers , in relation to the operation of fire upon it; another, its du&ility and solubility in aq. regia, two other powers relating to the operation of other bodies , in changing its outward figure , or separation of it into insensible parts. These, or part of these, put together"
