PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(alembert),termFreq(author),termFreq(book),termFreq(celebr),termFreq(composit),termFreq(diderot),termFreq(eleg),termFreq(encyclopaedia),termFreq(franc),termFreq(french),termFreq(friend),termFreq(gener),termFreq(geniu),termFreq(god),termFreq(govern),termFreq(helvetiu),termFreq(human),termFreq(king),termFreq(knowledg),termFreq(law),termFreq(letter),termFreq(literari),termFreq(literatur),termFreq(majesti),termFreq(merit),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(opinion),termFreq(pari),termFreq(persecut),termFreq(philosoph),termFreq(philosophi),termFreq(polit),termFreq(principl),termFreq(progress),termFreq(public),termFreq(reason),termFreq(reign),termFreq(religi),termFreq(religion),termFreq(rousseau),termFreq(societi),termFreq(superior),termFreq(talent),termFreq(thought),termFreq(truth),termFreq(univers),termFreq(virtu),termFreq(voltair),termFreq(wit),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1551701000_000069,"The flowers of modern history; Comprehending, on a new plan, the most remarkable revolutions and events, as well as the most eminent and illustrious characters, of modern times; with a view of the progress of society and manners, arts and sciences, from the irruption of the goths and vandals, and other Northern nations, upon the Roman Empire, to the conclusion of the American war. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M.",John Adams,98,2,1,1,0,1,2,1,2,0,3,4,0,4,7,0,3,3,4,0,1,2,0,1,5,0,0,3,0,3,0,0,0,5,2,2,3,2,1,4,3,1,1,0,3,2,2,2,0,1,3,3,0,1,3,1,1788,1,1,"London : Printed for G. Kearsley, at Johnson's Head, No. 46, Fleet-Street, 1788.",London,385,male,1750,1814,FALSE,"that of corn. Mons. Du Hamel, a member of the French academy, by philosophically investigating the principles of husbandry, has made it a fashionable fiudy, and introduced a taste for agriculture, which has already been attended with the most beneficial effets. Nor is that worthy citizen the only man of"
1698700102_000214,"The history of modern Europe. Part II. From the peace of Westphalia, in 1648, to the peace of Paris, in 1763. With a view of the progress of society during the present century. In a series of letters from a nobleman to his son.",William Russell,85,3,0,1,0,1,3,1,3,0,2,2,0,3,7,0,3,1,4,0,1,1,4,1,3,0,1,2,0,2,0,0,0,2,1,4,1,2,1,2,3,1,0,1,3,2,1,1,0,1,1,3,1,1,3,1,1784,2,2,"Dublin : Printed by John Exshaw, Grafton-Street, MDCCLXXXIV. [1784].",Dublin,688,male,1741,1793,FALSE,"on the solid basis of PUBLIC GOOD, fail to benefit society ; or his ingenuity in tracing the the motives of human action, and in demonifrating LETTER the influence of physical causes upon the moral con xxxw. dult of man, to be of use to poets, hiiforians, and legislators. WHILE"
0320001200_000069,"The flowers of modern history; comprehending, on a new plan, the most remarkable revolutions and events, as well as the most eminent and illustrious characters, of modern times; with a View of the Progress of Society and Manners, Arts and Sciences, from the Irruption of the Goths and Vandals, and Other Northern Nations, upon the Roman Empire, to the Conclusion of the American War. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M.",John Adams,95,2,0,1,0,1,2,1,2,0,3,4,0,4,7,0,3,3,4,0,1,2,0,1,5,0,0,3,0,3,0,0,0,5,2,2,3,2,1,4,1,0,1,0,4,2,2,2,0,1,3,3,0,1,3,1,1790,1,1,"London : printed for G. Kearsley, at Johnson's Head, No. 46, Fleet Street, M,DCC,XC. [1790].",London,382,male,1750,1814,FALSE,"distance, the diamond, the pearl, and all sorts of gems. The weaving of ilk has been rendered more facile, while its culture has ben extended; and a culture of till more importance to society , that of corn. Mons. Du Hamel, a member of the French academy, by philosophically investigating"
0515500105_000164,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society. From the rise of the modern kingdoms to the Peace of Paris, in 1763. In a series of letters from a nobleman to his son. A new edition, carefully corrected. ...",William Russell,85,2,0,0,0,0,1,1,1,0,4,3,0,4,7,0,3,2,6,0,1,2,0,1,3,0,1,3,0,3,0,0,0,2,2,3,3,3,0,3,2,0,1,1,4,1,1,2,0,0,2,2,0,1,3,1,1789,5,5,"London : printed for G. G. J. and J. Robinson, Paternoster-Row; and A. Hamilton, jun. Falcon-Court, Fleet-Street, 1789.",London,560,male,1741,1793,FALSE,"this fubjeet, which is inti mately connelted with tile body of history, and would lead us far into the affairs of latter times. NOTWITHSTANDING these disorders, and the regal and spiritual disposition that occasioned them, the progress of improvement, and the enlargement of the human mind , has been very"
0312700400_000069,"The flowers of modern history; comprehending, on a new plan, the most remarkable revolutions and events, As well as the most Eminent and Illustrious Characters, of Modern Times; with a view of the Progress of Society and Manners, Arts and Sciences, from the irruption of the Goths and Vandals and other Northern Nations, upon the Roman Empire, to the conclusion of the American war. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M.",John Adams,72,2,1,1,0,1,3,1,4,0,2,2,0,3,7,0,2,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,0,2,1,4,0,2,1,3,4,1,0,0,1,1,2,1,0,1,1,3,3,1,1,2,1789,1,1,"Dublin : printed by Zacharia Jackson, for Messrs. Grueber and M'allister, NO. 59, Dame-Street, M.DCC.LXXXIX. [1789].",Dublin,325,male,1750,1814,FALSE,"Voltaire , "" but genius belonged to the last."" Had no other man of genius appeared, lie himself would have furnished proof of the falsity of this fiiertion, and in more departments than one. If the Henriade is inferior to the Iliad, it is at least the finest poem of"
0133800701_000030,"The life of Voltaire, by the Marquis de Condorcet. To which are added, Memoirs of Voltaire, written by himself. Translated from the French. In two volumes. ...",Jean-Antoine-Nicolas de Caritat de Condorcet,79,2,0,1,1,2,0,1,0,7,3,1,3,2,2,0,0,0,1,1,2,1,1,2,0,0,1,2,0,1,1,1,4,1,1,1,0,1,3,2,0,1,0,0,1,1,0,1,3,1,0,6,1,9,1,2,1790,1,2,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, M.DCC.XC. [1790].",London,512,male,1743,1794,FALSE,"of: writing the Encyclopaedia , and published the first volume; of it. A: work whose object it was to include the truths of all the sciences, and to trace the lines of communication between them, undertaken by two men who joined much wit and a free daring philosophy to extensive"
0548200105_000164,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society. From the rise of the modern kingdoms to the Peace of Paris, in 1763. In a series of letters from a nobleman to his son. A new edition, enlarged and greatly improved. ...",William Russell,71,3,0,1,0,1,3,1,3,0,2,2,0,2,7,0,2,0,1,0,1,0,1,1,5,0,1,1,0,0,0,0,0,2,1,5,0,3,0,3,3,1,0,1,1,2,2,1,0,1,0,3,1,1,1,1,1786,5,5,"London : printed for G.G.J. and J. Robinson, Paternoster-Row; J. Robson, New Bond-Street; A. Hamilton, jun. Falcon-Court, Fleet-Street; J. Walter, Charing-Cross; and J. Sewell, Cornhill, 1786.",London,563,male,1741,1793,FALSE,"extent of his knowledge . ""MUCH has been written in this age ,"" says Voltaire , "" but genius belonged to the last."" Had no other man of genius appeared, he himself would have furnished proof of the falsity of this affettion, and in more departments than one. If the"
0102200601_000028,"The life of Voltaire, by the Marquis de Condorcet. To which are added Memoirs of Voltaire, written by himself. Translated from the French. In two volumes. Vol. I[-II].",Jean-Antoine-Nicolas de Caritat de Condorcet,67,1,0,0,1,1,1,1,0,5,1,1,1,2,2,0,0,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,2,2,1,0,1,1,2,0,1,0,1,0,3,1,1,3,1,1,10,1,5,1,2,1792,1,2,"Philadelphia : Printed by and for W. Spotswood, M,DCC,XCII. [1792].",Philadelphia,215,male,1743,1794,FALSE,"his talent for in. trigue, because then hope sustained him, and he was among the number of men who find in power and rank a consolation for fhanme; but, in this affair, he beheld the last thread destroy. ed which connected him with royal power. Voltaire commenced another negotiation, through"
0090801600_000023,"The novelties of a year and a day, in a series of picturesque letters on the characters, manners, and customs of the Spanish, French, and English nations; Interspersed With Real Anecdotes; by Figaro.",Figaro,76,0,0,0,0,1,0,1,1,0,8,4,0,2,0,0,1,0,1,1,4,0,3,2,7,0,2,2,2,2,0,1,0,4,2,4,0,1,1,0,0,0,1,0,2,0,0,0,0,1,5,3,1,2,2,2,1785,1,1,"London : printed for the author; at the Logographic Press, and sold by J. Murray, No. 32, Fleet-Street, [1785?].",London,225,unknown,,,FALSE,"of vices and foibles, I may venture to assert that none has a greater pro H 4 portion portion of virtues and merit to preponderate in the opposite scale. The religion in France is now in a great measure divested of that bigotry and superstition which fill prevail in Spain"
0497600105_000163,"The history of modern Europe. With an account of the decline and fall of the Roman Empire: and a view of the progress of society, from the rise of the modern Kingdoms to the peace of Paris, in 1763. In a series of letters from a nobleman to his son.",William Russell,77,2,0,0,0,0,1,0,1,0,4,2,0,4,8,0,2,3,5,1,1,3,0,0,2,0,0,3,0,2,0,0,0,3,2,2,3,2,0,3,2,0,1,0,3,1,2,2,0,0,2,2,0,0,2,1,1794,5,5,"London : printed for G.G. and J. Robinson, Paternoster-Row, 1794.",London,494,male,1741,1793,FALSE,"to the absolute power of the crown, and seemed determined to confine it within the limits of law . Not fatistied with refuting, as usual, to register certain opprelive cdiats, or with remonstrating againtl them, they rdered criminal prosecutions to be commenced against the governors of several provinces, ating 5"
