PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(author),termFreq(bodi),termFreq(cafe),termFreq(church),termFreq(civil),termFreq(common),termFreq(confid),termFreq(constitut),termFreq(continu),termFreq(countri),termFreq(court),termFreq(crown),termFreq(differ),termFreq(england),termFreq(equal),termFreq(follow),termFreq(form),termFreq(free),termFreq(gener),termFreq(god),termFreq(govern),termFreq(governor),termFreq(hand),termFreq(hous),termFreq(king),termFreq(know),termFreq(land),termFreq(law),termFreq(liberti),termFreq(live),termFreq(manner),termFreq(mean),termFreq(nation),termFreq(natur),termFreq(noth),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(principl),termFreq(provinc),termFreq(public),termFreq(reason),termFreq(rule),termFreq(sever),termFreq(societi),termFreq(state),termFreq(taken),termFreq(think),termFreq(true),termFreq(verb),termFreq(war),termFreq(word),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0830300300_000020,"Scarce and valuable tracts and sermons, occasionally published, by the late reverend and learned John Abernethy, M. A. Author of the Discourses on the Being and Perfections of God. Now first collected together.",John Abernethy,90,1,2,1,0,3,2,2,1,6,1,0,1,2,3,1,0,0,3,0,2,0,1,1,2,2,6,1,0,2,3,0,1,2,3,1,1,0,2,2,6,1,0,6,0,3,0,0,3,0,0,2,1,2,2,1,1,0,1,0,0,1751,1,1,"London : printed for R. Griffiths, in St. Paul's Church-Yard; and sold by A. Bradley, Bookseller in Dublin, 1751.",London,285,male,1680,1740,FALSE,"Power between the Prince and the People , so the natural Strength of a Society consisting in the Numbers and Force of the Members which compose it, when they are formed into opposite Faaions, one threatening and endeavouring, at least always inclined to the Destruction of the other, (which indeed"
0644000200_000004,"The new annual register, or general repository of history, politics, and literature, for the year 1790. To which is prefixed, a continuation of the history of knowledge, learning, and taste, in Great Britain, during the reign of Queen Elizabeth.",,95,1,5,1,0,0,1,3,0,1,0,1,1,3,0,4,1,1,3,1,2,1,6,0,0,1,7,0,0,7,3,0,1,0,0,2,2,0,2,5,0,3,1,2,1,5,3,0,2,3,2,1,2,1,1,1,0,0,1,0,0,1791,1,1,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCXCI. [1791].",London,608,unknown,,,FALSE,"laws , maketh new, giveth order for things palt, and for things hereafter to be followed ; changeth rights and posa z"" session, lit ""effions of private men, Icgitimateth baflards, eflabliflieth "" forms of religion, altcreth weights and measures, giveth "" form of fuccellion to the crown ; defineth of"
0012200100_000094,"A philosophical and political history of the British settlements and trade in North America. From the French of Abbé Raynal. With an introductory preface, not in the first edition. To which is annexed, An impartial history of the present war in America; from its commencement, to the present time.",Guillaume Thomas François Raynal,112,0,6,1,0,0,0,1,0,2,0,4,2,2,2,3,0,1,7,1,2,0,16,3,0,2,6,0,2,3,0,0,1,1,3,3,1,1,0,0,0,5,0,1,1,4,0,4,8,3,4,1,2,0,1,2,0,0,0,0,0,1779,1,1,"Edinburgh : printed by C. Denovan, sold by the booksellers, M,DCC,LXXIX. [1779].",Edinburgh,424,male,1713,1796,TRUE,"frequently hazards nothing but his own happiness; in all that a prince ordains, the happiness of his people is concerned. The opinion of the public , in a nation that thinks and speaks, is the rule of the government ; and the prince should never Ihock that opinion without public"
0551802700_000003,"An essay on civil government. In two parts: Part I. An Enquiry into the Ends of Government, and the Means of attaining them. Part II. On the Government and Commerce of England; with Reflections on Liberty, and the Method of Preserving the present Constitution.",,109,0,2,1,1,0,2,0,0,2,0,5,0,1,1,2,1,0,1,3,2,1,4,1,0,0,8,0,0,4,6,1,0,0,2,2,0,2,1,0,0,5,1,3,0,11,1,0,4,3,5,1,3,3,2,0,0,0,10,1,0,1743,1,1,"London : printed for R. Willock, at Sir Isaac Newton's Head, in Cornhill, MDCCXLIII. [1743].",London,388,unknown,,,FALSE,"peace those debts war might have brought upon them numerous and powerful factions most prejudical to public credit the ntereft of public debts a great unneceitar? charrga charge a bad ministry will keep up the expense of a nation to procure pensions, posts, and places to its creatures and tools"
0315400600_000001,The nature and consequences of the Sacramental test considered. With reasons humbly offered for the repeal of it.,John Abernethy,92,1,2,0,4,1,2,2,1,4,1,2,0,2,2,1,0,0,3,0,1,0,5,1,0,0,4,0,0,1,6,0,0,1,3,2,1,0,2,1,4,7,0,6,1,4,1,0,3,1,0,1,1,2,1,0,3,0,0,0,1,1731,1,1,"Dublin : [s.n.], Printed in the Year MDCCXXXI. [1731].",Dublin,62,male,1680,1740,FALSE,", ATURE and CONSEQUENCES 0 F t H E Sacramental Test CONSIDERED. With RE A S O N humbly offered for the REPEAL of it, A- -- -... - -. U BL in: rintcd in te Year MDCCXXXI. THE NATURE and CONSEQUENCES OF THE Sacramental Tefl, Ec. R. DE RAPIN"
0684000106_000042,"A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies. Revised, augmented, and published, in ten volumes, by the abbé Raynal. Newly translated from the French, by J. O. Justamond, F.R.S. With a new set of maps ... In six volumes. ...",Guillaume Thomas François Raynal,108,1,5,1,0,0,0,2,0,3,0,5,2,3,1,3,0,1,6,1,3,0,15,3,0,2,6,0,3,3,0,0,0,1,2,3,0,1,1,0,0,4,2,1,2,0,0,6,5,2,4,1,2,0,1,1,0,0,0,0,0,1798,6,6,"London : printed for A. Strahan; and T. Cadell, Jun. and W. Davies, (successors to Mr. Cadell); and for J. Mundell & Co. Edinburgh, 1798.",London,569,male,1713,1796,TRUE,"arise? The first cannot have thwarted an opinion that was not sprung up in his time, but the latter may have openly counteracted it a century after. The first, if may be allowed the expression, may, without. the; nowledge of the public , have taken a step, the vio erece"
0812401300_000001,The nature and consequences of the Sacramental test considered. With reasons humbly offered for the repeal of it.,John Abernethy,91,1,2,0,4,0,1,2,1,3,1,2,0,2,2,1,0,0,3,0,1,0,5,1,0,0,4,0,0,1,6,0,0,1,4,3,1,0,2,1,3,7,0,5,1,4,1,0,3,2,0,1,1,2,1,0,3,0,1,0,1,1732,1,1,"[London] : Dublin printed: London, re-printed for J. Roberts, 1732.",London,79,male,1680,1740,FALSE,"T H E. Nature : and Consequences OF T HE S ACRAMENTA L TES T CONSIDERE D. With REASONS humbly offered for the REPEAL of it. * i D UB L Printed: LONDO, reprinted for 7 Roberts in rarwick lane. MDCCXXXII. "" - Price One Shilling. T H E THE"
0133600104_000118,"A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies. Translated from the French by J. Justamond, M. A. ...",Guillaume Thomas François Raynal,117,0,6,1,0,0,0,1,0,2,0,4,2,3,2,3,0,2,7,1,2,0,17,3,0,2,6,0,2,3,0,0,1,1,3,3,1,0,0,0,0,5,1,1,1,5,0,5,8,3,4,1,2,0,1,2,0,0,0,0,0,1776,4,4,"London : printed for T. Cadell, in the Strand, M,DCC,LXXVI. [1776].",London,559,male,1713,1796,TRUE,"no undertaking without consulting his father: a prince on the contrary should make no regulations without consulting his people : further, the son, in resolutions where he follows the advice of his father, frequently hazards nothing but his own happiness; in 21l that a prince ordains, the happiness of his"
1527200402_000041,A philosophical and political history of the British settlements and trade in North America. From the French of Abbé Raynal. In two volumes.,Guillaume Thomas François Raynal,105,0,6,1,0,0,0,1,0,3,0,4,2,2,1,3,0,2,5,1,2,0,14,3,0,1,5,1,1,3,0,0,1,1,2,2,1,1,0,0,0,5,1,1,1,5,0,3,8,3,3,1,2,0,1,2,0,0,0,0,0,1779,2,2,"Aberdeen : printed and sold by J. Boyle, M.DCC.LXXIX. [1779].",Aberdeen,167,male,1713,1796,TRUE,"governors . Ah son well educated thould engage in no undertakring without consulting his father sa prince , on the contrary, thould make no regulations without confixiting his people . Further, the son, in resolutions where he follows the advice of his father, frequently hazards nothing but his own happiness."
0666100800_000009,"Historical and political reflections on the rise and progress of the American rebellion. In which The Causes of that Rebellion are pointed out, and the Policy and Necessity of offering to the Americans a System of Government founded in the Principles of the British Constitution, are clearly demonstrated. By the author of Letters to a nobleman, on the conduct of the American war.",Joseph Galloway,93,1,2,1,1,2,3,1,2,3,0,1,1,5,1,1,0,0,5,1,0,0,8,2,0,0,2,0,1,8,0,0,1,1,1,1,0,3,1,0,0,3,2,11,0,1,5,0,0,3,0,1,2,2,0,1,0,0,1,1,0,1780,1,1,"London : printed for G. Wilkie, No. 71, St. Paul's Church-Yard, MDCCLXXX. [1780].",London,141,male,1731,1803,FALSE,"part or their territory. But it contained no powers to inltitute civil policy. To what reason this omifen was owing, is not positively known. It could not be occasioned by a reluctance in rthe grantees to accept of them, because they were necessary to their safety, and the accomplishment of"
