PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(appoint),termFreq(armi),termFreq(articl),termFreq(author),termFreq(borough),termFreq(cafe),termFreq(citi),termFreq(committe),termFreq(common),termFreq(concern),termFreq(continu),termFreq(council),termFreq(counti),termFreq(court),termFreq(crown),termFreq(declar),termFreq(earl),termFreq(england),termFreq(forc),termFreq(gener),termFreq(govern),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(ireland),termFreq(judg),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(law),termFreq(letter),termFreq(liberti),termFreq(majesti),termFreq(matter),termFreq(meet),termFreq(member),termFreq(nation),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peac),termFreq(peer),termFreq(peopl),termFreq(person),termFreq(petit),termFreq(power),termFreq(present),termFreq(privileg),termFreq(proce),termFreq(reason),termFreq(return),termFreq(scotland),termFreq(sever),termFreq(statut),termFreq(taken),termFreq(vote),termFreq(war),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0953900700_000319,"Memorials of the English affairs: or, an historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration. Containing the publick transactions, Civil and Military: together with the private consultations and secrets of the cabinet. By Mr. Whitelock. With a Compleat index.","Whitlocke, Bulstrode",139,0,2,22,3,1,0,2,0,3,4,2,1,4,2,0,0,2,0,0,2,10,2,2,1,4,2,0,5,6,3,0,4,2,3,2,0,2,0,2,7,10,1,0,0,2,2,0,2,5,1,1,0,0,2,4,0,1,1,0,0,1732,1,1,"London : printed for J. Tonson: and sold by J. and J. Knapton, R. Knaplock, A. Bettesworth and C. Hitch, G. Strahan, J. Pemberton, F. Fayram and T. Hatchet, C. Rivington, J. Batley, J. Brotherton, F. Giles, R. Williamson, J. Stagg, T. Osborne, L. Gilliver, and F. Coggan, MDCCXXXII. [1732].",London,732,male,1605,1675,FALSE,"- ··· ·. 7 · Juo Discharge of the Sequestration of Colonel i647 Braling's Estate. a. Confirmation ds Exeter Articles . Order for five hundred Pounds, for the Lotd Ormond. Army . The General , Council of the Army desired fioic Alterations and Additions might be made to the Propositions"
1204800104_000117,"The history of England, from the accession of James I. to that of the Brunswick line. ... By Catherine Macaulay.",Catharine Macaulay,103,0,3,1,1,2,0,1,0,2,5,1,0,3,2,2,0,2,0,4,3,1,1,2,0,7,2,0,5,3,2,2,0,3,1,1,2,2,1,3,0,8,1,1,2,0,5,1,8,0,0,0,0,0,1,0,0,1,2,3,0,1764,4,5,"[Dublin] : London: printed for Edward and Charles Dilly; and Dublin reprinted, for A. Leathly, and J. Exshaw, 1770.",Dublin,428,female,1731,1791,TRUE,"as are by the proposals referred to such committees : That a better rule of proportion may be observed in elections, all counties to be represented in the number of their members competent to their charges: That effectual provision be made for freedom of elecions: That there be a liberty"
0683700302_000113,"An abridgement of The history of England. Being a summary of Mr. Rapin's History and Mr. Tindal's continuation, From the Landing of Julius Caesar, to the Death of King George I. With The Characters of the Kings at large, the State of the Public Revenues, Exchequer, and Coins, at and after the Conquest; and also lists of the Peers created in each Reign, Knights of the Garter and Bath, Baronets, Bishops, Chancellors, Chief-Justices, Judges, and Admirals, to the Present Times. Illustrated With the heads and monuments of the Kings, Queens, &c. On Seventy copper plates. ...","Tindal, Nicolas",139,0,2,3,0,2,0,0,0,2,8,2,1,2,0,8,0,6,1,3,1,4,2,0,1,5,0,0,23,1,0,2,1,0,1,0,1,1,2,2,1,11,2,2,1,4,0,8,1,6,0,1,1,0,3,2,0,0,5,3,1,1747,2,3,"London : printed for John and Paul Knapton, at the Crown in Ludgate-Street, MDCCXLVII. [1747].",London,481,male,1687,1774,FALSE,"Parliament confifded at present only of Independents, Anabaptists, c: : The army presents to the General a new representative, or an agreement of the People , for fettling the Government . 13 The Commons vote , that no further addrcffes should be made to the King , and that the"
0320400300_000044,"History of the political connection between England and Ireland, from the reign of Henry II. to the present time.","Barron, William           1803",120,2,0,0,1,1,0,0,0,5,14,3,1,4,0,6,0,3,1,6,1,1,2,1,0,9,4,7,4,0,0,6,1,1,2,1,1,2,1,2,2,8,0,0,3,1,1,1,3,2,2,2,0,0,0,0,1,0,0,0,1,1780,1,1,"London : printed for T. Cadell in the Strand, M,DCC,LXXX. [1780].",London,241,unknown,,,FALSE,"English house of Commons . They instructed their agents to solicit the King "" that a bil! might be transmitted to explain some doubtful points of the law of Poyninge, and to enable a committee of Commons to frame and transmit bills during the sitting of Parliament ; that neither"
1370600101_000138,"An history of the life of James Duke of Ormonde, from his birth in 1610, to his death in 1688. Wherein is contained an account of the most remarkable affairs of his time, ... In two volumes. To which is added, for the satisfaction of the curious, in another volume, a ver valuable collection of letters, ... By Thomas Carte, M.A. Vol. I.",Thomas Carte,110,1,2,0,0,1,1,4,1,5,6,2,0,2,0,2,1,0,2,12,1,1,0,1,0,15,3,2,1,2,1,1,1,0,3,2,0,4,1,0,6,5,0,0,0,0,0,0,4,0,3,2,0,2,0,1,1,2,1,0,2,1736,1,1,"London : printed for J. J. and P. Knapton; G. Strahan; W. Innys and R. Manby; F. Giles; T. Wotton, 1736.",London,695,male,1686,1754,FALSE,"his title to the lands in question. The Lords, resenting this breach of privilege and contempt of their jurifdition, ordered Sir Richard Bolton the Lord Chancellor to write (as he did on the 3d of that month) a letter to the Speaker (Mr. Lenthall) desiring him to make known to"
0515400103_000024,"The history of Ireland from the invasion of Henry II. With a preliminary discourse on the antient state of that Kingdom. By Thomas Leland, D. D. Senior Fellow of Trinity College, and Prebendary of St. Patrick's, Dublin. ...",Thomas Leland,113,2,0,0,2,2,0,0,0,3,7,1,0,1,0,2,0,4,1,6,3,2,2,2,0,12,3,2,4,10,0,5,0,2,4,0,0,2,1,2,2,6,0,1,2,0,1,1,4,1,2,1,0,0,0,3,1,0,0,0,1,1773,3,3,"Dublin : printed by R. Marchbank, for R. Moncrieffe In Capel-Street, MDCCLXXIII. [1773].",Dublin,669,male,1722,1785,TRUE,"limitation denied, to the fubjtes, the i 0.2 uoaiiitu omd 11 rnconflitutional influence of ministers in parliament . Others were added in the form of petitions to the throne, that sundry of the graces, granted in the fourth year of the king's reign, might pass into ads of parliament ;"
0213100400_000010,"The geography of England: Done in the Manner of Gordon's Geographical Grammar, Each County being consider'd under the following Heads: viz. The Name, situation, air, soil, Commodities, Rivers, Chief Towns, Noblemen's Seats, Curiosities Natural and Artificial, Remarkable Persons, Various Particulars. To each County is Prefix'd A compleat Mapp from the Latest and Best Observations, shewing the Chief Towns, Parks, Rivers and Roads, both direct and across. Also A Separate Mapp of England, of the Roads, Of the Channel, and a Plan of London. Likewise, By Way of Introduction, A Clear and Distinct View of our Constitution, And every Branch of the Legislature.",,115,1,3,0,1,0,1,1,0,0,4,2,0,3,1,0,4,1,0,3,1,1,4,2,1,4,0,2,13,1,3,4,2,1,0,1,1,3,2,13,2,3,0,0,3,1,5,0,1,2,0,1,1,1,0,6,2,1,2,0,0,1744,1,1,"London : printed for R. Dodsley, at Trully's Head in Pall [Mall], M,DCC,XLIV. [1744].",London,363,unknown,,,FALSE,"has been entered upon, but not completed by the joint Aent of the King , Lords and Commons , it is of no more force than if it had never been moved, and must be begun anew if ever it is carried into Execution The Speaker of the House of"
0953900700_000445,"Memorials of the English affairs: or, an historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration. Containing the publick transactions, Civil and Military: together with the private consultations and secrets of the cabinet. By Mr. Whitelock. With a Compleat index.","Whitlocke, Bulstrode",129,0,1,11,1,0,0,1,0,4,2,2,0,15,1,11,0,0,4,1,2,6,1,0,2,4,4,1,0,2,1,1,4,0,0,1,0,1,0,5,9,3,0,0,0,1,0,7,1,6,0,0,0,1,2,3,0,3,1,2,1,1732,1,1,"London : printed for J. Tonson: and sold by J. and J. Knapton, R. Knaplock, A. Bettesworth and C. Hitch, G. Strahan, J. Pemberton, F. Fayram and T. Hatchet, C. Rivington, J. Batley, J. Brotherton, F. Giles, R. Williamson, J. Stagg, T. Osborne, L. Gilliver, and F. Coggan, MDCCXXXII. [1732].",London,732,male,1605,1675,FALSE,"in the great Park of witndfor. z8. The Monthly Fast. Order for a Day ofpublickhumiliation throughout the Kingdom . A Committee appointed to bring in an A to take away the Monthly Faits, and to havefaft days ordered as there hall be particular Occasion. A Committee to draw up a"
0477400203_000022,"The history of Ireland from the invasion of Henry II. With a preliminary discourse on the antient state of that Kingdom. By Thomas Leland, ... In three volumes. ...",Thomas Leland,112,3,0,0,2,2,0,0,0,2,8,2,0,1,0,2,0,3,1,5,3,2,2,2,0,12,2,2,4,9,0,5,0,2,4,0,0,2,1,2,1,6,0,1,2,0,1,1,4,2,2,1,0,0,0,3,3,0,0,0,0,1774,3,3,"Dublin : printed by R. Marchbank, for R. Moncrieffe, 1774.",Dublin,675,male,1722,1785,TRUE,"the act of limitation denied to the fubjets, the F 2 unconstitutional unconstitutional influence of ministers in parliament . Others were added in the form of  petitions to the throne, that sundry of the graces, granted in the fourth year of the king's reign, might pass into acs of"
0953900700_000423,"Memorials of the English affairs: or, an historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration. Containing the publick transactions, Civil and Military: together with the private consultations and secrets of the cabinet. By Mr. Whitelock. With a Compleat index.","Whitlocke, Bulstrode",125,0,2,4,0,1,0,0,1,8,9,2,0,5,2,1,0,2,0,3,5,5,0,0,0,11,2,1,11,1,1,3,4,0,0,1,0,3,2,0,9,4,1,0,2,4,0,0,2,1,0,2,0,1,1,2,0,0,3,3,0,1732,1,1,"London : printed for J. Tonson: and sold by J. and J. Knapton, R. Knaplock, A. Bettesworth and C. Hitch, G. Strahan, J. Pemberton, F. Fayram and T. Hatchet, C. Rivington, J. Batley, J. Brotherton, F. Giles, R. Williamson, J. Stagg, T. Osborne, L. Gilliver, and F. Coggan, MDCCXXXII. [1732].",London,732,male,1605,1675,FALSE,"Ordinance for Trial of the King , and had Adjourned their House , they sent some of their Members to examine the Lords Journal book, and they reported to the Commons three Votes passed by the Lords. I. To send Answer by Messengers of their own. Lords z. That their"
