PassageID,Title,Author,Total termFreq,termFreq(answer),termFreq(appear),termFreq(armi),termFreq(brought),termFreq(cafe),termFreq(caus),termFreq(church),termFreq(citi),termFreq(command),termFreq(common),termFreq(court),termFreq(crown),termFreq(death),termFreq(declar),termFreq(duke),termFreq(earl),termFreq(england),termFreq(father),termFreq(forc),termFreq(franc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(head),termFreq(honour),termFreq(hous),termFreq(israel),termFreq(king),termFreq(kingdom),termFreq(know),termFreq(laid),termFreq(land),termFreq(law),termFreq(letter),termFreq(life),termFreq(matter),termFreq(mean),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(queen),termFreq(receiv),termFreq(reign),termFreq(return),termFreq(servant),termFreq(set),termFreq(taken),termFreq(thought),termFreq(took),termFreq(war),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0010900102_001253,"The history of England. Written originally in French by M. Rapin de Thoyras. Translated into English by John Kelly of the Inner Temple, Esq; to which is added, critical and explanatory notes; also Chronological and Genealogical tables: with some particulars of the life of M. Rapin.",Thomas Lediard,102,1,1,5,1,1,1,1,1,1,6,0,0,0,0,2,1,3,1,3,0,1,1,1,1,0,0,0,1,6,0,11,2,1,0,2,4,4,0,1,0,3,0,5,0,2,4,1,5,4,1,1,0,1,0,1,3,1,2,2,1,1732,2,3,"London : printed for James Mechell, at the King's Arms, near Red Lion Street, High Holborn, MDCCXXXII. [1732].",London,986,male,1685,1743,FALSE,"Charles's letter to the lords. p. 1220 Petition from the common council. Ibid. 1 C That his Majesty pass his royal word , not to. go out of the island during the treaty, nor twenty ·  days after, without the advice of both houses of parliament ."" On the"
1475000100_000136,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the Earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopricks, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his Royal Highness the Prince of Wales.",Thomas Salmon,99,0,1,2,0,1,0,1,0,3,1,3,2,1,2,6,6,4,0,3,4,2,5,1,0,0,0,0,0,2,0,11,0,0,1,2,0,2,1,1,0,2,2,3,0,0,2,0,0,4,2,0,2,1,1,2,1,0,2,7,0,1751,1,1,"London : Printed for William Johnston, at the Golden-Ball in St. Paul's Church-Yard, MDCCLI. [1751].",London,646,male,1679,1767,FALSE,"be proclaimed King of England , Scotland, and Ireland, by the Name of .ames III At which King William and thje British Nation were so exasperated, that they concluded an Alliance with the Emperor and the States genertl against France , which obtained the Naime of The Grand Alliance. Marihal"
0774900104_000037,"The history of England, from the earliest times to the death of George II. By Dr. Goldsmith. ...",Oliver Goldsmith,92,1,0,2,0,0,0,0,1,2,1,2,1,0,0,9,4,3,0,4,5,0,4,0,0,1,1,2,0,3,0,4,3,0,1,2,0,2,1,0,2,2,1,1,5,2,0,2,3,2,3,1,0,2,0,1,2,2,0,2,0,1771,4,4,"London : printed for T. Davies; Becket and De Hondt; and T. Cadell, 1771.",London,437,male,1728,1774,TRUE,"extremely uneasy at his situation; and, in a letter to the secretary in England , desired per mifion to return home. But the confederates were loud in their complaints; they expofrulated with the ministers at Utrecht upon so perfidious a conduct; but they were told that letters had been lately"
1725200300_000143,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the Earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopricks, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several countries drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his Royal Highness the Prince of Wales.",Thomas Salmon,93,0,1,1,0,2,0,1,0,2,1,3,2,1,2,6,6,3,0,2,3,2,4,1,0,0,0,0,0,3,0,9,0,0,1,2,0,2,1,0,0,2,2,3,0,0,2,0,0,4,3,0,2,1,1,2,1,0,2,7,0,1754,1,1,"London : Printed for William Johnston, at the Golden-Ball in St. Paul's Church-Yard, MDCCLIV. [1754].",London,678,male,1679,1767,FALSE,"Bed, and taken Prisoner by. the imnperiali/s, commanded by Prince Eugene in Person . Feb. 26, 1701-2.] Soon after the Conclusion of The Grand Alliance, his Britifih Majefiy, King William, riding from Keningion towards Hampton Court , was thrown from his Horse, and broke his right collarbone: He was carried"
0125800600_000177,"A new geographical and historical grammar; containing the true astronomical and geographical knowledge of the terraqueous globe: and also the modern state of the several kingdoms of the world; under these four heads: I. The Astronomy of the Solar System, and particularly of the Earth. I. [sic] Universal geography, shewing the divers circumstances relating to the earth, water, and atmosphere. III. Geographical elements, exemplified in definitions, problems, theorems, and paradoxes. IV. Particular geography, concerning the natural and political parts of Europe, Asia, Africa, and America; wherein the climate, productions, and people; the customs, policy, manufactures, and traffic; the religion, strength, history, and other particulars, of all nations, are treated of, in a manner tending to render the study of geography entertaining and instructive. Illustrated with twenty-five maps and plates elegantly executed. By Mr. Salmon. The twelfth edition, with great amendments and improvements by Mr. Robertson.",Thomas Salmon,89,1,1,1,1,1,0,3,0,2,2,3,3,1,3,5,5,3,0,5,3,1,5,1,0,0,0,0,0,2,0,8,0,0,0,2,0,1,1,0,0,2,1,2,0,0,2,0,1,3,3,0,1,3,1,0,1,0,1,4,0,1772,1,1,"London : printed for C. Bathurst; W. Strahan; J. and F. Rivington; W. Johnston; J. Hinton; K, Hawes, W. Clarke, and R. Collins; T. Davies; S. Crowder; T. Longman; T. Caslon; B. Law; T. Lowndes; J. and T. Pote; L. Stuart; W. Nicoll; G. Robinson; T. Cadell; and R. Baldwin, MDCCLXXII. [1772].",London,733,male,1679,1767,FALSE,"by the name of James III At which King William and the British nation were so exasperated, that they concluded an alliance with the Emperor and the States- general against France , which obtained the name of the Grand Alliance. Marshal Villeroy, General of the French and Spanish armies in"
1475000100_000112,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the Earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopricks, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his Royal Highness the Prince of Wales.",Thomas Salmon,99,2,0,1,0,0,1,0,1,2,2,1,1,1,1,3,3,2,1,1,4,1,1,0,3,0,0,0,0,1,0,14,0,0,1,3,3,0,0,0,0,1,3,11,0,2,0,0,1,7,2,2,5,3,1,2,1,0,0,4,0,1751,1,1,"London : Printed for William Johnston, at the Golden-Ball in St. Paul's Church-Yard, MDCCLI. [1751].",London,646,male,1679,1767,FALSE,"Walter Raleigh was made Commander of a Squadron of Men. of War , and sent to the River Oroonoko in America in Search of a Gold Mine; and attacking some of the spani/h Settlements in Terra' Firma, he was, at the Initigation of the spani/h Ambassador, executed (by Virtue of"
0487000100_000143,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. ... By Mr. Salmon. Illustrated with a set of twenty-three new maps ...",Thomas Salmon,93,0,1,2,0,1,1,0,0,3,1,2,2,2,2,5,5,2,0,2,4,1,6,1,0,0,0,0,0,1,0,11,0,0,1,3,0,2,1,0,0,2,1,3,0,0,2,0,0,4,4,0,2,1,1,2,1,0,2,6,0,1757,1,1,"London : printed for William Johnston, 1757.",London,684,male,1679,1767,FALSE,"of his Son James francis edward was disputed for some Time, though' that of his Daughter Louifa maria terrfa  never was. These two he had by Queen Maty, Daughter to Alphoonjb d'efle, Duke of Modena. Set . 7.] Upon the Death of King ames, the French King immediately caused"
0971100108_000202,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... . A new edition, corrected to which is added, a complete index.",David Hume,95,1,0,3,3,0,3,1,1,5,4,2,4,2,3,3,3,2,1,0,3,0,0,0,1,1,1,1,0,9,0,4,1,0,0,0,2,1,2,0,0,1,4,5,0,0,0,2,1,5,2,1,0,3,0,3,1,0,0,0,0,1769,8,8,"Dublin : printed for James Williams, at No. 5. Skinner-Row, M,DCC,LXIX. [1769].",Dublin,526,male,1711,1776,TRUE,"Southampton, 305 See Southampton. Wyat, Sir Thomas, a curious letter sent to him concerning the dispute between Henry VIII and Lambert, IV 209, zlo. he raises an in furre&ion against queen Mary of England , 41 7 which is suppressed, and he condemned and executed, 418 Wycherly, characer of, VIII"
1663500104_000037,"The history of England, from the earliest times to the death of George II. By Dr. Goldsmith. The second edition. In four volumes.",Oliver Goldsmith,88,1,0,2,0,0,0,0,1,2,1,2,1,0,0,8,4,4,0,4,5,0,4,0,0,0,1,2,0,3,0,4,3,0,1,0,0,2,1,0,2,2,1,1,5,2,0,2,2,1,3,1,1,2,0,1,2,2,0,2,0,1774,4,4,"Dublin : printed for A. Leathley, J. Exshaw, W. Wilson H. Saunders, W. Sleater, D. Chamberlaine, J. Hoey, Jun. J. Potts, J. Williams, J. Mitchell, J.A. Husband, W. Colles, T. Walker, R. Moncrieffe, and D. Hay, M.DCC.LXXIV. [1774].",Dublin,300,male,1728,1774,TRUE,"seemed extremely uneasy at his fitr ation; and in a letter to the secretary in England , desired permission to return home. But the confederates were loud in their complaints; they expoltulated with the ministers at Utrecht upon to perfidious a condua; but they were told that letters had been"
1075800300_000085,"The present state of Great-Britain and Ireland, in three parts. The I. Of South II. Of North Britain. III. Of Ireland. Containing An Accurate and Impartial Account of these great and famous Islands: Of their several Counties, and their Inhabitants; the Advantages and Disadvantages of Both, in respect to Foreign Countries; and their Curiosities, both of Nature and Art. Of the vast, populous, and opulent City of London, the Metropolis of Great Britain; and of the Famous Universities of the Land. Of the Britains Original, Language, Temper, Genius, Religion, Morals, Trade, &c. Their Nobility, Gentry, Clergy, and Commonalty. Their Laws and Government; with a succinct History of all the English Monarchs to this Time. With the Lists of the present Officers in Church and State. Of both Houses of Parliament, and of the Convocation. To which are added Maps of the Three Kingdoms. Also the present state of His Majesty's dominions in Germany, containing an Exact Description of the same; and a New Map of them all.",Guy Miège,93,0,0,1,1,1,1,2,0,3,0,2,4,1,1,1,0,2,1,0,2,0,1,0,0,0,0,1,3,1,1,19,3,0,0,3,6,1,1,0,2,1,0,4,1,2,2,5,2,2,2,1,1,1,1,0,0,0,0,3,0,1718,1,1,"London : printed by J.H. for the executors of J. Nicholson; A. Bell at the Cross-Keys and Bible in Cornhill; R. Smith at the Bible under the Piazza of the Royal-Exchange; and J. Round at Seneca's Head in Exchange-Alloy, 1718.",London,854,male,1644,1718,FALSE,"is proclaimed with great Solemnity; and his Coronation performed with great Pomp and Magnificence. He he.has likewise all the Marks of Sovereignty, as the Power of making treaties and Leagues with Foreign States, of making Peace and War , sending and receiving Ambassadors, creating of Magijrates; of Calling, Adjourning, Proroguing"
