PassageID,Title,Author,Total termFreq,termFreq(amurath),termFreq(arm),termFreq(armi),termFreq(asia),termFreq(bajazet),termFreq(centuri),termFreq(citi),termFreq(conquer),termFreq(constantinopl),termFreq(countri),termFreq(court),termFreq(dominion),termFreq(eastern),termFreq(emperor),termFreq(empir),termFreq(europ),termFreq(famili),termFreq(govern),termFreq(grand),termFreq(holi),termFreq(imperi),termFreq(long),termFreq(mahomet),termFreq(majesti),termFreq(militari),termFreq(ottoman),termFreq(peac),termFreq(persia),termFreq(power),termFreq(princ),termFreq(provinc),termFreq(reign),termFreq(religion),termFreq(saracen),termFreq(second),termFreq(son),termFreq(sultan),termFreq(taken),termFreq(tartar),termFreq(tartari),termFreq(throne),termFreq(treati),termFreq(turk),termFreq(turkish),termFreq(valour),termFreq(vizier),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0320700200_000089,"An introduction to universal history. Translated from the Latin of Baron Holberg. With notes historical, chronological, and critical. By Gregory Sharpe, LL. D. Fellow of the Royal and Antiquarian Societies. The second edition corrected and enlarged. To which is prefixed A short system of geography, with maps, &c.","Holberg, Ludvig, Baron",97,5,0,1,1,5,1,5,0,1,0,0,1,3,5,8,1,0,0,0,0,1,1,2,0,3,9,1,0,1,7,2,1,3,3,2,2,5,1,0,0,1,0,9,2,2,0,2,1758,1,1,"London : printed for A. Millar in the Strand, J. Ward in Cornhill, and A. Linde in Catherine-Street, MDCCLVIII. [1758].",London,376,male,1684,1754,FALSE,"by the Turks . And since all the provinces of the old eastern empire may now be comprehended under the dominion of the Turks , it is necessary to lay something of the rise and progress of the new Ottoman monarchy. OF THE TURKISH EMPIRE . In the Turkish history"
1743000100_000316,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. ... By William Guthrie, Esq. Illustrated with a correct set of maps, engraved by Mr. Kitchen, ... The seventh edition, improved and enlarged; the astronomical part by James Ferguson, F.R.S.",William Guthrie,82,1,1,2,2,4,2,1,1,3,3,2,4,1,6,4,1,2,1,1,1,0,4,2,1,0,0,0,2,3,4,1,0,1,3,1,1,1,1,0,1,0,0,8,1,1,0,3,1782,1,1,"London : printed for Charles Dilly; and George Robinson, 1782.",London,774,male,1708,1770,FALSE,"ladies are scarce ever suffered to go abroad, except when the Grand Signior removes from one place to another, when a troop of black eunuchs conveys them to the boats, which are enclosed with lattices; and when they go by'land, they are put into close chariots, and signals are made"
0320900400_000237,"A summary of geography and history, both ancient and modern; containing, An Account of the Political State, and Principal Revolutions of the most Illustrious Nations in Ancient and Modern Times; their Manners and Customs; the Local Situation of Cities; especially of such as have been distinguished by Memorable Events: With an abridgement of the fabulous history or mythology of the Greeks. To which is prefixed, An Historical Account of the Progress and Improvements of Astronomy and Geography, from the earliest Periods to the Time of Sir Isaac Newton: Also, a brief Account of the Principles of the newtonian philosophy, occasionally compared with the Opinions of the Ancients, concerning the General and Particular Properties of Matter; the Air, Heat and Cold Light, and its Effects; the Laws of Motion; the Planetary System, &c. - With a Short Description of the Component Parts of the Tereaqueous Globe, according to the Notions of the Ancients, and the more accurate Discoveries of Modern Chemists. Designed chiefly to connect the Study of Classical Learning with that of General Knowledge. By Alexander Adam, LL. D. Rector of the high school of Edinburgh. The second edition, corrected, To which is added, a geographical index, containing the Latin names of the principal countries, cities, Rivers, and Mountains mentioned in the Greek and Roman Classics; With the Modern Names subjoined. Illustrated with maps.",Alexander Adam,82,4,2,2,3,7,0,3,0,3,1,1,0,0,4,2,3,0,1,0,0,0,2,4,0,0,3,3,1,1,5,1,1,0,1,1,5,3,2,2,2,0,0,4,1,2,0,2,1797,1,1,"London : printed for A. Strahan and T. Cadell jun. and W. Davies (successors to Mr. Cadell) in the Strand; and W. Creech, at Edinburgh, 1797.",London,884,male,1741,1809,FALSE,"Saracens in Asia was overturned by GENCIS KAN, the chief of the Mongol or Mogul Tartars , who was perhaps the greatest conqueror that ever existed in the world. He overran Russia, Tartary , a great part of China, and Indoftan, in hort, almost all Aia. He died at an"
0237000300_000088,"An introduction to universal history. Translated from the Latin of Baron Holberg; with notes, Historical, Chronological, and Critical. By Gregory Sharpe, LL. D. F. R. & A. S. A new edition, revised, corrected, and improved, by William Radcliffe, A. B. Of Oriel College, Oxford.","Holberg, Ludvig, Baron",73,3,1,1,2,5,1,3,0,1,0,0,1,2,1,9,1,0,0,0,0,1,0,1,0,2,7,1,0,2,5,1,1,1,3,1,2,4,1,1,0,1,0,2,2,1,0,2,1787,1,1,"London : printed for L. Davis, Holborn; J. Johnson, St. Paul's Church-Yard; and R. Baldwin, Pater-Noster-Row, MDCCLXXXVII. [1787].",London,377,male,1684,1754,FALSE,"horfeoutof their nobility alone. A general muster, when all the inhabitants are to appear under arms is called Pofpolite Rufzenie; but such a general muster cannot be made but Z 3 in C Stanifllu, Augustus the Second , born Jan. 17, 1732, was eieeled king of Poland September 7, 1764,"
0138200300_000056,"A short compendium of ancient and modern historical geography. Translated from the French, and dedicated, by permission, to Miss Billings, by Mr. de Lanségüe.",,76,3,0,0,3,1,1,4,4,1,1,0,0,1,4,7,5,0,4,3,1,0,1,5,0,0,1,0,2,2,0,3,2,1,1,0,0,3,0,0,1,1,1,5,2,0,0,2,1791,1,1,"London : printed at the Logographic Press; and sold by T. Cadell, Strand; Baldwin, Paternoster-row; B. Law, Ave-Maria-Lane; and J. Walter, No.169, Piccadilly, M.DCC.XCI [1791].",London,496,unknown,,,FALSE,"having lost all hope of recovering the island, determined to give it up to the French, who sent troops, and took possession of it in 1769 The capital is Bastia, towards the north; it is a seaport, a bishopric, and the residence of the governor. There are also two small"
1188400100_000463,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,87,1,1,2,1,3,2,1,1,6,2,2,4,1,6,4,1,2,1,0,1,0,4,3,0,0,0,0,1,5,6,1,1,1,3,1,2,1,1,0,1,0,0,8,1,1,0,4,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"Tartary . One tribe of there people, called Turks or Turcomans, which name signifies Wanderers, extended its conquests under various leaders, and during several centuries , from the hore of the Caspian to the straits of the Dardanelles. Being long resident in the capacity of body guards, about the courts"
0086700108_000023,"Beauties of nature and art displayed, in a tour through the world; ... Illustrated and embellished with copper plates.",,90,2,1,1,3,4,1,2,1,0,6,0,0,0,0,3,2,5,0,2,0,0,2,3,0,0,3,0,7,0,6,1,2,0,1,0,6,7,2,3,1,1,0,7,3,0,0,2,1774,8,13,"London : printed for G. Robinson, in Pater-Noster-row,  1774-75.",London,231,unknown,,,FALSE,"of an hour; after which one of them begins a lamentable dirge, in which all the rest immediately join; and during this dirge, the children and relations of the deceased throw themselves inro a variety of antic postures; when the corpse is brought out, a great number of poor people"
1710102100_000075,"An introduction to universal history, translated from the Latin of Baron Holberg with notes historical, chronological, and critical. By Gregory Sharpe, L.L.D. fellow of the Royal Society, and of the Society of Antiquarians. To which is added, The history of Ireland; also, an account of the author.","Holberg, Ludvig, Baron",78,2,1,2,2,4,1,4,0,1,0,0,1,4,2,9,1,0,1,0,0,1,1,1,0,2,5,1,0,2,4,1,0,1,4,2,1,5,1,0,0,1,0,5,3,0,0,2,1784,1,1,"Dublin : Printed by J. Hoey, MDCCLXXXIV. [1784].",Dublin,288,male,1684,1754,FALSE,"of Poland is so hedged in, and circumscribed by the. laws) that they have littil * Twenty thousand Spahis and eight thousand Janiza les were slain in thiis. action in 1673 little more than the name, of kings; morver the form of government apprroaihes nearer to ri Aristocracy than a"
1372700102_000005,"A new system of geography: or, A general description of the world. Containing a particular and circumstantial account of all the countries, kingdoms, and states of Europe, Asia, Africa, and America. Their situation, climate, mountains, seas, rivers, lakes, &c. The religion, manners, customs, manufactures, trade, and buildings of the inhabitants. With the birds, beasts, reptiles, insects, the various vegetables, and minerals, found in different regions. Embellished with a new and accurate set of maps, by the best geographers; and great variety of copper-plates, containing perspective views of the principal cities, structures, ruins, &c. By D. Fenning, (Author of the Royal English dictionary, the use of the globes, the young algebraist's companion, &c.) J. Collier, (Author of the Letters from Pelicia to Charlotte; and translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,76,3,0,2,5,2,1,2,1,0,1,0,1,0,5,6,3,0,2,1,0,0,0,4,0,0,1,3,2,2,3,0,1,3,3,1,4,1,1,2,1,0,0,6,1,1,0,1,1764,2,2,"London : Printed for S. Crowder, at the Looking-Glass, in Pater-noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other booksellers in Great Britain and Ireland, MDCCLXIV. [1764].",London,833,male,1748,1827,FALSE,"matters of religion . He also published rome maps, and books of hiffory and geography, and is said to have had a considerable knowledge of the Latin; : ongue. Literature, however, is not so rareamong the Greeks, who have not only schools for infru&ing children in the principles of religion"
0435800102_000005,"A new system of geography: or, a general description of the world. Containing A Particular and Circumstantial Account of all the Countries, Kingdoms, and States of Europe, Asia, Africa, and America. Their Situation, Climate, Mountains, Seas, Rivers, Lakes, &c. The Religion, Manners, Customs, Manufactures, Trade, and Buildings of the Inhabitants. With The Birds, Beasts, Reptiles, Insects, the various Vegetables, and Minerals, found in different Regions. Embellished with a new and accurate set of maps, by the best Geographers; and great variety of copper-plates, containing Perspective Views of the Principal Cities, Structures, Ruins, &c. By D. Fenning, (author of the Royal English Dictionary, the Use of the Globes, the Young Algebraist's Companion, &c.) J. Collyer, (author of the Letters from Felicia to Charlotte; and Translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,73,2,0,1,5,2,2,2,0,2,1,0,1,0,7,6,2,0,1,0,1,1,0,5,0,0,0,3,2,1,3,0,1,1,3,1,2,5,1,1,0,0,0,4,1,1,1,1,1765,2,2,"London : printed for S. Crowder, at the Looking-Glass, in Pater-Noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other Booksellers in Great Britain and Ireland, MDCCLXVI. [1765].",London,840,male,1748,1827,FALSE,"the nations comprehended under the two principal branches of Tartar and Mongul, who therefore never use it as a proper name of any Scythian or Tartarian nation. The word tur, as an adjective, signifies sublime and preeminent;; as a fubitantive, a governor. The Scythian or Tartarian nation, to which the"
