PassageID,Title,Author,Total termFreq,termFreq(amurath),termFreq(arm),termFreq(armi),termFreq(asia),termFreq(bajazet),termFreq(centuri),termFreq(citi),termFreq(conquer),termFreq(constantinopl),termFreq(countri),termFreq(court),termFreq(dominion),termFreq(eastern),termFreq(emperor),termFreq(empir),termFreq(europ),termFreq(famili),termFreq(govern),termFreq(grand),termFreq(holi),termFreq(imperi),termFreq(long),termFreq(mahomet),termFreq(majesti),termFreq(militari),termFreq(ottoman),termFreq(peac),termFreq(persia),termFreq(power),termFreq(princ),termFreq(provinc),termFreq(reign),termFreq(religion),termFreq(saracen),termFreq(second),termFreq(son),termFreq(sultan),termFreq(taken),termFreq(tartar),termFreq(tartari),termFreq(throne),termFreq(treati),termFreq(turk),termFreq(turkish),termFreq(valour),termFreq(vizier),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0320700200_000089,"An introduction to universal history. Translated from the Latin of Baron Holberg. With notes historical, chronological, and critical. By Gregory Sharpe, LL. D. Fellow of the Royal and Antiquarian Societies. The second edition corrected and enlarged. To which is prefixed A short system of geography, with maps, &c.","Holberg, Ludvig, Baron",97,5,0,1,1,5,1,5,0,1,0,0,1,3,5,8,1,0,0,0,0,1,1,2,0,3,9,1,0,1,7,2,1,3,3,2,2,5,1,0,0,1,0,9,2,2,0,2,1758,1,1,"London : printed for A. Millar in the Strand, J. Ward in Cornhill, and A. Linde in Catherine-Street, MDCCLVIII. [1758].",London,376,male,1684,1754,FALSE,"- 1545 - 1552 MOG L Dynafry restored. Humaioon - - Acbar - - 15 5 Jehanguire - itcc Shah Jehan - 162 Aurerzebe, or Alum guire I. - - -1659 Bahader Shah - 177 Jehaunder Shah - i71z Ferokfere - - 1713 Raffieh ul Dirjat rufiel ul Dowlah 71"
1743000100_000316,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. ... By William Guthrie, Esq. Illustrated with a correct set of maps, engraved by Mr. Kitchen, ... The seventh edition, improved and enlarged; the astronomical part by James Ferguson, F.R.S.",William Guthrie,82,1,1,2,2,4,2,1,1,3,3,2,4,1,6,4,1,2,1,1,1,0,4,2,1,0,0,0,2,3,4,1,0,1,3,1,1,1,1,0,1,0,0,8,1,1,0,3,1782,1,1,"London : printed for Charles Dilly; and George Robinson, 1782.",London,774,male,1708,1770,FALSE,"its fertility, the river Ganges here dividing itself into several branches, and annnally overflowing the country as the Nile does Egypt. The finest canes brought to Europe come from this kingdom, and a finall sort of canes grow here much more supple than oziers; these the inhabitants work into vessels"
0320900400_000237,"A summary of geography and history, both ancient and modern; containing, An Account of the Political State, and Principal Revolutions of the most Illustrious Nations in Ancient and Modern Times; their Manners and Customs; the Local Situation of Cities; especially of such as have been distinguished by Memorable Events: With an abridgement of the fabulous history or mythology of the Greeks. To which is prefixed, An Historical Account of the Progress and Improvements of Astronomy and Geography, from the earliest Periods to the Time of Sir Isaac Newton: Also, a brief Account of the Principles of the newtonian philosophy, occasionally compared with the Opinions of the Ancients, concerning the General and Particular Properties of Matter; the Air, Heat and Cold Light, and its Effects; the Laws of Motion; the Planetary System, &c. - With a Short Description of the Component Parts of the Tereaqueous Globe, according to the Notions of the Ancients, and the more accurate Discoveries of Modern Chemists. Designed chiefly to connect the Study of Classical Learning with that of General Knowledge. By Alexander Adam, LL. D. Rector of the high school of Edinburgh. The second edition, corrected, To which is added, a geographical index, containing the Latin names of the principal countries, cities, Rivers, and Mountains mentioned in the Greek and Roman Classics; With the Modern Names subjoined. Illustrated with maps.",Alexander Adam,82,4,2,2,3,7,0,3,0,3,1,1,0,0,4,2,3,0,1,0,0,0,2,4,0,0,3,3,1,1,5,1,1,0,1,1,5,3,2,2,2,0,0,4,1,2,0,2,1797,1,1,"London : printed for A. Strahan and T. Cadell jun. and W. Davies (successors to Mr. Cadell) in the Strand; and W. Creech, at Edinburgh, 1797.",London,884,male,1741,1809,FALSE,"the empire sustained prodigious loss. Miserable ruled everything with an absolute sway, he thought Since the arrival of Nadir in Hindostan, about 2oo, ooo state of proper to retire to his government. In 1722 he was people had been destroyed, and goods and treasure car Hindfitan invited to court, and"
0237000300_000088,"An introduction to universal history. Translated from the Latin of Baron Holberg; with notes, Historical, Chronological, and Critical. By Gregory Sharpe, LL. D. F. R. & A. S. A new edition, revised, corrected, and improved, by William Radcliffe, A. B. Of Oriel College, Oxford.","Holberg, Ludvig, Baron",73,3,1,1,2,5,1,3,0,1,0,0,1,2,1,9,1,0,0,0,0,1,0,1,0,2,7,1,0,2,5,1,1,1,3,1,2,4,1,1,0,1,0,2,2,1,0,2,1787,1,1,"London : printed for L. Davis, Holborn; J. Johnson, St. Paul's Church-Yard; and R. Baldwin, Pater-Noster-Row, MDCCLXXXVII. [1787].",London,377,male,1684,1754,FALSE,"by the Turks, but in 707 they were expelled by the Arabs, under Walid. In 894 Ishmael Al Sam mani revolted from the Arabs, and in 1078 Malek Shah the Seljuk conquered it. In ii24 Gurkhan, being driven out of Kitah by the Kin, founded a powerful state here; but"
0138200300_000056,"A short compendium of ancient and modern historical geography. Translated from the French, and dedicated, by permission, to Miss Billings, by Mr. de Lanségüe.",,76,3,0,0,3,1,1,4,4,1,1,0,0,1,4,7,5,0,4,3,1,0,1,5,0,0,1,0,2,2,0,3,2,1,1,0,0,3,0,0,1,1,1,5,2,0,0,2,1791,1,1,"London : printed at the Logographic Press; and sold by T. Cadell, Strand; Baldwin, Paternoster-row; B. Law, Ave-Maria-Lane; and J. Walter, No.169, Piccadilly, M.DCC.XCI [1791].",London,496,unknown,,,FALSE,"streams fall into the Caspian Sea. The chief mountains are those of Caucasus and Ararat, between Persia and Turkey, and they are called the mountains of Daghiftan. And the vast collection of mountains called Taurus, and their divisions, which run through the middle of Persia from Natolia to India ."
1188400100_000463,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,87,1,1,2,1,3,2,1,1,6,2,2,4,1,6,4,1,2,1,0,1,0,4,3,0,0,0,0,1,5,6,1,1,1,3,1,2,1,1,0,1,0,0,8,1,1,0,4,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"dominions, and was obliged to fly with his wife into Persia; where, after experiencing various vicissitudes of fortune, sometimes caressed, and at others insulted, by the king of that country, he was at length, at the end of twelve years, by the afiiftance of the Persian , reinfated in the"
0086700108_000023,"Beauties of nature and art displayed, in a tour through the world; ... Illustrated and embellished with copper plates.",,90,2,1,1,3,4,1,2,1,0,6,0,0,0,0,3,2,5,0,2,0,0,2,3,0,0,3,0,7,0,6,1,2,0,1,0,6,7,2,3,1,1,0,7,3,0,0,2,1774,8,13,"London : printed for G. Robinson, in Pater-Noster-row,  1774-75.",London,231,unknown,,,FALSE,"the neighbouring countries, and continued till, 1222; when Jenghis Khan conquered, and took the capital of it, defeating Jalaloddin the last prince of the 7 Gaznevide Gaznevide family. N. BA The succeeding revolutions in this territory may befeen in the article of Indoftan, to which it was for a long"
1710102100_000075,"An introduction to universal history, translated from the Latin of Baron Holberg with notes historical, chronological, and critical. By Gregory Sharpe, L.L.D. fellow of the Royal Society, and of the Society of Antiquarians. To which is added, The history of Ireland; also, an account of the author.","Holberg, Ludvig, Baron",78,2,1,2,2,4,1,4,0,1,0,0,1,4,2,9,1,0,1,0,0,1,1,1,0,2,5,1,0,2,4,1,0,1,4,2,1,5,1,0,0,1,0,5,3,0,0,2,1784,1,1,"Dublin : Printed by J. Hoey, MDCCLXXXIV. [1784].",Dublin,288,male,1684,1754,FALSE,"survive his confinement; and upon his death, the emperor abandoned himself to the same course of pleasures that had been so fatal to his predecessors. As to Nizam, he became now the great imperial general, and was often employed again if the Mahrattas, whom he defeated, when they had almost"
1372700102_000005,"A new system of geography: or, A general description of the world. Containing a particular and circumstantial account of all the countries, kingdoms, and states of Europe, Asia, Africa, and America. Their situation, climate, mountains, seas, rivers, lakes, &c. The religion, manners, customs, manufactures, trade, and buildings of the inhabitants. With the birds, beasts, reptiles, insects, the various vegetables, and minerals, found in different regions. Embellished with a new and accurate set of maps, by the best geographers; and great variety of copper-plates, containing perspective views of the principal cities, structures, ruins, &c. By D. Fenning, (Author of the Royal English dictionary, the use of the globes, the young algebraist's companion, &c.) J. Collier, (Author of the Letters from Pelicia to Charlotte; and translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,76,3,0,2,5,2,1,2,1,0,1,0,1,0,5,6,3,0,2,1,0,0,0,4,0,0,1,3,2,2,3,0,1,3,3,1,4,1,1,2,1,0,0,6,1,1,0,1,1764,2,2,"London : Printed for S. Crowder, at the Looking-Glass, in Pater-noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other booksellers in Great Britain and Ireland, MDCCLXIV. [1764].",London,833,male,1748,1827,FALSE,"age. There are many different languages in the East Indies: the Mahometants generally underfiand Arabic, because the Koran is written in that language. In all handicraft trades that the Indians practice, they are reckoned neater and better workmen than the Europeans. IND STAN Is a peninsula W. of the river"
0435800102_000005,"A new system of geography: or, a general description of the world. Containing A Particular and Circumstantial Account of all the Countries, Kingdoms, and States of Europe, Asia, Africa, and America. Their Situation, Climate, Mountains, Seas, Rivers, Lakes, &c. The Religion, Manners, Customs, Manufactures, Trade, and Buildings of the Inhabitants. With The Birds, Beasts, Reptiles, Insects, the various Vegetables, and Minerals, found in different Regions. Embellished with a new and accurate set of maps, by the best Geographers; and great variety of copper-plates, containing Perspective Views of the Principal Cities, Structures, Ruins, &c. By D. Fenning, (author of the Royal English Dictionary, the Use of the Globes, the Young Algebraist's Companion, &c.) J. Collyer, (author of the Letters from Felicia to Charlotte; and Translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,73,2,0,1,5,2,2,2,0,2,1,0,1,0,7,6,2,0,1,0,1,1,0,5,0,0,0,3,2,1,3,0,1,1,3,1,2,5,1,1,0,0,0,4,1,1,1,1,1765,2,2,"London : printed for S. Crowder, at the Looking-Glass, in Pater-Noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other Booksellers in Great Britain and Ireland, MDCCLXVI. [1765].",London,840,male,1748,1827,FALSE,"S. the river Kistna. All the trat S. of this last river is generally called the Peninsula; although its form is far from authorising that appellation. The name India , by which this country, as far as it was known, is distinguished in the earliest Greek histories, appears to be"
