PassageID,Title,Author,Total termFreq,termFreq(action),termFreq(ancient),termFreq(charact),termFreq(composit),termFreq(descript),termFreq(divin),termFreq(epic),termFreq(geniu),termFreq(god),termFreq(hero),termFreq(heroic),termFreq(histori),termFreq(imagin),termFreq(incid),termFreq(languag),termFreq(machineri),termFreq(manner),termFreq(marvel),termFreq(merit),termFreq(natur),termFreq(necess),termFreq(personag),termFreq(place),termFreq(plan),termFreq(plot),termFreq(poem),termFreq(probabl),termFreq(reader),termFreq(speci),termFreq(style),termFreq(sublim),termFreq(uniti),termFreq(varieti),termFreq(vers),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1041700300_000012,Synopsis of lectures on belles lettres and logic. Read in the University of St. Andrews.,University of St. Andrews,82,1,7,2,3,7,0,11,4,0,1,3,4,2,1,1,3,1,0,4,1,0,2,2,0,0,8,0,1,0,4,2,5,0,2,1790,1,1,"Edinburgh : printed for Elphingston Balfour, M,DCC,XC. [1790].",Edinburgh,253,unknown,,,FALSE,"Should guide its composition , z. The X The author Should be studious to procure the best information, 2 Should be guided by the ftriateft impartiality. 3 Should be well acquainted with the human heart, and the science of politics. History early availed itself of the. aid of the moralist,"
0262800102_000001,"A course of the belles lettres: or the principles of literature. Translated from the French of the Abbot Batteux, Professor of Rhetoric in the Royal College of Navarre, at Paris. By Mr. Miller. In four volumes. ...",Charles Batteux,87,7,0,3,0,0,0,17,0,0,3,1,2,0,0,2,0,6,5,1,3,5,1,1,0,4,11,3,1,2,1,1,5,1,1,1761,2,4,"London : printed for B. Law and Co. T. Caslon, J. Coote, S. Hooper, G. Kearsly, and A. Morley, MDCCLXI. [1761].",London,424,male,1713,1780,FALSE,A C o U R S E OF TIHE BELLES LETTERS V 0 L II A C 0 U R S E OF THE B ELSE LETTERS: OR THE PR I N C I PL ES OF LITERATURE. Translated from the F R E N C H of tile A
0036900800_000064,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,72,2,1,7,0,2,0,17,0,3,4,0,1,2,1,0,4,0,1,0,2,0,4,0,1,0,7,1,4,3,0,1,3,1,0,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,TRUE,"and the anger of Achilles; with its consequences, is the subject of the Iliad. It is not, however, to be understood, that the epic unity , or ation, is to exclude episodes. On the contrary, the epic poem would be cold without them; and the critics confider them as its"
1441300600_000068,Essays on rhetorick: abridged chiefly from Dr. Blair's lectures on that science.,Solomon Southwick,47,0,2,2,2,2,1,2,3,1,0,0,0,2,1,1,1,1,1,1,1,1,1,0,1,0,7,0,2,1,1,5,1,2,1,1798,1,1,"Albany [N.Y.] : Printed by Barber & Southwick, and sold at their book-store, two doors north of the city-hall, Court-Street, and at Faust's statue, State-Street, M,DCC,XCVIII. [1798].",Albany,308,male,1773,1839,FALSE,"At the same time, the events are too much crowded together. The strain of fentinment, however, which pervades the Henriade, is noble. Religion appears always with the greatest lustre; and the poem has that spirit of humanity and toleration, which is the constant distinction of men who riie far above"
1291300102_000121,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,49,1,0,2,1,7,0,4,1,1,0,1,0,3,3,0,3,2,2,1,0,0,1,0,2,0,6,1,1,0,2,2,1,1,0,1789,2,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,412,male,1718,1800,TRUE,"resentful, seduced by the allurements of Armida; but a personage , on the whole, of much zeal, honour, and heroism. The brave and high-minded Solyman, the tender Ermi nia, the artful and violent Armida, the masculine Clo rinda; are all of them well drawn and animated figures. In the charaeteriftical"
0484400100_000064,Essays on rhetoric: abridged chiefly from Dr. Blair's Lectures on that science.,Hugh Blair,66,3,0,4,1,2,0,18,0,2,4,0,0,1,1,0,4,0,1,0,2,0,2,0,1,0,7,1,3,2,0,1,5,1,0,1787,1,1,"London : [pri]nted for J. Murray, NO 32, Fleet-Street, MDCCLXXXVII. [1787].",London,431,male,1718,1800,TRUE,"its liberty of fision, It is a more calm composition than tragedy. It requires a grave, equal, and supported dignity. On tome occasions it demands the pathetic and the violent, and it admits a great compass of time and action . The alion or futi'ic of the epic must pos'ess"
0321800700_000162,"The poems of Ossian, the son of Fingal. Translated by James Macpherson, Esq;",James Macpherson,57,3,0,2,5,2,0,9,2,0,1,2,1,0,2,0,0,2,1,0,5,0,2,0,2,0,8,1,1,1,0,2,1,1,1,1792,1,1,"Edinburgh : printed for J. Robertson, No. 39, South Bridge-Street, MDCCXCII. [1792].",Edinburgh,447,male,1736,1796,TRUE,"which flashes and vanishes. Homer is more extended ih his descriptions ; and fills them up with a greater variety of circumstances. Both the poets are dramatic; that is, they introduce their personages frequently' speaking before us. Bt Ossian is concise and rapid in his speeches, as he is in"
0504100102_000137,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,47,0,0,1,1,7,0,2,0,1,1,1,0,2,3,0,4,0,2,1,1,0,1,0,1,0,7,1,1,1,3,2,1,2,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,TRUE,"diftinguilhed Epic Poet in Modern Ages. His Yertifalem Delivered, was published in the year 1574 It is a Poem regularly and strictly Epic , in its whole construction; and adorned with al the beauties that belong to that species of Composition . The subjet is, the Recovery of Jerusalem from"
0036900800_000069,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,49,1,2,2,2,2,1,2,3,2,0,0,0,2,1,1,1,1,1,1,1,0,1,0,1,0,7,0,2,0,1,7,1,2,1,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,TRUE,"fine palfage in the Henriade. The introduction, by Death, of the souls of the dead in succession before God , and the palace of the Destinies, are also passages which are striking and magnificent. Notwithstanding the episodes of Voltaire, his narration is by far too general. At the same time,"
1282300102_000121,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University of Edinburgh. In two volumes. ...",Mathew Carey,43,0,1,1,1,2,0,3,0,1,1,1,1,2,2,0,4,1,2,1,1,0,1,0,1,0,8,1,1,1,0,2,1,2,0,1793,2,2,"Philadelphia : From the press of Mathew Carey, March 19 --M.DCC.XCIII. [1793].",Philadelphia,464,male,1760,1839,FALSE,"Though thousand fairer trees the field supplies, That rich in youthful verdure round him rise, Sixed in his ancient seat, he yields to none, And wears the honours of the grove alone. But Cefar's greatness, and his strength was more, Than past renown and antiquated power; · Twas not the"
0382100203_000062,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,45,0,0,0,1,4,0,3,0,1,1,1,1,2,2,0,4,0,2,1,1,0,1,0,1,0,8,1,1,1,3,2,1,2,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,TRUE,"the same of what he once had been, Or tales in old records or annals seen; But twas a valour, relflefs, unconfined, Which no success could fate, nor limits bind; Trwas shame, a soldier's shame, untaught to yield, That blufi'd for nothing but an ill fought field. Row. ments, L"
0999500501_000006,"A translation of the Inferno of Dante Alighieri, in English verse. With historical notes, and the life of Dante. To which is added, a specimen of a new translation of the Orlando Furioso of Ariosto. By Henry Boyd, A.M.",Dante Alighieri,57,1,2,4,0,1,1,3,3,1,1,2,0,0,6,1,2,1,1,0,3,0,0,1,4,0,3,6,0,1,0,1,1,7,0,1785,1,2,"London : printed by C. Dilly, 1785.",London,351,male,1265,1321,FALSE,"of Epic poetry. only are feen through the telescope of fancy,; by the erye' of the recluse con templatift E 29 j tcmplatifl : the former are favourites of the mul tituald, and the multitude gives immediate'fame. The laurels of the heroic bard are of.more tardy growth, and are more"
0417500103_000062,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,43,0,0,1,1,3,0,1,0,1,1,1,1,2,2,0,4,0,2,1,1,0,1,0,1,0,8,1,1,1,3,2,1,2,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,TRUE,"Twas not the same of what he once had been, Or tales in old records or annals seen; But twas a valour, rellefs, unconfined, Which no success could fate, nor limits bind; Twas shame, a soldier's flame, untaught to yield, That blushed for nothing but an ill fought field. R"
