PassageID,Title,Author,Total termFreq,termFreq(advanc),termFreq(arm),termFreq(armi),termFreq(arriv),termFreq(attack),termFreq(battl),termFreq(bodi),termFreq(camp),termFreq(carri),termFreq(citi),termFreq(colonel),termFreq(command),termFreq(continu),termFreq(count),termFreq(countri),termFreq(duke),termFreq(enemi),termFreq(engag),termFreq(field),termFreq(follow),termFreq(foot),termFreq(forc),termFreq(form),termFreq(french),termFreq(gener),termFreq(ground),termFreq(guard),termFreq(head),termFreq(hors),termFreq(join),termFreq(kill),termFreq(king),termFreq(left),termFreq(line),termFreq(mean),termFreq(near),termFreq(night),termFreq(number),termFreq(oblig),termFreq(offic),termFreq(order),termFreq(parti),termFreq(pass),termFreq(piec),termFreq(princ),termFreq(quarter),termFreq(receiv),termFreq(regiment),termFreq(retir),termFreq(retreat),termFreq(return),termFreq(river),termFreq(sever),termFreq(soldier),termFreq(taken),termFreq(took),termFreq(town),termFreq(troop),termFreq(war),termFreq(wound),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0820900100_000142,"The history of the life and reign of her late Majesty Queen Anne: Wherein all the Transactions of that Memorable Reign Are faithfully Compiled from the Best Authorities, and Impartially Related. Illustrated with a regular series of all the medals that were struck to commemorate the great events of this reign; with a Variety of other Useful and Ornamental Plates.",Thomas Salmon,119,1,1,9,2,3,1,3,1,2,2,4,4,0,2,1,6,9,1,1,0,4,2,1,3,0,0,0,1,2,3,3,4,0,2,0,3,0,1,1,3,2,0,2,0,3,1,2,2,2,3,0,1,0,1,3,2,3,2,0,4,1740,1,1,"London : printed and sold by the booksellers in town and country, MDCCXL. [1740].",London,544,male,1679,1767,FALSE,"the Englifg Regiments in a Body , and joined some of the Dutch and Portuguese, who had been rallied by Count de Hona, and Don yuan Emanuel, and formed a Body of near 2000 Men, who retreated two Leagues, the Enemies Horse still pursuing, though' often repulsed by the Fire"
0362800100_000060,"The operations of the allied army, under the Command of His Serene Highness Prince Ferdinand, Duke of Brunswic and Luneberg, during the greatest part of six campaigns, beginning in the year 1757, and ending in the year 1762. By an officer, who served in the British forces. Illustrated with maps and plans.","Hotham, Charles, Sir",130,1,1,6,0,3,0,4,1,1,0,4,2,0,2,0,0,5,2,1,0,2,2,0,10,4,0,0,2,2,1,3,0,3,1,0,6,2,1,2,5,5,1,2,2,7,0,2,3,4,1,1,2,0,1,2,2,6,3,2,5,1764,1,1,"London : printed for T. Jefferys, Geographer to the King, M.DCC.LXIV. [1764].",London,318,male,1729,1794,FALSE,"and Brigadier de Montbarrey, have received revere contusions. Colonel Valance of the Bourbonnois regiment , the Prince of Rochefort, and the Chevalier de la Tour du Pin, are wounded . The Chevalier de Muy gives the highest commendation to all the private men, as. well as to the general officers"
1029800200_000396,"A genealogical history of the kings and queens of England, and monarchs of Great Britain, &c. From the conquest, anno 1066. to the year 1707. In seven parts or books. Containing a discourse of their several lives, marriages, and issues; with the times of their births, deaths, places of burial, and monumental inscriptions. Also, their effigies, seals, tombs, cenotaphs, devises, arms, quarterings, crests, and supporters; all curiously engraven in copper-plates. First publish'd to the beginning of King Charles the Second's reign, by Francis Sandford, Esq; Lancaster Herald of Arms: and continued to this time, with many new sculptures, additions, and annotations; as likewise the descents of divers illustrious families, now flourishing, maternally descended from the said monarchs, or from collateral branches of the royal blood of England; by Samuel Stebbing, Esq; Somerset Herald.","Stebbing, Samuel",133,2,0,5,1,1,2,4,2,1,3,0,2,2,6,0,6,4,2,2,0,1,4,0,14,4,3,0,1,4,2,1,4,0,1,2,2,0,1,1,1,2,0,1,1,13,2,1,0,1,3,0,1,1,3,2,3,2,1,1,4,1707,1,1,"London : printed by M. Jenour, for John Nicholson at the King's-Arms in Little Britain, and Robert Knaplock at the Bishop's Head in St. Paul's Church-Yard, M.DCC.VII. [1707].",London,952,unknown,,,FALSE,"8000 Men, and the French who were divided into two Bodies , whereof one was Commanded by the Marshal de Villars, and the other by Count Guiscard; whereupon the Prince , for fear of being enclosed between the two Bodies of the French , de campt from Fridlingen, and whilst"
0108401700_000029,"The life and heroic actions of John Churchill, Duke of Marlborough. Containing all the military and other transactions in the reigns of Queen Anne and King George I. Published for the improvement and entertainment of British youth ... By W. H. Dilworth, A.M.","Dilworth, W. H.",128,1,0,5,3,10,2,1,1,0,0,2,2,1,2,0,10,7,2,0,0,3,1,1,5,5,1,1,3,6,1,3,1,3,1,1,2,1,2,1,1,7,0,3,1,4,1,1,1,3,2,0,1,3,0,5,0,0,3,0,1,1758,1,1,"[London?] : Printed for G. Wright, 1758.",London,147,unknown,,,FALSE,"to the great and unimaginable Disappointment of the Enemy , who altered their March towards Gavore, in order to pass the scheu there. The Duke and Prince resolved to bring them to an Engagement ; and therefore, under their auspicious Commands , the Confederates made an incredible Expedition (for an"
0450200104_000067,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,131,2,0,11,3,3,1,4,4,0,2,2,2,0,5,2,0,5,3,1,2,0,0,0,7,8,1,0,1,0,0,2,4,1,0,0,4,1,2,3,2,1,1,1,1,5,1,2,2,5,2,1,1,4,2,0,6,2,5,0,1,1793,4,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCIII. [1793].",London,516,male,1721,1771,TRUE,"far as Erfurth in Saxony; upon which his Prussian Majesty, finding that all his endeavours could not bring the Austrians to an engagement , set out from Lufaria, accompanied by Marshal Keith, with sixteen battalions and forty squadrons of his troops , and arrived at Dresden on the twenty-ninth of"
0004800100_000110,"The life and reign of her late excellent Majesty Queen Anne. In which is contained A particular Account of the most remarkable Transactions during her Majesty's Reign here at Home, and likewise the most memorable Engagements Abroad both by Sea and Land. To which is annexed, some political remarks on Bishop Burnet's History of the reign of Queen Anne.",Thomas Salmon,145,2,1,2,1,3,3,3,0,1,2,9,6,1,3,0,2,12,4,1,1,7,1,1,4,3,1,0,1,10,2,6,4,5,7,0,2,0,0,0,3,1,0,1,0,1,2,1,7,2,3,0,1,3,0,2,0,0,1,0,6,1738,1,1,"London : printed for the compiler, and sold by the dealers in books in town and country, MDCCXXXVIII [1738].",London,789,male,1679,1767,FALSE,"engaged in the Centre, and broke through' the Enemy's first and second Lines ; bearing down all before them, as far as the Walls of Airanza. Bu this Success did not last long: For the Enemy's Squadrons of the second Line fell in upon their Flank, and forced our Infantry"
0550600104_000065,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,134,2,0,10,2,3,1,4,4,0,3,3,2,0,5,3,0,5,2,1,2,0,0,0,8,9,1,0,0,0,1,2,4,1,0,0,5,1,2,3,3,1,1,1,1,5,0,2,3,5,2,1,1,4,2,0,6,2,4,0,1,1800,4,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin [by H. Baldwin and son], No. 47, in Pater-Noster-Row. MDCCC. (H. Baldwin and Son, Printers, New Bridge-Street.), [1800].",London,513,male,1721,1771,TRUE,"a firong camp , under the Prince of Bevern. With this detachment, which, by the juntdion of several bodies of troops amounted to about forty thousand men, he made a quick march, by the way of Leipzig, towards Erfurth, to give battle to the united army of the French and"
0550600102_000050,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,134,1,0,8,1,5,4,0,0,0,2,2,2,1,2,2,7,5,4,3,0,1,3,4,9,8,1,1,2,4,0,2,1,3,4,0,0,1,2,2,5,5,0,5,2,3,0,0,3,2,1,0,3,1,0,1,2,1,3,0,0,1800,2,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin [by H. Baldwin and son], No. 47, in Pater-Noster-Row. MDCCC. (H. Baldwin and Son, Printers, New Bridge-Street.), [1800].",London,585,male,1721,1771,TRUE,"into the river . The Duke de Vendome intended to attack the Confederates when one half of their army should have passed the Schelde; but he was thwarted by the Duke of Burgundy, who seemed to be perplexed and irresolute. This Prince had ordered the troops to halt in their"
1684600201_000024,"A new history of the life and reign of William-Henry Prince of Orange and Nassau; King of England, Scotland, France and Ireland, &c. &c. &c. In which, the actions of that great Prince are distinctly and faithfully related; and the transactions in Ireland, relative to the revolution of that kingdom, (which have hitherto been slightly handled in all other histories) are amply set forth; and introduced with a summary review of affairs from the restauration to the revolution, to evince the necessity of the grand event, for the preservation of the established Protestant religion, and to vindicate the professors thereof for joining His Majesty in opposition to King James II. To which are prefixed, Two dissertations. I. On the government of Holland. II. A brief account of the illustrious House of Orange. Embellished with medals, struck upon the most memorable occurrences of his life. In four volumes.","Harris, Walter",108,1,0,5,1,1,5,1,1,0,0,3,2,1,9,2,2,5,3,0,1,3,1,0,6,4,0,1,0,3,1,1,0,1,0,0,4,0,0,1,2,1,1,2,1,4,3,1,3,4,2,3,2,0,1,1,1,4,1,1,1,1747,1,4,"Dublin : printed for E. and J. Exshaw, on Cork-Hill, MDCCXLVII. [1747].",Dublin,341,male,1686,1761,FALSE,"three thousand Men into the Town . Northeast erthelefs, he was repulsed a second Time by ount Horn, and forced to leave his Prisoners be ind him. Of the French , two thousand were killed , and fifty four Officers died of their Wounds , after the Engagement . The"
0611300100_001204,"A new and complete history of England, from the first settlement of Brutus, upwards of one thousand years before Julius Cæsar, to the year 1793. ... Forming a chronological detail of ... all the monarchs ... Also biographical anecdotes of admirals, generals, ... By Charles Alfred Ashburton, Esq.","Ashburton, Charles Alfred",130,1,0,9,1,5,3,1,1,0,1,2,1,3,2,1,10,6,4,1,0,1,3,4,10,9,1,1,3,5,1,1,1,1,2,0,0,1,1,2,2,6,0,2,1,3,0,0,3,2,1,0,3,1,0,0,2,0,4,1,0,1791,1,1,"London : printed and sold by W. and J. Stratford, [1791-94].",London,1048,unknown,,,FALSE,"and to give a barrier to the Dutch in the Netherlands. But these terms were rjected. The Dutch were intoxicated with success; and the duke of Marlborough had every motive to continue the war , as it gratified not only his ambition but his avarice; a pallion that oolcured his"
