PassageID,Title,Author,Total termFreq,termFreq(admir),termFreq(appear),termFreq(arriv),termFreq(attack),termFreq(battl),termFreq(believ),termFreq(board),termFreq(boat),termFreq(captain),termFreq(command),termFreq(continu),termFreq(council),termFreq(court),termFreq(dutch),termFreq(enemi),termFreq(engag),termFreq(england),termFreq(fail),termFreq(fight),termFreq(fleet),termFreq(follow),termFreq(forc),termFreq(form),termFreq(french),termFreq(gun),termFreq(half),termFreq(head),termFreq(hip),termFreq(kill),termFreq(king),termFreq(know),termFreq(land),termFreq(left),termFreq(line),termFreq(littl),termFreq(mile),termFreq(morn),termFreq(near),termFreq(night),termFreq(observ),termFreq(offic),termFreq(order),termFreq(rear),termFreq(receiv),termFreq(sail),termFreq(sea),termFreq(sever),termFreq(ship),termFreq(signal),termFreq(squadron),termFreq(tack),termFreq(taken),termFreq(think),termFreq(took),termFreq(troop),termFreq(vice),termFreq(war),termFreq(weather),termFreq(wind),termFreq(wound),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0143800400_000071,"An account of the war in India. Between the English and French, on the coast of Coromandel, from the year 1750 to the year 1761. Together with a relation of the late remarkable events on the Malabar coast, and the expeditions to Golconda and Surat; With the Operations of the Fleet. Illustrated with Maps, Plans, &c. The Whole compiled from Original Papers. The second edition By Richard Owen Cambridge, Esq;",Richard Owen Cambridge,120,7,1,1,2,1,0,2,1,4,0,3,0,0,1,9,3,0,1,1,0,1,0,2,5,1,2,0,3,2,0,0,2,1,7,1,1,0,2,0,3,1,4,3,2,8,0,0,5,8,6,1,1,0,1,2,0,1,1,3,3,1762,1,1,"London : printed for T. Jefferys, the Corner of St. Martin's-Lane, Charing-Cross, MDCCLXII. [1762].",London,454,male,1717,1802,FALSE,"made the signal and formed his line ahead, with the starboard tacks on board , and flood to the southward with an easy sail . At seven o'clock, observing the enemy kept their wind , he made the signal for making more sail , in order to get to windward,"
0084700107_000103,"A new collection of voyages, discoveries and travels: containing whatever is worthy of notice, in Europe, Asia, Africa and America: In Respect to The Situation and Extent of Empires, Kingdoms, and Provinces; their Climates, Soil, Produce, &c. with The Manners and Customs of the several Inhabitants; their Government, Religion, Arts, Sciences, Manufactures, and Commerce. The whole consisting of such English and foreign authors as are in most esteem; including the Discriptions and Remarks of some late celebrated Travellers, not to be found in any other Collection. Illustrated with a variety of accurate maps, plans, an elegant engravings. In seven volumes. ...",,121,10,1,1,3,3,0,2,1,6,3,2,1,1,1,7,4,1,0,0,2,0,1,1,6,3,1,0,1,0,0,0,2,1,2,1,2,1,1,1,1,3,1,1,3,5,0,1,12,1,8,0,2,0,3,0,2,2,1,1,1,1767,7,7,"London : printed for J. Knox, near Southampton-Street, in the Strand, MDCCLXVII. [1767].",London,474,unknown,,,FALSE,"war , in which it was determined to alter their course and attack the enemy at Vigo. He forthwith detached some small vessels for intelligence, and received a confirmation, that the gal cor; s, and the squadron , commanded by Chateau Renault, Renault, were atually in the harbour. They sailed"
0495900102_000007,"The history of Great Britain, from the restoration, to the accession of the House of Hannover. By James Macpherson, Esq; in Two Volumes. ...",James Macpherson,116,6,0,1,0,5,0,1,2,1,2,1,0,0,1,6,3,1,3,1,7,0,1,2,7,3,2,0,5,0,0,0,0,2,4,6,0,2,1,3,1,1,7,2,3,2,0,1,3,3,2,2,0,0,1,0,0,2,4,3,0,1776,2,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,691,male,1736,1796,TRUE,"rank, who had absconded. A camp was formed between Petersfield and Portsmouth. Six regiments, under orders to embark for Slanders, were countermanded. The lieutenancy were ordered to raise the militia; and the same precautions were used in Scotland; but Ireland was left to its fate. Orders were sent to the"
0002200101_000312,"The field of Mars: being an alphabetical digestion of the principal naval and military engagements, in Europe, Asia, Africa, and America, particularly of Great Britain and her allies, from the ninth century to the present period. Consisting of Attacks, Attempts, Actions, Battles, Blockades, Bombardments, Descents, Defeats, Engagements, Expeditions, Invasions, Reductions, Sea Fights, Storms, Sieges, Surprises, Repulses, and Skirmishes: Selected from the Best Historians and Journalists, and Adjusted from the Greatest Authority. Interspersed with concise Descriptions of the Towns and Places, the Subject of each Article. To which is prefixed An essay on the art of war, and A Comprehensive System of Military and Naval Discipline. ... . Embellished with Maps, Charts, Plans, and Views of Battles.",,131,6,1,3,0,2,0,2,3,9,3,1,0,0,0,10,5,1,1,0,0,1,1,4,6,1,2,0,1,1,0,0,0,0,6,2,1,4,1,4,5,1,4,4,3,4,1,1,7,6,4,0,1,1,0,1,1,0,1,2,2,1781,1,2,"London : printed for J. Macgowan, No. 27, Paternoster-Row, M,DCC,LXXXI. [1781].",London,737,unknown,,,FALSE,"they came up. Thinking the retreat then secured, he lent back to Captain Rogers, desiring he would come off, that the retreat was quite secured, and the different parties ordered to cover one another successively until the whole had joined; but Captain Rogers not finding it right to rilk the"
0004500401_000157,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,114,10,0,2,1,3,0,3,1,7,3,2,1,2,0,5,5,1,0,1,1,1,1,1,6,2,1,0,7,0,0,0,1,1,1,1,1,1,1,1,1,3,0,1,2,6,0,1,6,1,6,0,2,0,3,0,2,1,1,1,2,1796,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCVI. [1796].",London,520,male,1721,1771,TRUE,"the entrance of the harbour. The British ensign was no sooner seen flying at the top of this sort, than the hips advanced to the attack . Vice - admiral Hopfon, in the Torbay, crowding all his sail , ran direfly against the boom, which was broken by the firt"
1761600303_000254,"The history of England, by Mr. Rapin de Thoyras. Continued from the revolution to the accession of King George II. By N. Tindal, ... Illustrated ...","Rapin de Thoyras, M. (Paul)",134,14,0,0,1,2,1,0,0,2,3,1,0,0,3,7,2,0,1,2,5,1,0,1,7,3,4,1,3,2,0,1,0,0,5,4,0,3,2,3,1,0,3,6,0,4,0,1,12,4,4,1,1,0,0,0,1,0,5,7,0,1744,3,4,"London : printed for John and Paul Knapton, 1744-47.",London,821,male,1661,1725,FALSE,"have the best opportunity of placing themselves, according as they had been before directed. About eight, our line was indifferently well formed , which stretched from south, southwest, to north, northeast; the Dutch in the van, the Admiral in the centre, and the Blue in the rear ; and by"
0966500101_000157,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,115,8,1,1,2,3,0,2,1,5,2,2,2,0,1,7,4,1,0,0,2,1,1,1,6,3,1,0,3,0,0,0,1,1,2,1,2,1,1,1,1,2,1,0,2,7,0,1,12,1,6,0,2,0,3,0,2,2,1,1,1,1785,1,5,"London : printed for T. Cadell, in the strand; and R. Baldwin, No 47, in Pater-Noster Row, MDCCLXXXV. [1785].",London,481,male,1721,1771,TRUE,"in with hint on the lixtll (di 4f Oaobcr, communicated the fiublftnce of what lie hail had learned. Rook immediately called a council of war , C it P. In which it was deteriiined to altertheir course, andattack V L the enemy at Vigo. He forthwith detached same small, ?z."
0515000109_000094,"A complete history of England, from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D.Volume the first.",Tobias Smollett,117,7,1,1,3,3,0,1,1,4,3,2,1,0,1,7,4,2,1,0,1,1,1,1,5,3,1,0,2,0,0,0,2,1,2,1,2,1,1,1,0,2,1,0,3,6,0,1,14,1,9,0,2,0,3,1,2,2,1,1,0,1758,9,11,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre; and R. Baldwin, at the Rose, in Paternoster-Row, MDCCLVIII. [1758]-60.",London,489,male,1721,1771,TRUE,"but the attempt miscarried, and the troops were reimbarked. Captain Hardy having been sent to water in They take lagos bay, received intelligence, that the galleons he spntl from the West indies had put into Vigo, under gone at convoy of a French squadron . He sailed immedi v.to. ately"
1309600103_000009,"The naval history of Great Britain; With the lives of the most illustrious admirals and commanders, deduced from the first establishment of the British marine, and interspersed with accounts of the most important discoveries made in the several parts of the world, from the earliest account of time to the year 1761. Containing particularly the lives of Sir Peter Warren, Admiral Edw. Vernon, Rt. Hon. Ed. Boscawen. With an account of the galtant actions of the admirals Lord Viscount Howe, Lord Hawke, Sir Charles Saunders, George Pocock, Richard Tyrrell. Likewise of the Captains Sir James Douglas, George Elliott, Coningshy Norbury, Arthur Forrest, James Gilchrist, John Lockart Ross. Ornamented with twenty-three copper plates, representing the most eminent naval commanders, with maps of the four quarters of the globe, and elegant engravings, by the most eminent artists, of the most signal engagements of the British Navy. Likewise an historical account of the conquests of Senegal, Goree, Guadaloupe, Quebec, &c. The whole being a compleat naval history, brought down to the reign of King George the Third. The second edition. By John Barrow, Esq; Vol. I.",John Barrow,141,17,0,0,4,4,0,0,0,2,0,5,0,0,3,13,3,0,1,1,1,2,1,3,2,4,0,1,3,0,0,0,0,0,4,1,2,3,3,4,0,0,3,3,3,7,1,1,15,2,3,2,2,2,2,0,3,0,1,3,1,1776,3,4,"London : Printed for T. Lowndes, No. 77, in Fleet-Street, MDCCLXXVI. [1776].",London,359,male,,,FALSE,"The re[ of of the ships had failed before day, in order to get ANNE. into Cul de Sac, which they esteem a much safer 1702 iharbour; but some of our fleet being between *' them and that part, took three of them, and sunk Ianother. The admiral , after"
0673500502_000087,"A voyage to the East-Indies; began in 1750; with observations continued till 1764; including authentic accounts of the Mogul government ... of the religions in India; ... general reflections on the trade of India. Of the European settlements, ... Illustrated with views drawn on the spot. By John Henry Grose. In two volumes.","Grose, John Henry",144,13,2,0,0,2,0,7,0,9,1,1,0,1,1,6,4,0,2,0,0,0,0,2,9,1,4,1,0,2,0,0,2,0,6,2,1,4,0,3,4,4,3,4,1,4,1,1,9,10,6,2,0,0,1,1,0,0,1,4,2,1766,2,2,"London : printed for the author; and sold by S. Hooper, 1766.",London,484,male,1750,1783,FALSE,"prevented by the sudden and unexpected appearance of the British squadron to the southward, as the French were preparing to land . ADMIRAL Pocock made the height of Negapat nam on the 28th at noon; and running down the next morning , he saw seven ships in Fort St. David's"
