PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(arm),termFreq(armi),termFreq(cafe),termFreq(carri),termFreq(caus),termFreq(common),termFreq(confid),termFreq(continu),termFreq(countri),termFreq(debt),termFreq(declar),termFreq(end),termFreq(enemi),termFreq(engag),termFreq(england),termFreq(fleet),termFreq(forc),termFreq(franc),termFreq(french),termFreq(gener),termFreq(god),termFreq(govern),termFreq(hand),termFreq(hous),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(late),termFreq(law),termFreq(littl),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nation),termFreq(natur),termFreq(noth),termFreq(number),termFreq(order),termFreq(parliament),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(public),termFreq(reason),termFreq(reign),termFreq(roman),termFreq(ship),termFreq(spain),termFreq(state),termFreq(taken),termFreq(tax),termFreq(think),termFreq(trade),termFreq(treati),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0156500200_000004,"The history of England, from the Revolution to the present time, in a series of letters to the Reverend Doctor Wilson, ... By Catherine Macaulay. Vol.I.",Catharine Macaulay,88,1,0,0,3,2,2,0,2,1,0,1,0,1,1,1,3,5,2,1,4,4,2,0,0,0,2,8,5,2,1,1,0,0,1,0,1,0,0,1,0,4,2,0,0,2,2,2,0,2,1,0,0,1,1,2,0,1,2,4,4,1778,1,1,"Bath : printed by R. Cruttwell: and sold by E. and C. Dilly, T. Cadell, and J. Walter, London, 1778.",Bath,455,female,1731,1791,TRUE,"ruling passion was military heroifin, had long and eagerly sought an opportunity to revenge the insults and injuries his country had received from the ambitious Lewis: it was at this period that a confederacy which he had proposed among the princes of the empire began to take effect: the Emperor"
1208900100_000004,"The history of England, from the Revolution to the present time, in a series of letters to the Reverend Doctor Wilson, Rector of St. Stephen's, Walbrook, and Prebendary of Westminster. By Catharine Macaulay. Vol.I.",Catharine Macaulay,84,1,0,0,3,2,2,0,2,1,0,0,0,2,1,1,2,5,2,1,3,4,0,0,1,0,2,8,5,2,1,1,0,0,1,0,1,0,0,2,0,4,3,0,0,1,1,1,0,2,1,0,0,1,1,2,0,1,2,4,4,1779,1,1,"Dublin : printed for John Exshaw, No. 86, and William Hallhead, No. 63, Dame-Street, M.DCC.LXXIX. [1779].",Dublin,463,female,1731,1791,TRUE,"a separate treaty , on any pretence whatever: that no peace should be admitted until the treaties of Westphalia, Ofnaburgh, Munster, and the Pyrenees, should be vindicated; that in cafe of a negotiation for peace , or truce, the tranfac tionson both fides should be communicated bona fide; and that"
0145700101_000009,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,112,1,0,0,0,4,1,1,2,2,0,1,0,7,0,4,2,4,0,2,6,5,3,0,0,0,1,9,3,0,1,2,0,2,1,0,2,0,0,0,0,1,4,0,0,4,2,2,0,1,0,2,0,1,5,2,1,1,2,8,10,1791,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, Pater-Noster-Row, MDCCXCI. [1791].",London,523,male,1721,1771,TRUE,"declare war against the French King , who had committed numberless infractions of the treaties of Munster, Ofnabruck, Nimeguen, and the truce; invaded their country without provocation, and evinced himself an inveterate enemy of the holy Roman empire. They, therefore, besought his Imperial Majeity to conclude a treaty of peace"
0004500401_000009,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,113,1,0,0,0,4,1,0,3,3,0,1,0,7,1,4,2,4,0,2,7,5,2,0,0,0,1,9,2,0,1,2,0,1,1,0,2,0,0,0,0,1,4,0,0,4,1,3,0,2,0,2,0,1,5,2,1,1,2,8,10,1796,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCVI. [1796].",London,520,male,1721,1771,TRUE,"the affairs of the continent. He retained all his former influence in Holland, as his countrymen had reason to confide in his repeated assurances of inviolable affeaion. The great scheme which he had projeced of a confederacy against France , began at this period to take effet. The Princes of"
0070100104_000008,"A complete history of England, deduced from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D. ...",Tobias Smollett,109,1,0,0,0,4,1,0,3,3,0,1,0,7,0,4,2,4,0,1,6,5,3,0,0,0,1,8,4,0,1,2,0,1,1,0,2,0,0,0,0,1,4,0,0,4,2,3,0,2,0,1,0,1,2,2,1,1,2,8,10,1757,4,4,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre, in Pater-Noster Row, MDCCLVII. [1757]-58.",London,703,male,1721,1771,TRUE,"the tears of a popish fucefor. This was the delivery of the princess Anne, v.ho, on the twenry feventh day of July, brought forth a son, christened by the name of William, and afterwards created duke of Gloucester. j XV In the midif of these domefiic disputes, William did not"
1080601300_000020,Miscellanies. The Eighth Volume. By Dr. Swift.,Jonathan Swift,99,0,1,1,2,1,1,0,3,1,1,1,2,2,1,5,5,1,0,3,3,5,0,0,2,1,0,8,1,0,0,1,1,1,2,0,3,2,2,0,0,0,2,2,0,2,0,2,1,3,0,0,0,3,1,1,1,0,1,1,16,1742,1,1,"London : printed for C. Davis against Greys-Inn-Gate, Holborn. and C. Bathurst, MDCCXLII [1742].",London,316,male,1667,1745,TRUE,"King upon us, and the Spaniards would conceive we had as little Reason to force one upon them; that it was true, the Nature and Genius of those two People differed very much, and so would probably continue to do, as well under a King of French Blood, as one"
0803100800_000006,"A letter to a minister of state, Concerning the Pretended Prince of Wales's Being Proclaim'd King of England, &c. in France. With some Thoughts on the Interest of England in this Critical Juncture. And of the Necessity of a Speedy and Vigorous War, in order to preserve the Liberties of Europe, and to restrain the Exorbitant Power of France.",,127,2,0,0,2,1,1,0,1,1,0,1,1,5,0,0,2,5,2,1,4,3,2,0,0,2,1,15,7,3,2,1,1,0,0,2,5,0,0,0,0,3,3,18,0,3,1,1,0,2,0,0,0,1,0,0,0,0,1,4,17,1701,1,1,"London : printed for A. Bell at the Cross-Keys and Bible in Cornhil, and B. Lintot at the Middle-Temple Gate in Fleetstreet, 1701.",London,26,unknown,,,FALSE,"in no danger of an Invasion 5 and if our Fleets do but the Service they ought to do, we at Sea and the Emperor, c. onshore, will in in all probability in a (hort time bring the aspiring Monarch of France to Reason . I am the least inclined"
0008400300_000528,"The ladies history of England; from the descent of Julius Cæsar, to the summer of 1780. Calculated for the use of the ladies of Great-Britain and Ireland; and likewise adapted to general use, entertainment, and instruction. By Charlotte Cowley.","Cowley, Charlotte",90,2,0,0,0,0,1,0,1,0,2,2,10,0,0,0,2,2,1,0,1,1,2,0,1,1,2,8,2,1,1,0,0,0,2,0,5,0,1,1,1,2,1,3,2,1,4,5,4,1,2,0,0,2,2,0,3,0,1,2,2,1780,1,1,"London : printed for the proprietors; and sold by S. Bladon, No. 13, in Pater-Noster-Row, MDCCLXXX. [1780][-81].",London,774,female,,,FALSE,"establishment of the finking fund, and the liberal grants made' by parliament , during the late and the present reign , the national debt was annually increasing, even in a time of profound peace ; so that there was great reason to believe, that the heavy and numerous taxes ,"
0450200101_000009,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,114,1,0,0,0,4,1,0,3,3,0,1,0,7,0,4,2,4,0,2,7,5,3,0,0,0,1,9,3,0,1,2,0,1,1,0,2,0,0,0,0,1,4,0,0,4,2,3,0,2,0,2,0,1,4,2,1,1,2,8,10,1793,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCIII. [1793].",London,524,male,1721,1771,TRUE,"C H A P. created Duke of Gloucester. I. § XV In the midst of there domeffick disputes, 6s9' William did not neglect the affairs of the continent. He retained all his former influence in Holland, as his countrymen had reason to confide in his repeated assurances of inviolable affection."
0101800600_000006,"Substance of the speech of Tho. Jones, Esq. F. R. S. F. A. S. & M. P. on his motion for peace, made in the House of Commons, May 8, 1800: With A Copy Of The Address Moved For BY Him To His Majesty.","Sir Thomas Jones, 1st Baronet",101,0,1,1,1,0,2,1,1,1,0,3,0,1,0,0,1,5,2,1,7,4,1,1,3,1,1,6,2,0,3,0,0,0,4,2,4,1,0,1,0,1,0,0,2,11,1,2,1,0,0,0,0,2,3,3,0,1,1,3,8,1800,1,1,"London : printed for J. Debrett, Piccadilly, by Wilson and Co. at the Oriental Press, Wild Court, Lincoln's Inn Fields, 1800.",London,71,male,1765,1811,FALSE,"your principality of Orange, and the utmost insolences committed upon the persons of Your Majesty's subjects there; and how, to facilitate his conquest upon his neighbour Princes , he engaged the Turks in a war against Christendom at the same time. And, as if the violating of Treaties , and"
