PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(appear),termFreq(author),termFreq(brought),termFreq(cafe),termFreq(caus),termFreq(charg),termFreq(christ),termFreq(common),termFreq(court),termFreq(death),termFreq(debt),termFreq(declar),termFreq(defend),termFreq(error),termFreq(evid),termFreq(execut),termFreq(faith),termFreq(form),termFreq(gener),termFreq(god),termFreq(grant),termFreq(guilti),termFreq(hall),termFreq(hand),termFreq(hous),termFreq(judg),termFreq(judgment),termFreq(juri),termFreq(justic),termFreq(king),termFreq(know),termFreq(land),termFreq(law),termFreq(life),termFreq(manner),termFreq(matter),termFreq(natur),termFreq(offic),termFreq(opinion),termFreq(order),termFreq(parti),termFreq(peopl),termFreq(person),termFreq(plaintiff),termFreq(plea),termFreq(plead),termFreq(power),termFreq(reason),termFreq(record),termFreq(return),termFreq(rule),termFreq(set),termFreq(sever),termFreq(term),termFreq(think),termFreq(trial),termFreq(word),termFreq(world),termFreq(writ),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0041301700_000028,"The englishman's manual: containing a general view of the constitution, laws, government, revenue, Ecclesiastical, Civil, Military, and Naval Establishments of England. Designed as an introduction to the knowledge of those important studies. By J. Price.","Price, John, of Worcester",149,1,1,0,2,3,4,0,0,4,14,0,0,1,3,5,11,2,0,0,2,0,1,0,1,0,4,4,4,8,1,5,0,0,11,0,0,6,2,0,4,0,7,0,4,5,4,1,0,1,4,0,0,0,0,2,2,3,0,0,12,1797,1,1,"London : printed for G. Sael, No. 192, Strand, 1797.",London,251,unknown,,,FALSE,"verdict according to the evidence . The trial then begins. The pleadings are opened by the counsel on that fide that holds the affirmative, who opens the cafe briefly to the judge and jury : the nature of the cafe , and the evidence to be produced, are then laid"
0997200300_000131,"The student's law-dictionary; or compleat English law-expositor: Containing An Explanation of every particular Word and Term used in the Law, with an Introduction to the Knowledge of the Law itself, and the present Practice thereof: Compiled for the Instruction and Benefit of Students, Practitioners in the Law, Justices of the Peace, the Clergy and other Gentlemen. The whole collected from the best dictionaries, and other authorities hitherto published. Whereto is added an alphabetical table of the most usual Latin contractions that are to be found in our ancient Records, &c. Originally compiled by an attorney at law, and since carefully revised and corrected by a barrister.",,104,5,0,1,3,4,4,0,0,1,10,1,2,1,2,1,0,2,0,0,0,1,0,1,1,1,0,13,4,1,2,4,1,1,2,0,0,2,0,1,1,2,1,0,4,2,0,3,2,2,4,0,2,0,1,0,2,2,2,0,2,1740,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for James Hodges at the Looking-Glass on London-Bridge, MDCCXL. [1740].",London,458,unknown,,,FALSE,"will serve the King , and indifferently minister Justice to all Men, without refpe&t of Persons ; That he shall take no Bribe, give no Counsel where he is a Party , nor deny Right to any, even thio' the King by his Letters, or by express Words command the"
0234400400_000116,"The new instructor clericalis, stating the authority, jurisdiction, and modern practice of the Court of King's Bench. With Directions for commencing and defending Actions, entering up Judgments, suing out Executions, and proceeding in Error. To which are added, the rules of the court, Modern Precedents, and several other Matters necessary to be known by Attornies and their Clerks, in Town and Country. The whole illustrated by useful notes and observations from the best authorities; with additions, and a copious index. The third edition, corrected. By John Impey, Inner-Temple.","Impey, John",101,0,1,1,1,7,2,2,0,2,8,0,4,2,6,1,0,6,0,0,2,0,4,0,1,3,0,5,1,2,3,0,0,0,1,0,0,0,1,1,0,4,2,0,1,3,4,2,1,0,1,2,5,2,0,0,0,2,1,0,4,1786,1,1,"London : printed for the author, by His Majesty's law printers; and sold by Thomas Whieldon, No. 43, Fleet-Street, MDCCLXXXVI. [1786].",London,635,male,,,FALSE,"of a plea of trespass and assault, and there are pledges for the prosecution, to wit, Yohn Doe and Richard Roe, which said bill tollows in these words , to wit: Mildllefx, to wit, (here enter the declaration verbatim tojilit, C.) then on a n; -: line add the judgement."
0845800900_000131,"The trader's safeguard: or, a full, clear, and familiar explanation of the law concerning bills of exchange, promissory notes, and evidence on a trial by jury. To which is Added, A Description of the Mode of Commencing and Proceeding in Personal Actions. By Peter Lovelass, of the Inner Temple, Conveyancer; Author of ``the Law's Disposal.''","Lovelass, Peter",135,1,2,0,2,5,4,0,0,1,9,1,4,0,9,5,4,4,0,0,2,0,1,0,0,1,0,3,1,9,0,0,0,4,8,0,1,5,1,1,2,2,3,0,3,12,0,0,0,1,3,1,2,0,0,0,0,9,0,0,9,1793,1,1,"London : printed for the author; and sold by Whieldon and Butterworth, Fleet-Street ; J. Bew, Paternoster-Row ; and R. Pheney, Inner Temple-Lane, [1793].",London,330,male,1786,1812,FALSE,"judge himself has mif direded the jury , so that they found an unjuflifiable verdict; for there, and other reasons of the like kind, it is the pratic. of the court to award a new, or second, trial . But if two jurics agree in the same or a similar"
0753001600_000038,"Every man his own lawyer: or, a summary of the laws now in force in Ireland, in a new and instructive method, ...",,106,1,2,0,2,3,2,2,0,0,2,0,3,1,3,0,3,1,0,0,5,0,2,0,5,1,0,3,3,10,0,0,0,0,1,0,0,4,1,3,0,0,4,0,1,4,0,4,0,0,6,1,3,2,1,3,0,12,0,0,2,1755,1,1,"Dublin : printed by and for Oli. Nelson; and for Peter Wilson, 1755.",Dublin,361,unknown,,,FALSE,"and hear their Charge ; which done, the Counsel on both Sides open the Cafe , first of the Side of the Plaintiff , as the Proof lies on him, and looking over their Breviates argue the Matter in Contest, producing the Witnesses to prove what they allege; and then"
0122401400_000059,"Arrangement and digest of the law, in cases adjudged in the King's Bench and Common Pleas, from the year 1756, to 1794 inclusive. By Joseph Burchell, Of Lamb's-Conduit-Street.","Burchell, Joseph",90,0,3,1,1,1,3,1,0,1,3,0,0,2,5,3,3,4,0,0,3,0,1,1,0,0,0,0,2,5,1,0,2,0,0,0,0,1,0,2,0,2,2,0,2,3,5,2,0,1,2,2,1,4,2,6,0,2,0,0,5,1796,1,1,"London : printed by T. Jones, Clifford's - Inn - Gate, Fetter - Lane, and sold by R. Pheney, Inner-Temple Lane, Fleetstreet, MDCCXCVI. [1796].",London,277,unknown,,,FALSE,"(I) Burr. 148 (i) Id, 1596 · )Id. 17, 8 -1 14 1596 (m) d, to, (n) Cowp. 357 (o) Id. 359 L several [ 146 ] fevera! defendants for several offences, if all be found guilty , ll may move in arrest of Judgement; fscis where it charges a"
0571700103_000145,"Commentaries on the laws of England. In four books. By William Blackstone, Esq. Solicitor General to Her Majesty.",William Blackstone,104,0,1,1,1,3,6,0,0,3,6,0,2,8,7,0,1,0,0,0,1,0,0,1,0,0,1,2,1,3,0,1,0,1,4,0,1,3,1,0,1,1,4,0,0,9,5,4,0,0,1,0,2,1,0,2,1,5,4,0,5,1770,3,4,"Oxford : printed at the Clarendon Press, M.DCC.LXX. [1770].",Oxford,488,male,1723,1780,FALSE,"days of the next succeeding term , within which term it is usually heard and decided. And it is worthy observation, how infinitely superior to all others the trial by jury approves itself, even in the very mode of it's revision. In every other country of Europe, and in those"
0995800802_000010,"The compleat attorney's practice in English, in the courts of King's Bench and Common-Pleas At Westminster. Containing The best Rules and Methods of Practice therein, from the Commencement of the Action to the Execution; and also Forms of Original and Judicial Writs and Processes, and the greatest Variety of Precedents of Declarations, Pleadings, Demurrers, Issues, and Records for Trials, Judgments, Writs of Error, Habeas Corpus's, Prohibitions, Informations, &c. of any Book hitherto publish'd. Likewise the Law of Actions; whether Personal, as Debt, Case, Covenant, Trespass, Trover, Slander, &c. or Real, as Ejectments, Assises, Formedons, Dower, &c. with particular Directions how to prosecute them. All regulated and compleated, Agreeable to the late Statutes for altering and amending the Law. By Giles Jacob, Gent. In two volumes.",Giles Jacob,144,2,1,0,1,6,7,1,0,1,6,0,0,2,19,0,3,4,0,0,1,0,4,0,0,0,0,4,1,3,0,0,0,0,1,0,0,1,0,2,0,5,6,0,0,7,1,3,0,3,3,3,4,1,1,9,0,24,0,0,4,1740,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Dan. Browne, at the Black Swan without Temple-Bar, [1740?].",London,509,male,1686,1744,FALSE,"of titait in the Courts at Westminster, and at the Assizes. TN order to trying of Causes in London or Middlesex, if the Defendant live not forty Miles from London, eight Days Notice of Trial is to be given; and where the Defendant lives that Distance or further, he muss"
0836900300_000149,"A new abridgment of cases in equity, and of such cases at law, as relate to equitable subjects; from 1735, to the present time. By Josiah Brown, Esq. Barrister At Law, And Editor Of The Cases In Parliament. Vol.I.",Josiah Brown,113,0,1,0,3,4,3,4,0,0,9,0,0,2,9,5,2,1,0,0,3,0,0,2,0,0,1,4,1,3,1,4,0,0,1,0,0,1,0,4,0,2,1,0,0,10,0,1,0,1,3,7,7,2,1,1,0,3,0,0,6,1793,1,1,"London : printed (for the author) by A. Strahan and W. Woodfall, Law-Printers To The King's Most Excellent Majesty; and sold by R. Pheney, Bookseller, Inner-Temple-Lane, Fleet-Street, 1793.",London,557,unknown,,,FALSE,"is for the furtherance of justice . Accordingly, the rule for amending the writ of error was made absolute, on payment of costs and the rule for quelling it was discharged. /ercl/j V Rafael, Cowper, 425 69 After judgement in ejectment, in the Court of King's Bench in Ireland, and"
0406301003_000014,"The justice of the peace, and parish officer. By Richard Burn, L.L.D. Chancellor of the Diocese of Carlisle, and one of his Majesty's Justices of the Peace for the County of Westmorland. The tenth edition. In four volumes. ...",Richard Burn,105,1,2,0,3,5,2,0,0,0,7,0,0,2,3,1,1,2,0,1,3,1,5,1,9,0,0,2,3,2,14,4,0,0,1,0,0,2,0,3,1,0,4,0,0,2,3,4,3,2,0,0,2,0,0,0,1,1,1,0,1,1766,3,4,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's most excellent Majesty ; for A. Millar, in the Strand, M.DCC.LXVI. [1766].",London,501,male,1709,1785,FALSE,"no information; it is not the same insult and contempt, as if spoken to him in the execution of his office , which would make it amatterindicable. Str. 1157 Nevertheless, according to the distinction in the aforesaid cafe of Aston and Blagrarv, although an information or indlialnent might not lie,"
