PassageID,Title,Author,Total termFreq,termFreq(abandon),termFreq(advantag),termFreq(appetit),termFreq(bosom),termFreq(charact),termFreq(convinc),termFreq(debauch),termFreq(debaucheri),termFreq(design),termFreq(desir),termFreq(despic),termFreq(diabol),termFreq(dissolut),termFreq(evil),termFreq(fear),termFreq(folli),termFreq(gai),termFreq(gaieti),termFreq(glori),termFreq(gratif),termFreq(guilt),termFreq(honour),termFreq(impur),termFreq(infami),termFreq(innoc),termFreq(libertin),termFreq(libidin),termFreq(lost),termFreq(love),termFreq(mortif),termFreq(night),termFreq(passion),termFreq(pleasur),termFreq(plot),termFreq(power),termFreq(pretenc),termFreq(proflig),termFreq(rake),termFreq(rank),termFreq(rape),termFreq(regard),termFreq(render),termFreq(reput),termFreq(ruin),termFreq(sacrific),termFreq(scandal),termFreq(seduc),termFreq(sensual),termFreq(sensualist),termFreq(sex),termFreq(shame),termFreq(sin),termFreq(subterfug),termFreq(subtl),termFreq(vice),termFreq(viciou),termFreq(vile),termFreq(virtu),termFreq(wick),termFreq(wicked),termFreq(woman),termFreq(worst),termFreq(wretch),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0945100200_000012,"Of temperance and intemperance: their effects on the body and mind, and their influence in prolonging or abbreviating human life. By Edward Harwood, D.D.",Edward Harwood,61,3,0,3,0,3,0,0,2,0,0,4,1,2,0,0,2,0,0,0,2,0,3,0,1,1,4,1,1,1,0,1,1,6,0,0,0,2,1,0,0,1,0,2,2,0,0,1,2,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1774,1,1,"London : printed for T. Becket, Corner of the Adelphi, in the Strand, MDCCLXXIV. [1774].",London,189,male,1729,1794,FALSE,"Those useful and honourable studies, in which he once delighted, delighted, are totally suspended. The love of knowledge, the cultivation of science, the ambition of acquiring literary excellence, are lost in pursuits that are stamped with indelible infamy and reproach. The memory, the judgement, and all the faculties of the"
1369500200_000080,"Sermons to young men by William Dodd, LLD. prebendary of Brecon, and chaplain in Ordinary to His Majesty.",William Dodd,49,2,0,1,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,1,1,1,2,3,1,1,1,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,2,1,0,0,2,1,0,1,1,2,0,1,2,0,0,0,0,0,0,0,1,5,1792,1,1,"London : Printed for T. Cadell, Strand; and T. Vernor, Birchin-Lane, Cornhill, MDCCXCII. [1792].",London,521,male,1729,1777,FALSE,"to our neighbour, than it is in every refpet injurious to ourselves. But copious as this topic is, and not possibly to be treated of as it ought in what remains of the present discourse, I will postpone it to the next: When, if it stall fully appear, as 1"
1478200100_000428,"Family lectures; Or, Domestic divinity, being a copious collection of sermons, selected from the polite writers and found divines, of the present century; for the use of schools, and for general instruction.",,50,0,0,5,0,0,0,1,1,0,1,0,0,1,3,1,1,0,0,1,2,0,1,1,0,2,0,0,1,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,9,0,0,0,0,0,0,1791,1,1,"London : Printed for C. Dilly, published as the act directs. Jan. 18, 1791.",London,899,unknown,,,FALSE,"vivacity? Be it so. But, alas! all this boasted fire is, in the Scripture language, like the crackling of thorns under a pot (Eccles. VII 6.) : so long as the fuel continues to be supplied, it may raise violent ebullitions; it may give a glaring light; but it is"
0658201600_000028,"Letters religious and moral; addressed to a young gentleman in India, and others. Designed to inspire the minds of youth with the love of piety and virtue. By Daniel Turner, M.A.","Turner, Daniel",41,0,0,3,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,2,2,1,1,1,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,1,0,2,1,1,0,0,1,0,1793,1,1,"Henley : printed and sold by G. Norton, for the author; sold also by J. Johnson, No. 72, St. Paul's Church-Yard; T. Knott, No. 47, Lombard-Street; J. Marsom, No. 187, High Holborn; T. Thomas, No. 29, Houndsditch, London; and by W. Watts, at Abingdon, M.DCC.XCIII. [1793].",Henley-on-Thames,242,male,1710,1798,FALSE,"have been roused from your occasional indolence, and animated to midnight debaucheries and riots by only a dozen or two of sentences, uttered with the genuine spirit, and in the laconic style of the fraternity. I am now going to address you in another manner, and upon a subjea as"
0459000401_000082,"Sermons to young men. In two volumes. By William Dodd, LL. D. Prebendary of Brecon, and Chaplain in Ordinary to His Majesty.",William Dodd,53,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,3,0,3,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,1,4,0,1,1,2,0,1,0,0,0,0,5,1,0,4,0,0,0,0,2,4,1771,1,2,"Dublin : printed for A. Leathly, H. Saunders, J. Potts, W. Sleater, J. Williams and T. Walker, MDCCLXXI. [1771].",Dublin,298,male,1729,1777,FALSE,"sophistry of Faife PLEASURE ; that you will pursue, with unremitted ardour and diligence, the call of: Virtue ; which is, indeed, the call of public and of private felicity, Can there be wanting any further arguments proof hereof, than thecertain assurance we have had from the lait discourse, """
1168200600_000028,"Beauties in prose and verse, selected from the most celebrated authors, antient and modern, viz. Blair, Goldsmith, Sterne, Percival, Aikin, Brooke, Gesner, Drummond, Pliny, Robertson, Cicero, Jenyns, Fordyce, Johnson, Harris, Collins, Carter, Moore, Cunningham, Shenstone, Merrick, Cotton, Greville, Addison, Parnell, Melmoth, Gray, &c. With some Original Pieces. The whole calculated to exhibit the most striking pictures of virtue and vice to the minds of youth.",,46,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,1,1,0,2,1,0,1,1,1,0,2,0,0,3,1,0,4,1,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,4,0,2,2,0,1,0,0,2,1783,1,1,"Stockton : printed and sold by R. Christopher, M.DCC.LXXXIII. [1783].",Stockton-on-Tees,298,unknown,,,FALSE,"purpores. But do not conclude, as many have done to their ruin , that because they are violent, they are irreliilable. The famenature which gave you passions , gave you rea -- son, and a love of order. Religion,. added to the light of. Nature and the experience of mankind,"
0278000500_000069,"Sermons, by Samuel Stanhope Smith, D.D. president of the College of New-Jersey. Corrected and revised by the author. Copy right secured according to an act of Congress.",Samuel Stanhope Smith,50,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,3,1,1,0,1,0,0,0,1,0,0,1,4,0,1,1,1,0,1,0,1,1,0,3,0,2,2,1,0,0,1,1,0,0,7,1,0,5,0,1,0,0,1,0,1799,1,1,"Newark, New-Jersey : Printed and sold by Jacob Halsey and Co. near the Episcopal Church, 1799.",Newark,450,male,1750,1819,FALSE,"before they have been able entirely to shake off the power of conscience, and the modetly and timidity of their first habits. They boast of licentious icencs, in which they have not been engaged, and of ruined chastity which they have never had the effrontery to attempt. Wretches ! despicable"
0430600800_000028,Letters religious and moral; designed particularly for the entertainment of young persons. By Daniel Turner.,"Turner, Daniel",40,0,0,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,2,0,2,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,3,1,0,2,1,1,0,0,1,0,1766,1,1,"London : printed for the author, and sold by J. Johnson and B. Davenport, at the Globe in Pater-Noster-Row; and J. Robinson, in Shad-Thames, M.DCC.LXVI. [1766].",London,239,male,1710,1798,FALSE,"hear hil patiently; znd the goo1incfs of his hsin~ ~ ~ - Faincy if ·! I''J. L! 1 1 design , and the natural unaffe¢ted plainness and seriousness with which he thought he could speak, would, as he hoped, prevent their ridicule if not, he was prepared to bear it."
0012700600_000021,"Modern amours: or, a secret history of the adventures of some persons of the first rank. Faithfully related from the author's own knowledge of each transaction. With a key prefixed.","Grainger, Lydia",55,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0,2,6,2,0,2,0,0,3,2,0,0,0,0,0,2,2,0,1,4,0,2,0,0,0,1,0,3,0,0,0,0,0,0,4,2,0,2,4,0,0,2,1733,1,1,"London : [s.n.], Printed in the Year M.DCC.XXX.III. [1733].",London,169,female,,,FALSE,"reaches their Souls: tis fit their Sex should be annihilated, or their Names'chang'd; for the whole Race is nothing but a Complication of Arrogancy, Knavery, and Avarice, and their Thoughts bent on nothing but satiating their brutifl, lurtful Passions , and indulging themselves in every invented, viciousthought,; accounting them noble"
0106700301_000005,"Essays moral and literary. By Vicesimus Knox, M. A. Late Fellow of St. John's College, Oxford. In three volumes. ...",Vicesimus Knox,45,0,0,0,1,3,0,0,1,0,1,0,0,0,1,1,1,1,0,2,1,0,0,1,0,0,2,0,0,3,1,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,3,0,2,2,0,1,0,0,3,1787,1,3,"London : printed for Charles Dilly, MDCCLXXXVII. [1787].",London,501,male,1752,1821,TRUE,"virtuous. Furniihed with a natural susceptibility, and free from any acquired impediment, the mind is then in the most favourable state for the admifficn of inftrucion, and for learning how to live. I will then suppose a young man present who has passed through the forms of a liberal education"
