PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(america),termFreq(board),termFreq(brought),termFreq(call),termFreq(capt),termFreq(captain),termFreq(carri),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(commit),termFreq(compani),termFreq(crew),termFreq(defenc),termFreq(enemi),termFreq(fleet),termFreq(good),termFreq(island),termFreq(justic),termFreq(marin),termFreq(merchant),termFreq(monei),termFreq(nation),termFreq(order),termFreq(piraci),termFreq(pirat),termFreq(port),termFreq(privat),termFreq(quarrel),termFreq(sail),termFreq(sea),termFreq(seamen),termFreq(seiz),termFreq(ship),termFreq(taken),termFreq(thousand),termFreq(took),termFreq(trade),termFreq(trial),termFreq(vessel),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1203401900_000014,"The arraignment, tryal, and condemnation of Captain William Kidd, for murther and piracy, upon six several indictments, At the Admiralty-Sessions, held by His Majesty's Commission at the Old-Baily, on Thursday the 8th. and Friday the 9th. of May, 1701. who, upon full Evidence, was found Guilty, receiv'd Sentence, and was accordingly Executed at Execution-Dock, May the 23d. As also, the tryals of Nicholas Churchill, James Howe, Robert Lamley, William Jenkins, Gabriel Loff, Hugh Parrot, Richard Barlicorn, Abel Owens, and Darby Mullins, at the same Time and Place for Piracy. Perused by the Judges and Council. To which are added, Captain Kidd's Two Commissions: One under the Great Seal of England, and the Other under the Great Seal of the Court of Admiralty.","Kidd, William           1701",65,0,0,5,1,1,4,1,0,3,0,0,1,0,1,0,1,2,3,1,0,1,1,1,2,0,4,6,0,0,0,1,3,0,2,7,1,1,2,3,2,3,1,1701,1,1,"London : printed for J. Nutt, near Stationers-Hall, 1701.",London,59,unknown,,,FALSE,"Public; and to prove as mischievous, if his Designs were otherwise: and what those were will quickly appear. After calling in at several Places for Provisions, and among others at Adadagafcar, in July 97, he failed to babs key, a fnall Island at the Entrance of the Red Sea ,"
1134700300_000025,"The history of the war of seventeen hundred and forty one translated from the French of M. de Voltaire. The third edition. In which is now added a continuation of the said history, from the battle of Fontenoy to the treaty of Aix-la-Chapelle. By the same hand.",Voltaire,73,2,2,0,0,0,0,2,4,3,3,2,0,4,4,0,0,1,3,0,1,0,2,1,2,0,0,2,1,1,2,0,3,0,2,4,3,6,3,3,0,5,2,1757,1,1,"London : printed for J. Nourse at the Lamb opposite Katherine-Street in the Strand, MDCCLVII. [1757].",London,294,male,1694,1778,TRUE,"to concern himself no farj there in the quarrel of the empire. The grand signior, who was afraid of Schah Nadir, the usurper of Persia, and conqueror of part of Asia, gave no disturbance to Hungary. Such was the situation of the north, and of the east of Europe, of"
0072300110_000328,"The works of M. de Voltaire. Translated from the French. With notes, historical and critical. By Dr. Smollet, and others. ...",Voltaire,70,3,3,0,0,0,0,2,7,2,3,3,1,5,3,0,2,1,1,0,1,0,1,2,3,0,0,2,1,0,1,0,1,0,2,3,0,6,2,2,0,5,2,1761,10,25,"London : printed for J. Newbery, R. Baldwin, W. Johnston, S. Crowder, T. Davies, J. Coote, G. Kearsley, and B. Collins, at Salisbury, MDCCLXI. [1761].",London,2205,male,1694,1778,TRUE,"and sensible interef. We have already observed, that after the happy conclusion of the peace of Utrecht, the English, who were left in possession of Minorca, as well as of Gibraltar in Spain, had obtained privileges from the court of Madrid which had been denied to the French, her defenders."
1439900300_000817,"A  new abridgement and critical review of the state trials and impeachments for high-treason; From the reign of King Richard II to the remarkable trial of Captain Porteoys in the tenth year of the reign of his present Majesty King George II. The whole containing, I. The substance of the indictment or charge. II. The evidence. III. The prisoner's defence. IV. The several points of law arisirg. V. The event or the trial, or fate of the prisoner, &c. In this abbridgement are inserted also, order; and many deficiencies throughout the whole supply'd with law in criminal cases anciently was; and how it has been alter'd, and stands at this time. Likewise, impartial memoirs of the and characters of the to which is added, A compleat of the names of the prisoners tried; the times when; their crimes, and punishments. By Mr. ... editor of the ...",Thomas Salmon,64,0,1,4,0,1,1,3,1,4,0,0,1,0,1,0,1,1,3,1,0,1,1,0,2,0,2,9,0,0,0,3,5,0,1,7,1,0,2,2,1,2,2,1738,1,1,"London : Printed for and ... against Stationers-Hall; ... on Ludgate-Hill; ... next the Leg-Tavern, and ... in Bolt-Court, Fleet-street; ... and ... without Temple-Bar, and at their Shops in York and Scarborough, 1738.",London,934,male,1679,1767,FALSE,"own Use; against the King's Peace, c. The Prisoners being arraigned on this indi&t ment and severally pleading Not Guilty, Churchill, Howe, and Mullis, afterwards represented to the Court, that they surrendered themselves on the King's Proclamation, offering a Pardon to all that came in upon it; and desired, they"
0214700700_000026,"The history of the war of MDCCXLI. Containing the history of that war till the peace of Aix-la-Chapelle in 1748. In three parts. By M. de Voltaire. To which is annexed, a particular account of the rise, progress, and extinction of the rebellion in G. Britain in 1745 and 1746.",Voltaire,66,2,3,0,0,0,0,2,4,3,2,2,0,3,4,0,0,1,1,0,1,0,3,1,6,0,0,2,1,3,1,0,2,0,2,3,2,3,3,2,0,2,2,1758,1,1,"Edinburgh : printed for W. Gray, in the front of the New Exchange, MDCCLVIII. [1758].",Edinburgh,474,male,1694,1778,TRUE,"the English colonies , and conveyed them to this vessel ; which being confiantly replenished, aniwered the end of a whole fleet . Besides, other veftels used to come and fill the company's ship , and their boats fre AI quently quently landed such goods on the coasts of America"
0818200114_000026,"The works of M. de Voltaire. Translated from the French. With notes, historical, critical, and explanatory. By T. Francklin, D.D. Chaplain to his majesty, and late Greek Professor in the University of Cambridge. T. Smollett, M.D. and others.",Voltaire,67,3,3,0,0,0,0,2,6,1,2,2,1,4,3,0,2,1,1,0,1,0,1,1,5,0,0,2,1,2,1,0,2,0,2,2,0,5,2,1,0,3,5,1779,14,35,"London : printed for S. Crowder, T. Longman, J. Wilkie, Carnan and Newbery, G. Robinson, R. Baldwin, J. Johnson, F. Newbery, W. Goldsmith, T. Evans, and W. Fox, MDCCLXXVIII. [1761-1781].",London,277,male,1694,1778,TRUE,hundreds which by abuse and connivance was in in reality swelled to a thousand ; so that it was fit to contain two millions weight of merchandise; there thousand tonnes were yet the fnalleft part of the commerce which this company car. ried on. The vessel was followed by a
1733300200_000021,"The sailor's companion, and merchantman's convoy. Shewing the military power of the Lord High-Admiral, and the duty and conduct of all superior and inferior officers of the Royal Navy of Great Britain. Also the state of the Navy in the year 973, the reign of King Edgar, and in 1171, King Henry the second's time, who fitted out a fleet of 400 sail to reduce Ireland, with the success of that expedition: also an account of the fleets that were fitted out by the succeeding kings; and a list of the navy as it stood on the first day of July, 1740, and 1756. Likewise a dissertation on the honour of the flag; and on the British right to the sovereignty of the seas: with seasonable remarks in relation to the fishery on the coasts, being monopoliz'd by foreigners: together with several useful and curious particulars mention'd in the table annex'd. By J. Cowley. To this second edition is added, a list of the Admiralty and of the Royal Navy 1756.","Cowley, John",79,0,1,2,1,0,0,1,4,0,0,0,1,0,1,0,5,1,1,0,0,3,1,0,3,1,1,1,4,3,0,0,3,2,1,19,6,0,1,1,2,3,6,1756,1,1,"Dublin : Printed for G. and A. Ewing, Booksellers, at the Angel and Bible in Dame-Street, MDCCLVI. [1756].",Dublin,173,unknown,,,FALSE,"But if a Ship is taken from an Enemy , and she appears to be ib disabled by the Captors, as that they have no Hopes of bringing her into Port , they may jufiify taking Ransom for her. :. The Salvage for retaking any Ships from the Enemy ,"
0414700500_000025,The history of the war of seventeen hundred and forty one. By M. de Voltaire. In two parts.,Voltaire,67,2,2,0,0,0,0,2,4,3,3,1,0,3,4,0,0,1,3,0,1,0,2,1,5,0,0,2,1,1,1,0,2,0,2,4,2,4,3,3,0,3,2,1756,1,1,"London : printed for J. Nourse at the Lamb opposite Katherine-Street in the Strand, MDCCLVI. [1756].",London,260,male,1694,1778,TRUE,"who were in poffelfion of Minorca and of Gibraltar in Spain, had moreover obtained some privileges of the court of Madrid, which this court had refused even to the French her defenders. The English merchants were permitted to supply the Spanish colonies with negroes, whom they purchased in Africa to"
0011900101_000241,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In five volumes. By David Hume, Esq ; ...",David Hume,61,2,0,0,0,0,0,0,2,2,0,0,2,1,2,1,0,3,3,0,1,4,2,0,3,2,2,0,1,2,4,2,2,3,3,5,1,0,1,0,0,3,2,1796,1,5,"Montrose : printed by D. Buchanan; and sold by him, Messrs. Darton & Harvey Grace-Church Street London, W. Creech, Bell & Bradfute, Geo. Mudie & Son Edinburgh; W. Coke Leith; Ja. Duncan & Son, J a. Gillies, Glasgow; and Morison & Son Perth, M,DCC,XCVI. [1796].",Montrose,543,male,1711,1776,TRUE,"and to assume the dominion of the state, as the puniihment of his treason and felony. Accordingly baiiol, though a prince of a soft and gentle spirit, returned into Scotland highly provoked at this usage, and determined, at all hazards, to vindicate his liberty; and the war , which soon"
0753500102_000249,"A new abridgement and critical review of the state trials. Wherein are inserted, several trials not in any other collection. Also, some trials that were taken in haste and scarce intelligible, are brought into regular order; and many Deficiencies throughout the Whole supply'd. Likewise, remarks are made on each trial, shewing what the Law in Criminal Cases anciently was; how it has been altered, and stands at this Day. Together with impartial Memoirs of the Times and Characters of the Sufferers. To which is added, a compleat Alphabetical index, of the Names of the Prisoners tried, the Times when, their Crimes, and their Punishment. By Mr. Salmon. In two volumes. ...",Thomas Salmon,67,0,1,4,0,2,1,2,1,4,0,0,1,0,1,0,1,2,4,1,0,0,3,0,2,0,2,9,0,0,0,2,5,0,1,8,1,0,2,2,1,2,2,1737,2,2,"Dublin : printed by and for R. Reilly, on Cork-Hill, and and sold by the booksellers, MDCCXXXVII. [1737].",Dublin,422,male,1679,1767,FALSE,"and rob a certain Ship called the Quedah Merchant , putting the Men on Board in Fear of their Lives, and taking the said Ship , with her Apparel, Tackle, and Goods , and converting them to their own usei against the King's Peace, c. The Prisoners being arraigned on"
