PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(answer),termFreq(articl),termFreq(author),termFreq(bread),termFreq(cafe),termFreq(common),termFreq(corn),termFreq(countri),termFreq(differ),termFreq(edit),termFreq(england),termFreq(export),termFreq(fell),termFreq(fold),termFreq(foot),termFreq(gener),termFreq(grain),termFreq(greater),termFreq(half),termFreq(import),termFreq(increas),termFreq(kind),termFreq(king),termFreq(labour),termFreq(land),termFreq(larg),termFreq(late),termFreq(law),termFreq(london),termFreq(market),termFreq(monei),termFreq(natur),termFreq(order),termFreq(penc),termFreq(peopl),termFreq(person),termFreq(pound),termFreq(present),termFreq(price),termFreq(print),termFreq(produc),termFreq(profit),termFreq(proport),termFreq(public),termFreq(purchas),termFreq(quantiti),termFreq(quarter),termFreq(rate),termFreq(sale),termFreq(set),termFreq(sever),termFreq(shill),termFreq(tax),termFreq(trade),termFreq(valu),termFreq(weight),termFreq(wheat),termFreq(work),termFreq(yard),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0551601800_000047,"An enquiry into the prices of wheat, malt, and occasionally of other provisions; of Land and Cattle, &c. as sold in England, from the year 1000 to the year 1765; Computed according to the Winchester Measure, and to the present Standard of English Coin, Divided into Periods of Ten Years each, and also into Periods of Circumstances.",Michael Combrune,92,1,0,0,0,0,0,0,4,1,0,0,2,5,0,0,0,2,2,1,0,1,4,0,2,1,7,1,1,0,1,0,9,0,0,0,2,1,1,2,6,0,3,3,4,1,2,2,2,4,1,0,1,0,5,1,2,0,4,0,0,1768,1,1,"London : printed for and sold by T. Longman, (at No. 39,) in Pater-Noster-Row, M,DCC,LXVIII. [1768].",London,126,male,,,FALSE,"with less profits , to bring home a plenty of money , which ultimately advances the landowners interest; but industry has its bounds, and in commerce there is a period at which it yields no profit ; there are when the manufaturer's diligence is not sufficient to purchase to him"
0775000400_000030,"An historical essay on the English constitution: or, an impartial inquiry into the elective power of the people, from the first Establishment of the Saxons in this Kingdom. Wherein the right of Parliament, to tax our distant provinces, is explained, and justified, upon such constitutional Principles as will afford an equal Security to the Colonists, as to their Brethren at Home.",Allan Ramsay,112,0,0,0,0,3,1,2,6,3,0,0,4,7,0,0,0,0,0,1,2,0,2,0,0,0,10,1,0,4,0,7,1,3,1,1,1,0,2,0,14,0,4,0,2,1,0,1,3,1,0,0,0,3,3,1,8,0,7,2,0,1771,1,1,"Dublin : printed for R. Moncrieffe, in Caple-Street; and T. Walker, in Dame-Street, M,DCC,LXXI. [1771].",Dublin,155,male,1713,1784,TRUE,"of laws are so pitifully partial, mean, poor, and wretched, that they would disgrace the petty tyrants of Barbary. They They have engrofed, within a line of their own drawing, all hares, wildfowl, and fish, that are natives of this kingdom; which, in their own nature , being wild, and"
0026600101_000099,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. ...",Adam Smith,122,3,0,0,0,0,2,2,1,4,0,0,4,2,0,0,0,1,0,3,2,1,1,0,1,2,0,1,0,0,0,3,7,2,1,3,0,0,2,14,19,0,0,0,4,0,6,5,3,4,0,0,1,11,0,0,3,1,2,1,0,1785,1,2,"Dublin : printed for W. Colles, R. Moncrieffe, G. Burnet, W. Wilson, C. Jenkin, L. White, H. Whitestone, P. Byrne, J. Cash, W. M`Kenzie, M DCC LXXXV. [1785].",Dublin,515,male,1723,1790,TRUE,"and the price of those materials might at least be increased by what had usually been the expense of transporting them to distant countries . Though it might not rise therefore in the same proportion as that of butcher's meat, it ought naturally to rise somewhat, and it ought certainly"
0288300404_000019,"Biographia nautica: or, memoirs of those illustrious seamen, to whose Intrepidity and conduct the English are indebted, for The Victories of their Fleets, the Increase of their Dominions, the Extension of their Commerce, and their Pre-Eminence on the Ocean. Interspersed with The most material Circumstances of Naval History, from the Norman Invasion to the Year 1779. Embellished with copper-plates. By Dr. J. Campbell, and John Kent, Esq. In five volumes. ...",John Campbell,88,0,0,2,2,2,0,0,3,1,0,0,2,1,2,0,0,3,0,1,0,0,7,0,1,0,3,1,1,1,1,1,2,1,0,3,0,2,2,5,8,0,0,1,0,1,4,0,1,4,0,0,0,11,3,0,2,0,1,0,2,1785,4,5,"Dublin : printed for J. Williams, (no. 20.) Dame-Street, M.DCC.LXXXV. [1785].",Dublin,589,male,1708,1775,FALSE,"James, there was not paid the twentieth part of that sum. The tax was so far personal , that a man paid only in'the county where he lived, although he should possess estates in other countries , and the assessors formed a loose estimation of his property, and rated him"
0026400500_000006,"Considerations on the case of the bakers in Dublin. First published in the year 1751, and now reprinted, with amendments and large additions; and a proposal for a new table of assize.",Citizen,92,0,2,0,1,11,5,0,7,0,4,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,1,3,1,1,0,0,0,2,1,1,3,1,7,3,4,2,0,1,0,3,5,1,0,0,0,3,0,2,2,2,4,1,0,1757,1,1,"Dublin : printed for George and Alexander Ewing, at the Angel and Bible in Dame-Street, M.DCC.LVII. [1757].",Dublin,68,unknown,,,FALSE,"it is infified on, that he can make more Profit on 3 Hundred of Flour, than the Law supposes him to make on a Quarter of Corn . The Calculations, p. 14, of the Letter are on a Supposition of the Flour's being made into the Household Bread ; but"
0168200101_000101,Memoirs of the literary and philosophical society of Manchester.,Cadell & Davies,90,0,1,2,0,1,0,0,12,1,1,0,2,8,0,0,1,0,1,0,0,4,0,0,0,0,2,4,0,2,0,5,0,0,0,2,0,0,3,1,9,0,0,3,0,5,2,0,2,0,1,0,0,4,1,5,1,1,3,0,0,1785,1,5,"Warrington [England] : printed by W. Eyres, for T. Cadel in the Strand, London, MDCCLXXXV. [1785]-",Warrington|Manchester.,510,unknown,,,FALSE,"example, as before, that wheat stands the farmer in four shillings a bushel: that the present market price , E e 4 however, however, is no more than three shillings , and that there is not a sufficient demand even at that. The legislature, to relieve the farmer, and accommodate"
1528500100_000046,"An enquiry into the prices of wheat, malt, and occasionally of other provisions; of land and cattle, &c. As sold in England, from the year 1000 to the year 1765; computed according to the Winchester measure, and to the present standard of English coin. Divided into periods of ten years each, and also into periods of circumstances.",Michael Combrune,74,0,0,0,1,0,0,0,3,0,1,0,3,4,0,0,0,3,1,3,1,1,2,0,1,2,5,0,0,1,0,1,4,0,1,0,1,0,0,1,6,0,2,5,1,2,1,3,1,1,1,0,0,0,1,2,2,1,2,1,2,1769,1,1,"Dublin : Printed by Boulter Grierson, printer to the King's Most Excellent Majesty, M,DCC,LXIX. [1769].",Dublin,128,male,,,FALSE,"life, a temporary prohibition to export corn takes place, this is barely an aal of necefirty, it may ftlop the hasty approach of famine but as it doth not remove because, (the excess of transporting grain ) nor bring back any part of what before has been sent away, fe~arcely"
0743700700_000034,"A treatise on poverty, its consequences, and the remedy. By William Sabatier, Esq.","Sabatier, William",83,1,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,1,3,3,0,1,1,1,0,1,1,1,0,0,0,1,0,1,10,1,12,0,2,4,1,1,0,2,0,1,1,0,1,1,1,1,0,4,7,0,0,1797,1,1,"London : printed for John Stockdale, Piccadilly, 1797.",London,333,unknown,,,FALSE,"man, should be allowed. to, sell the quantity he has on hand to any one he pleases, and no more, unless he hips coafways, and then he should give bondfor its. delivery at the port to which it is consigned; accidents at sea and the enemy excepted. In time, of"
0011300106_000059,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... . A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,80,0,0,1,1,2,0,0,2,0,2,1,1,1,2,0,0,2,0,2,0,0,5,0,0,0,3,0,0,1,1,2,2,1,1,4,0,1,2,9,8,0,0,1,0,2,4,0,1,2,0,0,0,6,2,0,2,0,1,0,2,1782,6,8,"London : printed for T. Cadell, 1782.",London,607,male,1711,1776,TRUE,"as is natural to suppose, ran always against the crown; especially during the latter end of Elizabeth, when subsidies became numerous and frequent, and the sums levied were considerable, compared to former supplies, The assessors, though accustomed to have an eye to ancient estimations, were not bound to observe any"
1212600601_000097,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L. L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of His Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow.",Adam Smith,118,3,0,0,0,0,2,2,1,3,0,0,3,2,0,0,0,1,0,3,2,1,0,0,1,2,0,1,0,0,0,3,7,2,1,3,0,0,2,14,20,0,0,0,4,0,5,5,3,4,0,0,1,10,0,0,3,1,2,1,0,1793,1,2,"Dublin : printed by William Porter, for G. Burnet, L. White, W. Wilson, P. Byrne, W. McKenzie, J. Moore, and W. Jones, M.DCC.XCIII. [1793].",Dublin,512,male,1723,1790,TRUE,"in the same proportion as that of butcher's meat, it ought naturally to rise somewhat, and it'ought certainly not to fall. IN England , however, notwithifanding the flourishing tate of its woollen manufacture, the price of English wool has fallen very considerably since the time of Edward III There are"
