PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(annuiti),termFreq(appear),termFreq(appoint),termFreq(author),termFreq(bank),termFreq(book),termFreq(cafe),termFreq(capit),termFreq(carri),termFreq(cent),termFreq(charg),termFreq(charter),termFreq(clive),termFreq(committe),termFreq(compani),termFreq(council),termFreq(court),termFreq(debt),termFreq(duti),termFreq(east),termFreq(england),termFreq(follow),termFreq(form),termFreq(fund),termFreq(gener),termFreq(govern),termFreq(governor),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(india),termFreq(king),termFreq(laid),termFreq(law),termFreq(letter),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nabob),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parliament),termFreq(payment),termFreq(person),termFreq(pound),termFreq(power),termFreq(present),termFreq(properti),termFreq(public),termFreq(receiv),termFreq(sea),termFreq(servic),termFreq(sever),termFreq(ship),termFreq(south),termFreq(stock),termFreq(taken),termFreq(trade),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0125800401_000135,"A new geographical, historical, and commercial grammar; and present state of the several Kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. XIII. A General Index. With a table of the coins of all nations, and their value in English money. By William Guthrie, Esq. Illustrated with a New and Correct Set of Large Maps, Engraved by Mr. Kitchin, Geographer. The second edition. In two volumes. ...","Paraire, John",113,1,0,5,0,1,0,15,1,1,5,0,0,1,2,0,10,14,1,2,0,0,1,2,0,0,1,2,4,3,2,0,1,1,2,1,3,0,0,0,4,0,2,0,1,3,1,2,1,1,0,0,1,2,0,0,2,1,0,2,0,8,1771,1,2,"London : printed for J. Knox, at No. 148, near Somerset-House, in the Strand, MDCCLXXI. [1771].",London,489,unknown,,,FALSE,"yearly fund of 8 percent. for two millions, was reduced to 5 percent. by a loan of, 200, oo00, to the public , without a.nv additional interest; for which consideration the company obtained a prolongation of its exclusive privileges; and a new charter was granted to them, under the title"
1268200901_000068,"The universal accountant, and complete merchant. In two volumes. By William Gordon, Of the Academy, Glasgow. ...","Gordon, William",122,0,2,6,1,1,0,5,0,5,1,1,0,0,0,0,0,6,0,0,1,2,1,1,1,1,13,3,3,0,3,0,1,6,1,1,0,2,1,2,5,0,0,0,3,6,4,8,0,0,1,2,6,2,4,0,1,0,4,3,0,2,1774,1,2,"Edinburgh : printed for Alexander Donaldson; and sold at his shop, No. 48. St. Paul's Church-Yard, London; and at Edinburgh, M.DCC.LXXIV. [1774].",Edinburgh,476,male,1763,1809,FALSE,"funr of money contributed to the establishing a fund , to enable a company to carry on a certain trade , by means of which the person became a partner in that trade , and received a share of the profit made thereby in proportion to the money employed. But"
0703500102_000043,"A general treatise of naval trade and commerce, as founded on the laws, and statutes of this realm, in which those relating to his Majesty's Customs, ... &c. are particularly considered ... The second edition, with many considerable additions, and a new preface. In two volumes. ...",,118,1,1,3,0,0,0,2,0,0,3,0,0,1,2,0,0,18,0,2,0,1,0,2,0,0,6,2,1,6,3,2,0,5,0,1,1,0,0,0,5,0,3,1,2,2,2,1,0,1,0,1,4,0,7,0,0,3,7,11,0,5,1753,2,2,"[London] : In the Savoy: printed by Henry Lintot; for J. Brotherton, J. Walthoe, S. Birt, C. Osborn, [and 9 others in London], 1753.",London,513,unknown,,,FALSE,"any Goods by the Company , the Officers of the Customs are required to take Security for the Customs, by a Bond or Bonds under the com. mon Seal of the said Company , e. which Bonds shall charge their annual Fund or Stock , and may be assigned; and."
1482800502_000082,"The Historical register, containing an impartial relation of all transactions, foreign and domestick. Volume II. For the year 1717. Publish'd at the expence of the Sun Fire-Office.",,117,0,2,6,0,0,1,3,0,0,4,0,2,2,0,0,1,15,0,2,5,5,0,1,1,0,5,3,1,5,1,1,2,0,1,1,0,0,1,1,1,0,0,1,2,8,7,0,0,0,11,0,0,0,2,2,3,0,2,3,0,3,1718,2,2,"London : Printed and sold by H. Meere in Black Fryers, 1718.",London,460,unknown,,,FALSE,"examine, and slate the Debts due to the Army, qc. Mlay zo. The Commons having refoiv'd themselves into a Committee of the whole House ; to confider farther of Ways and Means for raising the Supply granted to his Majesty, Mr. Stanhope laid before them the refpecdive Propos als of"
0525700300_000094,"The statute-Law common-plac'd: or, a general table to the statutes. Containing the purport and effect of all the acts of Parliament in Force from Magna Charta down to the Reign of King George II. in a Method perfectly New and Regular; with the numerous Proviso's and additional Clauses inserted under their proper Titles. The Whole Very useful to Counsellors, Attornies, Solicitors, Justices of the Peace, Mayors, Sheriffs, Coroners, Clergymen, Merchants, and all Trading Persons. The fourth edition, with large additions, continued in one volume, to the twelfth year of King George II. By G. Jacob, Gent.",Giles Jacob,140,1,2,8,0,1,0,1,2,0,6,0,0,1,0,0,0,19,0,1,3,3,0,1,0,1,6,0,2,0,4,1,1,1,0,0,0,0,0,0,11,0,3,1,2,4,3,5,0,3,0,0,1,3,12,1,0,1,9,13,1,2,1739,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for H. Lintot, at the Cross Keys, against St. Dunstan's Church in Fleet-Street, M.DCC.XXXIX. [1739].",London,431,male,1686,1744,FALSE,"s. for Charges , to be discharged. 9 Ge. .a C o. If any Subject of Great Britain, enlist, or enter himself, or any Person procure him to lift as a Soldier, to serve any foreign Prince, without Leave of his Majelty, to be guilty of Felony: But such Person"
0982700400_000070,"A collection of most of the penal laws relating to the customs and excise: and also to the inland duties, the duties on stamps, and Postage of Letters; Together with the Powers granted by Parliament to the East-India and South-Sea Companies. To which are added, some brief observations relating to those laws.",Great Britain,120,0,1,2,1,1,0,2,0,3,3,0,0,2,1,0,0,16,0,2,1,2,2,0,0,0,5,4,0,3,1,0,0,3,0,1,3,3,0,0,1,0,4,1,0,4,2,2,0,6,0,0,0,0,2,0,3,11,2,5,1,14,1726,1,1,"London : [s.n.], Printed in the Year M.DCC.XXVI. [1726].",London,389,unknown,,,FALSE,"51 All Ships taken there as Pri, zes, shall belong to the Company , or to such Ships as they shall license; Officers and Seamen belonging to the Crown's Ships to be rewarded as the Charter appoints . The Company may seize British Ships by force, trading within their Limits."
1200900806_000177,"An exact abridgment of all the statutes in force and Use, from the beginning of the sixth year of King George, to the eleventh year of his said Majesty's reign. Vol. VI.",Great Britain,128,1,2,8,0,0,1,5,2,0,6,2,0,6,0,0,0,19,0,0,1,2,0,1,2,0,3,0,0,0,0,1,0,4,0,2,2,0,1,0,13,0,1,0,4,4,8,1,0,1,0,1,3,0,8,1,0,2,3,5,0,2,1725,6,6,"London : printed by his Majesty's printers, and by the assigns of Edward Sayer, Esq; and are to be sold by R. Gosling, at the Middle-Temple-Gate in Fleet-Street, MDCCXXV. [1725].",London,498,unknown,,,FALSE,"Time after 7midfiurmmer 1727, on Repayment by Parliament to the Bank of E; gland, and eaf, India Company , of the whole Capital Sums, which shall be assigned or transferred, or then belong to them, fi-om the Southb sea Company , and on Payment of all Arrears of their Annuities"
0546603200_000010,"Considerations on the trade to Africa. Together with a proposal for securing the Benefits thereof to this Nation. For Fixing and Ascertaining the Capital Stock of the Royal African Company of England. For Uniting the Creditors and Proprietors thereof in One Joint, or Common Interest. For raising the Sun of Two Hundred Thousand Pounds to be employed in the Trade and Service of that Corporation. And (by Means of a Parliamentary Allowance) for Establishing their Affairs, both at Home and Abroad, upon a solid and lasting Foundation. In a Letter to a Noble Lord: With whom that proposal was left for his Consideration the last Year, but with no Sort of Interntion that it should ever appear in Print. And a postscript: Containing, amongst other Things, The Author's Reasons for Publishing the same at this Time. By Mr. O'Connor.","O'Connor, Mr. (M.)",92,2,4,4,1,2,0,0,1,2,4,1,2,1,1,0,1,12,0,2,2,0,0,0,2,0,1,1,2,3,2,5,0,0,0,1,0,0,1,1,3,0,2,1,1,2,1,1,0,0,3,1,1,0,0,1,0,0,0,7,1,6,1749,1,1,"London : printed for J. Barnes, at the London-Gazette, Charing-Cross, M.DCC.XLIX. [1749].",London,53,unknown,,,FALSE,"Stock or Capital , will be -- 3oo, oool. at 50/. and 5oo, oooi. at 350, 0 1 o /. par cent.making 800, 0 J F 4 THAT -42 4 THAT the Payments on the said 500, 000ooo. be made at the following Times, and in the following Proportions, viz."
1202800105_000259,"The statutes at large, from Magna Charta, to the twenty-fifth year of the reign of King George the Third, inclusive. With a copious index, and appendix, consisting of obsolete and curious acts, some of which were never before printed. By Owen Ruffhead, Esq. A new edition, in ten volumes, revised, corrected, and continued, by Charles Runnington, Esq. Barrister at Law.",Owen Ruffhead,131,6,1,10,2,0,2,7,9,0,5,0,1,4,0,0,0,15,0,0,3,3,0,3,0,1,3,4,0,1,0,2,0,0,0,0,2,0,1,0,4,0,4,4,4,2,2,4,0,0,2,0,3,0,3,0,1,0,3,7,3,0,1786,5,14,"London : printed by Charles Eyre and Andrew Strahan, printers to the king's most excellent majesty; and by William Woodfall and Andrew Strahan, law printers to the king's most excellent majesty, MDCCLXXXVI. [1786].",London,733,male,1723,1769,FALSE,"the Time being out of Money impressed to him at the Receipt of the Exchequer for that Purpose; and all the Annuities so payable by the said Cashier, or Shares in joint Stocks for the same, are assignable or transferrable, in : Books kept at the public Office of the"
0832800205_000014,"The historical Register, containing an impartial relation of all transactions, Foreign and Domestick. With a chronological diary of all The remarkable Occurrences, viz. Births, Marriages, Deaths, Removals, Promotions, &c. that happen'd in this Year: Together with the Characters and Parentage of Persons deceased, of eminent Rank. Volume V. For the year 1720.",,123,0,4,7,0,0,0,4,0,2,10,1,0,4,0,0,2,10,0,1,7,3,0,3,1,0,1,1,1,5,1,1,8,0,1,4,0,0,0,0,0,0,0,3,0,3,1,0,0,2,5,0,6,0,3,1,2,0,3,8,3,1,1720,5,5,"London : printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh, [1720].",London,434,unknown,,,FALSE,"Increase of a proportionable Allowance for Charges and Management. IX It is proposed, That the said new additional Stock , as well as the Capital Stock of the said Governor and Company , may continue free and exempt from all Parliamentary Taxes and Impositions whatsoever, and that they may enjoy"
