PassageID,Title,Author,Total termFreq,termFreq(africa),termFreq(african),termFreq(america),termFreq(annual),termFreq(black),termFreq(british),termFreq(brought),termFreq(carri),termFreq(charter),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(compani),termFreq(countri),termFreq(cruel),termFreq(dutch),termFreq(european),termFreq(export),termFreq(foreign),termFreq(fort),termFreq(franc),termFreq(french),termFreq(gambia),termFreq(gold),termFreq(hand),termFreq(human),termFreq(import),termFreq(indi),termFreq(inhabit),termFreq(king),termFreq(labour),termFreq(majesti),termFreq(manner),termFreq(merchant),termFreq(nation),termFreq(nativ),termFreq(negro),termFreq(number),termFreq(object),termFreq(peopl),termFreq(plantat),termFreq(poor),termFreq(portugues),termFreq(price),termFreq(properti),termFreq(public),termFreq(river),termFreq(sea),termFreq(settlement),termFreq(ship),termFreq(slave),termFreq(slaveri),termFreq(sold),termFreq(sugar),termFreq(taken),termFreq(thousand),termFreq(tobacco),termFreq(trade),termFreq(trader),termFreq(treat),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0432500700_000033,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,137,2,1,0,3,1,1,1,0,0,8,1,0,0,14,0,2,4,4,0,1,0,4,2,7,2,0,1,2,0,2,2,0,1,1,1,2,3,8,0,2,0,0,2,1,1,0,1,1,3,3,26,0,4,0,1,0,0,3,3,1,4,1789,1,1,"[London], 1789.",London,890,unknown,,,FALSE,"many are taken from the Eastern Coast to Persia and the East Indies . From the Countries bordering on the Senegal and Gambia , the Emperor of Morocco draws his Recruits for his Black Cavalry; and from the same Quarter, including the Tract of Country down to Sierra Leone, many"
1231302500_000013,"Travels in the interior districts of Africa: performed under the direction and patronage of the African Association, in the years 1795, 1796, and 1797. By Mungo Park, Surgeon. With an appendix, containing geographical illustrations of Africa. By Major Rennell.",Mungo Park,94,1,1,0,2,1,1,2,0,0,4,0,0,2,5,0,1,1,3,0,0,0,2,6,1,1,1,1,1,4,0,1,0,2,1,4,5,3,2,0,1,0,1,1,1,0,1,3,0,1,3,10,1,1,0,2,1,1,3,1,2,1,1799,1,1,"London : printed by W. Bulmer and Co. for the author; and sold by G. and W. Nicol, Booksellers to his Majesty, Pall-Mall, 1799.",London,506,male,1771,1806,FALSE,"all kinds, much in the same manner as the slaves in the West Indies . I was told, however, that the Mandingo master can neither deprive his slave of life, nor sell him to a stranger, without first calling a palaver on his conduct; or, in other words, bringing him"
0525100400_000006,"Candid reflections upon the judgement lately awarded by the Court of King's Bench, in Westminster-Hall, on what is commonly called the negroe-cause, by a planter.",Edward Long,98,1,2,1,2,0,0,2,1,2,5,5,1,5,1,0,5,1,1,2,1,0,0,2,1,2,0,0,1,1,2,4,0,0,2,2,1,8,2,0,0,4,0,0,1,0,0,2,0,2,1,3,0,1,2,0,1,0,13,1,0,1,1772,1,1,"London : printed for T. Lowndes, No 77, Fleet-stree[t], MDCCLXXII. [1772].",London,79,male,1735,1813,FALSE,"of sugar worlssin Jamaica, that the officers of.his army. arraffed and destroyed the common soldiers,,, well seasoned to the climate) by, seiploying them ase.field. labourers . This utter inaptitude of Europeans to such occupations in hot climates, and the impossibility of filpplyng them with white labourers , from any other"
1236701302_000064,"The history of America containing the geographical, political, and commerical [sic] state of that continent: in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. du Bosque late Historographer to the French King. In two volumes. ...",Malachy Postlethwayt,96,4,3,1,0,1,1,1,3,0,0,3,2,1,5,0,1,5,2,0,0,0,1,0,1,1,1,1,0,2,0,3,0,1,2,1,1,5,3,1,6,2,1,0,1,0,0,0,2,1,3,4,0,1,1,0,0,1,14,1,0,1,1771,2,2,"London : printed by James Lowndes in Paternoster-Row, MDCCLXXI. [1771].",London,391,male,1707,1767,FALSE,"of being made secure by fortifications; but no shipping , no trade , no merchants , even where there [ 1i8 3 there is plenty of merchandises. In flort, Africa , though a full quarter of the globe, stored with an inexhaustible treasure, and capable, under properim provements, of producing"
0150200900_000012,"Travels in the interior districts of Africa: performed under the Direction and Patronage of the African Association, in the years 1795, 1796, and 1797. By Mungo Park, Surgeon. With an appendix, containing geographical illustrations of Africa. By Major Rennell.",Mungo Park,95,1,1,0,2,1,1,2,0,0,5,0,0,2,4,0,1,1,3,0,0,0,2,6,1,1,1,0,1,5,0,1,0,2,1,4,5,3,2,0,1,0,1,1,1,0,1,3,0,1,3,10,2,1,0,2,1,1,3,1,2,1,1799,1,1,"London : printed by W. Bulmer and Co. for the author; and sold by G. and W. Nicol, Booksellers to his majesty, Pall-Mall, 1799.",London,521,male,1771,1806,FALSE,"prayers, according to the rules of the Koran. In the account which I have thus given of the natives , the reader must bear in mind, that my observations apply chiefly to persons of free condition, who constitute, I suppose, not more than one fourth part of the inhabitants at"
1233700900_000012,"Travels in the interior districts of Africa: performed under ... the African Association, in the years 1795, 1796, and 1797. By Mungo Park, ... With an appendix, containing geographical illustrations of Africa. By Major Rennell.",Mungo Park,92,1,1,0,2,1,1,2,0,0,5,0,0,2,4,0,1,1,3,0,0,0,2,6,0,1,1,0,1,4,0,1,0,2,1,4,4,3,2,0,1,0,1,1,1,0,2,3,0,0,3,10,2,1,0,2,1,1,3,1,2,1,1799,1,1,"London : printed by W. Bulmer and Co., for the author; and sold by G. and W. Nicol, 1799.",London,507,male,1771,1806,FALSE,"tree. It is here that all public affairs are transacted and trials conducted; and here the lazy and indolent meet to smoke their pipes and hear the news of the day. In most of the towns the Mahomedans have also a missura, or mosque, in which they assemble and offer"
0004900300_000041,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards Esq. Illustrated With A Map.",Bryan Edwards,95,4,4,1,2,1,2,0,0,0,7,0,1,2,6,0,2,2,4,0,2,0,1,1,2,1,0,1,1,1,1,0,0,0,3,1,4,2,5,0,0,0,0,3,0,0,1,4,0,1,1,6,1,0,0,2,0,0,8,3,0,1,1798,1,1,"London : printed for B. Crosby, Stationer's Court; for Mundell & Son, Edinburgh; and J. Mundell, College, Glasgow, 1798.",London,442,male,1743,1800,FALSE,"percent. ad valorem, for exported goods, at the time of entry. It was stipulated by the same at, That any person, for the paymert of an additional duty of ten percent. for the goods imported , should have the still more extensive privilege of trading between Cape Blanco and Cape"
1233601000_000006,"Travels in the interior of Africa, in the years 1795, 1796, & 1797, by Mungo Park. Abridged from the original work.",Mungo Park,90,0,1,0,2,1,1,1,0,0,4,0,1,0,2,0,1,4,3,0,0,0,2,5,1,1,1,1,1,2,1,1,0,1,1,1,8,3,2,0,1,0,0,1,1,0,2,1,0,0,3,10,2,1,0,3,1,4,2,1,2,2,1799,1,1,"London : printed by J. W. Myers, Paternoster-Row; for Crosby and Letterman, No. 4, Stationer's Court, near Paternoster-Row, 1799.",London,232,male,1771,1806,FALSE,"hear the news of the day. In most of the towns the Mahorme tans have a mosque, in which they celebrate public worship. These observations respecting the natives apply chiefly to persons of free condition, who constitute not more than one fourth part of the inhabitants : the other three"
0606000402_000016,"The history, civil and commercial, of the British colonies in the West Indies. In two volumes. By Bryan Edwards, ...",Bryan Edwards,103,2,2,2,3,4,4,2,3,0,9,2,1,2,3,0,2,1,3,0,2,0,2,0,1,0,0,6,1,0,1,0,0,1,2,1,0,2,5,1,0,0,0,2,0,1,1,5,0,2,3,5,0,1,1,0,0,0,8,4,0,0,1793,2,2,"Dublin : Luke White, 1793.",Dublin,493,male,1743,1800,FALSE,"or bight, ending at Cape Lopez, wherein are situated the trading places (being so many villages on the banks of several rivers ) of Benin, Bonny, Old and new Callabar, Cameron and Gaboon. VOL. II D The B OOK The slaves purchased on this part of the coast . IV"
0004900300_000002,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards Esq. Illustrated With A Map.",Bryan Edwards,100,2,3,0,5,1,2,0,1,1,4,5,1,1,0,0,0,1,6,0,1,1,2,0,1,0,0,3,5,2,1,0,0,2,0,3,6,12,2,0,1,3,0,1,0,1,0,0,0,2,0,3,3,0,5,1,0,0,3,0,0,3,1798,1,1,"London : printed for B. Crosby, Stationer's Court; for Mundell & Son, Edinburgh; and J. Mundell, College, Glasgow, 1798.",London,442,male,1743,1800,FALSE,"CHARA.BEE ISLANDS. CHAPTER I. BARBADOS. Firt Arrival of the English on this Island. Origin, Progress, and Termination of the Proprietary Government. Revenue granted to the Crown. Orighi of the A of Navigation. Situation and Extent of the Island. Soil and Produce. Population. Its Decline. Exports and Imports , - 8"
