PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(appoint),termFreq(arm),termFreq(armi),termFreq(articl),termFreq(britain),termFreq(brother),termFreq(cafe),termFreq(caus),termFreq(church),termFreq(common),termFreq(council),termFreq(countri),termFreq(court),termFreq(crown),termFreq(duke),termFreq(duti),termFreq(earl),termFreq(england),termFreq(english),termFreq(forc),termFreq(franc),termFreq(gener),termFreq(govern),termFreq(grant),termFreq(hous),termFreq(ireland),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(law),termFreq(letter),termFreq(london),termFreq(manner),termFreq(nation),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(queen),termFreq(reason),termFreq(receiv),termFreq(reign),termFreq(salt),termFreq(scot),termFreq(scotland),termFreq(sever),termFreq(state),termFreq(taken),termFreq(trade),termFreq(treati),termFreq(union),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1260900200_000591,"An impartial history of England, from the earliest authentic records, and most genuine historical evidences, to the middle of the year 1799; containing an Authentic, Candid, and circumstantial account, of every memorable transaction, and interesting event, recorded in the Annals of Great Britain, With an Account of its Origin, and progressive State; The many Revolutions it has undergone, its Discoveries, Conquests, Acquisitions, Battles, Sieges, Sea-Fights, and other memorable events. Also, A concise View of the Constitution and Political Establishments of Britain, its Laws, Institutions, Parliaments, Charters, Commerce, &c And an accurate and chronological Account of all the Sovereigns who have swayed the British Sceptre: with an impartial display of their characters. Including, An History of the American War and Revolution. To which is likewise added, histories of the present war, and the Revolutions in France and Holland; together with An Account of the late Rebellion in Ireland, And other important Affairs relating to that Kingdom. The whole interspersed With Remarks, Observations, and Reflections. Selected and compiled from Hume, Smollet, Goldsmith, Robertson, and other approved historians.",,88,0,0,1,0,2,2,3,0,0,0,2,3,1,2,1,0,7,0,2,4,1,1,0,2,1,0,3,0,3,3,3,0,1,2,1,2,0,0,5,1,2,1,0,1,1,2,4,0,1,0,0,2,5,1,0,0,2,3,3,1,1799,1,1,"Blackburn : [print]ed by Hemingway and Nuttall, 1799.",Blackburn,884,unknown,,,FALSE,"to Madrid: but this plan was not carried into execution, as the Portu gueze were not provided for iuc h an expedition; on which the earl failed to Alicant, where lie landed his troops, and then returned to England . By this time the French king .was reduced to the"
0168600600_000029,"Speculum Britannicum: or, a view of the miseries and calamities successively brought upon Great Britain by intestine divisions, in the last and present centuries. By an Englishman.","Burton, Philip           1792",94,0,0,1,1,0,1,2,0,0,1,3,1,0,0,2,2,1,0,0,4,1,1,3,1,1,1,2,0,2,7,2,1,2,0,1,3,1,1,7,2,0,3,1,2,2,0,6,0,1,1,0,3,6,0,1,0,2,2,4,2,1778,1,1,"London : printed for G. Robinson, in Pater-Noster Row, MDCCLXXVIII. [1778].",London,262,unknown,,,FALSE,"Englill money was much fufpelted. The ac for treating concerning an union with England was palted without any considerable amendment; and this important business being over, and the supplies granted , the parliament was adjourned.,;. The violence of parties perpetually lbngtrl'h. o that alarmed the Englith nation with publi religian"
1229600108_000187,"The history of England, from the invasion of Julius Caesar to the revolution in 1688. In eight volumes. By David Hume, Esq;",David Hume,124,0,1,1,0,5,1,0,0,2,0,0,1,3,4,1,0,7,0,4,6,5,2,15,2,0,0,2,4,8,1,0,1,2,1,0,1,1,1,0,0,6,0,0,2,1,3,5,0,1,2,0,2,4,0,0,2,0,3,2,9,1767,8,8,"London : printed for A. Millar; and sold by T. Cadell, overagainst Catherine Street, in the Strand, MDCCLXVII. [1767].",London,515,male,1711,1776,TRUE,"against Scotland , 248 commands against the Scots , by a commission from Somerset the protecor, 336 -- - earl of, added to the privy- council , when the Queen of Scotland's cafe is under their consideration, V 149 appointed to'fee the sentence against her executed, 322 informs that princess"
0605900300_000191,"The political history of Europe. Being a collection of the public treaties and state tracts, Digested into due Order, and historically introduced; commencing with the treaty of Munster, 1648. To which is prefixed, A short Historical and Chronological Account of the State of Affairs, from the Year 800 down to the said Treaty. Interspersed with A Variety of curious Anecdotes, relating to Literature, Philosophy, and Science.","Horsley, William",128,1,0,0,1,0,4,7,0,1,1,0,0,1,0,3,0,0,9,0,11,0,1,5,3,1,0,1,0,3,7,2,3,0,1,0,1,1,0,6,0,4,0,0,1,2,1,3,1,0,1,3,1,21,0,4,0,2,8,1,1,1746,1,1,"London : printed by J. Bettenham, for the author; and sold by R. Manby, and H. S. Cox, on Ludgate-Hill, MDCCXLVI. [1746].",London,520,male,1701,1776,FALSE,"If her Britannic Majelty, or the States General of the United Provinces, shall be attacked by any power whatsoever on account of this agreement, they shall mutually assist each other with all their forces , and be guarantees for the execution of the said agreement.. VI All; ( 320) V"
0688700102_000901,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,105,0,1,1,0,3,4,3,0,0,0,0,1,1,1,2,0,6,1,1,8,2,0,1,2,3,1,1,0,0,8,2,4,0,0,1,5,0,0,8,0,1,1,0,3,2,1,2,0,0,2,0,3,8,1,0,0,1,1,6,2,1778,2,2,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,884,unknown,,,FALSE,"They argued in favour of trift hereditary succession, divine right, and non reflitance to the regal power . The tories, though joining in vigorous meafilres againll France , were never ardently their enemies: they rather secretly hated the Dutch, as of principles very opposite to their own; and longed for"
0246100101_000423,"A new and authentic history of England: from the remotest period of intelligence to the close of the year 1767: Containing A particular and circumstantial Account of Every interesting Occurrence, and memorable Character relative to the Annals of Great Britain, both at Home and Abroad; Particularly, Its Origin; the Progress of its Empire; Laws; civil and religious Establishments; its various Operations naval and military; Anecdotes of the Transactions of the most celebrated Personages who have distinguished themselves in a political, ecclesiastical, or military Capacity: Interspersed with such Remarks as may be found necessary to elucidate any obscure Point, solve any Difficulty, and set any contested Circumstance in the clearest Light. By the Hon. Hugh Clarendon, of Windsor, Esq;","Clarendon, Hugh",125,2,2,2,1,0,2,0,1,0,3,0,1,1,0,4,3,4,0,3,12,3,0,13,1,0,2,1,3,14,1,0,3,0,3,0,1,0,1,4,0,4,0,2,2,0,6,2,1,0,2,0,1,4,3,0,1,0,4,0,2,1770,1,2,"London : printed for J. Cooke, at Shakespear's Head in Pater-Noster Row, and sold by all Booksellers in Great Britain and Ireland, [1770?].",London,664,unknown,,,FALSE,"troops into the city of Orleans, 413 Raises the siege, 4i4. Affifls at the coronation of Charles VII 4i5. Is made a prisoner by the English , 4i6. Condemned for witchcraft and executed, 417 Ofbec, Peter, or Perkins, an impottor in Ireland , personates the duke of York, Con of"
0486600301_000009,"A general history of Ireland, in its antient and modern state. On a new and concise plan. Comprehending an accurate Account of the Provinces, Counties, Cities, Post-Towns, Harbours, Rivers, Lakes, Mountains, Capes, Forts and Head-Lands, Metals, Mines and Minerals, Vegetable and Animal Productions, Antient and Modern History, Language, Learning, Religion, Laws, Constitution, Government, Civil and Military Establishments, Revenues, Gentlemen's Seats, Great and Bye Post Roads, &c. The state of its importations, exportations, And agriculture, with observations on its trade and manufactures, And the Means to extend and improve them, in consequence of the late Grant of a Free-Trade. The whole containing such a comprehensive Description of all the Provinces, Counties, &c. as may be necessary to elucidate and render this Work the compleatest History of the present State of Ireland yet extant. Illustrated with a considerable Number of such necessary and interesting Particulars as render it really useful to the foreigner, the gentleman, and the traveller. Collected by a gentleman during his travels through the principal parts of this kingdom. Revised, corrected and enlarged, with many important additions, by John Angel, Editor of Stenography, or the Art of writing Short-Hand, which has been honoured with The Approbation and Recommendation of the Right Hon. and Hon. the Dublin Society. ...","Angel, John",129,0,0,1,0,1,0,3,0,1,1,3,6,7,0,1,4,2,3,2,10,1,1,0,0,2,1,9,9,13,3,1,12,0,0,1,0,3,0,7,0,1,3,1,5,0,0,2,0,1,1,0,1,1,0,3,0,0,1,0,1,1781,1,2,"Dublin : printed for the editor, John Angel, No. 7, Fownes'-Street; and sold by C. Talbot, No. 13, Parliament-Street, M.DCC.LXXXI. [1781].",Dublin,283,male,1743,1827,FALSE,"the parliament house but in great state and procession, and the six regiments on Dublin duty lining the streets through which he passes. He has a council composed of all the great officers of the crown ; namely the chancellor, the primate of all Ireland , and such other of"
0008300107_000126,"The history of England, from the earliest dawn of record to the peace of MDCCLXXXIII. By Charles Coote, LL. D. Of Pembroke College, Oxford; Author of Elements of the Grammar of the English Language. ...","Coote, Charles",76,1,2,1,0,0,2,3,0,1,0,0,3,4,0,2,1,3,1,1,2,2,1,2,1,0,3,3,0,0,2,0,3,0,1,0,0,2,1,3,0,3,0,0,1,1,0,5,0,1,1,0,2,2,0,0,2,1,1,3,2,1791,7,9,"London : printed for the author, and sold by C. Stalker, NO. 4. Stationers Court; J. Fletcher, Oxford; the Merrils, Cambridge; and all other booksellers, MDCCXCI. [1791].",London,483,male,1761,1835,FALSE,"papers which related to the war in Spain, the commonis observed a great disproportion between the number of men who appeared to have been present in that kingdom and in Portugal at the time of the battle of Alihanza, and the amount of the forces voted for that service. They"
1285900100_000007,"The history of the union between England and Scotland, by Daniel De-Foe: with an appendix of original papers. To which is now added a life of the celebrated author, And A Copious Index.",George Chalmers,120,0,0,1,3,1,2,0,0,1,0,0,0,2,5,0,8,0,0,0,12,7,1,3,1,1,0,2,1,0,5,1,1,1,0,1,3,0,2,9,2,0,0,1,3,0,0,6,0,0,0,0,3,14,1,0,1,3,2,6,4,1786,1,1,"London : printed for John Stockdale, Opposite Burlington-House, Piccadilly. M.DCC.LXXXVI. The Life entered at Stationers Hall, [1786] [i.e. 1787?].",London,929,male,1742,1825,FALSE,"great viblence. A Parliament was summoned in Scotland in the year 1703 A letter from the Queen was read, desiring them to provide for the fettling of the Crown in their Country , in cafe the Queen Should leave no ifiue; anid the Settlement that had passed in England was"
0617200100_000100,"The history of Great Britain during the reign of Queen Anne. With a dissertation concerning the danger of the Protestant succession; and an appendix, containing Original Papers. By Thomas Somerville, D. D. F.R.S.E. One Of His Majesty's Chaplaine In Ordinary, And Minister At Jedburgh.","Somerville, Thomas",88,2,1,2,0,0,0,2,0,3,1,0,0,4,2,2,2,1,0,1,5,1,4,2,0,0,2,0,2,1,5,0,0,0,0,0,2,0,1,2,2,1,0,1,1,1,0,1,0,0,2,0,3,8,2,1,1,2,2,9,1,1798,1,1,"London : printed for A. Strahan; and T. Cadell Jun. and W. Davies, in the Strand, 1798.",London,702,male,1741,1830,FALSE,"without a special warrant from the queen for that purpose. fnce fence or reproach; while they abstained from making any demands C H A p. upon the parliament , except such as it could grant without resin - _ or endangering the treaty . 1706 6 Among the causes which"
