PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(bridg),termFreq(cafe),termFreq(caus),termFreq(cent),termFreq(church),termFreq(citi),termFreq(citizen),termFreq(colleg),termFreq(common),termFreq(contain),termFreq(counti),termFreq(court),termFreq(crown),termFreq(earl),termFreq(england),termFreq(equal),termFreq(exchang),termFreq(follow),termFreq(ftreet),termFreq(gener),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(king),termFreq(laid),termFreq(land),termFreq(lane),termFreq(late),termFreq(law),termFreq(letter),termFreq(liberti),termFreq(london),termFreq(market),termFreq(mayor),termFreq(merchant),termFreq(mile),termFreq(monei),termFreq(number),termFreq(offic),termFreq(order),termFreq(oxford),termFreq(parliament),termFreq(person),termFreq(port),termFreq(pound),termFreq(price),termFreq(print),termFreq(receiv),termFreq(return),termFreq(royal),termFreq(sea),termFreq(set),termFreq(sever),termFreq(societi),termFreq(taken),termFreq(town),termFreq(ward),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0588600100_000572,"A new and compleat history and survey of the cities of London and Westminster, the Borough of Southwark, and Parts adjacent; from the earliest accounts, to the begining of the year 1770. Containing I. An Account of the original Foundation, and modern State of those Places. II. Their Laws, Charters, Customs, Privileges, Immunities, Government, Trade and Navigation. III. A Description of the several Wards, Parishes, Liberties, Precincts, Churches, Palaces, Noblemen's Houses, Hospitals, and other public Buildings. IV. An Account of the Curiosities of the Tower of London, the Royal Exchange, St. Paul's Cathedral, the British Museum, Westminster-Abbey, &c. V. A general History of the memorable Actions of the Citizens, and the Revolutions that have happened, from the Invasion of Julius Caesar to the present Time. By a Society of gentlemen; revised, corrected, and improved, by Henry Chamberlain of Hatton-Garden, Esq;","Chamberlain, Henry",97,0,2,7,0,0,0,2,7,7,0,0,3,1,3,2,3,0,0,1,0,4,0,5,1,0,2,3,0,3,0,0,1,0,10,0,6,0,7,0,1,0,1,0,2,0,0,1,0,0,0,2,2,0,1,0,0,0,1,6,0,1770,1,1,"London : printed for J. Cooke, at Shakespear's Head, No. 17, Pater-Noster-Row, [1770].",London,760,unknown,,,FALSE,"citizens . There is a pafage in our chronicles that favours this conceit. In Henry VI time, Anno 1450, when Jack Cade, the Kentilh rebel, who feigned himself the lord Mortimer, came through Southwark into London , he marched to this stone, where was a great confluence of people, ant"
0116500103_000050,"The present state of all nations. Containing a geographical, natural, commercial, and political history of all the countries in the known world. ... . By T. Smollett, M.D.",Tobias Smollett,82,0,0,2,0,0,0,2,3,0,2,1,4,1,1,1,0,2,0,2,0,2,0,0,7,2,3,1,0,1,3,0,0,0,3,2,0,3,0,1,0,6,3,0,0,0,1,2,0,0,1,0,3,2,0,3,1,0,0,10,1,1768,3,8,"London : printed for R. Baldwin, No. 47, Paternoster-Row; W. Johnston, No. 16, Ludgate-Street; S. Crowder, No. 12; and Robinson and Roberts, No. 25, Paternoster-Row, MDCCLXVIII. [1768]-69.",London,489,male,1721,1771,TRUE,"was not finished till the tenth of king John, and suffered much by a fire four years after. It had, till lately , a row of houses on each fide, and was a very noble bridge for the time in which it was built; but the houses have been pulled"
0079700500_000012,"The new Bristol guide: containing its antiquities, deduced from the best authorities: historic annals from William the Conqueror 1066 to 1799; Progress, Present State, Navigation, Trade, Buildings, Public Edifices, Churches, Chapels, Meeting-Houses, Schools, Hospitals, Charities, and Other Particulars, Informing and Useful to Travellers, and those who visit or reside in this ancient and extensive City. Also, Distinct and Improved accounts of the hotwells and Clifton Descriptions of Cities, Towns, Seats, Antiquities and Curiosities In the Vicinity, and Counties of Glocester and Somerset. Brief Biography Of some Eminent Natives of Bristol: memoirs of Chatterton the juvenile Poet, &c. To Which are Added, List of Bankers; Regulation of General and Penny Posts; of Hackney Coaches; and Directions for passing the Severn, at Aust and the New Passages.","Heath, George, Rev",77,0,0,1,0,1,0,1,9,2,0,2,0,2,1,1,0,1,0,1,0,3,0,2,2,3,5,2,2,0,0,3,1,2,1,1,7,2,0,3,3,0,0,1,2,3,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1799,1,1,"Bristol : printed by and for R. Edwards, Broad-Street: and sold by Barry, and Emery and Adams, High-Street ; Fenley, Broadmead ; Reed, and James, Wine-Street; Matthews, Quay; Smart, Broad-Street; King, Quay-Street; Bryan, Corn-Street; and by all other Booksellers. 1799.",Bristol,198,unknown,,,FALSE,"meeting houte. 1 708 Queen's Square was laid out,. and the buildings were begun. A scarcity and exportion of corn, occasioned an infurreetion of the colliers, which was suppressed by reducing the price of wheat to 6s. 8s. a bushel. 1709 The present Customhouse was built, by the, Corporation; the"
0114800100_000154,"A compendious geographical dictionary, containing, a concise description of the most remarkable places, ancient and modern, in Europe, Asia, Africa, & America, interspersed with historical anecdotes. To which are added, a chronological table from the creation to the present time; a monthly list of all the fixed fairs in England and Wales; and, a table of the Coins of the Various Nations, and their values in English money. To the whole is prefixed, an introduction, exhibiting a view of the newtonian system of the Planets, &c.",,87,0,0,3,0,1,0,3,10,1,2,3,2,2,8,2,0,3,0,0,0,4,0,3,2,3,3,0,1,2,0,2,0,1,7,3,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,1795,1,1,"London : printed for W. Peacock, No. 18, Salisbury-Court, 1795.",London,418,unknown,,,FALSE,"7ooo people. Besides the 2 giants, it is embellified with the pitures of Edward the Confeffror, king William, queen Mary, queen Anne, George I. queen Caroline, George II his present Majesty, and queen Charlotte, several judges, and the monuments of lord Chatham and W. Beckford. Guildhall has been several times"
1124400102_000605,"A new and complete system of geography. Containing a full, accurate, authentic and interesting account and description of Europe, Asia, Africa, and America; ... The whole embellished ... with copper plates. By Charles Theodore Middleton, Esq. assisted by several gentleme ...","Middleton, Charles Theodore",73,0,0,4,0,0,0,4,2,1,5,1,1,1,5,1,0,3,0,3,0,2,1,0,4,4,4,1,0,1,1,1,0,0,5,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,4,1,2,0,0,0,1778,2,2,"London : printed for J. Cooke, 1778-1779.",London,604,unknown,,,FALSE,"the city . The Tower of London is very ancient, but the founder is uncertain: however, it is said William the Conqueror built that part of it called the White Tower. It is surrounded by' a wall, and partly by a deep ditch, which encloses several streets, besides the Tower,"
1237400200_000707,"A new and universal history, description and survey of the Cities of London and Westminster, the Borough of Southwark, And their adjacent parts. Including not only all the Parishes within the Bills of Mortality, but the Towns, Villages, Palaces, Seats, and Country, to the extent of Twenty Miles round, comprizing a circle of near one hundred and fifty miles. Containing An accurate and circumstantial Account of the Origin of London; with a View of its progressive improvement, from its first foundation to its present flourishing state, and amazing extent. A Description of the Antiquities, from the most remote periods of authentic intelligence. A particular Account of its constitution and government, ecclesiastical, civil and military; its charters, laws, customs, privileges, immunities, commerce, trade, manufactures, its astonishing power and influence, foreign and domestic. A Survey and Description of the several wards, parishes, precincts, liberties, squares, streets, avenues, churches, chapels, palaces, parliament-house, courts of law, inns of court, noblemen's houses, halls, hospitals, colleges, alms-houses, schools, museums, gates, and other remarkable buildings, public and private. History of the several incorporated companies of merchants and traders; their origin, institution, constitution, peculiar laws, rights, privileges, and coats of arms. An Account of the several charitable foundations, and benevolent institutions in the Metropolis and its environs; which, to the immortal credit of the humane inhabitants, are much greater in number, more liberally supported, and decently conducted, than in any other place in the universe. A variety of instructive and entertaining anecdotes relative to the transactions of such persons who have more particularly distinguished themselves in a political, magisterial, military, marine, commercial, ecclesiastical, or literary capacity. A comprehensive view of the progress of the learned and ingenious, the gradual improvement of literature, the ancient and present state of the arts, sciences, and belles letters, the encouragement given to painting, music, history, oratory, and the fine arts in general; survey of the public amusements, and most remarkable places of entertainment, with critical remarks on their beauties, blemishes and tendencies. The ancient and present state and curiosities of St. Paul's Cathedral, the Tower of London, Westminster Abbey, the Monument, British Museum, Royal Exchange, Account of the Bank, Adelphi Buildings, Bridges, &c. Curious calculations respecting the number of inhabitants; comparisons between this metropolis and the principal cities in the universe; inferences concerning births and burials. An account of the mineral waters, springs, vegetables, fossils, &c. found in London and its vicinity. A description of the most remarkable towns, villages, palaces, noblemen and gentlemen's seats, and other buildings public and private, and the country in general, &c. which surround and ornament this opulent and superb metropolis for the space of twenty miles. Comprizing, in the most accurate and comprehensive Manner, A full and impartial account of all that relates to this important Metropolis, and the surrounding country, which can improve the understanding, excite the attention, gratify the curiosity, or captivate the imagination. By Walter Harrison, Esq. Enriched with upwards of one hundred elegant copper-plate engravings, exhibiting architectral, perspective antique, and rural views of churches, chapels, palaces, gates, antiquities, ruins, hospitals, bridges, and other buildings, public and private; delightful landscapes, beautiful prospects, and captivating situations; besides plans, maps, surveys, &c.","Harrison, Walter, Esq",117,5,1,0,0,0,0,0,5,1,2,9,0,0,24,1,2,3,0,1,0,1,0,2,8,3,3,0,1,1,0,0,0,0,9,1,4,0,0,2,4,6,2,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,5,0,1776,1,1,"London : printed for J. Cooke, at Shakespeare's Head, in Pater-Noster-Row, MDCCLXXVI [1776].",London,817,unknown,,,FALSE,"entertainment of the princess of Wales, and her son prince Richard, 74 are muilered on Blackheath by Richard II z02. Receive privileges fresh Henry IV 104 oppose the rebels under Jaik Cade, X z. riot among on account of being restrained in their field sports, 176 dillurbance among occasioned by"
0141000800_000010,"The new history, survey and description of the city and suburbs of Bristol, or complete guide, And informing and useful Companion for the Residents and Visitants of this ancient, extensive and increasing City, The Hotwells and Clifton. Being the most authentic, particular, and comprehensive Account of Bristol hitherto published. To which are added Descriptions of Towns, Seats and Curiosities in the Vicinity, and of the Cities of Bath and Wells; brief Biography of eminent Natives of Bristol; memoirs of Chatterton the Poet; And a large, elegant Copper-Plate Plan of the City, Hotwells and Clifton.","Heath, George, Rev",76,0,0,1,0,1,0,1,9,2,0,2,0,2,1,0,0,1,0,1,0,2,0,2,2,4,3,2,2,0,0,3,1,3,2,1,6,2,0,3,3,0,0,0,2,3,0,0,1,0,0,1,0,0,0,1,0,2,3,1,0,1794,1,1,"Bristol : printed, published and sold by W. Matthews, at No. 10, Broad-Mead near Union-Street, and sold by the booksellers of Bristol, Hotwells and Bath, 1794.",Bristol,116,unknown,,,FALSE,"the low fields and country about Brifol, down to Kingroad; and filled many Cellars and Warehouses in Briflo!. Boats were sent from hence to save the lives of people who had taken refuge on Trees and Bullies. 1704 The number of alehouses here were limited to 220o. stage plays were"
0906001000_000199,"The treble almanack for the year MDCCXCIV. Containing I. Watson's Irish almanack, II. Exshaw's English court registry, III. Wilson's Dublin directory, with a new correct plan of the city. Forming the most complete lists published of the present civil, military, and naval establishments of Great Britain and Ireland. Printed by authority.","Exshaw, John",97,0,0,4,0,0,0,0,3,0,1,1,0,0,2,0,2,1,0,0,1,4,1,2,4,4,3,12,1,5,4,0,1,0,0,2,1,8,0,2,0,1,2,0,11,1,1,0,0,0,1,1,5,1,0,3,1,0,0,0,0,1794,1,1,"Dublin : sold by W. Wilson, No. 6. Dame Street, [1794].",Dublin,491,male,1750,1827,FALSE,"Parliament , held at Dublin, unani mbufly addressed the King , for a free trade which was granted . 178o Sirs Iriil' State Lottery drawn at the mnfic hall , Fifl: amble ftreet . March, simplon'e hofpital, in gt. britain iltrect, for pe; decayed, blindandgouty men, incorporated. Opened 1781 Rebuilt"
0637700100_000006,"Views of the most remarkable public buildings, monuments and other edifices in the city of Dublin, delineated by Robert Pool and John Cash, with historical descriptions of each building. ...","Cash, John",73,0,0,2,2,0,0,2,8,1,0,3,1,0,5,0,1,2,1,0,0,1,0,1,1,6,2,2,1,0,3,1,0,3,0,1,1,1,1,2,1,0,0,1,3,0,0,2,0,0,3,0,2,0,0,2,0,1,1,0,2,1780,1,1,"Dublin : printed for J. Williams, 1780.",Dublin,164,unknown,,,FALSE,"purposes of commerce, is chiefly inhabited by merchants and mechanics. THERE THERE is an elegant and spacious square laid out, and partly ereted, situated near St. Stephen's green, called merrion fquare, where the houses are lofty and uniform: This, and sackville ftreet , on the other fide of the river,"
1672400100_000063,"Wilson's Dublin directory, for the year 1794. Including the additions and corrections of the Bank of Ireland: containing, an alphabetical list of the names, occupations, and places of abode (numbered) of the merchants and traders of the city of Dublin; distinguishing such as are free of the six and ten per cent. To which are added, The governor and directors of the Bank of Ireland. Trustees of the Royal Exchange. Council of the chamb. of Commerce. Illustrious order of St. Patrick. Baronets of Ireland and Nova Scotia. Judges, barristers, and attornies. Solicitors, advocates, and proctors. Physicians and surgeons. Dean and chapter of Christ-Church. Dean and chapter of St. Patrick's. Ministers, curates, and Church-Wardens of the several parishes. Aldermen and sheriffs. Sheriffs-peers and Common Council. Masters, wardens, and clerks of the twenty-five guilds. Grand Canal Company. Royal Canal Company. Insurance companies against fire. Police for county and city of Dublin. Historical annals of the city of Dublin To these are prefixed, an alphabetical list of all the streets, lanes, alleys, &c. in the city and suburbs of Dublin; with their situation in respect to each other; and references for finding them in the annexed new plan.","Wilson, William",98,0,0,3,0,0,0,0,4,0,1,1,0,0,2,0,2,1,0,0,1,3,2,2,4,8,3,12,0,2,3,0,1,0,0,2,1,7,0,1,1,2,2,0,12,0,1,0,0,0,1,1,6,1,0,3,2,0,0,0,0,1794,1,1,"Dublin : Printed by William Wilson, (No. 6) Dame-Street, [1794].",Dublin,166,male,1769,1801,FALSE,"ball at the mufic hall , fifhatnble flareet. 1777 17, 151 houses in the city and Ciburbs of Dublin. allowing 8 souls to an house , the number of inhabitants then, zz7, so. 1778 Charitable m.fical Society incorporated. o&ober 1i, the first regiment, or Dublin volunteers, formed under the .command"
