PassageID,Title,Author,Total termFreq,termFreq(art),termFreq(belong),termFreq(bishop),termFreq(borough),termFreq(cafe),termFreq(church),termFreq(citi),termFreq(countri),termFreq(court),termFreq(crown),termFreq(declar),termFreq(dioces),termFreq(elect),termFreq(famili),termFreq(follow),termFreq(gener),termFreq(god),termFreq(ground),termFreq(half),termFreq(hall),termFreq(held),termFreq(hill),termFreq(hous),termFreq(inhabit),termFreq(judg),termFreq(king),termFreq(kingdom),termFreq(knight),termFreq(land),termFreq(larg),termFreq(law),termFreq(littl),termFreq(london),termFreq(manor),termFreq(mayor),termFreq(mean),termFreq(member),termFreq(near),termFreq(offic),termFreq(old),termFreq(order),termFreq(parliament),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(prison),termFreq(receiv),termFreq(reign),termFreq(return),termFreq(river),termFreq(sever),termFreq(small),termFreq(town),termFreq(true),termFreq(villag),termFreq(vote),termFreq(war),termFreq(wind),termFreq(yard),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0988900101_000051,"The agreeable historian, or the compleat English traveller: giving a geographical description of every county in that part of Great-Britain, call'd England. Together with the antiquities of the same. With a Full and particular Account of all the Cities, Market Towns, Villages, Royal Palaces, and Gentlemen's Seats; of the Sea Ports and Fortifications, the Course of the Rivers and the Inland Navigation; of all the Fairs, and Market Days; and of the Trade, Commerce, and Product; with a map of every country [sic] prefix'd to each, from the best and latest Observations, after the designs of Herman Moll, and others. ... . Containing the following Counties, Bedfordshire, Berkshire, Buckinghamshire, Cambridgeshire, Cheshire, Cornwall, Cumberland, and the Isle of Man, Derbyshire, Devonshire, Dorsetshire, Durham, and Essex. Compiled from Camden, Leland, Dugdale, Ogilby, Morgan, and other authors, by Samuel Simpson, gent.","Simpson, Samuel",92,0,3,0,6,0,5,0,0,2,2,0,0,3,1,0,1,0,0,3,0,0,1,4,2,0,6,0,1,1,2,1,0,3,5,5,0,5,1,2,0,2,6,0,1,0,0,0,0,0,4,1,1,1,8,0,1,1,0,1,0,1746,1,2,"London : printed by R. Walker, in Fleet Lane; and sold by the booksellers in town and country, 1746.",London,571,male,,,FALSE,"or, as it is vulgarly called, Lamnflon, is a Market, Mayor , and Borough Town ; the usual Place for public Business, for the Affiwes and County Gaol are usually kept, and the Elecions for Knights of the Shire made here. This Town is 175 Miles computed from London ,"
0084500200_000642,"The modern universal British traveller; or, a new, complete, and accurate tour through England, Wales, Scotland, and the neighbouring islands. Comprising all that is worthy of observation in Great Britain. ... The articles respecting England, by Charles Burlington, ... t Wales, by David Llewellyn Rees, ... of Scotland, by Alexander Murray, ...","Murray, Alexander, M.A.",83,0,4,3,4,1,6,0,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0,3,3,0,1,0,0,2,1,0,1,2,5,3,0,3,2,1,0,0,5,1,0,0,0,0,2,0,1,3,2,0,12,0,2,1,0,0,1,1779,1,1,"London : printed for J. Cooke, 1779.",London,965,unknown,,,FALSE,"Milbrook is another fiall village called ST. ANTHONY's, remarkable for its neatness, and having a filh pond which lets in the sea, from whence it is furnilied with.filh. The Carews, lords of this. place, are a family of great note, from whom defeended Richard Carew, esq. who wrote a survey"
0085100301_000017,"England displayed. Being a new, complete, and accurate survey and description of the Kingdom of England, and principality of Wales. Containing, I. A full and ample Account of whatever is remarkable in every County, City, Town, Village, Hamlet, and Parish in England and Wales. II. Description of the various Manufactures and other useful Arts established in different Parts of this Kingdom. III. Accounts of the Nature and Produce of the various Kinds of Land, with a complete History of the modern Improvements in Agriculture, Gardening, &c. IV. An historical Account of all the Forts, Castles, Roman Military Ways, Docks, Harbours, Creeks, Bays, &c. with the Particulars of their ancient and present State. V. A full Description of all the natural and artificial Curiosities of this Kingdom; such as Rocks, Mines, Caverns, Lakes, Grottos, Fossils, Minerals, Abbeys, Cathedrals, Churches, Palaces, and the Seats of the Nobility and Gentry. VI. A faithful Narrative of all Improvements made in the Roads, Rivers, and Canals of this Kingdom, for the Convenience of Travelling, and the Benefit of Inland Navigation. The whole forming such an accurate and comprehensive Account of this Country, as has never yet been published, and will be equally entertaining and instructive. By a society of gentlemen: Each of whom has undertaken that Part for which his Study and Inclination has more immediately qualified him. The particulars respecting England, revised, corrected, and improved, by P. Russell, Esq; and those relating to Wales, by Mr. Owen Price.",Society of Gentlemen,62,0,2,1,1,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,2,0,3,1,0,2,2,1,0,1,2,4,1,2,2,0,1,2,3,3,0,1,0,0,1,2,1,2,0,2,4,0,0,1,1,0,0,1769,1,2,"London : printed for the authors, by Adlard and Browne, Fleet-Street: and sold by S. Bladon, No. 28, T. Evans, No. 54, and J. Coote, No. 16, in Pater-Noster Row; W. Domville, and F. Blythe, at the Royal Exchange, MDCCLXIX. [1769].",London,469,unknown,,,FALSE,"has succeeded even beyond ex pecttion, and employs, in its different branches, above a thousand people . The goods they make for sale, and which, by repeated trials, they find they can send to so reign markets as good in quality, and on equal terms with the manufaturers in other"
0288800401_000027,"An entire and complete history, political and personal, of the boroughs of Great Britain; together with the Cinque Ports. The second edition, corrected and improved. In two volumes. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",92,0,2,1,18,0,2,1,0,2,0,0,0,6,2,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,4,7,1,5,1,5,0,0,5,0,1,0,2,1,1,2,5,1,0,0,7,1,0,1,0,0,0,1794,1,2,"London : printed for B. Crosby, No. 4, Stationers Court, Ludgate Street, M.DCC.XCIV. [1794].",London,485,male,1755,1822,FALSE,"corporation fejleed from among themselves; but, as they have no voice in clecting them, and as a corporator may become an inhabitant for the purpofeofbeing invefied with this franchise, and cease to be one the moment he is admitted into the corporation, it can only be considered as a form"
0141000108_000052,"A description of England and Wales. Containing a particular account of each county ... Embellished with two hundred and forty copper plates, of palaces, castles, cathedrals; ...",,79,0,1,3,4,0,0,0,0,4,0,0,0,2,0,1,1,0,0,0,2,7,0,2,2,0,4,1,0,2,2,0,1,4,1,3,0,2,2,2,0,0,4,0,0,1,0,2,0,1,0,4,0,0,10,0,2,1,1,0,0,1769,8,10,"London : printed for Newbery and Carnan, 1769-70.",London,308,unknown,,,FALSE,"MINHEAD, an ancient borough , which has a harbour in Briitol channel, much frequented by passengers to and from Ireland, and is at the diitance of one hundred and fixty feven miles west of London . It was formerly governed by a portrieve, but at preflnt is under two conitables,"
0288800402_000027,"An entire and complete history, political and personal, of the boroughs of Great Britain; together with the Cinque Ports. The second edition, corrected and improved. In two volumes. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",85,0,1,1,11,0,3,0,0,0,0,0,0,6,0,0,1,0,1,1,0,1,0,5,2,0,2,1,1,0,0,1,0,1,1,3,0,5,1,7,0,2,4,0,1,1,2,0,0,3,6,0,2,1,4,0,0,3,0,0,0,1794,2,2,"London : printed for B. Crosby, No. 4, Stationers Court, Ludgate Street, M.DCC.XCIV. [1794].",London,488,male,1755,1822,FALSE,"anciently a magnificent Rtruaure, belonging to the duke of Suffolk, which coming to Henry VIII he erected a mint in it for the coining of money; it being afterwards pulled down and converted verted into fireets, they still retained the name; and it being a privileged place, it became a"
0641100104_000112,"Britannica curiosa: or, a description of the most remarkable curiosities, natural and artificial, of the island of Great Britain in the several counties, cities, Towns, Villages, &c. the Principal seats of the Nobility and Gentry, Public Buildings, Places of Resort and Entertainment, &c. &c. In six volumes. The second edition. Illustrated with fifty-nine copper plates. ...",,88,0,1,0,2,0,2,3,1,0,0,0,0,0,1,0,0,0,1,4,0,1,2,3,1,0,6,1,0,1,1,0,3,7,1,1,0,3,6,0,3,1,3,1,0,0,0,0,0,1,2,7,2,4,9,0,2,0,0,0,1,1777,4,6,"London : printed for Fielding and Walker, No. 20, Paternoster-Row, MDCCLXXVII. [1777].",London,396,unknown,,,FALSE,"scattered about in great disorder and confusion. Returning to York, another road branches off to !lei: csji, a tolerable well built town , two hundred .and twenty-one miles from London . The houses are chiefly of stone, and the roofs covered with fate; there are many inall towns in this"
0495800201_000046,"The english traveller: giving a description of those parts of Great-Britain called England and Wales. Containing I. A particular Survey, both Geographical and Historical of every County in the same. II. An Ample and Accurate Account of all the Cities, Boroughs, Market-Towns, Villages, Rivers, Royal-Palaces, Noblemen's and Gentlemen's Seats. III. The Fairs, Trade, Commerce, and Product of each County; of the Rarities both natural and artificial; of the eminent Persons born, or who have resided in them, and of the extraordinary Events that have happened in the same. IV. A map of every County, from the best and latest Observations; wherein are mark'd the Number of measured Miles, and the usual Roads from one Post-Town to another, after the Designs of Herman Moll. V. Of the Isles of Wight, Man, Jersey, Guernsey, and other British Isles, with the Maps of the same. ...","Read, Thomas, Printer",82,0,4,0,7,0,2,0,0,1,2,0,0,3,0,0,0,0,0,3,0,1,0,4,2,0,9,0,0,2,2,0,0,0,6,4,0,4,1,1,1,2,4,0,1,0,0,0,0,1,4,1,1,1,5,0,1,1,0,1,0,1746,1,3,"London : printed for T. Read, in Dogwell-Court, White-Fryars, Fleet-Street, MDCCXLVI. [1746].",London,580,unknown,,,FALSE,"it does not appear from any ancient Records, it this Place was ever incorporated, or so much as led a Borough ; yet being Part of the King's De efnes, it speciously challenged a Right to return Mem rs to Parliament the 6th of edwlard VI and sending eir Burgesses"
0140901404_000050,"A description of England and Wales. Containing a particular account of each county ... Embellished with two hundred and forty copper plates, of palaces, castles, cathedrals; ...",,66,0,0,0,1,0,2,2,3,1,0,0,1,1,1,2,0,0,2,0,1,1,1,1,2,0,0,1,1,1,2,0,1,2,1,2,0,2,6,0,0,0,2,0,0,0,0,0,2,1,0,4,3,1,7,1,4,0,0,0,0,1769,4,10,"London : printed for Newbery and Carnan, 1769-70.",London,317,unknown,,,FALSE,"cattle here have nothing remarkable, but the sheep and hogs excel all others in England; for both the wool and the flesh of the heep are remarkably fine; and the hogs being never put into flyes, but supplied with great plenty of acorns, which they find in the woods, the"
0189401201_000081,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",88,0,1,1,8,1,1,0,0,1,2,0,0,5,2,1,1,0,0,0,0,0,0,5,3,0,4,1,0,0,0,0,0,1,1,5,2,5,1,1,0,2,6,0,2,0,3,1,0,2,9,0,1,0,7,0,1,1,0,0,0,1792,1,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,556,male,1755,1822,FALSE,"refused his re elecrion. GRAMPOUND. POLITICAL character. although it is a scot and lot borough , it is so very insignificant as scarcely to deserve the name of a village . The borough is entirely the property of Lord Eliot; and its representation is, in confcque!cc, at his lordship's disposal."
