PassageID,Title,Author,Total termFreq,termFreq(author),termFreq(bridg),termFreq(carriag),termFreq(cart),termFreq(cattl),termFreq(chair),termFreq(chais),termFreq(charg),termFreq(chariot),termFreq(coach),termFreq(collector),termFreq(counti),termFreq(cross),termFreq(duti),termFreq(forfeit),termFreq(gate),termFreq(good),termFreq(highwai),termFreq(hors),termFreq(hous),termFreq(market),termFreq(monei),termFreq(pai),termFreq(parish),termFreq(pass),termFreq(repair),termFreq(road),termFreq(surveyor),termFreq(ticket),termFreq(toll),termFreq(town),termFreq(truste),termFreq(turnpik),termFreq(wagon),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0349000106_000283,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,121,2,0,3,3,2,2,2,2,1,3,4,5,1,11,2,4,1,3,5,0,0,1,3,2,4,5,5,0,9,17,5,3,8,3,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"party or parties, whose goods or chattles shall be so distrained (the charges of filch distress and sale being first deducted) shall go to and be applied for and towards amending the said highways intended by this ad to be repaired , in like mlanner as the toll intended by"
0349200111_000397,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,130,4,0,5,6,2,2,2,1,1,2,4,3,0,13,1,4,0,3,7,0,0,1,4,3,4,3,8,0,7,18,2,4,10,6,1786,11,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,804,unknown,,,FALSE,"and Clon' , mell newspapers of the intention to set, and of the time appointed meeting in for such setting, one. month at the least previous to such meet""""' """"' and that such meeting for setting the said tolls shall he had in the town of Clonmell. XIX And be"
0349000106_000351,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,132,4,1,6,7,2,2,2,1,2,3,0,7,1,13,1,4,0,4,7,0,0,1,3,1,5,4,7,0,7,15,2,3,11,6,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"deducted, stall go to and be applied for and towards the mending the said highways in intended by this aa to be repaired , in like manner as the toll intended by this A. D. as is to go and be applied. 1739 Chap. 16 XVII Provided always, That in"
0596900105_000257,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,132,2,1,7,7,3,2,2,1,1,3,3,4,0,13,1,4,0,2,7,0,0,1,4,4,7,4,8,0,8,15,0,2,9,7,1765,5,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,666,unknown,,,FALSE,"said highways atithefirft or roads between the said city of Dublin and the said townnos gate not liable kilcullen bridge , no person or persons having paid the toll or to pay at another the same duty at the first gate or turnpike , through which such pcrbon day: or"
0349000106_000195,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,128,4,0,6,7,3,2,2,1,1,2,4,4,1,13,1,3,0,2,7,0,0,1,3,1,7,3,6,0,7,15,2,3,10,7,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"gate or turnpike in, cross , or on the fide of the said high on gateo way or road between the said town of Mullingar in the county of liable at anot their, Westmeath and the said town of Longford, no person or persons having paid the toll or duty"
0349000106_000075,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,104,1,2,3,3,1,1,1,1,1,1,2,2,1,9,4,5,2,6,1,0,0,0,6,5,1,7,4,6,8,11,1,3,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"an account in writing under his or their hands of the aaapipointed, name or names of all and every person or persons in the said refpetive parish or parishes , who are by the laws in force chargeable towards the repairing of the highways of the said refpcdive parishes ,"
0596900106_000342,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,112,1,0,3,3,1,1,1,1,1,1,4,3,1,9,5,5,2,7,1,0,0,0,6,4,2,6,5,8,8,12,2,4,4,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"towards the aeofr peroin repairing the highways of the rcrpedtive parishes , and what he or largieable they is or are chargeable with respectively for and towards wlat, the same, to the surveyor or surveyors appointed or to be appointed by virtue of this act; and that the said surveyor"
0349000105_000315,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,127,3,0,5,7,2,2,1,1,1,3,2,3,0,15,1,3,0,3,8,0,0,2,3,2,6,3,6,0,7,16,2,3,10,7,1786,5,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,668,unknown,,,FALSE,"alnd lend the same, to secure the re payment thereof with lawful interest, or less, if the same can be so had; which said money borrowed stall be applied and disposed of, as the said toll or duty is by this. ad to be applied and disposed of, ana to"
0596900106_000183,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,116,2,0,2,3,1,2,2,2,1,3,2,5,1,12,2,5,1,3,3,0,0,1,3,3,1,4,8,0,8,18,2,5,8,3,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"or more of them, upon the information Oflevied by one or more credible witness or witnesses upon oath, which oath fle by war the said trustees or any five or more of them, are hereby im rantof truf. powered and required to administer; and the said forfeitures nsir and penalties"
0349000106_000213,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,111,2,0,3,3,1,2,2,1,2,3,3,7,1,9,4,4,2,5,3,0,0,0,7,1,2,3,4,0,8,13,3,5,6,2,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"said highway , by this at intended to be re ss. each of paired, after such summons or public notice shall be given as tle 2 days. aforesaid, he or they refpetively shall forfeit and pay the .fum of five Shillings for each of the said two days work such"
