PassageID,Title,Author,Total termFreq,termFreq(afternoon),termFreq(air),termFreq(anchor),termFreq(bear),termFreq(blow),termFreq(breez),termFreq(calm),termFreq(caus),termFreq(clear),termFreq(clock),termFreq(cloud),termFreq(cloudi),termFreq(cold),termFreq(continu),termFreq(cours),termFreq(dark),termFreq(dry),termFreq(east),termFreq(fail),termFreq(fall),termFreq(fine),termFreq(fleet),termFreq(fun),termFreq(gale),termFreq(gener),termFreq(heat),termFreq(hot),termFreq(inch),termFreq(land),termFreq(latitud),termFreq(leagu),termFreq(light),termFreq(littl),termFreq(mean),termFreq(moder),termFreq(month),termFreq(morn),termFreq(mountain),termFreq(night),termFreq(noon),termFreq(north),termFreq(observ),termFreq(rain),termFreq(reason),termFreq(rock),termFreq(run),termFreq(sail),termFreq(sea),termFreq(season),termFreq(set),termFreq(small),termFreq(snow),termFreq(south),termFreq(trade),termFreq(warm),termFreq(water),termFreq(weather),termFreq(weft),termFreq(wind),termFreq(winter),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0204000304_000096,"An historical account of all the voyages round the world, performed by English navigators; including those lately undertaken by order of His present Majesty. The whole faithfully extracted from the journals of the voyagers. ... In four volumes. ...",David Henry,106,0,2,1,0,0,3,2,0,3,0,0,2,4,1,3,1,0,5,0,0,0,3,1,1,2,1,1,0,5,10,3,3,1,0,1,0,5,2,0,2,8,2,3,0,1,0,1,4,2,0,0,3,2,0,0,2,9,0,1,0,1773,4,4,"London : printed for F. Newbery, 1773-74.",London,489,male,1710,1792,FALSE,"northwest, stand ing southward, but wanting no information that she could give, they pursued their voyage without speaking to her. Wednesday 23, the rain continued ; the weather hazy; heard three guns fire at a distance, but saw no ship or other object. The whales are here in no great"
0463300100_000009,"The journal of a voyage undertaken by order of His present Majesty, for making discoveries towards the North Pole, by the Hon. Commodore Phipps, and Captain Lutwidge, in his Majesty's sloops Racehorse and Carcase. To which is prefixed, an account of the several voyages undertaken for the discovery of a north-east passage to China and Japan.",,104,0,2,1,0,0,3,2,0,3,0,0,2,4,1,2,1,0,3,0,0,0,3,1,1,2,1,0,0,5,10,3,3,1,0,1,0,5,2,0,2,9,2,3,0,1,0,2,3,2,0,0,4,2,0,0,2,9,0,1,0,1774,1,1,"London : printed for F. Newbery, at the Corner of St. Paul's Church Yard, MDCCLXXIV. [1774].",London,124,unknown,,,FALSE,"the northwest, standing southward but wanting no information that ihe could give, they pursued their voyage without speaking to her. Wednesday 23, the rain continued ; the weather hazy; heard three guns fire at a distance, but saw no hip or other object.. The whales are here in no great"
0718900700_000049,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. Dedicated, by Permission, to Sir Joseph Banks, Bart. By Captain George Dixon.","Beresford, William, Supercargo of the ""Queen Charlotte""",168,4,1,0,1,1,1,0,0,4,0,0,2,1,2,0,2,0,6,1,0,1,3,0,5,3,0,0,0,6,13,3,3,3,3,6,0,6,0,4,10,13,4,5,0,0,0,6,1,0,2,0,2,13,0,0,0,16,0,11,0,1789,1,1,"London : published by Geo. Goulding, Haydn's Head, No. 6, James Street, Covent Garden, 1789.",London,464,unknown,,,FALSE,"frequent showers of rain . In the afternoon , the wind grew light and variable. The night was squally, attended with thunder, lightning, and constant rain . In the morning of the i8th, we had a heavy gale of wind at South South East , with a heavy swell, and"
0779600101_000024,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,128,5,0,0,0,0,2,2,0,5,0,0,1,1,4,5,1,0,3,2,1,0,4,1,7,0,0,0,0,2,6,0,0,3,1,1,0,7,0,4,3,2,3,3,0,0,2,4,5,0,2,1,6,5,0,0,2,13,0,9,0,1779,1,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXIX. [1779].",London,468,male,1728,1779,FALSE,"to clofe reef our topped fails , and firike top gallant yards. But in the evening, the wind abated so as to admit us to carry whole topsails and top gallant yards aloft. Hazy weather , with snow and fleet , continued . Thursday 2z. In the afternoon of the"
1390600702_000083,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the resolution and adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the resolution. In which is included, Captain Furneaux's narrative of his proceedings in the adventure during the separation of the ships. In two volumes. Illustrated with maps and charts, and a variety of portraits of persons and views of places, drawn during the voyage by Mr. Hodges, and engraved by the most eminent masters.",James Cook,126,5,3,0,0,0,3,3,0,6,0,1,1,3,5,3,0,0,7,1,2,0,1,0,5,1,0,0,0,1,10,0,2,1,1,0,0,5,0,7,5,2,2,0,0,0,0,2,2,0,1,1,8,3,0,0,3,8,2,10,0,1777,2,2,"London : Printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXVII. [1777].",London,447,male,1728,1779,FALSE,"course to ea ftl, with a very f'rong gale at North , attended with an exceccdingly heavy fall of snow . The quantity which lodged in our sails was so great, that we were frequently obliged to throw the ship up in the wind to ilhake it out of them,"
0079300102_000052,"Travels through France and Italy. Containing observations on Character, Customs, Religion, Government, Police, Commerce, Arts, and Antiquities. With a particular description of the town, territory, and climate of Nice: to which is added, a register of the weather, kept during a residence of eighteen months in that city. By T. Smollett, M.D. The second edition. In two volumes. ...",Tobias Smollett,240,15,10,0,0,5,2,14,0,14,0,0,19,7,0,0,0,1,8,0,1,1,0,5,0,1,0,1,0,0,0,0,0,2,0,0,2,4,1,6,8,17,0,18,0,0,0,0,1,0,0,0,5,4,0,5,1,41,1,19,1,1766,2,2,"London : printed for R. Baldwin, in Pater-Noster-Row, MDCCLXVI. [1766].",London,299,male,1721,1771,TRUE,"hort mile from the north gate of the town. The Var falls into the sea about four miles to the westward; and is fordable at the village of St. Laurent, which stands on the French fide near the moith of the river. The space between the Var and Nice is"
1545500100_000017,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. ... By Captain George Dixon.","Dixon, George",110,4,0,1,2,0,4,1,0,1,0,0,2,1,0,2,0,1,2,0,0,2,1,0,4,1,0,0,0,10,8,5,1,1,0,4,0,5,0,2,4,1,2,2,0,2,0,2,1,1,0,1,1,12,0,0,3,9,0,4,0,1789,1,1,"London : printed for John Stockdale, and Geo. Goulding, 1789.",London,475,unknown,,,FALSE,"few hours the weather grew moderate . We have found the variation of the compass to be II deg. 16 mrain. Easterly. The i6th, being moderate and fine , we had a great quantity of spermaceti whales about the ship, latitude 41 deg. South . On the 21ft, we had"
1728900200_000045,"A voyage round the world; but more particularly to the North-West Coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, captains Portlock and Dixon. Embellished with twenty Copper-Plates. Dedicated, by permission, to His Majesty. By Captain Nathaniel Portlock.",Nathaniel Portlock,105,3,0,1,3,1,7,0,0,1,0,0,1,0,1,1,1,0,2,0,0,3,0,0,1,1,0,0,0,3,2,5,3,1,1,2,0,1,1,1,4,10,0,2,1,2,5,1,1,0,2,1,1,14,2,0,1,4,1,6,0,1789,1,1,"London : Printed for John Stockdale, opposite Burlington-House, Piccadilly; and George Goulding, James Street, Covent Garden, M,DCC,LXXXIX. [1789].",London,457,male,1748,1817,FALSE,seen fr; om the masthead; cand the next forenoon we run direatly Thurlday z. Ovecr the [pot: where Saint mi/ar~ia la Gorta thould be situ alted; so that there is great reason to fupypole no such place exiits. Irn the morning of the 9th the wind blew very fresh Thursday
0083000602_000058,"Travels through France and Italy. Containing observations on Character, Customs, Religion, Government, Police, Commerce, Arts, and Antiquities, With a particular description of the town, territory, and climate of Nice: to which is added, a register of the weather, kept during a residence of eighteen months in that city. By T. Smollett, M.D. In two volumes. ...",Tobias Smollett,193,12,9,0,0,4,1,9,0,12,0,0,14,6,0,0,0,1,9,0,1,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,2,2,1,5,5,15,0,14,0,2,0,0,0,0,0,1,5,2,0,5,2,28,3,15,1,1772,2,2,"Dublin : printed for J. Exshaw, H. Saunders, J. Potts, W. Sleater, E. Lynch D. Chamberlaine, J. Hoey, Jun. J. Williams, and C. Jenkin, M.DCC.LXXII. [1772].",Dublin,236,male,1721,1771,TRUE,"built of stone, and the tireets are narrow. It is laid to contain twelve thoulard inhabitants, in which cafe they must be much crowded, for the place is but small . There is a bridge of three arches over the Pag lion, which is the entrance from the fide of"
0088000100_000048,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. Dedicated, by permission, to Sir Joseph Banks, Bart. By Captain George Dixon.","Dixon, George",144,4,1,0,0,0,2,0,0,2,0,0,2,1,2,0,2,0,4,2,0,1,3,0,5,2,0,0,0,4,10,1,3,3,2,6,0,5,0,4,7,11,3,5,0,0,0,6,1,1,1,0,2,10,0,0,0,14,0,12,0,1789,1,1,"London : published by Geo. Goulding, Haydn's Head, No. 6, James Street, Covent Garden, 1789.",London,460,unknown,,,FALSE,"highly serviceable, it arch. may seem strange that Captain Portlock hold stand to the Northward at the moment when his every with appeared easy to be ac compli/hed: but it should be remembered, that the weatherpre vious to this time, had been very unsettled, and indeed we had ever found"
