PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(acr),termFreq(appear),termFreq(belong),termFreq(brought),termFreq(cafe),termFreq(charg),termFreq(church),termFreq(common),termFreq(counti),termFreq(court),termFreq(daughter),termFreq(debt),termFreq(deed),termFreq(devis),termFreq(enter),termFreq(estat),termFreq(execut),termFreq(executor),termFreq(father),termFreq(field),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(ground),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(held),termFreq(hold),termFreq(hous),termFreq(king),termFreq(laid),termFreq(land),termFreq(law),termFreq(life),termFreq(manor),termFreq(monei),termFreq(paid),termFreq(pass),termFreq(peopl),termFreq(person),termFreq(purchas),termFreq(rent),termFreq(sea),termFreq(sever),termFreq(statut),termFreq(taken),termFreq(tax),termFreq(tenant),termFreq(tenement),termFreq(term),termFreq(town),termFreq(valu),termFreq(water),termFreq(wife),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0572300400_000017,"A familiar, plain, and easy explanation of the law of wills and codicils; and of the law of executors and administrators. And also the Rules by which Estates, Freehold and Copyhold, and Personal Estates in general, Descend, and are to be distributed, In Case no Will is made. With Instructions to every Person to make his own Will; The Necessary Forms for that Purpose; and the Expence of obtaining Probates and Letters of Administration. The whole written as much as possible without the use of law words or terms. By T.E. Tomlins, Of the Inner Temple, Barrister at Law.",Sir Thomas Edlyne Tomlins,141,0,1,0,1,0,3,2,0,3,0,0,0,3,0,15,0,10,1,4,1,0,0,1,0,0,0,0,0,4,3,1,3,0,0,36,1,3,1,3,4,3,0,13,0,2,0,2,0,0,0,4,3,3,0,2,0,2,3,1787,1,1,"London : printed for R. Baldwin, in Pater-Noster-Row; and B.C. Collins, in Salisbury, MDCCLXXXVII. [1787].",London,155,male,1762,1841,FALSE,"together which he is to pay do not amount to a year's rent of the land ; for the devise shall be intended for his benefit: and if he was to have the land for his life only, he might die before he could 3 receive ( 43) receive the"
0284201300_000049,"The law of testaments and last wills. Containing all that is necessary to be known and practised by testators and their executors, administrators, &c. As also, what relates to the Distribution of the Estates of Intestates. In the following Particulars. The different Kinds of Testaments and Last Wills: By whom to be made: How to be executed: and, By what Means revocable. What Persons are, or are not, capable of making a Testament. How Lands pass by a Will; and for what Estates: With the Nature of Devises of all Kinds. The Nature of a Legacy: How it differs from a Donatio Mortis Causâ, or Gift by Reason of Death: When, and to whom, to be paid: When to be abated or refunded. What relates to Interest and Maintenance: Devises to Charitable Uses, &c. The Customs of London, &c. The Revocation of a Testament, Republication, &c. Who may be an Executor: His Power: How limited: His Duty: Refusal of the Executorship: Probat, &c. What Things the Executor shall have, and what the Heir. The Bona Paraphernalia; or Wife's Cloaths, Jewels, Ornaments, &c. What shall be Assets, &c. What Debts be first paid, &c. Who shall be an Executor de son tort, or of his own Wrong. How far liable to Creditors and Legatees, &c. To whom, and by whom, Administration shall be committed. The Power of an Administrator durante minori aetate, or during the Infancy of another Person. The Repeal of an Administration: Its Effects, &c. In what Manner an Intestate's Estate shall be distributed, &c. &c. Compiled by a gentleman of the law, for his own private Instruction, and now first published by his Permission.","Richardson, Robert",157,0,2,1,0,0,1,0,0,0,2,0,3,3,0,23,0,8,0,3,1,0,1,0,0,0,0,0,0,7,8,1,1,0,0,32,0,7,3,3,1,11,0,3,3,1,0,4,0,0,0,3,6,0,0,1,0,5,9,1744,1,1,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edw. Sayer, Esq;) for J. Osborn, at the Golden Ball in Pater-Noster Row, 1744.",London,534,male,,,FALSE,"not pass ; but otherwise it had been, if the Devise had been cnm terris pertinentibus, for then that which was used with it would have passed . Hern and Allen, cgo. Car. 57 Hutt. 85 z D. A. 526 p. II A. devised diverse Legacies in Money ; then"
0501001500_000065,"The law of testaments and last wills: What is necessary to be known by Testators, their Executors, Administrators, &c also what relates to the Distribution of Intestates Estates. What Persons are or are not capable of making a Testament; how Lands pass by Will, Nature of Devises and of Legacies to charitable Uses, &c. The Customs of London, &c. What Things the Executor, and what the Heir shall have of the Bona Paraphernalia, Cloaths, Ornaments, &c. Of assets, and what Debts to be paid first: To whom Administration shall be granted, their Power, &c. Who shall be an Executor of his own Wrong: How far liable to Creditors and Legatees, &c. Compiled by Robert Richardson, Gent. Author of the Attorney's Practice, Four Volumes.","Richardson, Robert",154,0,2,1,0,0,1,0,0,0,1,0,3,3,0,20,0,7,0,3,1,0,1,0,0,0,0,0,0,7,8,1,1,0,0,35,0,7,3,3,0,9,0,2,3,1,0,4,0,0,0,3,7,1,0,1,0,6,9,1769,1,1,"London : printed by His Majesty's law printers; for J. Worrall and Co. in Bell-Yard, J. and F. Rivington in St. Paul's Church-Yard, W. Johnston in Ludgate-Street, S. Bladon, G. Robinson and J. Roberts in Paternoster-Row, 1769.",London,473,male,,,FALSE,"which was used with it would have passed . Hern and. Allen, Cro. Car. 57 Hurt. 85 2 D. A. 526 p. 1i. A. deviled diverse legacies in money ; then he devised lands , and after that he devised as follows: All the rest and reftdue of my money"
0174800500_000016,"A familiar explanation of the law of wills and codicils; the law of executors and administrators; and the law of descent and distribution, in case no will is made: containing plain and practical instructions for the making, executing, and proving Wills; And For The General Conduct Of Executors And Administrators; (particularly under The Legacy Bill, Just Passed), With Proper Forms Of Wills, And all other requisite Information on the several Subjects. Intended for The Use Of persons desirous of making their own wills, And Families Unacquainted With Law. By T. E. Tomlins, Of The Inner Temple, Barrister at Law.",Sir Thomas Edlyne Tomlins,134,0,1,0,1,0,2,2,0,3,0,0,0,3,0,12,0,7,1,4,1,0,0,1,0,0,0,0,0,4,2,2,3,0,0,36,1,3,1,6,4,1,0,13,0,2,0,3,0,0,0,4,2,3,0,2,0,1,3,1796,1,1,"London : printed for R. Baldwin, In Paternoster-Row; and B. C. Collins, in Salisbury, MDCCXCVI. [1796].",London,169,male,1762,1841,FALSE,"Thomas, on condition that Thomas stall pay several sums of money in gross, (that is, all at once) and not saying out of the profits of the land . Thomas in this cafe shall have a fee fimple in the land , though all the sums of money together which"
0637400100_000015,"A familiar, plain, and easy explanation of the law of Wills and Codicils, and of the law of executors and administrators. And also the rules by which estates, Freehold and Copyhold, and Personal Estates in general, Descend, and are to be distributed, in case no will is made. With Instructions to every Person to make his own Will; The necessary Forms for that Purpose; and the Expence of obtaining Probates and Letters of Administration. The Whole written as much as possible without the Use of Law Words or Terms. By a Barrister, of the Inner Temple.",Sir Thomas Edlyne Tomlins,139,0,1,0,1,0,2,2,0,3,0,0,0,3,0,14,0,10,0,4,1,0,0,1,0,0,0,0,0,5,3,1,2,0,0,36,2,3,1,4,4,2,0,13,0,2,0,2,0,0,0,4,2,3,0,2,0,2,4,1785,1,1,"London : printed for R. Baldwin, in Pater-Noster-Row; and B.C. Collins, in Salisbury, MDCCLXXXV. [1785].",London,138,male,1762,1841,FALSE,"money together which he is to pay do not amount to a year's rent of the land ; for the devise filall be intended for his benefit: and if he was to have the land for his life only, he might die before he could receive the amount of the"
0638300103_000539,"A compleat body of conveyancing, in theory and practice. In two parts. ... Collected by Edward Wood, gent. deceased. The whole digested in a method intirely new, ... by John Salthouse, ...","Wood, Edward, conveyancer",113,0,0,0,2,0,1,0,2,5,5,7,0,1,3,1,0,1,0,0,0,1,0,2,0,0,4,0,0,0,3,0,0,2,0,18,8,1,3,1,4,2,0,5,0,8,1,2,1,2,1,4,6,3,0,0,1,0,2,1749,3,3,"[London] : In the Savoy: printed by Henry Lintot, for J. Worrall, 1749.",London,660,male,,,FALSE,"Co. Inst. 146 llsiff, in the Saxon Lag, is the same as Law ; whence comes Saxonlage, c. iallfll, where Mariners being in Danger of Shipwreck, in Order to save themselves and their Vefnel, cast Goods out of the Ship; and if the Ship be lost, there Goods arc called"
1250900400_000020,"A digest of the law respecting county elections. Containing the duty and authority of the high sheriff, from the receipt of the writ to the return thereof; and the mode of proceeding at County elections, whether determined by the View, the Poll, or the Scrutiny. Together with, the qualifications, and personal and other disqualifications, of the voters. By Samuel Heywood, Esquire, of the inner Temple.",Samuel Heywood,92,0,0,0,0,0,3,0,1,2,1,0,2,2,1,1,0,12,1,2,0,0,0,3,0,5,0,5,0,3,2,2,1,0,0,7,2,9,2,0,2,1,0,5,0,0,0,0,2,0,1,5,2,2,0,2,0,0,1,1791,1,1,"Dublin : printed for E. Lynch, P. Byrne, J. Moore, A. Grueber, R. White, H. Watts, and J. Milliken, M.DCC.XCI. [1791].",Dublin,317,male,1753,1828,FALSE,"her dower is o assigned. These forty days are called the widow's quarentine, and the lands to be held in dower muss be assigned by the heir of the husband, * [ * 56 ] or his guardian, to entitle the lord to demand his services of the heir for"
1066200106_000024,"The reports of Sir Edward Coke, Knt. in English, in thirteen parts complete; with references to all the ancient and modern books of the law. Exactly translated, and compared with the First and Last Edition in French, and printed Page for Page with the same. To which are now added, the respective pleadings, in English. The whole newly revised, and carefully corrected and translated, with many additional notes and references, By George Wilson, Serjeant at Law.",Edward Coke,91,2,0,0,0,0,9,0,0,0,0,1,1,0,3,7,3,3,2,4,0,0,0,0,0,1,0,0,0,7,3,0,0,3,0,8,0,1,5,1,1,2,0,0,4,1,0,1,1,0,0,1,7,2,1,3,0,3,0,1777,6,7,"London : printed for J. Rivington and Sons, St. Paul's Church-Yard; W. Owen, Fleet-Street; T. Longman and G. Robinson, Pater-Noster Row; G. Kearsly, Fleet-Street; W. Flexney and W. Cater, Holborn; E. Brooke, Bell-Yard, Temple-Bar; and T. Whieldon and Co. Fleet-Street, 1777.",London,585,male,1552,1634,FALSE,"to the use of the right heirs of the said Sir Henry: and afterwards the said Henry married the said Barbara. And the jury further found, that one Edward Sharp was seifed in fee of the tenements and tithes specified in the declaration, in which, c. and held them of"
0470000500_000043,"The law's disposal of a person's estate who dies without will or testament: shewing, in a clear, plain, easy, and familiar manner, how a man's family or relations will be entitled to his real and personal estate, by the Laws of England, and the Customs of the City of London and Province of York. To Which IS Added The Disposal of a Person's Estate By Will and Testament; Containing An Explanation of the Mortmain Act, with Instructions and necessary Forms for every Person to make, alter, and republish his own Will: Likewise Directions for Executors how to act after the Testator's Death, with respect to proving his Will, taking upon them the Executorship, getting in the Effects, and paying Debts and Legacies. By Peter Lovelass, of the Inner Temple, Gent.","Lovelass, Peter",112,1,0,0,0,2,2,1,1,0,0,1,0,7,2,3,0,5,2,4,0,0,0,0,0,0,0,5,0,8,1,2,0,1,0,12,10,3,3,1,2,0,0,5,0,1,0,0,0,3,0,5,5,1,0,2,0,11,0,1788,1,1,"London : printed for the author; and sold by P. Uriel, Inner Temple Lane; T. Whieldon, Fleet Street; J. Buckland, and J. Bew, Paternoster Row; and R. Spence, Ousgate, York, MDCCLXXXVIII. [1788].",London,285,male,1786,1812,FALSE,"14, it is enaeed, that all wills and testaments, limitations, dispositions, or appointments, of or concerning any manors , messuages, lands , tenements , or hereditaments; or of any rent , profit, term , or charge , out of the same, whereof any person at the time of his decease"
0406700303_000006,"Precedents in conveyancing, settled and approved by Gilbert Horsman, Late of Lincoln's Inn, Esq; and other eminent counsel. In three volumes, with Proper Tables. ...","Horseman, Gilbert",88,0,0,0,0,0,2,3,1,1,3,0,4,1,3,4,0,4,2,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,7,0,3,1,6,1,0,0,2,10,4,1,1,0,0,0,2,2,10,0,0,0,1,0,1785,3,3,"London : printed by His Majesty's law printers: for W. Strahan, J. Rivington, R. Baldwin, J. Dodsley, T. Cadell, W. Owen, B. Law, P. Uriel, G. Robinson, W. Flexney, W. Cater, T. Payne, E. Brooke, W. Richardson, W. Fox, S. Hayes, T. Whieldon, W. Lowndes, and J. Parker. MDCCLXXXV. [1785].",London,608,male,,,FALSE,"of a mortgage term , to a trustee for purchaser of the inheritance. The title is derived through a variety of circumstances, which are recited; and are abftraeted in the margin 538 Numb. IV An assignment of a truft term , created for railing money , c. (the trusts having"
