PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(action),termFreq(administr),termFreq(agre),termFreq(assign),termFreq(bond),termFreq(brought),termFreq(cafe),termFreq(cau),termFreq(charg),termFreq(cite),termFreq(condit),termFreq(court),termFreq(coven),termFreq(creditor),termFreq(death),termFreq(debt),termFreq(deceas),termFreq(decre),termFreq(defend),termFreq(devis),termFreq(dure),termFreq(estat),termFreq(evid),termFreq(execut),termFreq(executor),termFreq(gener),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(indentur),termFreq(judgment),termFreq(laid),termFreq(land),termFreq(law),termFreq(legaci),termFreq(life),termFreq(mention),termFreq(monei),termFreq(paid),termFreq(parti),termFreq(payment),termFreq(person),termFreq(plaintiff),termFreq(plea),termFreq(plead),termFreq(present),termFreq(prove),termFreq(receiv),termFreq(recit),termFreq(releas),termFreq(rent),termFreq(sever),termFreq(statut),termFreq(suit),termFreq(term),termFreq(wife),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0573400101_000063,"A compleat body of conveyancing, in theory and practice. In three volumes. ... . Contains the theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Volumes II. III. Contain the practice: Or Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage-Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Publick Funds; and in general all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, Gent. deceased. The fourth edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. ...","Wood, Edward, conveyancer",140,1,0,2,2,1,4,1,2,0,2,1,3,3,1,4,1,13,1,8,1,7,0,9,0,0,10,1,0,0,2,5,0,0,1,10,2,6,2,0,6,6,3,4,1,2,0,0,0,2,1,0,0,0,0,2,0,3,4,1777,1,3,"London : printed by his Majesty's law-printers; for J. Beecroft, W. Strahan, J. Rivington, and sons, P. Uriel, W. Owen, B. Law, T. Caslon, S. Crowder, T. Longman, W. Flexney, G. Robinson, T. Lowndes, R. Baldwin, E. Johnston, W. Stuart, W. Brown, R. Critchett, M. Hingeston, W. Fox, E. Brooks, J. Johnson, and J. Knox. M.DCC.LXXVII. [1777].",London,864,male,,,FALSE,"Time S 8 If an Estate subject to a rrufi is purchased from the Trustees for a valuable Consideration, Trufl. without Notice, a Court of Equity cannot affe& the Purchaser, though they can the Trustees; but if such Purchaler had Notice, then the Trust goes along with the Estate ,"
0638100101_000072,"A compleat body of conveyancing, in theory and practice. In two parts. ... Collected by Edward Wood, gent. deceased. The whole digested in a method intirely new, ... by John Salthouse, ...","Wood, Edward, conveyancer",134,1,0,1,2,1,4,2,2,0,2,1,2,2,2,8,0,14,1,8,1,4,0,8,0,0,10,1,0,0,2,4,0,0,0,10,1,6,1,0,6,5,3,4,2,2,0,0,0,2,2,1,0,0,0,2,0,3,1,1749,1,3,"[London] : In the Savoy: printed by Henry Lintot, for J. Worrall, 1749.",London,946,male,,,FALSE,"the Mother and Eldest Son conveyed away the Land to a Purchaser. Upon Notice proved of the Will, the Money devised was decreed to the Daughter, and the Court declared it was a frflt devised to go with the Land ; and yet this [['ill was void in Law as"
0595400500_000111,"Cases argued and decreed in the High Court of Chancery, From 1676 to 1706. By the Honourable Richard Freeman, Esq; Late Lord Chancellor of Ireland. Revised and Published By Thomas Dixon of Gray's Inn, Esq;",Great Britain. Court of Chancery,109,1,1,1,0,1,2,1,2,0,0,0,0,1,3,5,0,8,0,13,3,5,0,6,0,1,3,0,1,2,0,1,0,2,0,6,5,5,2,0,2,6,2,2,4,2,1,0,0,0,0,3,0,0,1,1,1,1,2,1742,1,1,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edw. Sayer, Esq;), MDCCXLII. [1742].",London,325,unknown,,,FALSE,"of Debts , the Heir Shall not be compellable to make good the Devise 65 A Widow hfall not have Dower of a Copyhold Estate where her Husband was only Trustee 71 On Possession of a Copyhold for 45 Years, a perpetual Injuntion was decreed , because it might be"
0528500100_000154,Precedents in Chancery: being a collection of cases argued and adjudged in the High Court of Chancery; from the year 1689 to 1722.,Great Britain. Court of Chancery,114,0,1,0,1,1,2,1,8,0,0,1,0,2,2,1,2,10,0,0,6,3,0,3,0,1,3,0,1,0,0,9,1,5,1,6,3,0,1,0,1,1,1,2,2,4,4,1,2,0,0,0,3,0,1,4,0,4,9,1747,1,1,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edward Sayer,), 1747.",London,635,unknown,,,FALSE,"of the Heres Natus, for which the Cafes cited were Grey and Grey, Chicefler and Phillips, Hale and Hale, and other Cafes . My Lord Chancellor was now clear of Opinion, that the Personal Efiate in this Cafe must be applied accord ""igly; for he said, here was plainly a"
0836700102_000918,"A new and complete law-dictionary, or, general abridgment of the law: on a more extensive plan than any law-dictionary hitherto published. ... By T. Cunningham, ... In two volumes.",Timothy Cunningham,110,1,2,0,3,1,2,1,4,0,0,1,0,2,15,1,2,10,0,1,4,3,2,0,0,0,2,0,2,0,0,0,2,0,0,0,2,4,3,1,0,0,4,3,1,2,1,6,0,0,1,1,13,2,2,0,1,0,2,1783,2,2,"London : printed for J. F. and C. Rivington, T. Longman, S. Crowder, G. Robinson, W. Flexney, R. Baldwin, and W. Fox, 1783.",London,913,male,,1789,FALSE,"and this construction has been made to avoid circuity of action ; for if in such cafe the party should contrary to his covenant sue, the other party would recover precisely the same damages which he sustained by the other's suing; but if the covenant be, that he will not"
1064400701_000062,"A compleat body of conveyancing, in theory and practice. In two parts. Part I. Contains the Theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Part II. (in Two Volumes) Contains the Practice: Or, Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Public Funds; and in General all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, gent. deceased. The second edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. In three volumes.","Wood, Edward, conveyancer",121,0,0,1,1,1,1,1,4,0,2,2,3,4,2,3,1,10,1,9,1,6,0,5,0,0,7,1,0,0,1,5,0,0,0,11,2,5,2,0,4,5,4,2,1,2,0,1,0,1,1,0,0,0,0,2,0,2,4,1762,1,3,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall, T. Osborne, C. Hitch and L. Hawes, J. Beecroft, W. Strahan, J. Rivington, R. Baldwin, W. Johnston, T. Caslon, T. Longman, S. Crowder and Co. R. Withy, C. Ware and Co. W. Flexney, W. Bristow, T. Lownds, A. Shuckburgh, and P. Uriel, MDCCLXII. [1762].",London,865,male,,,FALSE,"in Trust, the Judgement Creditor had Relief. Sin. Rep. 63 k.'contracted with M. to fell'him Lands ; afterwards A. the Father knowing of the said Purchase for Contract purchased thetn of K. in Behalf of A. his Son, and had a Conveyance from K. to A. another. the Son and"
0550400502_000038,The history and practice of the High Court of Chancery. In two volumes. ... By the late learned Judge Gilbert. ...,Jeffrey Gilbert,154,0,0,0,1,4,13,2,1,0,2,0,3,4,3,8,0,8,0,3,0,14,2,8,0,1,2,0,0,4,2,3,0,0,0,14,3,5,1,1,5,6,0,10,5,0,0,2,0,0,0,0,2,1,1,4,0,2,4,1758,2,2,"Dublin : printed by Richard Watts, from the original manuscript, with the addition of several marginal references; two copious indexes; and two cases in Chancery, &c. not contained in the London edition, 1758.",Dublin,256,male,1674,1726,FALSE,"otherwise wife if the marriage was the only consideration. p. 188 BILL. Where a parol agreement is to be set forth an original bill mut be brought , and the decree cannot be suspended by motion. p. 29 BONDS and OBLIGATIONS. Where there is a bond given to perform covenants"
0596600200_000362,"Reports of cases in law and equity: from 1670 to 1706. With tables of the names of the cases and the principal matters. By the Honourable Richard Freeman, ... Revised and published by Thomas Dixon ...","Dixon, Thomas",110,1,0,1,0,1,2,1,1,0,0,0,0,1,3,5,0,8,0,13,3,5,0,7,0,1,3,0,1,0,0,2,0,2,0,6,5,6,2,0,2,6,2,3,5,2,1,0,0,0,0,3,0,0,1,1,1,1,2,1742,1,1,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edward Sayer, Esq;), 1742.",London,952,male,1699,1744,FALSE,"Copyhold for a valuable Consideration, if the Copyholder dieth, shall bind the Heir ; but if a. Copyholder devifeth his Copyhold, unless for Payment of Debts , the Heir shall not be compellable to make good the Devise 65 A Widow fihall not have Dower of a Copyhold Estate where"
0836800102_000922,"A new and complete law-dictionary, or general abridgment of the law, on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq; The second edition, corrected. In two volumes. ...",Timothy Cunningham,107,1,6,0,3,1,3,1,1,0,0,1,1,2,15,0,2,6,0,1,2,3,1,0,0,1,2,1,2,1,0,0,2,0,0,1,4,2,2,1,0,0,2,2,1,2,0,5,0,0,0,1,15,3,3,1,1,0,2,1771,2,2,"London : printed by his Majesty's law printers, for W. Flexney; G. Kearsly; J. and F. Rivington; T. Longman and Robinson and Roberts, 1771.",London,871,male,,1789,FALSE,"by will intimates no more than that the executors the other's suing; but if the covenant be, that he will should not after the testator's death trouble or molest the not sue till such a time, this does not amount to a re debtor. 2 Peer tvill. 332 Rider V"
0755600100_000097,"Reports of cases decreed in the High Court of Chancery, during the time Sir Heneage Finch, ... was Lord Chancellor. ... None of these cases ever printed before, ... With proper tables; ...",Great Britain. Court of Chancery,115,3,0,1,2,2,1,0,1,0,0,0,0,5,0,1,5,1,0,8,12,3,3,3,0,0,3,0,0,1,0,2,0,1,1,3,0,4,0,0,2,1,2,1,1,19,1,2,0,2,1,0,5,2,4,0,1,0,5,1725,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for R. Gosling; W. Mears, and J. Hooke, 1725.",London,516,unknown,,,FALSE,"there cannot be poffejfio fratris of such a * Reversion, so as to make the Sister an Heir . That by the subsequent Clause. in the said Will, (Ciz.) after the Death of Thomas the younger without Iffite, not only all the Lands in Tozwerhean d and Saarzwell, but the"
