PassageID,Title,Author,Total termFreq,termFreq(acr),termFreq(appurten),termFreq(arabl),termFreq(barlei),termFreq(belong),termFreq(bushel),termFreq(clover),termFreq(contain),termFreq(crop),termFreq(drill),termFreq(expenc),termFreq(experi),termFreq(farm),termFreq(farmer),termFreq(feed),termFreq(feet),termFreq(field),termFreq(foil),termFreq(gave),termFreq(grass),termFreq(half),termFreq(heir),termFreq(held),termFreq(hous),termFreq(improv),termFreq(land),termFreq(late),termFreq(littl),termFreq(manor),termFreq(manur),termFreq(meadow),termFreq(measur),termFreq(oat),termFreq(parcel),termFreq(parish),termFreq(pastur),termFreq(perch),termFreq(piec),termFreq(plant),termFreq(plough),termFreq(pound),termFreq(produc),termFreq(profit),termFreq(quarter),termFreq(rent),termFreq(return),termFreq(rood),termFreq(seed),termFreq(societi),termFreq(sow),termFreq(squar),termFreq(tenement),termFreq(town),termFreq(turnip),termFreq(valu),termFreq(wheat),termFreq(wood),termFreq(worth),termFreq(yard),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0958500101_000074,"A six months tour through the North of England: containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects; Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. La seule vol de se procurer un corps complet Agriculture, seroit, sans doute, de rassembler les diverses observations quaeroient fourni dans chaque province. Encyclopedie. In Four Volumes. ...",Arthur Young,94,7,0,1,2,0,4,3,0,6,3,0,1,1,3,3,4,5,0,0,3,2,0,0,0,2,5,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,1,3,1,0,2,3,0,6,1,0,0,4,2,3,0,1,1,1770,1,4,"London : printed for W. Strahan; W. Nicoll, No 51. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, M.DCC.LXX. [1770]-71.",London,406,male,1741,1820,TRUE,"consists only in one earth, which, considering them as a preparation for wheat , is by no means good husbandry. He sows four [ 299 ] four bushels broad cast, does not hoe them, and reaps at a medium about 2- quarters per acre . Sometimes he drills them by"
1107400102_000040,"The farmer's tour through the East of England. Being the register of a journey through various counties of this Kingdom, to enquire into the state of agriculture, &c. Containing, I. The particular Methods of cultivating the Soil. II. The Conduct of live Stock, and the modern System of Breeding. III. The State of Population, the Poor, Labour, Provisions, &c. IV. The Rental and Value of the Soil, and its Division into Farms, with various Circumstances attending their Size and State. V. The Minutes of above five hundred original Experiments, communicated by several of the Nobility, Gentry, &c. With Other Subjects that tend to explain the present State of English Husbandry. By the author of the Farmer's letters, and the Tours through the North and South of England. In Four Volumes. ...",Arthur Young,116,19,0,1,6,0,6,4,0,6,1,0,0,5,3,2,0,1,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,3,0,1,1,1,0,0,6,1,3,1,7,1,0,0,2,0,7,1,0,2,9,0,6,0,2,0,1771,2,4,"London : printed for W. Strahan; W. Nicoll, No. 51. St, Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,579,male,1741,1820,TRUE,"their methods quite similar from thence beyond colchejser. About that town , and most of the way to Witham, they excel greatly. About Lexden and Stanway, farms rise from 20/. to ioool. The soil is a fancy gravel, with some brick earth; lets frcnm 12s. to 20s. an acre ."
0085100302_000142,"England displayed. Being a new, complete, and accurate survey and description of the Kingdom of England, and principality of Wales. Containing, I. A full and ample Account of whatever is remarkable in every County, City, Town, Village, Hamlet, and Parish in England and Wales. II. Description of the various Manufactures and other useful Arts established in different Parts of this Kingdom. III. Accounts of the Nature and Produce of the various Kinds of Land, with a complete History of the modern Improvements in Agriculture, Gardening, &c. IV. An historical Account of all the Forts, Castles, Roman Military Ways, Docks, Harbours, Creeks, Bays, &c. with the Particulars of their ancient and present State. V. A full Description of all the natural and artificial Curiosities of this Kingdom; such as Rocks, Mines, Caverns, Lakes, Grottos, Fossils, Minerals, Abbeys, Cathedrals, Churches, Palaces, and the Seats of the Nobility and Gentry. VI. A faithful Narrative of all Improvements made in the Roads, Rivers, and Canals of this Kingdom, for the Convenience of Travelling, and the Benefit of Inland Navigation. The whole forming such an accurate and comprehensive Account of this Country, as has never yet been published, and will be equally entertaining and instructive. By a society of gentlemen: Each of whom has undertaken that Part for which his Study and Inclination has more immediately qualified him. The particulars respecting England, revised, corrected, and improved, by P. Russell, Esq; and those relating to Wales, by Mr. Owen Price.",Society of Gentlemen,119,10,0,1,7,0,6,3,1,5,0,0,0,3,1,2,1,0,0,0,2,2,0,0,0,0,7,1,0,0,1,1,0,6,0,0,1,1,0,0,7,4,3,0,6,2,2,0,1,0,11,0,0,0,5,2,12,0,0,2,1769,2,2,"London : printed for the authors, by Adlard and Browne, Fleet-Street: and sold by S. Bladon, No. 28, T. Evans, No. 54, and J. Coote, No. 16, in Pater-Noster Row; W. Domville, and F. Blythe, at the Royal Exchange, MDCCLXIX. [1769].",London,381,unknown,,,FALSE,"north; the northern. parrs of Lancflire and Chelhire bound it on the weft: and fouth well; and Lincolnshire, Nottinghamflire, and Derbyflire on the south and fouth eaff. AIR, SOIL, and NATURAL PRODUCTIONS. The air of thew eft riding is flarper but healthier than in either of the other two Ridings."
0242300201_000085,"A six months tour through the north of England. Containing, an account of the present state of agriculture, manufactures and population, in several counties of this kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Account of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed with Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. Experiments on Rearing and Fattening of Hogs. As laid before the Society of Arts, &c. In three volumes. ...",Arthur Young,146,20,0,3,8,0,8,6,1,8,1,0,0,6,0,1,0,0,0,0,5,2,0,0,1,3,5,0,0,0,1,1,1,3,0,0,0,0,0,1,8,0,4,0,7,2,3,0,1,0,14,0,0,0,4,2,15,0,1,0,1770,1,3,"Dublin : printed for P. Wilson, J. Exshaw, H. Saunders, W. Sleater, D. Chamberlaine, J. Potts, J. Holy, jun. J. Williams, W. Colles, J Porter, C. Ingham, and T. Walker, MDCCLXX. [1770].",Dublin,429,male,1741,1820,TRUE,"with wails for plantations; yet if we dispose the farms on a larger scale, and as they ought to be laid out, viz. 200 acres to each, instead of 70 acres , the expense will be greatly reduced, as appears by the following estimate, vlz. Farmhouse, outbuildings, and two cottage"
0549401000_000013,"Remarks on the drill husbandry, by which the superior advantages of that mode of cultivation are pointed out; and its profits ascertained, from actual experiments: also, a comparison of it with the most approved methods of Broadcast Husbandry. By Sir John Anstruther, Bart.","Sir John Anstruther, 2nd Baronet",130,9,0,0,10,0,7,1,0,6,23,0,7,2,3,0,3,4,0,0,0,1,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,2,1,1,6,0,6,0,4,0,0,2,7,0,5,2,0,0,2,0,6,0,0,3,1796,1,1,"London : printed for T. Egerton, at the Military Library, near Whitehall, MDCCXCVI. [1796].",London,210,male,1718,1799,FALSE,"measures , both of grain and land , which would embarrass the farmer . But he clearly proves, by many experiments , that Mr. Tull's system of drilling and horfe hoeing was, without any manure , much superior to the old broadcast; and also, that repeated successive crops of wheat"
0085100301_000144,"England displayed. Being a new, complete, and accurate survey and description of the Kingdom of England, and principality of Wales. Containing, I. A full and ample Account of whatever is remarkable in every County, City, Town, Village, Hamlet, and Parish in England and Wales. II. Description of the various Manufactures and other useful Arts established in different Parts of this Kingdom. III. Accounts of the Nature and Produce of the various Kinds of Land, with a complete History of the modern Improvements in Agriculture, Gardening, &c. IV. An historical Account of all the Forts, Castles, Roman Military Ways, Docks, Harbours, Creeks, Bays, &c. with the Particulars of their ancient and present State. V. A full Description of all the natural and artificial Curiosities of this Kingdom; such as Rocks, Mines, Caverns, Lakes, Grottos, Fossils, Minerals, Abbeys, Cathedrals, Churches, Palaces, and the Seats of the Nobility and Gentry. VI. A faithful Narrative of all Improvements made in the Roads, Rivers, and Canals of this Kingdom, for the Convenience of Travelling, and the Benefit of Inland Navigation. The whole forming such an accurate and comprehensive Account of this Country, as has never yet been published, and will be equally entertaining and instructive. By a society of gentlemen: Each of whom has undertaken that Part for which his Study and Inclination has more immediately qualified him. The particulars respecting England, revised, corrected, and improved, by P. Russell, Esq; and those relating to Wales, by Mr. Owen Price.",Society of Gentlemen,139,13,0,3,8,0,8,1,0,7,0,0,0,5,3,6,1,0,0,0,5,5,0,0,0,0,6,0,1,0,1,1,0,3,0,0,1,1,0,0,13,4,2,0,9,1,1,0,1,0,13,0,0,0,7,0,9,0,0,0,1769,1,2,"London : printed for the authors, by Adlard and Browne, Fleet-Street: and sold by S. Bladon, No. 28, T. Evans, No. 54, and J. Coote, No. 16, in Pater-Noster Row; W. Domville, and F. Blythe, at the Royal Exchange, MDCCLXIX. [1769].",London,469,unknown,,,FALSE,"barley they plough twice, sometimes thrice, sow four bushels on an acre , and gain, on a medium, three quarters and a half , or four quarters . For oats they plough only once, sow from five to six bushels on an acre , and ge', on a medium, from"
1552700108_000014,"Annals of agriculture, and other useful arts. Collected and published by Arthur Young, Esq. F.R.S. honorary member of the societies of Dublin, Bath, York, Salford and Odiham; the Philosophical and Literary Society of Manchester, the Oconomical Society of Berne; the Physical Society of Zurich; the Palatine Academy of Agriculture at Manhiem; the Imperial Oconomical Society established at Petersburgh; and corresponding member of the Royal Society of Agriculture at Paris; of the Royal Academy of Agriculture at Florence; and of the Patroitic Society at Milan. Vol. VIII.",Arthur Young,98,9,0,1,3,0,6,3,0,4,6,0,0,1,2,2,2,0,0,0,4,0,0,0,0,1,14,0,1,0,1,2,0,1,0,0,0,0,0,1,5,0,0,2,0,1,0,0,2,0,7,2,0,2,4,0,6,1,0,2,1787,8,33,"Bury St. Edmund's : Printed for the editor, by J. Rackham, and sold by William Nicoll, No 51, St. Paul's Church Yard, London, MDCCLXXXVII. [1787].",,502,male,1741,1820,TRUE,"sometimes been gained, the average 4 qrs. For barley they plough thrice, sow four bushels in April, and get on an average 5 qrs. For oats they plough but once, lfow five bushels .and gain 6 qrs. oana medium, For peas they f ir twice or thrice 5 sow 3"
1107400101_000021,"The farmer's tour through the East of England. Being the register of a journey through various counties of this Kingdom, to enquire into the state of agriculture, &c. Containing, I. The particular Methods of cultivating the Soil. II. The Conduct of live Stock, and the modern System of Breeding. III. The State of Population, the Poor, Labour, Provisions, &c. IV. The Rental and Value of the Soil, and its Division into Farms, with various Circumstances attending their Size and State. V. The Minutes of above five hundred original Experiments, communicated by several of the Nobility, Gentry, &c. With Other Subjects that tend to explain the present State of English Husbandry. By the author of the Farmer's letters, and the Tours through the North and South of England. In Four Volumes. ...",Arthur Young,101,13,0,1,7,0,3,4,0,2,1,0,0,2,3,3,1,1,0,0,2,0,0,0,0,2,2,0,1,0,1,1,0,5,0,0,1,0,1,3,11,2,0,0,5,4,1,0,1,0,6,0,0,0,6,1,4,0,0,0,1771,1,4,"London : printed for W. Strahan; W. Nicoll, No. 51. St, Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,545,male,1741,1820,TRUE,"hay time, 6d. and 8 d. IMPLEMENTS. A wagon, 26/. A cart, 91 to I o: A plough , i L I s. A harrow, I 1 5 s. Harness per horse, 2 i6 s. Laying a Share, I s. Ditto a coulter, I s. Shoeing, 2 s. PROVISIONS. Bread,"
0085100302_000143,"England displayed. Being a new, complete, and accurate survey and description of the Kingdom of England, and principality of Wales. Containing, I. A full and ample Account of whatever is remarkable in every County, City, Town, Village, Hamlet, and Parish in England and Wales. II. Description of the various Manufactures and other useful Arts established in different Parts of this Kingdom. III. Accounts of the Nature and Produce of the various Kinds of Land, with a complete History of the modern Improvements in Agriculture, Gardening, &c. IV. An historical Account of all the Forts, Castles, Roman Military Ways, Docks, Harbours, Creeks, Bays, &c. with the Particulars of their ancient and present State. V. A full Description of all the natural and artificial Curiosities of this Kingdom; such as Rocks, Mines, Caverns, Lakes, Grottos, Fossils, Minerals, Abbeys, Cathedrals, Churches, Palaces, and the Seats of the Nobility and Gentry. VI. A faithful Narrative of all Improvements made in the Roads, Rivers, and Canals of this Kingdom, for the Convenience of Travelling, and the Benefit of Inland Navigation. The whole forming such an accurate and comprehensive Account of this Country, as has never yet been published, and will be equally entertaining and instructive. By a society of gentlemen: Each of whom has undertaken that Part for which his Study and Inclination has more immediately qualified him. The particulars respecting England, revised, corrected, and improved, by P. Russell, Esq; and those relating to Wales, by Mr. Owen Price.",Society of Gentlemen,139,16,0,1,6,0,7,4,0,9,0,0,0,2,2,2,0,0,0,0,5,5,0,0,0,1,15,0,1,0,5,0,0,1,0,0,0,0,0,0,7,2,0,0,10,1,2,1,2,0,8,0,0,0,8,2,12,0,1,1,1769,2,2,"London : printed for the authors, by Adlard and Browne, Fleet-Street: and sold by S. Bladon, No. 28, T. Evans, No. 54, and J. Coote, No. 16, in Pater-Noster Row; W. Domville, and F. Blythe, at the Royal Exchange, MDCCLXIX. [1769].",London,381,unknown,,,FALSE,"i ct r1 I r ZO ""i I il FS k3 k "" t Y a. t k s t;. I I. ., t I'"",  ;. lets the second stand for seed , gets from four to twelve buihels per acre : they manure with rape duff, lay three"
1107400101_000010,"The farmer's tour through the East of England. Being the register of a journey through various counties of this Kingdom, to enquire into the state of agriculture, &c. Containing, I. The particular Methods of cultivating the Soil. II. The Conduct of live Stock, and the modern System of Breeding. III. The State of Population, the Poor, Labour, Provisions, &c. IV. The Rental and Value of the Soil, and its Division into Farms, with various Circumstances attending their Size and State. V. The Minutes of above five hundred original Experiments, communicated by several of the Nobility, Gentry, &c. With Other Subjects that tend to explain the present State of English Husbandry. By the author of the Farmer's letters, and the Tours through the North and South of England. In Four Volumes. ...",Arthur Young,144,23,0,5,12,0,8,4,0,3,2,0,0,3,2,4,1,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,7,3,0,2,4,6,0,0,2,0,8,0,0,0,10,1,14,0,0,1,1771,1,4,"London : printed for W. Strahan; W. Nicoll, No. 51. St, Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,545,male,1741,1820,TRUE,"80 Fallow 16 Horses 200 Barley and oats 6 Cows 80 Peas, beans, 4 Young cattle thetches, c. 300 Sheep. 8 Men 6 Labourers. Another: Another: 0oo Acres in all 20 Fallow x80 Arable 40 Turnips 20 Grass . zo Peas, beans, i oo Rent and thetches Io Hor'es 3"
