PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(appear),termFreq(bed),termFreq(begin),termFreq(border),termFreq(branch),termFreq(care),termFreq(common),termFreq(cover),termFreq(crop),termFreq(cut),termFreq(dry),termFreq(dung),termFreq(earth),termFreq(end),termFreq(feed),termFreq(feet),termFreq(flower),termFreq(fruit),termFreq(garden),termFreq(green),termFreq(ground),termFreq(grow),termFreq(growth),termFreq(heat),termFreq(hot),termFreq(inch),termFreq(kind),termFreq(larg),termFreq(leav),termFreq(light),termFreq(littl),termFreq(month),termFreq(observ),termFreq(open),termFreq(plant),termFreq(pot),termFreq(produc),termFreq(propag),termFreq(proper),termFreq(rais),termFreq(remain),termFreq(requir),termFreq(root),termFreq(row),termFreq(season),termFreq(seed),termFreq(set),termFreq(sow),termFreq(sown),termFreq(speci),termFreq(spring),termFreq(stalk),termFreq(taken),termFreq(tree),termFreq(water),termFreq(weather),termFreq(weed),termFreq(winter),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_passages
0377600400_000048,"The gentleman gardener instructed in Sowing, planting, pruning, and grafting seeds, plants, flowers, and trees; also in the manner of making wines from the fruits of the garden; and in the management of bees. To which is added the gardener's kalendar, shewing The particular Work to be done every Month in the Kitchen-Garden, Fruit-Garden, and Pleasure-Garden. By the Reverend Mr. Stevenson, of East-Retford, Nottinghamshire.","Stevenson, Henry",208,1,1,7,3,5,1,3,2,4,2,1,12,0,5,5,1,0,6,4,2,1,12,0,1,0,1,6,2,2,3,3,0,8,0,6,16,2,1,0,0,1,1,0,14,3,3,7,1,14,3,0,1,0,2,7,6,11,3,1,1,1766,1,1,"London : printed for J. Hinton, at the King's-Arms, in Pater-Noster-Row, 1766.",London,301,unknown,,,FALSE,"gj+ Now slip the off sets from the old Roots of Skirrets, and plant them in Rows ten Inches asunder, and six Inches Distance in the X Rows : Water them in dry Weather till they have taken Root . But the best Roots are raised from Seed . Plant"
0377600400_000050,"The gentleman gardener instructed in Sowing, planting, pruning, and grafting seeds, plants, flowers, and trees; also in the manner of making wines from the fruits of the garden; and in the management of bees. To which is added the gardener's kalendar, shewing The particular Work to be done every Month in the Kitchen-Garden, Fruit-Garden, and Pleasure-Garden. By the Reverend Mr. Stevenson, of East-Retford, Nottinghamshire.","Stevenson, Henry",153,3,1,3,3,4,1,0,0,2,3,1,4,1,3,3,0,2,4,2,4,1,5,1,0,5,1,1,0,1,2,1,2,9,0,3,11,2,1,0,0,1,2,3,8,3,4,3,1,8,2,0,0,0,1,5,10,5,4,2,1,1766,1,1,"London : printed for J. Hinton, at the King's-Arms, in Pater-Noster-Row, 1766.",London,301,unknown,,,FALSE,"curl, water them gently all over their Branches , but neither before the Heat of the Day, nor too late in the Evening, especially if the Nights are cold: The same may be practised to Advantage on old Trees . Wash the  Trees with tobacco ftalk Water to: :"
1311200102_000146,The Beauties of all the magazines selected. ... Including the several original comic pieces. To be continued the middle of every month.,,149,3,2,1,2,1,0,2,1,1,5,1,1,1,6,4,2,4,2,3,3,0,5,1,1,2,2,1,0,1,5,1,0,6,0,3,21,0,3,0,2,3,3,1,4,3,4,5,2,5,6,0,1,1,3,0,2,4,1,1,1,1762,2,3,"London [England : T. Waller], 1762-1764.",London,580,unknown,,,FALSE,"cauliflower, and cabbage plants , beans, or any other crops , planted on the same ground ; in moist weather draw earth about the stems of the plants ; in doing of this, great care mhould be taken not to raise the earth so high about them as to fall"
0094600300_000121,"The British housewife: or, the cook, housekeeper's, and gardiner's companion. Calculated for the Service both of London and the Country; And directing what is necessary to be done in the Providing for, Conducting, and Managing a Family throughout the Year. Containing a general account of fresh provisions of all Kinds. Of the several foreign Articles for the Table, pickled, or otherwise preserved; and the different Kinds of Spices, Salts, Sugars, and other Ingredients used in Pickling and Preserving at Home: Shewing what each is, whence it is brought, and what are its Qualities and Uses. Together with the Nature of all Kinds of Foods, and the Method of suiting them to different Constitutions; a bill of fare for each month, the Art of Marketing and chusing fresh Provisions of all Kinds; and the making as well as chusing of Hams, Tongues, and other Store Dishes. Also Directions for plain Roasting and Boiling; and for the Dressing of all Sorts of Made Dishes in various Tastes; and the preparing the Desert in all its Articles. Containing a greater Variety than was ever before publish'd, of the most Elegant, yet least Expensive receipts in Cookery, Pastry, Puddings, Preserves, Pickles, Fricassees, Ragouts, Soups, Sauces, Jellies, Tarts, Cakes, Creams, Custards, Candies, Dry'd Fruits, Sweetmeats, Made Wines, Cordials, And Distillery. To which are annexed, the art of carving; and the Terms used for cutting up various Things; and the polite and easy Manner of doing the Honotors of the Table: The whole Practice of Pickling and Preserving: And of preparing made Wines, Beer, and Cyder. As also of distilling all the useful Kinds of Cordial and Simple Waters. With the Conduct of a Family in Respect of Health; the Disorders to which they are every Month liable, and the most approved Remedies for each. And a variety of other valuable particulars, necessary to be known in All Families; and nothing inserted but what has been approved by Experience. Also the Ordering of all Kinds of profitable Beasts and Fowls, with respect to their Choice, their Breeding and Feeding; the Diseases to which they are severally liable each Month, and Receipts for their Cure. Together with the Management of the pleasant, profitable, and useful Garden. The Whole embellished with a great Number of curious copper plates, shewing the Manner of Trussing all Kinds of Game, wild and tame Fowls, &c. as also the Order of setting out Tables for Dinners, Suppers, and Grand Entertainments, in a Method never before attempted; and by which even those who cannot read will be able to instruct themselves. By Mrs. Martha Bradley, late of Bath: Being the Result of upwards of Thirty Years Experience.",Martha Bradley,142,1,0,7,0,3,1,2,1,1,4,5,4,4,4,0,0,2,4,2,4,0,7,2,0,2,2,6,1,0,0,0,1,6,1,2,10,0,0,1,1,3,0,1,2,4,7,3,1,5,7,0,0,4,2,2,2,0,2,1,5,1760,1,1,"London : printed for S. Crowder and H. Woodgate, at the Golden Ball in Paternoster Row, [1760?].",London,755,female,,,FALSE,"Method is sure to relieve them. Let the Vines be watched this Month , and all the useless Shoots removed; and the Suckers be taken from the Roots of Fig Trees . This will be all required for the Care of Trees . CHAP. II Of Plants . LE T"
1286400502_000150,The Beauties of all the magazines selected. For the year ...,,154,3,2,2,2,2,0,1,1,1,8,0,4,0,6,1,2,3,2,2,3,0,6,1,2,2,3,1,0,1,2,1,1,6,0,3,22,0,2,0,2,3,2,2,4,2,6,4,2,6,3,0,1,0,2,0,2,4,7,3,1,1762,2,3,"London [England : T. Waller], 1762-1764.",London,587,unknown,,,FALSE,"hot and dry it retards the growth of esculent plants , particularly beans and peas in flower (especially on dry lands) which susser greatly, their blossoms falling off before maturity. But when this month happens to be wet, the markets are plentifully flocked. But this does not only increase the"
1046400500_000093,"The new gardener's dictionary; or whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers; with ample directions for performing all the operations in gardening; Whether they Relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Modern Gardeners, arranged under the English proper name of each article. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",164,0,2,1,2,2,6,2,1,0,0,2,5,0,3,1,1,2,9,0,4,3,4,3,0,0,0,3,0,3,7,0,1,1,1,2,23,0,2,3,0,2,2,3,4,3,2,14,2,1,3,4,3,1,2,6,5,2,4,1,1,1771,1,1,"London : printed for G. Keith; J. Johnson; J. Almon; and Blyth and Beevor, 1771.",London,346,male,1769,1771,FALSE,"upon a border of rich earth , and constantly watered in dry weather , otherwise the seeds will not grow : when the plants are large enough to transplant, they should be placed eighteen inches asunder, row from row , and the plants six or eight inches distant in the"
1286400502_000110,The Beauties of all the magazines selected. For the year ...,,181,0,0,7,3,4,1,1,0,1,5,3,9,1,4,3,1,0,0,5,3,0,9,0,1,2,0,1,4,4,3,0,0,14,0,1,17,1,2,0,1,1,1,2,4,1,1,6,0,10,7,0,1,1,2,5,7,5,4,2,10,1762,2,3,"London [England : T. Waller], 1762-1764.",London,587,unknown,,,FALSE,"plants will require no water after the are well rooted i in those situations iwhic are moift, the ridges should be raise above the level of the ground , to kee the dung out of the wet, which will damp and chill it. The alleys between these beds should be"
0906500302_000152,The beauties of all the magazines selected. For the Year 1762. Including the several original comic pieces. To be continued the middle of every month. ...,,140,3,2,1,2,1,0,2,1,1,5,1,2,1,6,2,2,3,2,1,3,0,4,1,1,2,2,1,0,0,3,1,0,4,0,2,23,0,3,0,2,2,3,1,4,3,4,4,1,3,5,0,1,0,3,0,3,6,2,3,2,1762,2,3,"London : printed for T. Waller, opposite Fetter-Lane, Fleet-Street, Mcxxlii [1762]-64.",London,563,unknown,,,FALSE,"produce their heads in o&tober, November, and in mild seasons till Chrifmas. In moist weather plant out red and white cabbages and savoys for winter use, transplant the first town celery into drills for blanching. Early crops of spinach and radinies being of the ground , weeds Thould be cleared"
1253800101_000060,"The Family magazine; or, a Repository of religious instruction, and rational amusement. ... By Mrs. Trimmer.",Sarah Trimmer,181,1,2,1,4,1,1,2,0,2,5,6,2,0,8,2,0,0,6,6,2,1,3,1,1,0,0,4,3,3,0,1,1,15,2,5,21,0,1,3,2,1,1,0,5,1,3,8,6,2,10,0,1,0,2,12,2,4,3,2,0,1788,1,18,"London [England] : printed by and for J[ohn]. Marshall and Co. Aldermary Church Yard, in Bow Lane, [1788-1789].",London,464,female,1741,1810,TRUE,"close round every plant ; this will strengthen the plants , and cause then to produce large fruit . You may now also plant Strawberries; but the bell time is August and September. fruit trees may be planted any time this month when the weather is open and mild: care"
1000800104_000161,"The farmer's magazine, and useful family companion. Consisting of practical essays, ... on the different branches of husbandry, ... A miscellaneous collection of valuable family receipts, ... Useful hints and curious observations ... By Agricola Sylvan, gentleman.",,184,1,1,5,4,3,2,1,1,5,1,7,1,1,10,3,0,0,6,6,7,0,7,2,1,0,0,7,1,1,2,2,1,11,0,3,14,0,0,2,0,1,1,1,8,2,0,7,4,15,4,0,1,0,0,9,2,5,1,3,1,1779,4,5,"[London, England] : Printed for R. Snagg, no. 129, Fleet-Street, London; and R. Cruttwell, in Bath; and sold by every bookseller, stationer, and news-carrier, in the kingdom, MDCCLXXVI. [1776-1780].",London|Bath.,498,unknown,,,FALSE,"Twelfth Day, and from the beginning of Lent till Low Sunday.] A Complete 244 arr. VII A Complete gardener's CALENDAR, For every MONTH in the YEAR. J A N U A R Y. WORK to be done in tim KITCHEN GARDEN . IF the ground be hard, carry in Manures;"
