PassageID,Title,Author,Total termFreq,termFreq(anim),termFreq(appear),termFreq(bai),termFreq(beast),termFreq(breed),termFreq(brother),termFreq(cafe),termFreq(carri),termFreq(carriag),termFreq(cart),termFreq(cattl),termFreq(chees),termFreq(cloth),termFreq(colt),termFreq(committe),termFreq(common),termFreq(corn),termFreq(cow),termFreq(cure),termFreq(cut),termFreq(eat),termFreq(farmer),termFreq(feed),termFreq(feet),termFreq(follow),termFreq(foot),termFreq(forc),termFreq(fore),termFreq(grass),termFreq(hai),termFreq(hand),termFreq(hard),termFreq(hog),termFreq(holi),termFreq(horf),termFreq(horn),termFreq(hors),termFreq(kind),termFreq(know),termFreq(larg),termFreq(leg),termFreq(littl),termFreq(mare),termFreq(market),termFreq(mile),termFreq(morn),termFreq(near),termFreq(rent),termFreq(ride),termFreq(road),termFreq(run),termFreq(sheep),termFreq(theep),termFreq(tither),termFreq(ware),termFreq(water),termFreq(week),termFreq(white),termFreq(wool),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0688400402_000036,"The farmer's letters to the people of England: containing the sentiments of a practical husbandman, on various subjects of great importance: particularly the exportation of corn. The balance of agriculture and manufactures. The present state of husbandry. The circumstances attending large and small farms. The present state of the poor. The price of provisions. The proceedings of the society for the encouragement of arts, &c. The importance of timber and planting. Emigrations to the colonies. The means of promoting the agriculture and population of Great Britain, &c., &c. To which are added, Sylvæ: or occasional tracts on husbandry and rural oeconomics.",Arthur Young,76,0,0,0,1,1,0,0,1,0,3,4,1,0,0,0,0,1,8,0,0,1,4,2,0,1,0,0,0,7,7,0,1,2,0,0,1,9,2,2,1,0,1,0,0,1,0,0,4,0,0,1,5,0,0,1,0,2,0,1,1771,2,2,"London : printed for W. Strahan; W. Nicoll, No. 51, in St. Paul's Church-Yard; T. Cadell, in the Strand; B. Collins, Salisbury; and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,479,male,1741,1820,TRUE,"hay per acre, on accoucn [ 57 ] account of feeding it late in the spring, not knowing what to do with their ewes and lambs. Clover is seldom hired for the summer, but the price has been from 25 r. to 30t. As to their manuring, what they make,"
0070200103_000029,"A six months tour through the North of England. Containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. In four volumes. ...",Arthur Young,88,0,0,0,4,1,0,0,1,0,1,6,1,0,0,0,8,1,9,0,4,1,2,0,1,1,0,0,0,5,4,1,0,0,0,0,1,7,0,1,1,0,1,0,0,5,0,0,6,1,1,0,7,0,0,0,3,2,0,1,1770,3,4,"London : printed for W. Strahan; W. Nicoll, No 11. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, MDCCLXX. [1770].",London,450,male,1741,1820,TRUE,"the summer, or six sheep . They manure it as much as they can, but that is no great matter. Their breed of cattle is the long horned , and have fatted them so high as 130 stone, but very uncommon; 60 to 80 common . The produc of a"
1015000100_000055,"A review of the corrected agricultural survey of Lincolnshire, by Arthur Young, Esq. Published, in 1799, by authority of the Board of Agriculture; together with an address to the board, a letter to its secretary, and remarks on the recent publication of John Lord Somerville, and on the subject of inclosures. By Thomas Stone.","Stone, Thomas",70,5,2,1,0,7,0,0,3,2,1,4,0,0,3,0,1,1,0,1,0,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,13,4,0,2,1,0,1,0,1,0,1,0,1,0,0,3,0,0,0,1,1,0,1,1800,1,1,"London : printed and published by George Cawthorn, British Library, No. 132, Strand, Bookseller to her Royal Highness the Princess of Wales; Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis, West and Hughes, Paternoster-Row; J. Wright, Piccadilly; and P. Hill, Edinburgh, 1800.",London,513,unknown,,,FALSE,"it should be argued, in opposition to this plan, that the expenses of travelling and droving would eat up the advantages to be derived from buying a few cattle , I see no reason to admit it; but if so, let the neighbouring graziers agree to go down alternately to"
1552500202_000124,"Annals of agriculture, and other useful arts. Collected and published by Arthur Young, Esq. F.R.S. honorary member of the societies of Dublin, Bath, York, Manchester, and Odiham; the Oconomical Society of Berne; the Physical Society of Zurich; the Palatine Academy of Agriculture at Manheim; and the Imperial Oconomical Society established at Petersburg. Vol. II.",Arthur Young,67,0,1,0,0,3,0,1,2,0,1,3,3,0,0,0,0,0,6,0,2,0,7,2,2,1,0,0,1,4,5,0,0,1,0,0,1,2,0,2,2,0,2,0,1,0,0,1,2,0,0,1,1,1,0,0,6,0,0,0,1784,2,33,"London : Printed for the editor, and sold by H. Goldney, No. 15, Paternoster-Row, M.DCC.LXXXIV. [1784].",London,521,male,1741,1820,TRUE,"what is the produa? .dnfecer. lb that territory, the meadows made in the fine regular manner, called there prati Gras, or prati di 1marcitla, are mown four times a year; and if the futmmer is very hot and long, five times. To this, the quaity of the ground and of"
0958500102_000036,"A six months tour through the North of England: containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects; Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. La seule vol de se procurer un corps complet Agriculture, seroit, sans doute, de rassembler les diverses observations quaeroient fourni dans chaque province. Encyclopedie. In Four Volumes. ...",Arthur Young,80,0,0,0,3,1,0,0,1,0,3,6,0,0,0,0,0,1,8,0,0,1,5,3,0,1,0,0,0,7,6,0,1,2,0,0,1,9,2,2,1,0,1,0,0,1,0,0,3,0,0,1,7,0,0,0,0,2,0,1,1770,2,4,"London : printed for W. Strahan; W. Nicoll, No 51. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, M.DCC.LXX. [1770]-71.",London,475,male,1741,1820,TRUE,"two bushels, and gain i6, For maflin, after clover, they give but one trirring, sow two bushels, and reap at an average 25 They stir but thrice for turnips, never hoe, and value their crops at a medium at 31 os. They use them for both sheep and beasts ;"
1552700108_000015,"Annals of agriculture, and other useful arts. Collected and published by Arthur Young, Esq. F.R.S. honorary member of the societies of Dublin, Bath, York, Salford and Odiham; the Philosophical and Literary Society of Manchester, the Oconomical Society of Berne; the Physical Society of Zurich; the Palatine Academy of Agriculture at Manhiem; the Imperial Oconomical Society established at Petersburgh; and corresponding member of the Royal Society of Agriculture at Paris; of the Royal Academy of Agriculture at Florence; and of the Patroitic Society at Milan. Vol. VIII.",Arthur Young,70,0,1,0,0,3,0,1,0,0,1,0,5,0,0,0,3,2,9,0,0,1,1,1,0,4,0,0,0,3,4,0,1,2,0,0,1,9,0,0,1,3,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,2,0,3,1787,8,33,"Bury St. Edmund's : Printed for the editor, by J. Rackham, and sold by William Nicoll, No 51, St. Paul's Church Yard, London, MDCCLXXXVII. [1787].",,502,male,1741,1820,TRUE,"It is principally applied to dairying; two acres will fummer feed three cows of the best grass , but in common it takes an acre and half to a cow ; the breed here is both long and short horns , but chiefly the fbrmer from Warwickshire; but their homebred"
0242300202_000069,"A six months tour through the north of England. Containing, an account of the present state of agriculture, manufactures and population, in several counties of this kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Account of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed with Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. Experiments on Rearing and Fattening of Hogs. As laid before the Society of Arts, &c. In three volumes. ...",Arthur Young,82,0,0,0,3,1,0,0,1,0,1,6,1,0,0,0,7,1,10,0,3,1,2,0,0,1,0,0,0,5,4,0,1,0,0,0,1,7,0,1,2,0,0,0,0,5,0,0,6,1,1,0,6,0,0,0,1,2,0,1,1770,2,3,"Dublin : printed for P. Wilson, J. Exshaw, H. Saunders, W. Sleater, D. Chamberlaine, J. Potts, J. Holy, jun. J. Williams, W. Colles, J Porter, C. Ingham, and T. Walker, MDCCLXX. [1770].",Dublin,414,male,1741,1820,TRUE,"a most incomparable method of advancing population, and confeque' tly the good of the nation at large ; nor can it be too much imitated. Above forty houses are already erected. The soil about Sbapp is generally a loam upon a limestone, in some places thin, but in others deep;"
0958500103_000018,"A six months tour through the North of England: containing, an account of the present state of agriculture, manufactures and population, in several Counties of this Kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Accounts of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings, &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed With Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects; Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. La seule vol de se procurer un corps complet Agriculture, seroit, sans doute, de rassembler les diverses observations quaeroient fourni dans chaque province. Encyclopedie. In Four Volumes. ...",Arthur Young,72,0,1,0,0,1,0,0,3,0,2,4,1,0,0,0,2,1,8,0,0,0,1,3,0,1,1,0,0,4,6,1,0,0,0,0,1,9,0,1,0,0,1,0,0,2,0,1,4,0,2,1,5,1,0,0,1,2,0,1,1770,3,4,"London : printed for W. Strahan; W. Nicoll, No 51. in St. Paul's Church-Yard; B. Collins, at Salisbury; and J. Balfour, at Edinburgh, M.DCC.LXX. [1770]-71.",London,489,male,1741,1820,TRUE,"five load per acre, at twenty-four bushels per load, and generally on the fallow for turnips or wheat. Their hay they slack at home. Though improvers of moors, yet they know little of the paring and burning huibandry. Good grass will let for a guinea an acre: They use it"
1029001804_000043,"Annals of agriculture, and other useful arts. Collected and published by Arthur Young, Esq. F. R. S. Honorary Member of the Societies of Dublin, Bath, York, Manchester, and Odiham; the Oeconomical Society of Berne; the Physical Society of Zurich; the Palatine Academy of Agriculture at Manheim; and the Imperial Oeconomical Society established at Petersburg. Vol. IV.",Arthur Young,71,0,1,0,0,5,0,0,1,0,1,5,2,0,0,0,4,1,10,0,1,1,2,3,1,1,1,0,0,5,3,0,0,3,0,0,2,3,0,0,3,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,1,1,1785,4,4,"London : printed for the editor, and sold by H. Goldney, No. 15, Paternoster-Row, M.DCC.LXXXV. [1785].",London,535,male,1741,1820,TRUE,"at 5 s. a cart load. No draining, except by gentlemen, who most of them do much. Dairies are large , up to 35 cows , i' acre grass for their fummer food; in winter they are fed on barley ftraw, but before and after calving, hay . The breed"
0242300202_000057,"A six months tour through the north of England. Containing, an account of the present state of agriculture, manufactures and population, in several counties of this kingdom. Particularly, I. The Nature, Value, and Rental of the Soil. II. The Size of Farms, with Account of their Stock, Products, Population, and various Methods of Culture. III. The Use, Expence, and Profit of several Sorts of Manure. IV. The Breed of Cattle, and the respective Profits attending them. V. The State of the Waste Lands which might and ought to be cultivated. VI. The Condition and Number of the Poor, with their Rates, Earnings &c. Vii. The Prices of Labour and Provisions, and the Proportion between them. Viii. The Register of many curious and useful Experiments in Agriculture, and general Practices in rural Oeconomics communicated by several of the Nobility, Gentry, &c. &c. Interspersed with Descriptions of the Seats of the Nobility and Gentry; and other remarkable Objects: Illustrated with Copper Plates of such Implements of Husbandry, as deserve to be generally known; and Views of some picturesque Scenes, which occurred in the Course of the Journey. Experiments on Rearing and Fattening of Hogs. As laid before the Society of Arts, &c. In three volumes. ...",Arthur Young,81,0,1,0,1,1,0,0,3,0,2,5,1,0,0,0,2,1,9,0,0,0,1,3,0,1,1,0,0,6,6,2,0,0,0,0,1,10,0,1,0,0,1,0,0,2,0,1,5,0,2,1,7,0,0,0,1,2,0,1,1770,2,3,"Dublin : printed for P. Wilson, J. Exshaw, H. Saunders, W. Sleater, D. Chamberlaine, J. Potts, J. Holy, jun. J. Williams, W. Colles, J Porter, C. Ingham, and T. Walker, MDCCLXX. [1770].",Dublin,414,male,1741,1820,TRUE,"barley, and get, upon an average, about ten bushels. They sir three or four times for rye, sow two bushels, and reap twe'ty. For turnips they plough thrice, hoe them twice, and reckon the mean valueper acre at 31 use them for Sheep and beasts . Potatoes they prepare for"
