PassageID,Title,Author,Total termFreq,termFreq(art),termFreq(believ),termFreq(better),termFreq(bring),termFreq(brother),termFreq(care),termFreq(death),termFreq(enter),termFreq(exit),termFreq(faith),termFreq(father),termFreq(fear),termFreq(fellow),termFreq(friend),termFreq(gentleman),termFreq(god),termFreq(hand),termFreq(head),termFreq(heart),termFreq(hold),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(king),termFreq(know),termFreq(ladi),termFreq(leav),termFreq(letter),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(madam),termFreq(marri),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(natur),termFreq(night),termFreq(noth),termFreq(old),termFreq(plai),termFreq(pleas),termFreq(poor),termFreq(prai),termFreq(run),termFreq(self),termFreq(servant),termFreq(speak),termFreq(sure),termFreq(think),termFreq(thought),termFreq(true),termFreq(wife),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0383101200_000021,A treatise on polite conversation.,Jonathan Swift,115,0,1,3,1,0,2,0,0,0,2,0,0,3,1,1,3,0,2,2,1,0,4,3,1,2,17,2,0,0,0,2,4,9,6,0,0,0,0,0,2,5,2,2,1,3,2,0,2,1,1,3,1,1,8,3,0,3,3,1738,1,1,"Dublin : printed by and for George Faulkner, M,DCC,XXX,VIII. [1738].",Dublin,132,male,1667,1745,TRUE,"the World's making. imlifs. What, if he had been Young , and he Old ? vne'. Why, Miss, that would have been a Match of the Devil's making: But, when both are Young , that's a Match of God's making. [ lesss arcbing her Pocketfor a Timnble, brings out a"
1354200106_000075,"The works of J.S, D.D, D.S.P.D. in six volumes. Containing, I. The author's miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. His papers relating to Ireland, consisting of several treatise; among which are, the Drapier's letters to the people of Ireland against receiving wood's half-pence. V. The conduct of the allies, and the examiners. VI. The publick spirit of the whigs; and other pieces of political writings, with polite conversations, &c.",Jonathan Swift,116,0,1,3,1,0,2,0,0,0,3,0,0,3,1,1,3,0,2,2,1,0,4,3,1,2,19,2,0,0,0,2,4,9,7,0,0,0,0,0,2,5,2,2,1,3,2,0,2,1,1,3,1,1,7,3,0,2,2,1738,6,6,"Dublin : Printed by George Faulkner, in Essex-street, M,DCC,XXVIII. [1728].",Dublin,390,male,1667,1745,TRUE,"the Old ? Nev. Why, Miss, that would have been a Match of the Devil's making: But, when both are Young , that's a Match of God's making. [ Miss searching her Pocket for a Thbimble, brings out a Nutmeg. ] Nev. 0 Miss? have a Care ; for if"
1230200800_000008,"The dramatic works of Sir Richard Steele, Knt. Containing, The funeral. The tender husband. The lying lover. The conscious lovers. To which is prefixed, an account of his life and writings.",Richard Steele,79,2,3,0,1,0,0,1,3,3,0,1,1,1,1,2,0,0,0,0,1,0,2,1,0,4,3,0,0,0,3,1,1,7,4,2,2,3,0,0,0,3,1,3,1,1,0,0,1,2,2,2,1,3,1,2,2,1,0,1761,1,1,"London : printed for J. and R. Tonson, S. Crowder, T. Caslon, T. Lownds, H. Woodgate, and S. Brookes, MDCCLXI. [1761] [i.e. 1771?].",London,326,male,1672,1729,TRUE,"we could have Confidence to do it, where it so; and the Wife , if they believe it, will applaud our Prudence. at.a y, Madam i believe , Madam speak , Madam , but my humble Senfe mr. Cabinet would marry you. tfid. Marry me! No, Tatitleaid, he that is"
1143300600_000006,"The dramatic works of Sir Richard Steele, Knt. Containing, The funeral. The tender husband. The lying lover. The conscious lovers.",Richard Steele,86,1,4,0,1,0,1,1,4,3,0,0,2,1,1,3,0,0,0,0,0,1,1,1,0,3,3,0,0,0,3,2,1,10,5,2,1,2,2,0,0,3,1,4,1,1,0,0,1,1,5,2,1,1,1,3,0,1,1,1760,1,1,"London : printed for J. and R. Tonson, S. Crowder, T. Caslon, T. Lownds, H. Woodgate, and S. Brookes, MDCCLX. [1760] [1768?].",London,303,male,1672,1729,TRUE,"with Tears, Sighs and Importunities for him prevail'dagainft him: Besides this, you know I had, when I pleased , Fits; Fits are a mighty Help in the Government of a good- natured Man : but in an ill natured Fellowhave a Care of nm he'll hate you for naturalinfirmities; will"
0184300207_000092,"The works of Dr. Jonathan Swift, Dean of St. Patrick's Dublin. With the author's life and character; notes historical, critical, and explanatory; and tables of contents, and indexes. More complete than any preceding edition. In eight volumes. Accurately corrected by the best editions.",Jonathan Swift,119,0,1,2,1,0,2,0,0,0,2,0,1,6,0,1,2,0,2,2,1,0,4,3,0,5,15,2,0,0,0,2,4,8,6,0,0,0,0,0,3,7,2,1,1,3,2,0,2,1,0,4,1,0,8,5,0,2,5,1766,7,8,"Edinburgh : printed for A. Donaldson, and sold at his shops in London and Edinburgh, MDCCLXVI. [1766].",Edinburgh,413,male,1667,1745,TRUE,"Smart. I'm told he said a very good thing to Dick; said he, You think us old fellows are fools; but we old fellows know young fellows are fools. col. I know nothing of that; but I know , he's de. vilifh old , and fly's very young . Lad"
0157400110_000005,"A collection of the best English plays. Vol. I. Containing, Julius Cæsar; Macbeth; Hamlet; Othello: by Mr. Wm. Shakespear.",,82,1,4,0,1,0,1,1,5,1,0,0,2,1,1,3,0,0,1,0,0,1,1,1,0,2,2,0,0,0,2,2,1,10,5,2,1,2,1,0,0,4,1,3,1,1,0,0,1,2,4,2,1,2,1,2,0,1,1,1712,10,10,"The Hague : printed for T. Johnson, bookseller at The Hague, 1711-22.",The Hague,409,unknown,,,FALSE,"have a Care of'em : He'll hate you for Natural Infirmities, will remember your Face in it's Distortion, and not value your return of Beauty. Tat. Oh rare Madam I Your Ladifhip's a Great Head piece. But now Dear Madam , is the hard Task, if I may take the"
0094300200_000006,"The dramatick works of Sir Richard Steele. Containing the following comedies, viz. The funeral; or, grief a-la-mode. The tender husband; or, the accomplish'd fools. The lying lover; or, the lady's friendship.",Richard Steele,81,1,4,0,1,0,1,1,4,2,0,0,2,2,1,3,0,0,0,0,0,1,1,1,0,3,1,0,0,0,2,1,1,10,5,2,1,2,3,0,0,3,1,3,1,1,0,0,1,2,3,2,1,1,1,3,0,1,1,1723,1,1,"London : printed for J. T. And sold by Bernard Lintot between the Temple-Gates in Fleet-Street, 1723 [1722].",London,270,male,1672,1729,TRUE,"had told him Stories to my son-in-law's Disadvantage, in his Rage and Refeatment, I (whose Interest lay otherwise) always fell on my Knees to implore his Pardon, and with Tears, Sighs and Importunities for him prevailed against. him: Besides this, you know I had when I plas'd Fitsi Fits are"
0073200900_000005,"The funeral: or, Grief A-la-Mode. A comedy. Written by Sir Richard Steele.",Richard Steele,80,2,4,0,1,0,0,1,4,3,0,1,1,1,1,2,0,0,0,0,1,1,2,1,0,4,3,0,0,0,3,0,1,7,4,2,3,3,0,0,0,3,1,3,1,1,0,0,1,2,0,2,1,3,1,2,2,1,0,1750,1,1,"Dublin : printed by Augustus Long, Printer and Bookseller under Welsh's Coffee house in Essex street, [1750?].",Dublin,71,male,1672,1729,TRUE,"we discard em, the chaste and innoceat will not believe we could have confidence to do it, were it so; and the wife , if they believe it, will applaud our prudence. Tat. Ay, madam I believe , madam I speak , madam , but my humble sense - Mr."
1110701100_000022,"The busie body, a comedy. Written by Mrs. Susanna Centlivre.",Susanna Centlivre,86,2,1,1,1,0,1,2,4,1,2,3,1,1,2,4,0,0,2,4,5,0,0,2,0,2,1,1,0,5,1,0,4,5,2,0,3,0,0,0,1,0,1,1,0,6,2,1,2,2,3,1,0,0,1,0,1,0,1,1746,1,1,"London : printed for Henry Lintot, M.DCC.XLVI. [1746].",London,81,female,1667,1723,TRUE,"one that will love , when once you know him. ija. Oh! never, never. Could I fufpet that Fallhood in my Heart , I would this Moment tear it from my Breast, and straight present him with the treacherous Part. Cha. Oh! my charming faithful Dear. [Aide. Sir Jeal. Fallhood!"
0577001700_000023,"The funeral: or, grief a-la-mode. A comedy. Written by Sir Richard Steele.",Richard Steele,87,1,3,1,2,2,0,1,6,2,0,1,1,3,3,3,0,1,3,0,1,0,0,2,0,1,9,4,0,1,1,1,0,8,0,2,1,0,1,0,0,0,1,0,1,2,3,0,3,2,1,3,2,0,2,0,1,0,1,1743,1,1,"Dublin : printed by S. Powell, for George Risk, at Shakespear's-Head in Dame's-Street, near the Horse-Guard, MDCCXLIII. [1743].",Dublin,81,male,1672,1729,TRUE,"suppose a Coxcomb dancing, prating and playing his Tricks before me to move me without Pleasure or Distaste in my Countenance I look at him -- just thus but ha! ha! ha! I have found out a Supplement to this Notion of the Insensible, for my own Use, which is"
