PassageID,Title,Author,Total termFreq,termFreq(acr),termFreq(arrear),termFreq(assign),termFreq(cafe),termFreq(cattl),termFreq(charg),termFreq(common),termFreq(condit),termFreq(court),termFreq(coven),termFreq(death),termFreq(debt),termFreq(deed),termFreq(defend),termFreq(demand),termFreq(demis),termFreq(dure),termFreq(enter),termFreq(entri),termFreq(estat),termFreq(executor),termFreq(farm),termFreq(grant),termFreq(hall),termFreq(heir),termFreq(held),termFreq(hold),termFreq(hous),termFreq(king),termFreq(land),termFreq(landlord),termFreq(law),termFreq(leaf),termFreq(leas),termFreq(lesse),termFreq(lessor),termFreq(life),termFreq(live),termFreq(manor),termFreq(paid),termFreq(payment),termFreq(person),termFreq(plaintiff),termFreq(pound),termFreq(profit),termFreq(rent),termFreq(reserv),termFreq(revers),termFreq(servic),termFreq(statut),termFreq(tail),termFreq(taken),termFreq(tenant),termFreq(tenement),termFreq(term),termFreq(void),termFreq(wife),termFreq(word),termFreq(yearli),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0173000100_000082,"Every man his own lawyer: or, a summary of the laws of England, in a new and instructive method, under the following Heads, Viz. I. Actions and Remedies, Writs, Process, Arrests, and Bail. II. Courts, Attornies and Solicitors therein, of Juries, Witnesses, Trials, Executions, &c. III. Estates and Fortunes in Lands and Goods, and how acquired; Ancestors, Heirs, Executors and Administrators. IV. Laws relating to Marriage, Bastardy, Infants, Ideots, Lunaticks. V. Liberty of the Subject, Magna Charta, Habeas Corpus, and other Statutes. VI. King and his Prerogative, the Queen and Prince, Peers, Judges, Sheriffs, Coroners, Justices of Peace, Constables, &c. Vii. Public Offences, Treason, Murder, Felony, Burglary, Robbery, Rape, Sodomy, Forgery, Perjury, &c. And their Punishment. So plainly treated of that all Persons may be fully acquainted with our Common and Statute Law, and that as well in Cases Civil as Criminal, and know how to protect themselves and their Property, In Every Circumstance Whatsoever.",Giles Jacob,151,0,1,1,2,1,0,0,0,0,1,1,0,1,1,0,2,0,2,2,4,2,1,4,1,3,1,2,1,0,15,2,1,1,27,8,7,10,2,0,1,2,1,0,0,0,14,2,1,0,1,4,0,9,2,4,2,0,0,1,1791,1,1,"Dublin : printed for James Moore, No. 45, College-Green, M.DCC.XCI. [1791].",Dublin,534,male,1686,1744,FALSE,"the usual ceremonies, ca demise having no certain commencement, is void . Co. Lit. 47 5 Rcp. 94 Plowd. 273 laugh. 85 A man seifed of an estate in fee fimple, in his own right, of any lands or tenements , may make a lease of it for what lives"
0172800300_000072,"Every man his own lawyer: or, a summary of the laws of England in a new and instructive method, under the following Heads, Viz. I. Of Actions and Remedies, Writs, Process, Arrests, and Bail. II. Of Courts, Attornies and Solicitors therein, Juries, Witnesses, Trials, Executions, &c. III. Of Estates and Property in Lands and Goods, and how acquired; Ancestors, Heirs, Executors and Administrators. IV. Of the Laws relating to Marriage, Bastardy, Infants, Ideots, Lunaticks. V. Of the Liberty of the Subject, Magna Charta, the Habeas Corpus Act, and other Statutes. VI. Of the King and his Prerogative, the Queen and Prince, Peers, Judges, Sheriffs, Coroners, Justices of Peace, Constables, &c. Vii. Of publick Offences, treason, Murder, Felony, Burglary, Robbery, Rape, Sodomy, Forgery, Perjury, &c. And their Punishment. All of them so plainly treated of that all Manner of Persons may be particularly acquainted with our Laws and Statutes, concerning Civil and Criminal Affairs, and know how to defend Themselves and their Estates and Fortunes; In all Cases whatsoever.",Giles Jacob,155,0,1,1,2,1,0,0,0,0,1,1,0,1,1,0,2,0,2,2,3,3,1,4,1,3,1,3,1,0,14,2,1,0,28,8,8,10,2,0,1,2,3,0,0,0,14,2,1,0,2,4,0,9,2,4,2,0,0,1,1765,1,1,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for W. Strahan, J. Rivington, L. Hawes and Co. R. Horsfield, W. Johnston, T. Caslon, T. Longman, T. Denham, J. Fuller, sen. and C. Ware, M.DCC.LXV. [1765].",London,511,male,1686,1744,FALSE,"have all the usual ceremonies, ca demise having no certain commencement, is void . Co. Lit. 47 5 r.p. 94 Plwcd. 273 Vavg. 85 A man seifed of an etare in fee fimple, in his owvn right, of any lands or tenements , may make make a lease of it"
0120300200_000007,"Every landlord or tenant his own lawyer; or, the whole law respecting landlords, tenants, and lodgers; laid down in a simple, easy, and comprehensive manner; free from the technical terms of the law. Containing The most approved Forms of Notices to quit Premises: Directions for making and compleating a Distress, and for Replevying Goods when illegally taken: also Memorandums for letting Houses, Lands, or Apartments by Agreement, or on Lease; and various Precedents of Leases, and other Useful Deeds, as settled by the most eminent Council. Together With an Abstract of an Act of the 15th George III. for regulating Buildings and Party-Walls in London, and its Environs. The third edition. With considerable Additions and Improvements, particularly as to Registering Deeds, and the Law and Practice of Replevin and Ejectment. By John Paul, Barrister at Law. Author of the Constable, Churchwarden, Overseer, and Surveyor of the Highways Guide, and other Law Tracts. Revised and corrected by George Wilson, Serjeant at Law.","Paul, John",168,1,2,3,2,0,0,1,0,1,2,1,2,2,0,1,7,3,1,4,0,3,1,3,0,6,2,3,5,0,12,0,3,0,22,14,13,1,1,0,1,0,2,0,0,0,11,4,0,0,0,1,1,3,1,12,2,6,2,0,1776,1,1,"London : printed by W. Strahan and M. Woodfall, Law Printers to his Majesty ; for Richardson and Urquhart, under the Royal Exchange, 1776.",London,183,male,1707,1787,FALSE,"the term by an entry , so may he in remainder, and the accepting of rent does not confirm such lease . A man possessed of lands , c. in fee fimple or fee tail in right of his wife , may by deed demise his wife's lands , so"
0172800600_000068,"Every man his own lawyer: or, a summary of the laws of England in a new and instructive method, ...",Giles Jacob,145,0,1,1,1,1,0,0,0,0,3,1,0,3,0,0,3,2,2,2,2,5,3,3,1,3,1,4,2,0,14,2,2,0,21,9,8,2,0,0,2,1,2,0,0,1,14,3,1,0,1,0,0,7,4,6,1,0,0,0,1757,1,1,"[London] : In the Savoy: printed by Henry Lintot; for C. Hitch and L. Hawes, J. Hodges, J. Fuller, J. Rivington, J. Rivington and J. Fletcher, [and 7 others in London], 1757.",London,481,male,1686,1744,FALSE,"ill six Years expire, this is a Lease for the six Years, but determinable every Year, at the Will of either Party; but if tis for a Year, and so-so from Year to Year, until six Years determine, it will be a certain Lease for six Years. A Man makes"
0526300500_000016,"The landlord's pocket lawyer; or, the complete landlord and tenant: containing the whole law concerning landlords, tenants, and lodgers, explained in a familiar manner: More Particularly, 1. The Acts of Parliament and adjudged Cases down to the Year 1781, relative to Distress; shewing in what Cases a Landlord may and may not distrain; and what Things are distrainable, and what are not; together with the Manner, &c. of making a Distress. 2. Also the whole Law concerning replevying of Distresses; wherein ample Instructions are given, which are equally essential to be known by both Landlord and Tenant. 3. Of Leases, Covenants, and Conditions, Provisoes and Reserved Rents, Surrenders, and Assignments of Leases. 4. Forms of Notices for quitting Houses, Lands, Premises, or Lodgings. 5. Memorandums, or Agreements for letting Houses, Lands, Premises ur Apartments. 6. Forms gf Leases, Bills of Sale, and other useful Precedents, which are occasionally wanted in the Transactions between Landlords and Tenants. 7. Of the several Kinds of Tenures or Estates. 8. The Law concerning Ejectments. 9. Of recovering Rents from Lodgers, and the most effectual Method of turning them out of Possession, &c. A Work of the utmost Utility to Landlords and Tenants, as it will enable each to be upon his Guard against any Impositions or Mistakes committed by the other; and it cannot fail of being extremely useful to Gentlemen of the Law, Farmers, Stewards, Agents, and to the Majority of Mankind; as there are very few Individuals who may not with Propriety be classed among Landlords, Tenants, or Lodgers. A new edition, being the third. By Walter Robinson, Esq. Barrister at Law.","Robinson, Walter",175,1,1,5,4,0,2,2,1,1,2,0,2,2,0,2,4,1,1,0,0,2,0,5,1,1,1,6,0,0,7,3,0,0,17,7,4,1,0,0,2,6,5,0,0,1,40,9,2,0,0,0,0,8,0,9,1,5,0,1,1781,1,1,"London : printed for S. Bladon, No. 13, in Pater-Noster-Row, MDCCLXXXI. [1781].",London,111,unknown,,,FALSE,"is at liberty to deduc the land -tax, and tender the remainder, and this by the courts in wejfminjler is held to be a good tender. Seij. Say. Rep. 79 A person granting a lease on condition that the rent ( hall be paid at a given time, if, before"
0094801400_000009,"Every landlord or tenant his own lawyer: or, the whole law respecting landlords, tenants, and lodgers, laid down in a simple, easy, and comprehensive manner; free from the technical terms of the law. Containing: I. The Law of Tenures and Estates. II. The Law of Descents. III. The Law as now laid down and established on Grants, Leases and reserved Rents. IV. The Rules and Directions of Law for demanding and paying Rent. V. The Forms of Agreements for letting Lands, Houses, Apartments, &c. VI. The Forms of Leases and other useful Precedents. Vii. Memorials, Forms thereof, and Directions as to the same under Stat. 7th Ann. Viii. An Abstract of the several Statutes relating to Landlords and Tenants. IX. Who may or may not distrain; of what Things a Distress may be made, and how to dispose of the same. X. Precedents and Instructions for making a Distress. XI. Modern adjudged Cases on different Points relating to Distress. XII. The Law and Practice of Replevin. XIII. The Law and Practice of Ejectment. By John Paul, Barrister at Law, Author of the Constable, Churchwarden, and other Law Tracts. Revised and corrected By an Eminent Counsellor at Law.","Paul, John",151,1,5,2,3,0,0,0,3,0,3,0,5,1,0,2,3,0,0,1,2,3,0,5,3,1,0,1,0,0,9,0,2,1,11,7,8,0,0,2,4,7,3,0,0,1,32,6,2,0,0,0,0,4,1,5,2,0,0,0,1782,1,1,"Dublin : printed for W. Gilbert, Great-George's-Street, MDCCLXXXII. [1782].",Dublin,228,male,1707,1787,FALSE,"at his election may have either an acion of traver against the stranger, or an aaion of wajf against the lessee ; for the property of the timber is always in the lector. If a person has estovers uncertain in ten acres of wood, and fl e of them descend"
0174000800_000005,"The modern practice of distress and replevin: wherein is laid down the theory and practice of that branch of the law, In A Plain and Explicit Manner; So as to afford Instruction to every Inquirer, whether of the Profession or not. By an old practitioner.",Old practitioner,160,0,1,2,2,0,1,1,2,0,2,1,1,1,0,3,3,1,1,3,0,2,0,5,0,1,1,5,1,0,9,1,3,2,16,5,4,1,1,0,3,2,3,0,0,0,28,10,2,0,0,0,1,12,0,12,2,2,1,0,1776,1,1,"London : printed by W. Strahan and M. Woodfall, Law-Printers to the King's Most Excellent Majesty : for G. Kearsly, No. 46. near Serjeant's Inn, Fleet-Street, MDCCLXXVI. [1776].",London,245,unknown,,,FALSE,"a house with the appurtenances. If If person lets lands , Fc. at ill, and afterwards des any at in. ofifient with such letting, the lelfee mayavail himself thereof to de rninme such holding ; as for example, if the lcfor 4eclares the lessee !il hold the premises no longer,"
0094801400_000006,"Every landlord or tenant his own lawyer: or, the whole law respecting landlords, tenants, and lodgers, laid down in a simple, easy, and comprehensive manner; free from the technical terms of the law. Containing: I. The Law of Tenures and Estates. II. The Law of Descents. III. The Law as now laid down and established on Grants, Leases and reserved Rents. IV. The Rules and Directions of Law for demanding and paying Rent. V. The Forms of Agreements for letting Lands, Houses, Apartments, &c. VI. The Forms of Leases and other useful Precedents. Vii. Memorials, Forms thereof, and Directions as to the same under Stat. 7th Ann. Viii. An Abstract of the several Statutes relating to Landlords and Tenants. IX. Who may or may not distrain; of what Things a Distress may be made, and how to dispose of the same. X. Precedents and Instructions for making a Distress. XI. Modern adjudged Cases on different Points relating to Distress. XII. The Law and Practice of Replevin. XIII. The Law and Practice of Ejectment. By John Paul, Barrister at Law, Author of the Constable, Churchwarden, and other Law Tracts. Revised and corrected By an Eminent Counsellor at Law.","Paul, John",150,0,4,5,0,0,0,0,0,0,1,0,3,3,1,0,3,1,1,3,0,1,1,3,0,11,1,2,1,0,12,0,1,1,18,6,5,3,1,0,1,0,3,0,0,0,15,8,0,0,3,4,0,5,3,4,4,6,2,0,1782,1,1,"Dublin : printed for W. Gilbert, Great-George's-Street, MDCCLXXXII. [1782].",Dublin,228,male,1707,1787,FALSE,"heir to the son, to whom immediately, for want of heirs of the part of the father, it might have descended. The Sevent Rule in the ascending Line. And (for the same reason) if it had once defended to the heir of the part of the father of the grand"
0346600400_000069,"A treatise of laws: or, a general introduction to the common, civil, and canon law. In three parts. I. The Common Law of England; illustrated in great Variety of Maxims, &c. Also the Use of this Law; with References to Statutes, in all Cases. II. Of the Civil Law, intermix'd with the Law of Nations, and its Use here in England; and a Parallell between the Civil Law and Common Law. III. The Canon Law, and Laws Ecclesiastical; containing the Authority, and Rights of the English Clergy; Of Patrons of Churches; Courts Ecclesiastical, Trials, &c. The Whole Adapted To the Use of Students, and Practisers of the Law; Students of the Universities; Civilians, Proctors, Ecclesiasticks, and all young Gentlemen. By Giles Jacob. gent.",Giles Jacob,140,0,2,0,1,0,0,1,1,4,1,0,4,0,0,0,0,1,2,3,11,2,0,3,1,4,3,1,1,1,9,5,1,0,7,10,5,4,1,3,0,1,2,0,0,1,8,2,0,0,1,1,1,13,4,11,0,0,1,2,1721,1,1,"London : printed for T. Woodward, at the Half Moon against St. Dunstan's Church in Fleet-Street; and J. Peele, at Locke's-Head, in Pater-Noster-Row, MDCCXXI. [1721].",London,562,male,1686,1744,FALSE,"before the Entry of the Lessee , yet may the Lessee en rer into the Lands and Tenements . Co Lit. 44 Before Entry a Man may grant his Interest to another, but not surrender it, or have Action of Trefpaft. A A Tenant for half a year, or a"
0120600900_000070,"A treatise of laws: or, a general introduction to the common, civil, and canon law. In three parts. I. The Common Law of England; illustrated in great Variety of Maxims, &c. Also the Use of this Law; with References to Statutes, in all Cases. II. Of the Civil Law, intermix'd with the Law of Nations, and its Use here in England; and a Parallel between the Civil Law and Common Law. III. The Canon Law, and Laws Ecclesiastical; containing the Authority, and Rights of the English Clergy; Of Patrons of Churches; Courts Ecclesiastical, Trials, &c. The Whole Adapted To the Use of Students, and Practisers of the Law; Students of the Universities; Civilians, Proctors, Ecclesiasticks, and all young Gentlemen. By Giles Jacob. gent.",Giles Jacob,141,0,2,0,1,0,0,1,1,4,1,0,4,0,0,0,0,1,2,1,13,2,0,2,4,4,3,1,2,1,8,5,1,0,7,9,6,4,1,3,0,1,2,0,0,2,7,2,0,0,1,1,1,13,3,11,0,0,1,2,1721,1,1,"[London] : In the Savoy: printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for T. Woodward, at the Half Moon against St. Dunstan's Church in Fleetstreet, MDCCXXI. [1721].",London,561,male,1686,1744,FALSE,"another, but not surrender it, or have Action of Trespass. A A Tenant for half a Year, or a Quarter of a Year, is said to be a Tenant for Years: And a Term doth not only signify the Limitation of Time, but also the Estate that passeth for that"
