PassageID,Title,Author,Total termFreq,termFreq(afterward),termFreq(appear),termFreq(arch),termFreq(art),termFreq(author),termFreq(bilhop),termFreq(bishop),termFreq(book),termFreq(born),termFreq(build),termFreq(built),termFreq(cafe),termFreq(chancellor),termFreq(chapel),termFreq(charg),termFreq(church),termFreq(clergi),termFreq(colleg),termFreq(common),termFreq(court),termFreq(dean),termFreq(death),termFreq(degre),termFreq(divin),termFreq(earl),termFreq(fellow),termFreq(follow),termFreq(gave),termFreq(god),termFreq(grant),termFreq(hall),termFreq(head),termFreq(honour),termFreq(hous),termFreq(king),termFreq(land),termFreq(late),termFreq(law),termFreq(learn),termFreq(left),termFreq(littl),termFreq(live),termFreq(london),termFreq(master),termFreq(near),termFreq(north),termFreq(number),termFreq(order),termFreq(oxford),termFreq(person),termFreq(power),termFreq(present),termFreq(queen),termFreq(school),termFreq(sever),termFreq(societi),termFreq(statut),termFreq(univers),termFreq(valu),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0245500200_000030,"A pocket companion for Oxford. Containing, an accurate description of the public edifices, the buildings in each of the colleges, the gardens, statues, busts, pictures, and all other curiosities, in the university. With an Historical Account of the Foundation of the Colleges, their History, and present State. To which is prefix'd, Correct Lists of the Chancellors, High-Stewards, Vice-Chancellors, Professors, Lecturers, &c. With perspective views of Radcliffe's Library, Magdalen College new building, New College from the Garden, and Peckwater Square.",,99,2,0,0,0,0,0,3,0,0,2,2,0,2,3,1,2,0,14,0,1,3,0,0,1,1,7,0,3,0,3,7,1,0,2,6,2,3,1,1,1,0,0,0,3,1,2,2,0,2,0,0,3,4,2,2,1,0,2,1,0,1753,1,1,"Oxford : sold by R. Clements, near the Theatre; and by R. Baldwin, in Pater-Noster-Row, London, [1753?].",Oxford,128,unknown,,,FALSE,"by the Name of chrifs cgburh. This Foundation has continued in the same Form ever since. It confilts of a Dean , ioi Students, viz. 60 to be eeed by the Canons, to which Queen Elizabth afterwards added 40 more, (to be annually supplied from fe/hji7infler s<hso, as Varancies should"
1219400800_000029,"A pocket companion for Oxford. Containing, an accurate description of the public edifices, the buildings in each of the colleges, the gardens, Statues, Busts, Pictures, the Hieroglyphicks at Magdalen College, and all other Curiosities, in the University. With an Historical Account of the Foundation of the Colleges, their History, and present State. To which is prefix'd, correct lists of the chancellors, high-stewards, Vice-Chancellors, Professors, Lecturers, &c. With Perspective Views of Radcliffe's Library, Magdalen College New Building, New College from the Garden, Peckwater Square, and the inner Quadrangle of All-Soul's College.",,107,2,0,0,0,0,0,3,0,0,4,3,0,2,1,1,8,0,21,1,1,3,0,0,1,1,3,1,3,0,2,1,0,0,0,8,2,2,1,0,1,1,0,0,4,1,2,2,1,3,0,0,3,2,5,4,1,0,1,1,0,1756,1,1,"Oxford : printed for R. Clements , near the Theatre ; and sold by R. Baldwin, in Pater Noster-Row, London, 1756.",Oxford,126,unknown,,,FALSE,"by ryjbrac of Dr. Busby, formerly Master of wefminjfer School , and' a great Benefaaor to the College . Round the Room are the Pitures of several of the Masters of the faime School , and other eminent Men belonging to the College . There is also ah elegant Range"
1168500100_000031,"A pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the colleges ; the Gardens, Statues, Busts, Pictures; the Hieroglyphics at Magdalen College, and all other Curiosities in the University. With an Historical Account of the Foundation of the Colleges, their History, and present State. With Lists of the Chancellors, High-Stewards, Vice-Chancellors, Proctors, Heads of Colleges, Professors, Lecturers, &c. Adorned with six copper-plates. To which are added correct descriptions of the Buildings, the Tapestry, Paintings, Sculptures, Temples, Gardens, and all other Curiosities at Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earl of Litchfield, The Right Honourable the Earl Temple, And several other considerable Houses and Gardens in the Neighbourhood.",,98,1,0,0,0,0,0,4,0,0,2,1,0,2,3,1,3,0,18,1,1,2,0,0,1,1,8,1,4,0,3,6,0,0,1,5,2,2,1,1,2,0,0,0,2,1,3,1,0,2,0,0,1,2,3,3,1,0,1,1,0,1761,1,1,"Oxford : printed for Daniel Prince, near the Clarendon Printing-House; John Rivington, in St. Paul's Church-Yard, and R. Baldwin, in Pater-Noster-Row, London, 1761.",Oxford,146,unknown,,,FALSE,"was suppressed in IS', and in the Year following , i546, the Episcopal See was removed from ojfeey to to this College , and the Church of St. frid( fwide constituted a Cathedral, by the Name of Cbrifl's Chitrch. This Foundation has continued in the same Form ever fice. It"
0956500700_000018,"The history and antiquities of the University of Cambridge. Containing, first, its original and progress. Secondly, a description of the present colleges; with an Account of their Founders and Benefactors, their Halls and Inns. As also the Heads of those Foundations; and of the Bishops who had their Education there. By the Reverend Mr Richard Parker, B. D. and Fellow of Caius College in MDCXXII. To which are added, Several Charters granted to the colleges: With an Account of the Authors above mentioned. As also A Catalogue of the chancellors, and A Summary of all the Privileges granted to this Seminary of Learning by our English Monarchs. From a Manuscript in the Cotton Library.","Parker, Richard",96,6,0,1,2,0,0,6,0,1,3,0,0,2,2,0,2,0,10,1,0,2,0,0,4,3,9,1,2,0,1,2,1,1,1,5,0,0,1,2,2,0,0,3,2,3,0,2,2,0,0,0,1,3,1,0,3,0,2,1,0,1760,1,1,"London : printed for J. Warcus, at the Indian Queen in the Poultry, [1760?].",London,282,male,1572,1629,FALSE,"He contributed 20 1 towards repairing University hofjel, writ much, and died in; 589 23 Lancelot Andrews of London , one of Dr. mivatts's first Pupils, afterwards Fellow , chosen Warden in 1589; then Dotor, Rector of Sr. Giles s without Cripplegate, London , Prebendary of Southwell, and Residentiary of"
0930401500_000027,"A new pocket companion for Oxford: or, guide through the university. Containing an accurate description of the public edifices, the buildings in each of the colleges; the gardens, Statues, Pictures, Hieroglyphicks, and all other Curiosities in the University. With an Historical Account of the Foundation of the several Colleges, and their present State. To which are added, descriptions of the Buildings, Tapestry, Paintings, Sculptures, Temples, Gardens, &c. at Blenheim, Ditchley, Heythrop, Nuneham and Stow, The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earls of Litchfield, Shrewsbury, and Harcourt; and the Marquis of Buckingham. A new edition, corrected, much enlarged, and adorned with a plan of the university and city, and six other plates.",,118,0,0,0,0,0,0,3,0,0,3,3,0,4,3,0,4,0,14,1,1,0,0,0,0,1,5,0,2,0,1,23,0,0,1,4,1,2,0,0,1,0,2,1,3,3,3,4,2,1,0,0,4,3,3,3,5,2,2,0,0,1797,1,1,"Oxford : printed for J. Cooke, near the Clarendon Printing-House, MDCCXCVII. [1797].",Oxford,163,unknown,,,FALSE,"by William Thurs tonne, Esq. 1663, and is now in the gift of the Vernon Family. Several Exhibitions were given by Lady Holford for Scholars educated at the Charterhouse, and more by other Benefacors. Visitor. The KING . PEMBROKE COLLEGE . P EMBROKE College , so called from the Earl"
0312600801_000087,"The antient and present state of the University of Oxford. Containing I. An account of its antiquity, past Government, and Sufferings from the Danes, and other People, both Foreign and Domestick. II. An account of its colleges, Halls, and Publick Buildings; of their Founders and especial Benefactors; the Laws, Statutes, and Privileges relating thereunto in general; and of their Visitors and their Power, &c. III. An account of the laws, Statutes and Privileges of the University, and such of the Laws of the Realm which do any wise concern the same; together with an Abstract of several Royal Grants and Charters given to the said University, and the Sense and Opinion of the Lawyers thereupon. To which is added the Method of Proceeding in the Chancellor's Court. With an appendix and index to the whole. By John Ayliffe, L. L. D. and Fellow of New-College in Oxford.",John Ayliffe,108,5,1,0,1,0,0,4,2,0,1,2,0,4,2,0,5,0,20,0,1,0,2,1,3,0,7,0,6,0,0,1,1,1,3,2,1,0,2,1,1,1,0,2,1,0,1,2,0,1,2,0,4,0,1,2,4,1,6,0,0,1714,1,2,"London : printed for E. Curll, at the Dial and Bible against St. Dunstan's Church in Fleetstreet, 1714.",London,551,male,1670,1732,FALSE,"Faculties of School Edw. 6 Divinity , Mathematics, c. were by ome means or other stolen away. I stall conclude my Remembrance of this College with the benefactions of Though. Gafcoigne, formerly Chancellor of the University , who not only gave handsomely to the Building of this Library, but also"
0957000200_000014,"A new pocket companion for Oxford: or guide through the university; containing an accurate description of the public edifices, the buildings in each of the colleges; the gardens, Statues, Pictures, Heroglyphics, and all Other Curiosities in the University. with an Historical Account of the Foundation of the Several Colleges, and their Present State. To which are added, descriptions of the buildings, Tapestry, Paintings, Sculptures, Temples, Gardens, &c. at Blenheim, Ditchley, Heythrop, Nuneham, and Stow, the Seats of His Grace the Duke of Marlborough, The Right Honourable the Earls of Litchfield, Shrewsbury, and Harcourt, and the Marquis of Buckingham. A new edition, corrected, much enlarged, and adorned with a plan of the university and city, and six other plates.",,86,1,0,2,0,1,0,1,2,1,4,1,0,2,1,0,1,0,17,0,0,1,1,1,1,0,5,1,3,0,1,4,1,0,2,2,1,2,3,3,0,0,0,1,1,0,0,0,0,4,0,0,0,2,1,2,3,1,5,0,0,1799,1,1,"Oxford : printed for J. Cooke, near the Clarendon Printing House, [1799].",Oxford,163,unknown,,,FALSE,"Down and Connor, i635. 7. ybhn anorris, A.M.. rcctor of Bcmerton, Wilts' 680  i8. Thomans Sydenl'am, I. D. 164+.., :...  i9. T'lioma Lynaker, M; D. founder.!of the College oie Phyfioians, London , i484...  ·, .I o,. so. Sir Clement Edmonds, Knight, A. M. Secretary of the Council"
0623700400_000019,"The history and antiquities of the University of Cambridge. Containing I. Its original and progress. II. A discription [sic] of the present colleges; ... By the Reverend Mr. Richard Parker, B.D. ...","Parker, Richard",95,1,0,1,3,0,0,2,1,2,2,1,0,5,2,0,2,1,10,1,0,1,0,0,10,2,7,0,4,0,2,3,1,2,2,3,0,0,1,2,2,1,1,1,3,1,0,1,0,0,0,0,2,4,1,0,0,0,4,0,0,1721,1,1,"London : printed for T. Warner, [1721?].",London,323,male,1572,1629,FALSE,"of Mortmain, as ithe Lawyers call it, but also, either by Entreaty or Money, acquired many stately Houses of the E 3 Townsmen. Townsmen. Besides the mor Illufirious Duke gave them for ever the Right of Patronage of the neighbouring Church of St. benediel; and because the Revenues of this"
0079700202_000076,"A tour thro' the whole island of Great Britain. Divided into circuites or journeys. Giving a particular and entertaining accout of Whatever is curious and worth observation; viz. I. A Description of the Principal Cities and Towns, their Situation, Government, and Commerce. II. The Customs, Manners, Exercises, Diversions, and Employment of the People. III. The Produce and Improvement of the Lands, the Trade, and Manufactures. IV. The Sea Ports and Fortifications, the Course of Rivers, and the Inland Navigation. V. The Public Edifices, Seats and Palaces of the Nobility and Gentry. VI. The Isles of Wight, Portland, Jersey, Guernsey, and the other English and Scotish Isles of most Note. Interspersed with Useful Observations. Particularly fitted for the Perusal of such as desire to Travel over the Island. By a gentleman. The Fourth Edition. With very great Additions, Improvements, and Corrections; which bring it down to the Year 1748. In Four Volumes. With a Copious Index to each Volume. ...",Daniel Defoe,92,2,0,0,0,0,0,1,1,0,3,1,0,2,4,0,1,0,16,0,2,0,1,0,1,0,3,0,2,0,0,4,0,1,0,4,0,2,0,1,3,0,0,1,2,1,3,2,0,8,0,0,1,1,1,3,2,2,9,1,0,1748,2,4,"London : printed for S. Birt, T. Osborne, D. Browne, J. Hodges, J. Osborn, A. Millar, and J. Robinson, M.DCC.XLVIII. [1748].",London,472,male,1660,1731,TRUE,".eminent Divines , were Ministers here. There are folne Remains of an ancient Palace still left . From hence I came to Oxford , famous for several things, but chiefly for its being the most flourishing .and considerable University in the World. There has been a long Contest between the"
0760800300_000026,"The new Oxford guide; or companion through the university, Exhibiting every particular worthy the observation of the curious in each of the Public Buildings, Colleges, Halls, &c. To which is added, a tour to Blenheim, Ditchley, Heythrop, Nuneham, and Stow, the Seats of His Grace the Duke of Marlborough, The late Earl of Litchfield, The Right Hon. the Earl of Shrewsbury, The Right Hon. Earl of Harcourt, And the Right Hon. the Marquis of Buckingham. Containing An accurate Description of their Tapestry, Paintings, Sculptures, Temples, Gardens, and other Curiosities. By a Gentleman of Oxford.",William Hawkins,115,1,2,0,0,0,0,4,0,0,1,2,0,3,8,0,4,0,20,1,1,0,0,1,0,1,2,0,2,0,1,14,0,0,4,1,1,3,1,3,1,1,2,1,3,1,0,1,2,4,0,0,5,3,1,2,3,0,4,0,0,1800,1,1,"Oxford : printed for W. Dawson and Co. in the High Street; and sold by E. Newbury, the Corner of St. Paul's Church Yard; and J. Robinson, in Paternoster Row, London, [1800?].",Oxford,175,male,1722,1801,FALSE,"Sludents, besides many independent members. The whole number .about io. Visitor. The KING . PEMBROKE COLLEGE . T O this College we pass in a direct line from the grand gate of Christ Church . At our entrance the Maflter's Lodgings, on the right, make a handsome appearance , a"
