PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(appear),termFreq(appoint),termFreq(better),termFreq(cafe),termFreq(caus),termFreq(charg),termFreq(chariti),termFreq(children),termFreq(church),termFreq(citi),termFreq(counti),termFreq(court),termFreq(famili),termFreq(gave),termFreq(gener),termFreq(god),termFreq(hall),termFreq(hand),termFreq(hous),termFreq(inhabit),termFreq(justic),termFreq(king),termFreq(labour),termFreq(laid),termFreq(land),termFreq(law),termFreq(littl),termFreq(live),termFreq(mean),termFreq(monei),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parish),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(poor),termFreq(pound),termFreq(power),termFreq(present),termFreq(provid),termFreq(rate),termFreq(reason),termFreq(receiv),termFreq(relief),termFreq(remov),termFreq(rich),termFreq(school),termFreq(set),termFreq(settlement),termFreq(tax),termFreq(think),termFreq(town),termFreq(want),termFreq(wife),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1094001800_000081,"The universal officer of justice. Containing the general power and authority by law, of the several officers and ministers following, viz. 1. Of justices of peace. 2. Of Clerks of the Peace. 3. Of Custos Rotulorums. 4. Of Commissioners of Hackney-Coaches. 5. Of Hawkers and Pedlars. 6. And of the Wine Licence, &c. 7. Of Mayors and Bailiffs of Towns. 8. Of Clerks of Markets and Toll-Takers. 9. Of Sheriffs of Counties. 10. Of Under-Sheriffs, and their Bailiffs, &c. 11. Of Coroners. 12. Of Constables, &c. 13. Of Church wardens and Sidesmen. 14. Of Vestry-Men. 15. Of Overseers of the Poor. 16. And surveyors of the highways. The Whole being Collected from all the Books of our Common and Statute Laws written upon the Subjects. And render'd generally Useful to all Sorts of Persons.",,159,2,1,2,1,3,0,0,2,0,2,1,2,5,1,4,0,1,0,3,0,8,1,15,0,2,1,1,1,0,1,0,4,1,9,0,13,5,0,12,21,0,3,0,3,8,0,3,5,3,0,0,0,4,1,0,1,0,0,3,1730,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for John Hooke, at the Flower-de-Luce over against St. Dunstan's Church in Fleet-Street, and Aaron Ward, at the King's Arms in Little Britain, MDCCXXX. [1730].",London,348,unknown,,,FALSE,"the firt Parish is obliged to receive him. Stat. 8 & 9 IV 3 C 3o. But such Person shall gain no Settlement in the Parish removed to, unless he rent o L per Anniut, Gc. Nor shall his Apprentice or Servant, acquire any legal Settlement there. 9 3 X"
1212100100_000025,"The compleat parish-officer; containing I. The authority and proceedings of High Constables, Petty-Constables, Headboroughs, and Tithingmen, in every Branch of their Duties, pursuant to Acts of Parliament: with the High Constables Precepts, Presentments, Warrants, &c. II. Of Churchwardens; how chosen, their particular Business in Repairing of Churches, Bells, &c. and Assigning of Seats; the Manner of Passing their Accompts, and the Laws and Statutes concerning the Church in all Cases; and also an Abstract of the Act for building fifty new Churches in London and Westminster, &c. III. Of Overseers of the Poor, and their Office; their Power in Relieving, Employing, and Settling, &c. of poor Persons; the Laws relating to the Poor, and Settlements, and the Statutes concerning Masters and Servants. IV. Of surveyors of the highways and scavengers how elected, their Business in amending the Ways, &c. and the Duty of others; with the Methods of Taxation, Laws of the Highways, &c. Together with the statutes relating to hackney-coaches and Chairs, &c. The third edition: to which is added, The office of constables, written by Sir Francis Bacon, Knt. His then Majesty's Attorney-General, in the Year of our Lord 1610. declaring what Power they have, and how they ought to be cherished in their Office.",Giles Jacob,120,2,1,0,2,1,1,0,3,0,6,1,1,2,0,1,0,3,0,1,1,1,2,5,1,1,0,1,2,0,1,4,2,3,3,2,4,4,1,7,20,0,1,1,4,1,1,2,6,0,0,0,1,1,8,0,1,0,1,2,1723,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot at the Cross Keys in Fleet-Street, and W. Mears at the Lamb without Temple-Bar, 1723.",London,166,male,1686,1744,FALSE,"Relief of poor impotent Persons . Having treated of Overseers of the Poor , Particular and Taxation in general , I proceed to several Lws.. Particulars, as the Laws relating to the Relief of impotent Persons , poor Prisoners, econ cerning the placing forth poor Apprentices, Baflardy and Settlements ."
1551500800_000082,"The Universal officer of justice. Containing, the general power and authority by law, of the several officers and ministers following, viz. 1. Of justices of peace. 2. Clerks of the peace. 3. Of custos rotulorum. 4. Of commissioners of hackney-coaches. 5. - - of hawkers and pedlars. 6. - - of the wine licence, &c. 7. Of mayors and bailiffs of towns. 8. Of clerks of markets and tool-takers. 9. Os sheriffs of counties 10. Of under-sheriffs, and their bailiffs, &c. 11. Of coroners. 12. Of constables &c. 13. Of church-wardens and sidesmen. 14. Of vestry-men. 15. Of overseers of the poor. 16. And surveyors of the highways. The whole being collected from all the books our common and statute laws written upon the subjects and render'd generally useful to all sorts of people.",,171,1,1,2,1,1,1,0,3,0,1,0,0,6,1,2,0,2,0,0,0,3,2,16,0,0,3,5,1,0,1,0,5,1,10,1,12,8,0,9,23,1,3,0,1,19,0,1,8,4,0,0,0,1,8,1,1,0,0,1,1731,1,1,"In the Savoy : Printed by E. and R. Autt, and R. Gosting, (Assings of Edw. Sayer, Esq;) for D. Midwinter and A. Ward, J. Brotherton, J. Hazard, W. Meadows, T. Cox, W. Hinchlife. W. Bickerton, T. Astley, S. Austen, L. Gilliver, and R. Willock, 1731.",London,344,unknown,,,FALSE,"unite in purchasing or hiring Houses , fr for the better Lodging and Maintenance of the Poor . Stat. Ibid. Mainre If Justices of Peace in Sessions make any naice' Order for Overseers of Parishes to provide Houses for poor Persons , or to give any Per; ons Maintenance, who"
0409300600_000028,"The compleat parish-officer ; containing, I. The authority and proceedings of High Constables, Petty Constables, Headboroughs, and Tithingmen, in every Branch of their Duties pursuant to Acts of Parliament: With the High Constables Precepts, Presentments, Warrants, &c. II. Of Church-Wardens, how chosen, their Business in Repairing of Churches, Bells, &c. and Assigning of Seats; the Manner of Passing their Accounts, and the Laws concerning the Church in all Cases; and an Abstract of the Act for building Fifty new Churches in London and Westminster. III. Of Overseers of the Poor, and their Office; their Power in Relieving, Employing, and Settling, &c. of poor Persons; the Laws relating to the Poor, and Settlements, and the Statutes concerning Masters and Servants. IV. Of surveyors of the highways, and Scavengers, how elected, their Business in amending the Ways, &c. and the Duty of others, with the Methods of Taxation, and Laws of the Highways. Together with the statutes relating to hackney coaches and Chairs, &c. The fifth edition, corrected and enlarged. To which is added, The office of constables, written by Sir Francis Bacon, Knt. in the Year 1610. Declaring what Power they have, and how they ought to be cherished in their Office.",Giles Jacob,129,1,1,1,0,1,0,0,3,0,6,3,1,3,1,3,0,4,0,1,2,1,2,6,1,1,2,1,4,0,1,4,2,0,6,1,4,5,0,8,21,0,1,1,2,1,1,1,8,0,0,0,4,1,5,0,0,0,2,1,1729,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot at the Cross Keys in Fleet-Street, and William Mears at the Lamb without Temple-Bar, 1729.",London,204,male,1686,1744,FALSE,"Poor , there are several Penalties inflicted by AA of Parliament for Offences committed, to be applied to the Use of the Poor ; for which see under the Heads of confjahles, churcb war dens, Negleds in repairing Highways, Scaengersr c. Relief of poor impotent Persons . Having treated of"
0340300800_000027,"The history of the poor laws: with observations. By Richard Burn, LL. D. One of his Majesty's Justices of the Peace for the County of Westmorland.",Richard Burn,122,3,2,0,1,0,1,1,4,0,3,1,1,4,0,1,0,0,0,4,0,2,6,4,0,0,1,2,1,0,1,2,1,3,3,0,18,0,0,13,3,0,1,0,3,1,2,7,1,3,0,0,1,5,1,1,7,1,0,2,1764,1,1,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's most Excellent Majesty ; for A. Millar, in the Strand, M.DCC.LXIV. [1764].",London,298,male,1709,1785,FALSE,"the space of forty days at the least; unless he give sufficient security for the discharge of the said parish , to be allowed by the laid justices . Provided , that persons aggrieved may appeal to the next sessions. But this not to extend to persons going to work"
0498400101_000130,"The state of the poor: or, an history of the labouring classes in England, from the conquest to the present period; ... together with parochial reports ... With a large appendix; ... By Sir Frederic Morton Eden, Bart. In three volumes. ...","Sir Frederick Eden, 2nd Baronet",102,0,0,0,1,2,0,1,3,0,0,0,7,2,3,1,0,2,0,1,0,4,4,2,0,2,0,2,0,0,0,1,3,1,1,1,9,1,3,2,10,1,3,1,2,5,3,2,2,1,1,0,1,0,1,0,4,1,0,5,1797,1,3,"London : printed by J. Davis, for B. & J. White; G. G. & J. Robinson; T. Payne; R. Faulder; T. Egerton; J. Debrett; and D. Bremner, 1797.",London,673,male,1766,1809,FALSE,"observations, Care (he says,) should be taken "" that the Poor's Rates be made with more equa s lity in cities . and. great towns ; especially in the former, where the "" greatest number of Poor usually residing together in the fiburbs and ( out parifhes, are very serviceable"
1006700100_000126,"Conductor generalis: or, The office, duty and authority of justices of the peace, high-sheriffs, under-sheriffs, goalers, coroners, constables, jury-men, and overseers of the poor. As also the office of clerks of assize, and of the peace, &c. Collected out of all the books hitherto written on those subjects, whether of common or statute-law. The whole alphabetically digested under the several titles, with a table directing to the ready finding out the proper matter under those titles. To which is added, a collection out of Sir Mathew Hales, concerning the descent of lands; with several choice maxims in law, and the office of mayors, &c.",Matthew Hale,113,1,2,0,5,0,1,0,1,0,0,1,0,2,1,1,3,0,0,1,5,0,4,6,0,0,1,0,5,1,1,0,3,2,3,1,14,1,1,8,14,2,0,1,2,1,0,2,4,4,0,0,1,3,2,0,0,0,0,2,1749,1,1,"New-York : Printed and sold by J. Parker, at the new-printing-office, in Beaver-Street, 1749.",New York,510,male,1609,1676,FALSE,"-- -- -. 0 oo CD D. -- .- -- -- - oo oo 6 ES- -- -- -- -- -- -- -- -- - oo 4 ca Warrant to levy the uweekly Relief . To the Confsables, c. ejx, fs. ORASMUCH as there being a Rate or Assessment F"
0677500300_000030,"The compleat parish-officer; containing, I. The authority and proceedings of High Constables, Petty Constables, Headboroughs, and Tithingmen, in every Branch of their Duties pursuant to Acts of Parliament: With the High Constables Precepts, Presentments, Warrants, &c. II. Of Churchwardens, how chosen, their Business in Repairing of Churches, Bells, &c. and Assigning of Seats; the Manner of Passing their Accounts, and the Laws concerning the Church in all Cases; and an Abstract of the Act for building Fifty new Churches in London and Westminster. III. Of Overseers of the Poor, and their Office; their Power in Relieving, Employing, and Settling, &c. of poor Persons; the Laws relating to the Poor, and Settlements, and the Statutes concerning Masters and Servants. IV. of surveyors of the Highways, and Scavengers, how elected, their Business in amending the Ways, &c. and the Duty of others, with the Methods of Taxation, and Laws of the Highways. Together with the statutes relating to Hackney Coaches and Chairs, &c.",Giles Jacob,117,1,0,1,2,1,0,1,4,0,4,1,1,4,1,3,0,3,0,1,2,1,2,7,0,1,0,0,1,0,1,1,3,1,4,2,6,4,1,6,21,0,1,1,2,2,1,1,6,0,0,0,3,0,5,0,1,0,0,2,1731,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot, at the Cross-Keys in Fleet-Street; and S. Birt, at the Bible in Ave-Mary-Lane, 1731.",London,203,male,1686,1744,FALSE,"the a&.43 Eliz. Stlle a83. Childica Children of poor , old, impotent Persons , Cbildtrepf or others, not able to work , are at their Ability to. own Charges to relieve and maintain them, maintain (in like Manner as Parents are to relieve their Parentst Children ) if such Children"
0476900100_000023,"A system of English ecclesiastical law. Extracted from the Codex juris ecclesiastici anglicani of the Right Reverend the Lord Bishop of London. For the use of young students in the universities who are designed for Holy Orders. By Richard Grey, D. D. Rector of Hinton in Northamptonshire.","Grey, Richard",118,4,1,0,0,0,2,0,0,0,4,2,0,1,0,2,0,1,0,4,1,3,3,6,0,0,1,1,0,0,0,1,2,2,1,0,12,4,0,11,14,2,2,2,1,2,0,0,4,3,0,0,1,10,1,0,3,2,0,2,1735,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for J. Stagg, in Westminster-Hall; and D. Browne, at the Black Swan without Temple-Bar, M.DCC.XXXV. [1735].",London,541,male,1694,1771,FALSE,"and by the Religious Houses . The first Statute made for the Relief of the Poor , was 43 Eliz. C 2 by which public Officers are created to provide for the Poor of the Parish , who are to be nominated yearly in Easter Week, or within a Month"
0503900200_000820,"A new law-dictionary: containing, the interpretation and definition of words and terms used in the law; and also the whole law, and the practice thereof, Under all the Heads and Titles of the same. Together with Such Informations relating thereto, as Explain the History and Antiquity of the Law, and our Manners, Customs, and Original Government. Collected and Abstracted from All Dictionaries, Abridgments, Institutes, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. And fitted for the Use of Barristers, Students, and Practisers of the Law, Members of Parliament, and other Gentlemen, Justices of Peace, Clergymen, &c. The fourth edition corrected, with farther large Additions, and the Law-Proceedings done into English. To which is annexed, A Table of References to all the Arguments and Resolutions of the Lord Chief Justice Holt; In the several Volumes of the Reports. By Giles Jacob, gent.",Giles Jacob,128,3,4,0,0,1,0,0,2,0,3,2,1,1,0,2,0,0,0,5,2,2,4,8,0,1,1,0,0,0,0,1,0,2,3,0,14,4,0,16,10,0,0,0,3,1,1,7,4,4,0,0,0,7,2,1,1,1,0,4,1739,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for D. Midwinter, R. Ware, C. Rivington, A. Ward, J. and P. Knapton, T. Longman, R. Hett, C. Hitch, S. Austen, J. Wood and C. Woodward, and J. Pemberton, MDCCXXXIX. [1739].",London,804,male,1686,1744,FALSE,"such Persons are to return to their Parilhcs when their Work is finished, and fiall not be accounted fettled where they sojourn, c. And by this Statute, a Corporation or work house was to be in the Cities of London and Wfeminfler, and the Towns and Places within the Bills"
