PassageID,Title,Author,Total termFreq,termFreq(blood),termFreq(bodi),termFreq(boil),termFreq(bread),termFreq(cafe),termFreq(cold),termFreq(colour),termFreq(common),termFreq(countri),termFreq(differ),termFreq(drink),termFreq(dry),termFreq(duti),termFreq(eat),termFreq(end),termFreq(fine),termFreq(follow),termFreq(fruit),termFreq(gallon),termFreq(gener),termFreq(glass),termFreq(god),termFreq(half),termFreq(hall),termFreq(hand),termFreq(head),termFreq(heat),termFreq(import),termFreq(inch),termFreq(juic),termFreq(kind),termFreq(leav),termFreq(liquor),termFreq(littl),termFreq(manner),termFreq(mean),termFreq(mix),termFreq(month),termFreq(nation),termFreq(natur),termFreq(offic),termFreq(oil),termFreq(order),termFreq(ounc),termFreq(person),termFreq(pound),termFreq(produc),termFreq(proper),termFreq(quantiti),termFreq(receiv),termFreq(spirit),termFreq(sugar),termFreq(taken),termFreq(togeth),termFreq(water),termFreq(white),termFreq(wine),termFreq(word),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1768400100_000100,"The instructor: or, young man's best companion. ... To which is added, the family's best companion: ... By George Fisher, ...","Fisher, George, accomptant",87,2,0,4,2,0,0,0,1,0,0,6,1,0,1,1,2,1,0,2,0,2,0,3,0,3,0,1,0,0,5,0,1,2,1,2,0,4,2,0,0,0,2,0,8,0,4,0,0,4,0,0,6,0,2,3,1,5,0,3,1753,1,1,"London : printed for S. Birt, 1753.",London,397,unknown,,,FALSE,"it at the Bouge, by the Bung or Cork; then put the Wine into it, and flop it close for 48 Hours; then give it Vent at the Bouge, with a Hole made with a Gimblet; in which puta Peg or Faucet, that may easily be moved with the Fingers;"
0972600500_000014,"The country housewife, and lady's director, for every month of the year. Both in the Frugal Management of the House, and in the Delights and Profits of the farm. Containing the whole art of cookery, laid down in a great Variety of the Best and Cheapest Receipts for Dressing all Sorts of Flesh, Fish, Fowl, Fruits, and Herbs, which are the Productions of a Farm, or any foreign Parts. Likewise The best Methods to be observed in Brewing Malt Liquors, and Making the several Sorts of English Wines. The Arts of Pickling, Preserving, Confectionary, Pastry, &c. &c. Together with a few of the Most approved and efficacious Medicines, proper to be kept in every private Family. Published for the Good of the Public. By R. Bradley, Professor of Botany in the University of Cambridge, and Fellow of the Royal Society.",Richard Bradley,98,0,1,5,0,1,2,3,0,0,0,0,4,0,0,1,3,1,1,4,0,0,0,4,1,0,0,0,0,0,1,1,3,1,2,2,1,4,7,0,0,0,4,1,1,0,5,0,3,2,0,4,4,0,3,5,3,8,0,2,1762,1,1,"London : printed for W. Bristow, the West-End of St. Paul's Cathedral, and C. Ethrington, at York, 1762.",London,358,male,1688,1732,FALSE,"then be of a fine green Colour , and full of Spirit ; but if the Herbs stand longer with Water upon them, the Water will change of a browniih Colour , will lose the fine Flavour of the Herb, and become ill tafled: So that in the making of"
1280100100_000111,"The instructor: or young man's best companion. Containing, spelling, reading, writing, and arithmetic, in an easier Way than any yet published; and how to qualify any Person for Business without the Help of a Master. Instructions to write Variety of Hands, with Copies both in Prose and Verse. How to write Letters on Business or Friendship. Forms of Indentures, Bonds, Bills of Sale, Receipts, Wills, Leases, Releases, &c. Also Merchants' Accompts, and a short and easy Method of Shop and Book-Keeping; with a Description of the Product, Counties and Market-Towns in England and Wales. Together with the Method of measuring Carpenters, Joiners, Sawyers, Bricklayers, Plaisterers, Plumbers, Masons, Glaziers, and Painters Work. How to undertake each Work, and at what price; the Rates of each Commodity; and the common Wages of Journeymen: with the Description of Gunter's Line, and Coggleshall's Sliding Rule. Likewise the practical guager made Easy: the Art of Dialling, and how to erect and fix Dials; with Instructions for Dying, Colouring, and making Colours; and some General Observations for Gardening through every Month in the Year, to which is added, The Family's best companion: With Instructions how to Pickle and Preserve; to make divers Sorts of Wine; and many excellent Plaisters, and Medicines necessary in all Families: And a compendium of the Sciences of Geography and Astronomy: Containing a brief Description of the different Parts of the Earth, and a Survey of the Celestial Bodies. Also some useful interest tables. By George Fisher, Accomptant.","Fisher, George",92,1,1,5,2,0,1,0,1,0,0,8,1,0,1,0,1,1,0,2,0,1,0,4,0,3,0,0,0,0,4,0,3,2,2,1,0,6,2,0,0,0,3,0,9,0,5,0,0,3,0,0,6,0,2,5,2,2,0,2,1800,1,1,"London : published for the proprietors; and printed and sold by H. and G. Mozley, Market-Place, Gainsbro', 1800.",London,341,male,,,FALSE,"the quantity of juice : and when it has stood a month , it will be a pleasant liquor . l'cire Cherry biine. In the same manner take a gallon . or mrore of the juice of black cherries, and keep it in a vessel close stopped till.it works ;"
0849700300_000102,"The instructor: or, young man's best companion. Containing spelling, reading, writing, and arithmetick, in an easier Way than any yet published; and how to qualify any Person for Business, without the Help of a Master. Instructions to write Variety of Hands, with Copies both in Prose and Verse. How to write Letters on Business or Friendship. Forms of Indentures, Bonds, Bills of Sale, Receipts, Wills, Leases, Releases, &c. Also Merchants Accompts, and a short and easy Method of Shop and Book-Keeping; with a Deseription of the Product. Counties and Market-Towns in England and Wales. Together with the Carpenter's Plain and Exact Rule: Shewing how to measure Carpenters, Joyners, Sawyers, Bricklayers, Plaisterers, Plumbers, Masons, Glasiers and Painters Work. How to undertake each Work, and at what Price; the Rates of each Commodity, and the common Wages of Journeymen; with Gunter's Line, and Coggeshal's Description of the Sliding-Rule. Likewise the Practical Gauger made Easy; the Art of Dialling, and how to erect and fix any Dial; with Instructions for Dying, Colouring, and making Colours; and some General Observations for Gardening every Month in the Year. To which is added, The Family's Best Companion: With Instructions for Marking on Linnen; how to Pickle and Preserve; to make divers Sorts of Wine; and many excellent Plaisters, and Medicines, necessary in all Families: And also, A Compleat Treatise of Farriery; Or, Good Advice to Gentlemen and Farmers; with a choice Collection of Remedies, very si for all Farriers and Grooms. By George Fisher, Accomptant.","Fisher, George",90,1,1,4,2,0,1,0,1,0,0,8,1,0,1,0,2,1,0,2,0,1,0,4,0,2,0,0,0,0,3,0,3,2,2,1,0,5,2,0,0,0,3,0,9,0,4,0,0,5,0,0,6,0,2,5,2,2,0,2,1744,1,1,"London : printed for J. Hodges, at the Looking-Glass, on London-Bridge, M.DCC.XLIV. [1744].",London,403,male,,,FALSE,"to what was said before concerning the Grapes. A Short Way for cherry f'nte. Squeeze the Juice of Cherries into a Cask, and thereto put small Quantity of Sugar corresponding to the Quantity of nce; and when stood a Month , it will be pleasant Liquor . P 4 Black"
1340400400_000103,"The instructor: or, Young man's best companion. Containing, spelling, reading, writing, and arithmetick, in an easier way than any yet published; and how to qualify any person for business, without the help of a master. Instructions to write variety of hands, with copies both in prose and verse. How to write letters on business or friendship. Forms of indentures, bonds, bills of sale, receipts, wills, leases, releases, &c. Also merchants accompts, and a short and easy method of shop and book-keeping; with a description of the product, counties and market-towns in England and Wales. Together with the carpenter's plain and exact rule: shewing how to measure carpenters, joiners, sawyers, bricklayers, plasterers, plumbers, masons, glasiers and painters work. How to undertake each work, and at what price; the rates of each commodity, and the common wages of journeymen; with gunter's line; and coggeshall's description of the sliding-rule. Likewise the practical gauger made easy; the art of dialling, and how to erect and fix and dial; with instructions for dying, colouring, and making colours; and some general observations for gardening every month in the year. To which is added, the family's best companion: with instructions for marking on linnen; how to pickle and preserve; to make divers sorts of wine; and many excellent plasters, and medicines, necessary in all families: and a compleat treatise of farriery; or, good advice to gentlemen and farmers; with a choice collection of remedies, very fit for all farriers and grooms. Also some useful interest-tables. By George Fisher, accomptant.","Fisher, George",91,1,1,5,2,0,1,0,1,0,0,7,1,0,1,0,1,1,0,2,0,1,0,4,0,3,0,0,0,0,4,0,3,2,1,2,0,5,2,0,0,0,3,0,9,0,5,0,0,5,0,0,7,0,2,3,1,3,0,2,1755,1,1,"London : Printed for R. Ware, at the Bible and Sun on Ludgate-Hill, M.DCC.LV. [1755].",London,403,male,,,FALSE,"good as French Vine. Wine of Straxwberries or Raf erries. Mafbh the Berries, and put them into a Linen Bag, as a doyvef: i for the Grapes, and squeeze them into a Cask, and thn leti twork as aforesaid in the Grape Receipt, crin this manner may., Cherry wile be"
0274700500_000107,"The compleat housewife: or, accomplish'd gentlewoman's companion. Being a collection of upwards of six hundred of the most approved receipts in Cookery, Pastry, Confectionary, Preserving, Pickles, Cakes, Creams, Jellies, Made Wines, Cordials. With copper plates curiously engraven for the regular Disposition or Placing the various Dishes and Courses. And Also Bills of Fare for every Month in the Year. To which is added, a collection of above three hundred family receipts of medicines; viz. Drinks, Syrups, Salves, Ointments, and various other Things of sovereign and approved Efficacy in most Distempers, Pains, Aches, Wounds, Sores, &c. particularly Mrs. Stephens's Medicine for the Cure of the Stone and Gravel, and Dr. Mead's famous Receipt for the Cure of a Bite of a mad Dog; with several other excellent Receipts for the same, which have cured when the Persons were disordered, and the salt Water fail'd; never before made publick; fit either for private Families, or such publick-spirited Gentle-Women as would be beneficent to their poor Neighbours. By E. Smith.",Eliza Smith,89,3,0,3,0,1,2,0,0,0,0,7,3,0,1,0,1,0,0,2,0,2,0,7,0,2,0,1,0,0,3,0,4,1,2,0,0,2,1,0,0,0,2,0,8,0,9,0,0,4,0,1,4,0,2,5,4,2,0,0,1750,1,1,"London : printed for R. Ware, S. Birt, T. Longman, C. Hitch, J. Hodges, J. and J. Rivington, J. Ward, W. Johnston, and M. Cooper, M.DCC.L. [1750].",London,433,female,,,FALSE,"Hollan's powder, mix it in a little lack, and take it, drinking a glass of sack after it; it gives present cafe . An approved Remedy againflfpitting of Blood . A K E of the tops of ringing nettles, and plantane leaves , of each a like quantity ; bruise"
0457800300_000240,"Dictionarium Domesticum, being a new and compleat houshold dictionary. For the use both of city and country. ... By N. Bailey, ...",Nathan Bailey,78,1,1,5,2,2,2,1,0,0,0,2,1,0,0,1,3,0,0,1,0,2,0,3,0,3,1,0,0,0,2,0,2,1,4,0,0,4,1,0,1,0,4,1,5,1,2,0,0,2,0,1,2,2,4,5,2,1,0,0,1736,1,1,"London : printed for C. Hitch, and C. Davis; and S. Austen, 1736.",London,612,male,,1742,FALSE,"parts; for the legs are full of trings like the legs ofturleys and pheaftits. SNIPES, to drcs. These are of the same nature with the woodcock, and are ordered in every refpe&l like it. These may be I .rded with bacon upon the breast; or elle steed with ialt and"
0544300200_000101,"The instructor: or, young man's best companion: Containing, Spelling, Reading, Writing, and Arithmetick in an easier Way than any yet published; and how to qualify any Person for Business, without the Help of a Master. Instructions to write Variety of Hands, with Copies both in Prose and Verse. How to write Letters on Business or Friendship. Forms of Indentures, Bonds, Bills of Sale, Receipts, Wills, Leases, Releases, &c. Also Merchants Accompts, and a short and easy Method of Shop and Book-Keeping, with a Description of the Product, Counties, and Market-Towns in England and Wales. Together with the Carpenter's plain and exact Rule: Shewing how to measure Carpenters, Joyners, Sawyers, Brick-Layers, Plaisterers, Plummers, Masons, Glasiers, and Painters Work. How to undertake each Work, and at what Price; the Rates of each Commodity, and the common Wages of Journeymen; with Gunter's Line, and Coggeshall's Description of the Sliding Rule. Likewise the Practical Gauger made Easy; the Art of Dialling, and how to erect and fix any Dial; with Instructions for Dying, Colouring, and making Colours; and some General Observations for Gardening every Month in the Year. To which is added, the family's best companion, with Instructions for Marking on Linnen; how to Pickle and Preserve; to make divers sorts of Wines; and many excellent Plaisters and Medicines, necessary in all Families. By George Fisher, Accomptant.","Fisher, George",94,1,1,6,2,0,1,0,1,0,0,10,1,0,1,0,2,1,0,2,0,0,0,4,0,3,0,0,0,0,5,0,3,2,2,1,0,6,2,0,0,0,3,0,4,0,3,0,0,5,0,0,8,0,2,5,2,3,0,2,1735,1,1,"London : printed for A. Bettesworth, and C. Hitch in Pater-Noster-Row,, R. Ware in Amen-Corner,, J. Clark, S. Birt in Duck-Lane, S. Birt in Avemary-Lane ; and J. Hodges on London-Bridge, [1735?].",London,443,male,,,FALSE,"A port Way for Cbery Wie. Squeeze the Juice of Cherries into a Cask, and thereto put a small Quantity of Sugar corresponding to the Quantity of Juice ; and when flood a Month , it will be pleasant Liquor . Black Cberry Wine . In the same Manner ,"
0521400100_000101,"The compleat housewife: or accomplish'd gentlewoman's companion: being a collection of upwards of six hundred of the most approved receipts in Cookery, Pastry, Confectionary, Preserving, Pickles, Cakes, Creams, Jellies, Made Wines, Cordials. With copper plates curiously engraven for the regular Disposition or Placing the various Dishes and Courses. And Also Bills of Fare for every Month in the Year. To which is added, a collection of above three hundred family receipts of medicines; viz. Drinks, Syrups, Salves, Ointments, and various other Things of sovereign and approved Efficacy in most Distempers, Pains, Aches, Wounds, Sores, &c. particularly Mrs. Stevens's Medicines for the Cure of the Stone and Gravel, and Dr. Mead's famous Receipt for the Cure of a Bite of a mad Dog; with several other excellent Receipts for the same, which have cured when the Person was disorder'd, and the salt Water failed; never before made publick; fit either for private Families, or such publick-spirited Gentlewomen as would be beneficent to their poor Neighbours. By E. Smith.",Eliza Smith,100,3,0,4,0,1,3,0,0,0,0,8,2,0,1,0,2,0,0,2,0,3,0,10,0,5,0,0,0,0,3,0,2,1,2,0,0,2,1,0,0,0,5,0,10,0,9,0,0,3,0,1,3,0,4,4,4,2,0,0,1742,1,1,"London : printed for J. and H. Pemberton, at the Golden Buck, against St. Dunstan's Church in Fleetstreet, [1742].",London,407,female,,,FALSE,"fouthernwood, wormwood, sage, and chamomile, of each four handfuls ; a quarter of a peck of red rosebuds, the white cut from them; hred them together grossly, and put them into the oil ; and once a day, for nlileor ten days, stir them well; and when the lavender fpike"
0905000600_000015,"The toilet of Flora; or, a collection of the most simple and approved methods of preparing baths, essences, pomatums, Powders, Perfumes, Sweet-Scented Waters, and Opiates for preserving and whitening the Teeth, &c. &c. With receipts for cosmetics of every kind, that can smooth and brighten the Skin, give Force to Beauty, and take off the Appearance of Old Age and Decay. For the use of the ladies. Improved from the French of M. Buchoz, M.D.",Pierre Joseph Buchoz,116,0,0,5,2,0,2,1,0,0,0,0,1,0,0,0,4,1,0,2,0,2,0,4,0,3,1,2,0,0,4,0,1,2,0,0,0,4,1,0,1,0,1,1,10,0,4,0,1,6,0,1,2,0,4,31,10,2,0,0,1772,1,1,"London : printed for W. Nicoll, No. 51, in St. Paul's Church Yard, MDCCLXXII. [1772].",London,288,male,1731,1807,FALSE,"of .Red Sanders, in order to colour it. Before this tinlcure is ufcdl, a Lady should wafl waflh herself with Elder flower Water , and then the cheeks will become of a fine lively vermilion, that cannot be diftili guifhed from the natural bloom of Youth. go. Cofnzetic Water ."
