PassageID,Title,Author,Total termFreq,termFreq(afterward),termFreq(area),termFreq(armi),termFreq(bilhop),termFreq(bishop),termFreq(black),termFreq(check),termFreq(colleg),termFreq(colour),termFreq(crown),termFreq(differ),termFreq(equal),termFreq(fourth),termFreq(game),termFreq(guard),termFreq(held),termFreq(judg),termFreq(king),termFreq(knave),termFreq(knight),termFreq(length),termFreq(mean),termFreq(merci),termFreq(order),termFreq(pawn),termFreq(piec),termFreq(plai),termFreq(present),termFreq(queen),termFreq(rook),termFreq(root),termFreq(rule),termFreq(squar),termFreq(street),termFreq(trade),termFreq(white),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1259000400_000016,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",292,1,0,0,0,23,8,11,0,0,0,3,0,12,11,0,0,0,52,0,24,0,0,0,2,39,3,6,0,41,20,0,2,28,0,0,6,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,White . r HE Queen's Bishop's Pawn one Move. Black .. The qeen'sbifhopatthewhiteking's Knight . four th Square . st( () 8 W. The Queen at her Knight's third Square . B. The Queen's Bifiop at his King's Rook's fourth Square (a). 9 W. The King's Rook's Pawn takes the
0435700600_000015,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",288,1,0,0,0,32,8,11,0,0,0,3,0,13,11,0,0,0,55,0,21,0,0,0,2,35,3,6,0,39,17,0,2,26,0,0,3,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,7 jhi/e. JTHE Queen's Biflop's Pawn one Move. Black .. The Queen's Bishop at the while Kings Knight's fourth quare. 8 -62 8 W. The Queen at her Knight's third Square . B. The Queen's Bishop at his King's Rook's fourth Square (a). 9 W. The King's Rook's Pawn takes
0668400500_000027,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",326,1,0,0,1,22,4,8,0,0,0,0,0,8,3,0,0,0,51,0,44,0,1,0,1,47,2,2,1,53,34,0,0,39,0,0,4,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"to separate the Adversary's Pawns on that Side, as it is in the King's Gambits to separate them on the King's Side. 9 W. ( 125) 9 W. The Queen retakes the Bishop , and gives check . B. The Queen covers the Check . 10 W. The Queen takes"
1259000400_000014,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",290,0,0,0,1,23,8,3,0,0,0,2,0,9,15,0,0,0,44,0,30,0,0,0,2,45,1,8,1,48,16,0,0,32,0,0,2,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,King's Knight's fourth Square . 17 B. The King's Knight at his Rook's 3d Square . W. The Queen's Knight at his biwhop's third Square . i8. B. The Queen's Knight at his Bishop's third Square . W. The Queen at the black Queen's 4th Square . 19 B( (
0668400500_000005,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",236,0,0,1,0,22,3,9,0,0,0,0,1,6,15,0,0,0,41,0,19,0,1,0,2,38,2,3,1,23,17,0,1,27,0,0,4,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,King's fourth Square . B. The Knight at his King's Bishop's foorth . Square . 32 W. The Rook takes the Knight . B. The Pawn takes the Rook . -; y thekn 33 W. The Knight at the white Queen's third Square . B. The King's Bishop's Pawn one
0090701000_000002,"Analysis of the game of chess; a new edition, greatly enlarged. By A. D. Philidor.","Philidor, Francois Danican",269,1,0,0,0,28,4,4,0,1,0,0,0,8,3,0,0,0,43,0,28,0,1,0,5,48,4,7,1,39,18,0,2,22,0,0,2,1777,1,1,"London : printed for P. Elmsley, in the Strand, MDCCLXXVII. [1777].",London,316,male,1726,1795,FALSE,"an opening to his rook . (i) He plays this biflhop, to enable himself to pull afterwards his queen's bishop's pawn : you could, it is true, oblige him to double a pawn , by taking his king's biflop with that of your queen : but this would make an"
1259000400_000005,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",245,0,0,1,0,21,3,9,0,0,0,0,1,7,15,0,0,0,41,0,22,0,1,0,2,41,2,3,1,25,16,0,1,28,0,0,5,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,Queen's third Square . 31 W. The Knight at his King's fourth Square . B. The Knight at his King's Bishop's fourth Square . 32 W. The Rook takes the Knight . B. The Pawn takes the Rook . 33 W. The Knight at the white Queen's third Square .
0418300300_000005,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",251,0,0,1,0,24,3,9,0,0,0,0,1,7,15,0,0,0,43,0,22,0,1,0,2,41,2,3,1,26,17,0,1,28,0,0,4,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,at his Queen's third Square . 3i. Wy. The Knight at his King's fourth Square . B. The Knight at his King's Bishop's fourth Square . 32 W. The Rook takes the Knight . B. The Pawn takes the Rook . 33 ldk V The Knight at the ar. Queen's
0090701000_000032,"Analysis of the game of chess; a new edition, greatly enlarged. By A. D. Philidor.","Philidor, Francois Danican",246,2,0,0,0,17,2,6,0,0,0,1,0,6,4,0,0,1,44,0,34,1,1,0,3,29,6,12,0,35,12,0,0,28,0,0,2,1777,1,1,"London : printed for P. Elmsley, in the Strand, MDCCLXXVII. [1777].",London,316,male,1726,1795,FALSE,"in that party, may. very likely have hindered him from analysing and calculating this matter. (b) This move may be played in many different ways; but two only can properly be hazarded: the first is, to take the pawn with the bishop , and give check ; the other is,"
0477200300_000015,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",287,0,0,0,0,27,6,11,0,0,0,3,0,13,13,0,0,0,54,0,23,0,0,0,2,35,3,6,0,38,19,0,2,28,0,0,4,1750,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.L. [1750].",London,154,male,1726,1795,FALSE,"Game . FIFTH BACK game , From the seventh Move. 7- iwhite. T H E Queen's Bishop's Pawn one Move. Black . The Queen's Bishop at the white King's Knight's fourth Square . ( 62) 8 W. The Queen at her Knight's third Square . B. The Queen's Bishop at"
