PassageID,Title,Author,Total termFreq,termFreq(bacon),termFreq(bake),termFreq(beat),termFreq(beef),termFreq(boil),termFreq(bone),termFreq(bread),termFreq(brown),termFreq(butter),termFreq(clean),termFreq(close),termFreq(cold),termFreq(cover),termFreq(cream),termFreq(cut),termFreq(dish),termFreq(egg),termFreq(fat),termFreq(fine),termFreq(flour),termFreq(fry),termFreq(gravi),termFreq(half),termFreq(herb),termFreq(hot),termFreq(hour),termFreq(lai),termFreq(larg),termFreq(lemon),termFreq(littl),termFreq(mace),termFreq(meat),termFreq(mix),termFreq(nutmeg),termFreq(onion),termFreq(pan),termFreq(pepper),termFreq(pickl),termFreq(piec),termFreq(pint),termFreq(pot),termFreq(pound),termFreq(quarter),termFreq(roll),termFreq(round),termFreq(salt),termFreq(sauc),termFreq(season),termFreq(serv),termFreq(slice),termFreq(small),termFreq(spoon),termFreq(sugar),termFreq(sweet),termFreq(togeth),termFreq(veal),termFreq(water),termFreq(white),termFreq(wine),termFreq(yolk),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1039400400_000038,"The lady's complete guide; or, cookery in all its branches. Containing the most approved receipts, ... To which is added, ... The complete brewer; ... Likewise The family physician; ... By Mrs. Mary Cole, ...","Cole, Mary, cook",205,6,2,3,5,2,1,0,2,4,2,2,3,4,1,4,3,2,7,3,4,3,5,5,2,4,3,8,3,5,7,3,4,1,2,3,11,5,3,4,5,1,2,2,6,2,4,5,1,4,2,3,3,0,4,3,3,3,4,5,2,1791,1,1,"London : printed for G. Kearsley, 1791.",London,516,female,,,FALSE,"slew Beef Steaks. Lard the steaks here and there with large pieces of lard, put them in a flew pan with chopped parsley, shallots, thyme, laurel, salt , whole pepper , a little white wine ; flew slowly till done; serve either hot or cold . Clermont, 65 Another way."
0094600500_000035,"The lady's complete guide; or cookery in all its branches. Containing The most approved Receipts, confirmed by Observation and Practice, in every reputable English Book of Cookery now extant, besides a great Variety of others which have never before been offered to the Public. Also several translated from the Productions of Cooks of Eminence who have published in France, particularly M. Commo's Histoire de Cuisine, M. Disang's Maitre D'hotel, M. Dupont and M. Valois, M. Troas, and M. Delatour, with their respective Names to each Receipt; which, with the Original Articles, will form the most complete System of Cookery ever yet exhibited, under the following Heads, viz. Roasting, Boiling, Made-Dishes, Frying, Broiling, Potting, Fricassees, Ragouts, Soups, Sauces, Gravies, Hashes, Stews, Puddings, Custards, Cakes, Tarts, Pies, Pasties, Cheesecakes, Jellies, Pickling, Preserving, Confectionary, &c. To which is added, In order to rander it as complete and perfect as possible, the complete brewer; Containing Familiar Instructions for brewing all Sorts of Beer and Ale; including the proper Management of the Vault or Cellar. Also the family physician; Consisting of a considerable Collection of approved Prescriptions by Mead, Sydenham, Tissot, Fothergil, Elliot, Buchan, and others, including a certain Remedy for that formidable Disorder, the Dropsy, recommended by Persons respectable in the highest Degree. By Mrs. Mary Cole, Cook to the Right Hon. the Earl of Drogheda.","Cole, Mary, cook",198,6,2,4,4,3,1,1,2,3,1,3,2,4,1,8,3,2,6,3,3,2,5,3,3,2,4,8,3,3,4,2,8,1,2,4,9,4,3,3,5,1,3,2,5,2,3,7,1,2,3,3,3,0,5,3,3,4,3,3,2,1788,1,1,"London : printed for G. Kearsley, No. 46, Fleet-Street, MDCCLXXXVIII. [1788].",London,595,female,,,FALSE,"of sweet herbs , an anchovy, a piece of butter rolled in flour , a glass of white wine , and an onion ; cover them close , and let them stew softly till they are tender; then take out the steaks, flour them, fry them in fresh butter ,"
0510901200_000016,"The complete English cook; or, the art of cookery made plain and easy : Which far exceeds any Thing of the Kind yet Published. Containing, Directions For Marketing, Boiling, Hashing, Stewing, Roasting, Broiling Frying, Baking, &c. For Making Soups, Puddings, Pies, Tarts, Cakes, Custards, Cheese Cakes, Creams, Jellies, Syllabubs, Ragouts, Wines, &c. &c. With the order of a bill of fare, for each month, in the manner the Dishes are to be placed upon the Table. By A. Braidley.","Braidley, A.",212,6,0,4,3,5,0,1,3,8,2,2,1,2,4,7,4,8,1,5,3,4,2,4,4,1,1,6,2,4,9,4,3,2,3,5,8,6,1,5,4,0,4,6,3,2,4,8,3,2,3,4,2,1,4,4,2,5,2,2,4,1786,1,1,"London : printed for the author; and sold by B. Law, Ave-Maria-Lane; and W. Phorson, Berwick, 1786.",London,155,unknown,,,FALSE,"lo Fricaefi a Goopfr Roast your goose, and before it is quite done, cut and notch it with a knife long w.ays, then Iafli it across, and strew pepper and salt over it, then lay it in your pan , with the skinny fide downwards, till it has taken a"
0185200600_000010,"The universal cook, and city and country housekeeper. Containing all the various branches of cookery: the different methods of dressing Butchers Meat, Poultry, Game, and Fish; and of preparing gravies, cullices, soups, and broths; to dress roots and vegetables, and to prepare Little elegant Dishes for Suppers or light Repasts: to make all sorts of pies, puddings, pancakes, and fritters; cakes, puffs, and biscuits; cheesecakes, tarts, and custards; creams and jams; blanc mange, flummery, elegant ornaments, jellies, and syllabubs. The various Articles in candying, drying, preserving, and pickling. The preparation of hams, tongues, bacon, &c. Directions for trussing poultry, carving, and marketing. The making and management of Made Wines, Cordial Waters, and Malt Liquors. Together with Directions for Baking Bread, the Management of Poultry and the Dairy, and the Kitchen and Fruit Garden; with a Catalogue of the various Articles in Season in the different Months of the Year. Besides a Variety of useful and interesting tables. The Whole Embellished with The Heads of the Authors, Bills of Fare for every Month in the Year, and proper Subjects for the Improvement of the Art of Carving, elegantly engraved on fourteen Copper-Plates. By Francis Collingwood, and John Woollams, Principal cooks at the Crown and Anchor Tavern in the Strand. Late from the London Tavern.","Woollams, John",212,3,2,2,13,5,3,1,3,5,0,1,2,3,1,10,6,2,4,1,2,5,4,5,3,3,1,7,3,2,10,2,5,2,5,2,7,5,2,5,3,2,3,1,6,2,9,3,1,4,3,5,3,0,4,4,2,4,1,3,2,1792,1,1,"London : printed by R. Noble, for J. Scatcherd and J. Whitaker, No. 12, Ave-Maria-Lane, 1792.",London,491,unknown,,,FALSE,"difl of hot coals, with a bit or two of charcoal to keep it alive. You muss take care that the bone be chopped chopped so close ) that the meat.may lie perfectly flat in the dish . When the bees is enough, take it up, lay it in the"
0556301200_000078,"The english art of cookery, according to the present practice; being a complete guide to all housekeepers, on a plan entirely new; consisting of Thirtyeight Chapters. Containing Proper Directions for Marketing, and Trussing of Poultry. The making Soups and Broths. Dressing all sorts of Fish. Sauces for every Occasion. Boiling and Roasting. Baking, Broiling, and Frying. Stews and Hashes. Made Dishes of every sort. Ragous and Fricasees. Directions for dressing all sorts of Roots and Vegetables. All Sorts of Aumlets and Eggs. Puddings, Pies, Tarts, &c. Pancakes and Fritters. Cheese-Cakes and Custards. Blanc'mange, Jellies, and Syllabubs, Directions for the Sick. Directions for Seafaring Men. Preserving, Syrups, and Conserves. Drying and Candying. All sorts of Cakes. Hogs Puddings, Sausages, &c. Potting, and little cold Dishes. The art of Carving. Collaring, Salting, and Sousing. Pickling. To keep Garden Vegetables, &c. A Catalogue of Things in Season. Made wines and Cordial Waters. Brewing. English and French Bread, &c. With Bills of Fare for every Month in the Year. By Richard Briggs, Many Years Cook at the Globe-Tavern, Fleet-Street, the White-Hart Tavern, Holborn, and now at the Temple Coffee-House, London.","Briggs, Richard",235,4,2,3,1,9,1,2,4,4,2,2,1,2,1,11,3,11,3,5,2,2,3,10,2,6,4,8,0,9,10,5,4,1,4,4,6,5,2,4,5,1,9,1,5,1,3,2,2,0,3,1,2,0,3,2,19,2,2,0,10,1798,1,1,"Dublin : printed for P. Byrne, No. 108, Grafton-Street, 1798.",Dublin,580,unknown,,,FALSE,"into pieces and boiled tender, some force meat balls boiled , the juice of half a lemon , and give them a boil up; take out the olives, cut the ftrings of, put them in a dill, pour pour the sauce over them, and garnish with lemon and beet root."
0650000800_000009,"The complete English cook; or, prudent housewife. Being an entire new collection of the most genteel, yet least expensive receipts in every branch of cookery and good housewifery. Viz. Roasting, Boiling, Stewing, Ragoos, Soups, Sauces, Fricaseys, Pies, Tarts, Puddings, Cheesecakes, Custards, Jellies, Potting, Candying, Collaring, Pickling, Preserving, Made Wines, &c. Together with the Art of Marketing. And Directions for placing Dishes on Table for Entertainments: Adorned with proper Cuts, and many other Things equally necessary. The Whole made easy to the meanest Capacity, and far more Useful to Young Beginners than any Book of the Kind ever yet published. By Catharine Brooks of Red-Lyon-Street. To which is added, the physical directory; Being near two Hundred safe and certain Receipts for the Cure of most Disorders incident to the Human Body. Also the whole Art of Clear-Starching, Ironing, &c.","Brooks, Catharine",233,1,6,4,0,7,2,3,4,13,2,0,2,2,3,10,3,6,1,6,3,7,5,9,4,2,1,2,1,7,16,3,2,3,6,2,7,6,1,3,1,0,5,1,3,1,6,2,2,5,5,4,2,1,4,7,1,2,8,4,4,1770,1,1,"London : printed for the authoress, and sold by J. Cooke, at Shakespear's Head, in Pater-Noster-Row, [1770?].",London,140,female,,,FALSE,"red Wine scalding hot , and put to them, then tie them down again, and let them stand four or five Days before youjen them, and they will be very fine and firi For making ginger bread . Take Half a Pound of brown Sugar , a Pound and a"
0461800500_000024,"The young ladies' guide in the art of cookery: being a collection of useful receipts, Published for the Convenience of the Ladies committed to her Care. By Eliz. Marshall.","Marshall, Elizabeth",245,8,1,5,3,9,2,6,9,6,2,0,2,2,1,6,2,10,1,2,3,4,6,8,6,2,3,8,0,9,15,7,3,3,7,3,5,5,0,6,3,1,2,0,1,2,6,2,4,4,2,2,0,1,8,3,9,1,5,4,5,1777,1,1,"Newcastle : printed by T. Saint, for the author, MDCCLXXVII. [1777].",Newcastle upon Tyne,214,female,,,FALSE,"yolks of two eggs well beat ; pour out the butter you fried them in, and put in your sauce ; ihake it together , and dith them up with lambs stones and sweet breads fried brown ; garniih your dill with lemon , morels, and truffles. WHITE SCOTCH COLLOPS."
0492301500_000034,"The modern cook; and frugal housewife's compleat guide to every branch in displaying her table to the greatest advantage, viz. The Judgment of Meat at Market; With Directions for Roasting. Boiling. Hashing. Stewing, Broiling, Frying, Tricassdying, and Baking; Also for Making Puddings, Custards, Cakes, Cheese Cakes, Pils, Tarts, Ragouts, Soups, Creams, Jellies, Syllabues, Wines, &c. &c. And several select Papers by a Lady of Distinction, lately deceased, of New and in infallible Rules to be observed in Pickling, Preserving, Brewing, &c. By E. Spencer, Late Principal Cook to a Capital Tavern in London.","Spencer, E.",211,3,0,2,3,8,0,4,5,7,0,1,1,1,1,6,2,6,3,1,6,3,6,6,6,3,2,3,2,5,6,6,8,3,2,4,7,7,2,3,3,2,3,2,2,1,7,2,4,4,2,1,3,0,6,5,4,2,5,3,6,1782,1,1,"Newcastle upon Tyne : printed for the author, 1782.",Newcastle upon Tyne,169,unknown,,,FALSE,"make some force meat with that you cut off the tail, but take care of the ktin, and put to it a handful of parboiled oysters, a tail or two of lobaer,. the yolks of three or four eggs boiled hard, six anchovies, a handful of' sweet herbs shred finall,"
0491900600_000020,"The modern art of cookery improved: or, elegant, cheap, and easy methods, of preparing most of the dishes now in vogue; In the Composition whereof Both Health and Pleasure have been consulted. By, Mrs. Ann Shackleford, of Winchester. To which is added, an appendix; containing a dissertation on the different kinds of food, their nature, quality, and various uses. By a physician. And a marketing manual, And other useful Particulars. By the editor.","Shackleford, Ann",206,2,2,2,5,7,3,3,3,6,7,5,0,6,1,4,5,1,3,3,4,1,2,5,6,1,3,2,3,7,8,5,2,0,2,5,8,5,1,5,2,2,2,2,5,2,5,7,3,1,2,1,2,0,5,3,9,2,4,3,1,1767,1,1,"Dublin : printed for William Colles, in Dame-Street, [1767?].",Dublin,312,female,,,FALSE,"it is not thick enough, roll a piece of butter in flour ; put in half a glass of white wine , and your force meat balls; toss up all together , till your sauce is of a good thickness; squeeze in a little lemon pour your sauce over the"
1378000200_000020,"The art of cookery, made plain and easy; Which far exceeds any thing of the kind yet published. Containing, I. How to roast and boil to perfection every thing necessary to be sent up to table. II. Of made-dishes. III. How expensive a French cook's sauce is. IV. To make a number of pretty little dishes for a supper or side-dish, and little corner-dishes for a great table. V. To dress fish. VI. Of soops and broths. VII. Of puddings. VIII. Of pies. IX. For a lent dinner; a number of good dishes, which you may make use of at any other time. X. Directions to prepare proper food for the sick. XI. For captains of ships; how to make all useful things for a voyage; and setting out a table on board a ship. XII. Of hogs-puddings, sausages, &c. XIII. To pot and make hams, &c. XIV. Of pickling. XV. Of making cakes, &c. XVI. Of cheese-cakes, creams, jellies, whip-syllabubs, &c. XVII. Of made wines, brewing, French bread, muffins, &c. XVIII. Jarring cherries and preserves, &c. XIX. To make anchovies, vermicella, catchup, vinegar, and to keep artichokes, french beans, &c. XX. Of distilling. XXI. How to market; the seasons of the year for butchers meat, poultry, fish, herbs, roots, and fruit. XXII. A certain cure for the bite of a mad dog. By Dr. Mead. XXIII. A receipt to keep clear from buggs. To which are added, by way of appendix, one hundred and fifty new and useful receips, and a copious index. By a lady.",Hannah Glasse,222,2,3,2,2,9,5,2,5,7,1,0,0,1,1,7,7,3,1,8,9,3,7,6,4,1,0,6,1,6,11,3,7,1,2,2,7,6,1,6,4,0,1,1,3,3,4,5,2,1,1,2,6,0,1,6,11,5,4,4,3,1765,1,1,"London : Printed for A. Millar, J. and R. Tonson, W. Strahan, T. Caslon, T. Durham, and W. Nicoll, M.DCC.LXV. [1765].",London,418,female,1708,1770,TRUE,"the meat in the middle that it don't lie on the dish , then crate fbme nutmeg all over it, a few fweet herbs shred small , fobne crumbs of bread , a little lemon peel cut fine , and then flour it all over; stick pieces of butter in"
