PassageID,Title,Author,Total termFreq,termFreq(albion),termFreq(beauti),termFreq(beneath),termFreq(black),termFreq(bodi),termFreq(bright),termFreq(cloud),termFreq(couch),termFreq(dai),termFreq(dark),termFreq(death),termFreq(deep),termFreq(delight),termFreq(divin),termFreq(earth),termFreq(etern),termFreq(father),termFreq(fear),termFreq(femal),termFreq(form),termFreq(forth),termFreq(god),termFreq(gold),termFreq(green),termFreq(hand),termFreq(happi),termFreq(harrow),termFreq(head),termFreq(heard),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(human),termFreq(immort),termFreq(jerusalem),termFreq(joi),termFreq(know),termFreq(lamb),termFreq(life),termFreq(light),termFreq(littl),termFreq(loud),termFreq(love),termFreq(mild),termFreq(morn),termFreq(mother),termFreq(nation),termFreq(night),termFreq(piti),termFreq(power),termFreq(round),termFreq(satan),termFreq(sea),termFreq(self),termFreq(seven),termFreq(shadow),termFreq(silent),termFreq(sleep),termFreq(soft),termFreq(son),termFreq(song),termFreq(space),termFreq(spectr),termFreq(starri),termFreq(stood),termFreq(sun),termFreq(sweet),termFreq(tear),termFreq(terribl),termFreq(thro),termFreq(time),termFreq(trembl),termFreq(voic),termFreq(war),termFreq(weep),termFreq(wept),termFreq(world),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0836400318_000009,A classical arrangement of fugitive poetry. Vol. XVIII.,,95,0,0,1,1,0,3,1,1,2,2,1,1,0,6,3,5,1,0,0,1,0,5,0,0,1,3,0,0,1,2,7,2,0,1,0,4,1,0,0,2,0,1,3,0,2,0,0,0,1,5,0,0,0,1,0,0,1,2,3,1,2,0,0,1,1,0,1,3,0,0,1,1,4,0,1,0,2,0,1797,18,18,"London : printed for, and under the direction of, George Cawthorn, British Library, Strand, 1797.",London,175,unknown,,,FALSE,"maid, with up c : st eyes I Descend, in thy celestial shroud, Vested in a weeping cloud ! Holy guide, descend, and bring Mercy from th' Eternal King! To his soul your beams impart, And whisper comfort to his heart ! They come: 0 King, thine ear incline I"
0134304900_000002,The cure of Saul. A sacred ode. Written by Dr. Brown. The music composed by Mr. Arnold.,John Brown,91,0,0,1,1,1,1,2,1,1,2,1,3,0,3,1,2,1,0,0,0,0,4,0,0,1,2,0,1,1,5,10,2,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,1,3,2,1,10,0,0,1,0,0,2,3,0,0,0,2,3,0,3,0,2,0,1767,1,1,"London : printed for L. Davis and C. Reymers, over-against Gray's-Inn-Gate, Holbourn, Booksellers to the Royal Society, MDCCLXVII. [1767].",London,17,male,1735,1766,TRUE,"is Peace the welcome Gucfl Of ev'rv Heart but mine! recit.acc. Now let the solemn Numbers flow, Till he feel that Guilt is Woe. Heavenly Harp, in mournful Strain Over yon weeping Bower complain: What Sounds of bitter Pangs I hear! What Lamentations wound mine Ear! In vain, devoted Pair,"
0388500200_000036,The death of Abel. In five books. Attempted from the German of Mr. Gessner.,Salomon Gessner,90,0,1,0,1,1,0,1,0,0,2,3,1,1,2,5,6,0,2,0,1,2,12,0,0,4,1,0,2,0,2,3,2,1,1,0,4,0,0,2,1,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,0,3,1,0,1,0,0,0,1,1,1,0,1,0,0,0,3,3,0,1,0,1,0,1797,1,1,"London : published Jany. 7th. 1797. by T. Heptinstall Fleet Street, [1797].",London,288,male,1730,1788,FALSE,"impurities, yet thou hast not turned thy face from us: thou still vouchsafest to look on us, in our misery, with a propitious eye. Thou permittest us to implore thee. Thou hast not abandoned the sinner. Eternal praises rise to thee! Thy works, O GOD , render thee praise! The"
0310300301_000006,"A selection of poems sacred and moral, by W. Winterbotham. ...",,90,0,0,1,0,0,1,2,0,2,1,0,2,0,0,2,4,0,1,0,1,1,8,1,1,4,0,0,1,0,2,2,1,1,1,0,3,0,0,2,4,0,1,4,0,2,0,1,4,0,0,2,0,0,0,0,0,2,0,1,1,1,2,0,2,1,5,1,1,0,0,1,1,1,0,0,0,4,3,1796,1,2,"London : printed for the editor, & sold by H.D. Symonds, & W. Button, Paternoster Row, 1796[1797].",London,160,unknown,,,FALSE,"Ye flocks that haunt the humble vales Ye insects'fluttering on the gale, In rmutual concourse rise; Crop the gay rose's vermeil bloom, And waft its spoils, a sweet perfume, In incense to the skies. wtake all ye mounting tribes, and sing; Ye plumy warblers of the spring, Harmonious anthems raise"
0883000500_000007,"Edward and Eleonora. A tragedy, altered from James Thomson, and adapted to the stage by Thomas Hull. As performed at the Theatre-Royal, Covent-Garden.",James Thomson,82,1,1,2,0,0,2,1,2,1,0,2,0,0,0,2,2,0,3,0,0,0,0,0,0,3,2,0,0,1,0,4,0,0,0,0,0,1,0,2,2,6,1,6,1,1,2,0,0,1,2,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,3,1,8,0,0,0,2,1,0,2,1,1,3,1795,1,1,"London : printed for, and under the direction George Cawthorn, British Library, Strand, MDCCXCV. [1795].",London,55,male,1700,1748,TRUE,"tears , and in her bosom kept Her sighs repressed: nor did the near approach Of the pale King of Terrors dim her beauty No, rather adding to her charms, it breathed A certain mournful sweetness through her features. But as th' increasing bane more desperate grew, Wild to her"
1234801500_000004,Sannazarius on the birth of our Saviour. Done into English verse. And humbly inscrib'd to the gentlemen of the learned society of Spalding in the county of Lincoln. By a member of the said society.,Jacopo Sannazaro,87,0,1,1,1,0,1,1,0,1,1,3,0,2,4,9,1,0,2,0,2,1,1,3,0,3,1,0,3,0,0,5,0,0,0,0,0,1,0,1,3,0,0,0,1,0,1,0,2,0,0,2,2,2,0,0,0,2,0,0,5,1,2,0,1,0,2,2,1,0,0,1,3,0,2,1,0,1,1,1736,1,1,"London : printed for W. Lewis, in Covent-Garden, MDCCXXXVI. [1736].",London,78,male,1458,1530,FALSE,"and Scourges torn, He hangs, the Object of the common Scornl 350 To all the Rage of poplar Frenzy given, out cast of Men, and derelict of Heaven ! Yet, with what Mildness yields his sacred Breath, And how intrepid meets approaching Death ! To Heaven ('tis all he can)"
0339401800_000039,The death of Abel. In five books. Attempted from the German of Mr. Gessner.,Salomon Gessner,84,0,2,0,0,1,1,0,1,0,1,2,1,3,1,2,1,1,0,0,0,1,2,0,0,3,2,0,0,1,5,3,1,2,1,0,3,4,0,3,2,3,0,5,0,0,1,0,4,1,0,1,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,3,2,0,0,0,1,1,0,3,1,0,1,1765,1,1,"London : printed for J. Dodsley, in Pall-Mall, J. Collyer, in Plough Courtfetter Lane, and F. Newbery, in Pater-Noster-Row, M.DCCLXV. [1765].",London,288,male,1730,1788,FALSE,"despair, yet a little longer behold your dwellings. In pity to my unspeakable an guifi, allow me to weep here yet a little longer. Suffer me to raise to Heaven my bloody hands for your happiness . Then I go -- Hail, hail ye -- - Ah wretch! wilt thou"
0176400700_000039,The death of Abel. In five books. Attempted from the German of Mr. Gessner.,Salomon Gessner,82,0,2,0,0,1,1,0,1,1,1,2,1,3,1,3,2,1,0,0,0,1,2,0,0,2,1,0,0,1,4,2,1,1,1,0,4,4,0,4,2,1,0,5,0,0,1,0,3,0,0,1,0,0,0,0,0,2,4,1,0,0,0,0,1,0,0,3,3,0,0,0,1,1,0,3,1,0,1,1761,1,1,"London : printed for R. and J. Dodsley, in Pall-Mall; D. Wilson, at Plato's Head; T. Durham, at the Golden Ball in the Strand, and M. Collyer, in Plough-Court, Fetter-Lane, MDCCLXI. [1761].",London,285,male,1730,1788,FALSE,"nightjour ditirefs, your terrors might leave you to dwell in my wretched bosom, fit companions in my wanderings on an earth whose curse SHARE increased. Oh that I alone could endure the punishment due to my crime! May your memories never be difturb'd by my horrid image! Oh that I"
0670700500_000002,The cure of Saul. A sacred ode. Written by Dr. Brown. The music composed by Mr. Arnold.,John Brown,89,0,0,1,1,1,1,2,1,1,2,1,3,0,3,1,2,1,0,0,0,0,3,0,0,1,2,0,2,1,5,10,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,3,1,0,0,0,0,0,1,3,2,1,13,0,0,0,0,0,2,2,0,0,0,2,2,0,3,0,2,0,1767,1,1,"London : printed for L. Davis and C. Reymers, over-against Gray's-Inn-Gate, Holbourn, Booksellers to the Royal Society, MDCCLXVII. [1767].",London,18,male,1735,1766,TRUE,"hail, ye sinless Parents of Mankind! PART P A R T II Recit. H E Y paused: - the Monarch, prostrate on his Bed, T Submissive bowed his Head ; Adored the Works of boundleis Power divine : Then anguifh ftruck, he cried (and smote his Breaftl. Socng, Why, why"
0398601102_000032,"The Messiah. Attempted from the German. Of Mr Klopstock, ...",Friedrich Gottlieb Klopstock,86,0,1,0,0,0,0,2,0,0,0,8,0,0,0,5,0,2,0,0,1,2,2,0,0,0,1,0,5,1,1,5,2,2,3,2,1,2,0,1,0,0,1,2,0,0,6,0,1,1,0,3,0,1,0,2,0,3,0,2,1,1,0,0,0,1,0,1,2,0,0,2,4,1,0,1,1,0,0,1769,2,3,"London : printed for J. Collyer, & sold by J. Dodsley, T. Caslon, and F. Newbery, 1769-71.",London,297,male,1724,1803,FALSE,"to the earth . The progenitors of mankind saw the numberless band coming in the du(ky clouds : myriads of myriads of immortals ; a majestic train of thinking beings, that have existed ever since the creation' Now the mother of men, astonished, turned from the cross her attentive eye."
