PassageID,Title,Author,Total termFreq,termFreq(agreeabl),termFreq(answer),termFreq(attent),termFreq(ball),termFreq(believ),termFreq(better),termFreq(brother),termFreq(certainli),termFreq(convers),termFreq(cri),termFreq(dai),termFreq(danc),termFreq(daughter),termFreq(even),termFreq(famili),termFreq(feel),termFreq(felt),termFreq(friend),termFreq(girl),termFreq(happi),termFreq(have),termFreq(hear),termFreq(heard),termFreq(herself),termFreq(hope),termFreq(hous),termFreq(ill),termFreq(know),termFreq(ladi),termFreq(leav),termFreq(littl),termFreq(long),termFreq(love),termFreq(manner),termFreq(mean),termFreq(miss),termFreq(mother),termFreq(parti),termFreq(pleasur),termFreq(pride),termFreq(quit),termFreq(realli),termFreq(repli),termFreq(room),termFreq(saw),termFreq(sir),termFreq(sister),termFreq(speak),termFreq(sure),termFreq(think),termFreq(thought),termFreq(time),termFreq(wish),termFreq(woman),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0849600301_000037,Ellen and Julia. A novel in two volumes. By Mrs. Parsons. ...,Eliza Parsons,97,1,2,1,0,1,0,0,1,1,2,1,0,3,3,1,2,2,3,2,0,2,1,0,2,1,1,0,1,11,0,2,0,3,4,2,1,4,2,0,0,0,1,3,0,2,0,1,1,1,6,4,3,0,5,2,5,1793,1,2,"London : printed for William Lane, at the Minerva-Press; and sold by E. Harlow, 1793.",London,299,female,1738,1811,TRUE,"was gay to excess, she followed every fashion, partook of every amusement, and being handsome, was consequently pretty freely censured, how far file deserved it may appear hereafter. In the course of the evening Lady Booty had pretty well exhausted her own spirits and the patience of her auditors; the"
0265800902_000026,The favourite. A moral tale. Written by a lady of quality. In two volumes. ...,Lady of quality,90,3,0,1,0,1,1,0,1,1,1,2,0,6,0,1,1,1,1,1,2,10,2,0,4,4,0,2,0,8,2,1,0,1,1,0,5,4,1,1,0,2,2,3,0,0,3,1,0,0,2,0,1,1,3,2,0,1771,2,2,"London : printed for R. Baldwin, 1771.",London,230,female,,,FALSE,"as she was married, that he really imagined she approved of his gallantry to Lady Filmer. lady Grey was actually indiscreet, to the highest degree, in this affair: foras it was her very improper behaviour to her daughter , from her foolish partiality, which recommended him to her, she not"
0849600302_000028,Ellen and Julia. A novel in two volumes. By Mrs. Parsons. ...,Eliza Parsons,93,0,3,1,0,1,0,3,1,2,1,0,0,0,3,4,1,0,3,1,1,7,0,0,1,0,3,0,4,7,1,1,1,2,1,2,3,2,1,2,0,0,1,6,1,3,4,3,1,0,4,1,0,2,1,1,2,1793,2,2,"London : printed for William Lane, at the Minerva-Press; and sold by E. Harlow, 1793.",London,302,female,1738,1811,TRUE,"of your worth, and has only the cold claim of affinity to boast of, can he supercede our rights to your preferable love and fiiehdfhip No, my dear Madam, replied Julia, do not think so meanly of me as to suppose I am so ungrateful as ever to feel superior"
0100801101_000005,"Milistina: or, the double interest. A novel in two volumes. ... . Dedicated to the Marchioness Townshend.",,86,0,0,2,3,0,0,4,0,1,0,1,1,2,1,1,1,0,0,0,2,9,0,0,2,4,0,1,6,9,3,1,2,2,0,0,4,2,1,4,1,0,1,2,1,2,1,1,0,1,0,2,1,2,1,1,0,1797,1,2,"London : printed and sold by Sampson Low, Berwick Street, Soho, and C. Law, Ave-Maria Lane, 1797.",London,221,unknown,,,FALSE,"such a contrast to the important ease of the Viscount's address, as soon to create a mutual dislike. Lord Sec 3 vern vern immediately inquired after Mi liftina, with the full assurance that Lady Berrel would send to inform her of the arrival of the noble visitants, but in this"
0055500302_000032,"The history of Emily Willis, a natural daughter. In two volumes. ...",,103,0,0,0,0,1,1,2,2,0,1,0,0,5,0,6,0,0,0,4,2,12,0,2,2,2,0,0,1,12,2,1,0,0,1,3,6,4,1,0,2,0,0,0,1,0,5,5,0,2,3,4,1,1,1,1,4,1768,2,2,"London : printed for F. Noble, at his Circulating Library, near Middle-Row Holborn; and J. Noble, at his Circulating Library, in St. Martin's-Court, near Leicester-Square, MDCCLXVIII. [1768].",London,222,unknown,,,FALSE,"take the Part of their own Family , though' they are ever so much in the wrong! I swear, I believe , if your Uncle was to commit a Murder, and I think Fornication is not much better , your Father would certainly defend it. why, to be sure ,"
0029000104_000037,"Henry and Isabella; or, a traite through life. By the author of Caroline, or the diversities of fortune. In four volumes. ...","Hughes, Anne",90,0,1,1,0,2,0,2,1,0,1,1,0,7,2,2,1,0,1,1,2,8,2,2,2,1,0,1,0,14,1,1,0,1,2,1,5,3,2,0,0,0,3,1,0,0,4,1,2,0,2,0,1,0,2,1,2,1788,4,4,"London : printed for William Lane, Leadenhall-Street, 1788.",London,257,female,,,FALSE,"from the parlour window, and protested, that Furze i ill appeared .to be one of the sweetest little habitations she had ever beheld. They had not been many minutes seated, before Lady Belford thanked Mrs. Mordant for her direction to the, Grove. This introduced the fulbjcd of Juliana's supposed situation,"
0265800901_000016,The favourite. A moral tale. Written by a lady of quality. In two volumes. ...,Lady of quality,75,1,1,0,3,1,1,0,0,0,0,0,0,3,0,0,1,2,1,1,2,3,0,1,1,0,0,0,0,7,1,2,0,3,1,1,4,1,2,2,2,1,0,3,1,0,10,1,1,1,1,0,3,1,2,1,1,1771,1,2,"London : printed for R. Baldwin, 1771.",London,211,female,,,FALSE,"I should, were I heartily in for it, only think of making the person whom I loved happy -- on't mistake me Hebe,, (feeing her start) I mean innocently so."" ""I believe you,"" replied Miss Cranmer,, ""' but yet give me leave , Eudofia, to say,. that when a woman"
0352200700_000021,"Orwell Manor. A novel, by Mary Elizabeth Parker.",Mary Elizabeth Parker,88,1,0,2,2,0,1,1,0,2,0,2,2,1,4,2,0,4,1,2,0,2,0,1,2,1,1,1,0,18,0,3,2,3,1,1,2,4,3,0,0,0,0,0,4,0,0,1,0,1,1,2,2,0,1,1,3,1795,1,1,"Dublin : printed for P. Wogan, P. Byrne, W. Jones, and J. Rice, 1795.",Dublin,349,female,,,FALSE,"tell the goddess of her attributes, and dreaded the lightning of her eye would cruflh him for presumption. The The play being over, Lord Maldown presented his hand to Gertrude; and when they reached the lobby, offered the other to Armenia. George Gordon took charge of Mrs. Byron and Annette;"
0018600205_000044,"Ethelinde, or the recluse of the lake. By Charlotte Smith. In five volumes. ...",Charlotte Turner Smith,74,1,1,1,0,1,0,2,1,1,0,4,0,2,0,2,1,1,0,0,3,6,1,0,3,2,0,1,1,5,2,2,2,1,1,0,0,2,1,3,1,1,0,1,1,2,0,1,0,1,2,1,2,0,2,3,2,1790,5,5,"London : printed for T. Cadell, in the Strand, M.DCC.XC. [1790].",London,342,female,1749,1806,TRUE,"to be (hewn more more agreeable visions, and to have the great probability of his return represented, to her: while she indulged herself in dwelling on the transports with which she should embrace him; the happiness which would crown her latter days in feeing himlunited to Ethelinde; and how much"
0709800601_000041,"The errors of education. In three volumes. By Mrs. Parsons, ...",Eliza Parsons,108,0,3,0,0,1,2,0,2,1,1,1,0,2,1,2,1,2,1,5,0,12,0,0,3,0,1,0,0,15,1,2,0,0,2,1,5,3,1,2,0,1,3,2,0,1,14,0,0,1,1,2,3,1,2,1,3,1791,1,3,"London : printed for William Lane, at the Minerva Press, 1791.",London,249,female,1738,1811,TRUE,"the old lady ) when the was presented at Court, and a most charming woman I thought her. My Lord soon took her to Scotland, from whence, I believe , she has never returned."" Whilst Lady Summers was addressing Sir William, the Colonel was busy in entertaining Miss Summers and"
