PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(alik),termFreq(ancient),termFreq(arm),termFreq(art),termFreq(bold),termFreq(bright),termFreq(care),termFreq(critic),termFreq(dai),termFreq(die),termFreq(dull),termFreq(ear),termFreq(earth),termFreq(eas),termFreq(end),termFreq(ey),termFreq(face),termFreq(fair),termFreq(fall),termFreq(fame),termFreq(fate),termFreq(flow),termFreq(fool),termFreq(forc),termFreq(form),termFreq(friend),termFreq(give),termFreq(god),termFreq(grace),termFreq(hair),termFreq(half),termFreq(hand),termFreq(head),termFreq(heart),termFreq(honour),termFreq(human),termFreq(judg),termFreq(judgment),termFreq(know),termFreq(law),termFreq(learn),termFreq(lie),termFreq(life),termFreq(light),termFreq(littl),termFreq(lock),termFreq(long),termFreq(lord),termFreq(love),termFreq(merit),termFreq(mind),termFreq(muse),termFreq(nai),termFreq(natur),termFreq(nymph),termFreq(oft),termFreq(old),termFreq(order),termFreq(past),termFreq(place),termFreq(plea),termFreq(poet),termFreq(prais),termFreq(pride),termFreq(proud),termFreq(rage),termFreq(reason),termFreq(ring),termFreq(rise),termFreq(round),termFreq(rule),termFreq(sens),termFreq(soft),termFreq(soul),termFreq(state),termFreq(sun),termFreq(tast),termFreq(think),termFreq(thought),termFreq(thousand),termFreq(thro),termFreq(true),termFreq(vain),termFreq(wit),termFreq(work),termFreq(world),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0992100500_000023,The works of Mr. Alexander Pope.,Alexander Pope,124,0,1,3,2,5,3,0,0,8,1,0,1,1,0,2,0,1,0,0,1,1,0,1,1,0,1,3,2,0,2,0,0,0,3,1,1,0,4,0,1,5,8,0,0,1,1,0,2,0,1,2,1,6,2,2,0,0,1,1,1,3,0,6,4,1,2,0,1,0,1,0,3,2,0,1,0,0,1,0,1,0,0,0,0,7,3,1,3,1717,1,1,"London : printed by W. Bowyer, for Bernard Lintot between the Temple-Gates, 1717.",London,422,male,1688,1744,TRUE,"There are as mad, abandoned Critics too. The bokfdl bloclkhead, ignorantly read, With loads of learned lumber in his head , Wit With his own tongue lill edifies his ears , And always listening to himself appears. All books he reads, and all he reads assails, From Dryden's Fables down"
1269100300_000027,"A select collection of poems, viz. An essay on man, An essay on criticism, The Messiah, &c. By Alexander Pope, Esq; Together with an account of the life of the author.",Alexander Pope,122,0,1,2,3,4,3,0,0,9,1,0,4,1,0,0,0,2,0,0,1,1,0,0,2,0,1,3,2,0,2,0,0,1,2,0,2,0,3,0,1,3,8,0,0,1,1,0,4,0,1,2,1,2,2,1,0,0,2,1,0,3,0,7,4,1,2,2,1,0,1,0,1,2,0,1,0,0,1,0,1,0,0,2,1,4,3,2,3,1792,1,1,"Paisley : printed by J. Neilson, for Robert Smith, Bookseller, M,DCC,XCII. [1792].",Paisley,136,male,1688,1744,TRUE,"be so civil as to prove unjust. Fear not the anger of the wife to raise; Those bell can bear reproof, who merit praise . Twere well might critics fill this freedom take, lbit Appins reddens at each word you speak, And flares, tremendous, with a threatening eye ,. Like"
0366500503_000029,"Roach's beauties of the poets of Great Britain carefully selected and arranged from the works of the most admired authors Particularly Milton, Pope, Dryder, Thomson, Addison, Goldsmith, Johnson, Young, Blair, Gray, Prior, Theristone, Mallet, Corper, Collins, Parnell, Beattie, Moore, Chatterton, Buckingham, Duncombe, Armstrong, Peroy, Cotton, &c. &c. In six volumes ...",,119,0,1,2,3,4,4,0,0,8,1,0,4,1,0,1,0,1,0,0,1,1,0,0,2,0,1,3,2,0,2,0,0,1,2,0,2,0,2,0,1,4,8,0,0,1,1,0,4,0,1,1,1,2,2,1,0,0,2,1,0,3,0,7,2,1,2,2,1,0,1,0,2,3,0,1,0,0,0,0,1,0,0,1,1,5,2,2,3,1794,3,6,"London : printed by J. Roach, at the Britannia Printing Office: Weburn Street New Drury Theatre Royal, 1794-[95].",London,249,unknown,,,FALSE,"moil to tax an honourable fool , Whose right it is, uncenfur'd to be dull ; Such, without wit , are poets when they please, As without learning they can take degrees. Leave dangerous truths to unsuccessful satires, And flattery to fuifome dedicators, Whom, when they praise , the world"
0306200800_000006,"An essay on criticism. By Alexander Pope, Esq; with The Messiah.",Alexander Pope,118,0,1,3,3,4,4,0,0,8,1,0,3,1,0,0,0,1,0,0,1,1,0,1,1,0,1,3,1,0,2,0,0,1,2,0,1,0,2,0,1,4,8,0,0,1,1,0,4,0,1,1,1,2,1,2,0,0,2,1,0,3,0,6,2,1,2,2,1,0,1,0,3,3,0,1,0,0,1,0,1,0,0,0,1,6,3,1,4,1765,1,1,"London : printed in the year, MDCCLXV. [1765].",London,28,male,1688,1744,TRUE,"charitably let the dull be vain : Your silence there is better than your spite, For who can rail so long as they can write ? Still humming on, their drowsy course they keep, And lashed so long , like tops, are lashed asleep. FALSE steps but help them to"
0374400200_000021,"A collection of poems. Containing An Essay on Man. The universal prayer. Eloisa to Abelard. Messiah: A sacred Eclogue. An Ode on Solitude. An Essay on Criticism. The last day. An Elegy written in a Country Church-Yard. Hymn to Adversity. The Grave. The Hermit. A Night-Piece on Death. The Splendid Shilling The Deserted Village. The Traveller. A Pastoral Ballad, and Three Songs. By Pope, Congreve, Young, Gray, Blair, Parnell, Philips, Goldsmith, and Shenstone. With cuts.",,114,0,1,2,3,4,4,0,0,8,1,0,3,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,2,0,2,0,0,1,2,0,1,0,2,0,1,3,8,0,0,1,1,0,4,0,1,1,1,1,2,1,0,0,2,1,0,3,0,6,3,1,2,2,1,0,1,0,2,3,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1777,1,1,"Dublin : printed by A. Stuart, for T. Armitage, (no. 4,) College-Green, M,DCC,LXXVII. [1777].",Dublin,257,unknown,,,FALSE,"they please, g59 As without learning they can take degrees; Leave dangerous truths to unfuccelsful satires, And flattery to fulsome dedicators, Whom, when they praise , the worldbelieves no more, That when they promise to give scribbling over. 595 Tis best Sometimes your censure to refrain.. charitably let the dull"
0336000900_000006,An essay on criticism. Written by Mr. Pope.,Alexander Pope,115,0,1,2,2,5,3,0,0,8,1,0,2,1,0,2,0,1,0,0,2,0,0,0,1,0,1,4,1,0,2,0,0,0,2,0,1,1,2,0,1,4,6,0,0,1,1,0,4,0,1,2,1,2,2,2,0,0,1,1,1,3,0,7,2,1,2,2,1,0,0,0,3,2,0,1,0,0,1,0,1,0,0,1,0,6,3,1,3,1728,1,1,"London : printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates, in Fleet-Street, M.DCC.XXVIII. [1728].",London,34,male,1688,1744,TRUE,"so long as they can write ? Still humming on, their drow£y Course they keep, And lassi'd so long , like Tops, are iall'd asleep. Falle Steps but help them to renew the Race;. As after lumbling, Jades wv.ill mend their Pace.. What Croudsof these, impenitently boid, In Sounds and"
1280300200_000034,"A collection of essays, Epistles and Odes. Essay on man. Eloisa to Abelard. The rape of the Lock. Messiah. A sacred Eclogue. The temple of fame. Ode for music on St. Cecilia's day. Ode on solitude. Essay on criticism. And the Universal Prayer. By Alexander Pope, Esq;",Alexander Pope,122,0,1,3,3,4,3,0,0,8,1,0,2,1,0,0,0,1,0,0,1,0,1,0,1,0,1,4,1,0,2,0,0,1,3,1,1,0,4,0,1,5,8,0,0,1,1,0,2,0,0,2,1,5,2,2,0,0,1,1,0,3,0,5,4,1,2,1,1,0,2,0,3,3,0,1,0,0,1,0,1,0,0,1,0,6,3,1,3,1777,1,1,"London : sold by J. and R. Tonson, A. Millar, J. Hodges, and W. Thompson, MDCCLXXVII. [1777].",London,144,male,1688,1744,TRUE,"the lafl dull droppings of their sense , And rhyme with all the rage of Impotence. such shameless Bards we have; and yet is TRUE These are as mad, abandoned Critics too. The bookful blockhead ignorantly read, With loads of learned lumber in his head ,. With his own tongue"
0225800500_000103,"The poetical preceptor; or, a collection of select pieces of poetry; extracted from the works of the most eminent English poets. Particularly Addison, Akenside, Armstrong, D. Buckingham Collins, Congreve, Cowley, Cowper, Denham, Dryden, Dyer, Garth, Gay, Grainger, Gray, Hill, Johnson, Ben. Jonson, Lee, L. Lyttleton, Mallet, Mason, Milton, Otway, Parnell, Philips, Pope, Prior, Rowe, Shakespeare, Shenstone, Spence, Swift, Thomson, Tickell, Waller, Wharton, Whitehead, Wilkie, Young, &c. And calculated for the Use, not only of Schools, but of Private Gentlemen.",,117,0,3,1,1,5,1,1,0,10,0,0,1,0,0,0,1,0,0,1,0,2,0,0,5,1,1,0,1,0,0,0,2,0,0,0,0,2,3,1,2,1,5,0,1,3,0,0,0,0,0,1,1,2,0,8,0,1,1,0,1,0,0,4,1,0,1,1,1,0,1,0,3,4,1,2,0,0,2,1,1,0,0,5,2,10,1,1,5,1790,1,1,"London : printed only for S. Crowder, Pater-Noster-Row, MDCCXC. [1790].",London,396,unknown,,,FALSE,"made, And iharpeit thoughts in fnoocheft words conveyed. Some think , if harp enough, they cannot fail, As if their only bus'nefs was to rail: But human frailty nicely to unfold, Distinguishes a satyr from a scold. Rage you must hide, and prejudice lay down; A fatvr's finile is sharper"
0108200301_000022,Miscellany poems. |... By Mr. Pope.,Alexander Pope,114,0,1,1,1,3,3,0,0,8,1,0,4,1,0,2,0,2,0,0,1,1,0,0,2,0,1,3,1,0,2,0,0,0,2,0,2,0,3,0,1,3,7,0,0,1,1,0,4,0,1,2,1,0,2,1,0,0,2,1,0,3,0,7,4,1,2,2,1,0,1,0,1,4,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1727,1,2,"London : printed for Bernard Lintot, at the Cross-Keys, between the Temple-Gates in Fleet-Street, 1727.",London,273,male,1688,1744,TRUE,"no pretence; For the worst avarice il that of sense . With mean complacence never betray your trust,  Nor be so civil as to prove unjust: Fear not the anger of the wife to raire; Those best can bear reproof, who merit praise . Twere well might Critics fiill"
1283600101_000071,"The poetical works of Alexander Pope, with his last corrections, additions, and improvements. From the text of Dr. Warburton. With the life of the author. Cooke's pocket edition. ... . Embellished with superb engravings.",Alexander Pope,113,0,2,3,3,4,3,0,0,7,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,3,2,0,2,0,0,1,2,1,1,1,4,0,1,5,7,0,0,1,1,0,2,0,2,2,1,4,0,2,0,0,1,1,0,2,0,3,5,1,2,0,0,0,2,0,3,2,0,1,0,0,1,0,1,0,0,0,1,6,2,1,2,1795,1,2,"London : printed for C. Cooke, No. 17, Paternoster-Row; And sold by all the Booksellers in Great-Britain and Ireland, [1795?].",London,370,male,1688,1744,TRUE,"fools rush in where angels fear to tread. 625 diliruftfijl sense with modest caution Ipeaks, It frill looks home, and Short excursions makes; But rattling nonsense in full volleys breaks, And never ihock'd, and never turned aside, Bursts out, refiltlefs, with a thundering tide. 630 But But where's the man"
