PassageID,Title,Author,Total termFreq,termFreq(add),termFreq(bake),termFreq(beat),termFreq(boil),termFreq(bread),termFreq(butter),termFreq(clean),termFreq(close),termFreq(cloth),termFreq(cold),termFreq(cover),termFreq(cream),termFreq(cut),termFreq(dish),termFreq(dry),termFreq(egg),termFreq(fine),termFreq(flour),termFreq(flower),termFreq(grate),termFreq(half),termFreq(heat),termFreq(hot),termFreq(hour),termFreq(juic),termFreq(lai),termFreq(larg),termFreq(lemon),termFreq(liquor),termFreq(littl),termFreq(mace),termFreq(melt),termFreq(milk),termFreq(mix),termFreq(nutmeg),termFreq(orang),termFreq(ounc),termFreq(oven),termFreq(pan),termFreq(peel),termFreq(pepper),termFreq(pint),termFreq(pot),termFreq(pound),termFreq(quart),termFreq(quarter),termFreq(red),termFreq(sauc),termFreq(set),termFreq(slice),termFreq(small),termFreq(spoon),termFreq(sugar),termFreq(syrup),termFreq(togeth),termFreq(turn),termFreq(water),termFreq(white),termFreq(wine),termFreq(yolk),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0239700300_000023,"The house-Keeper's pocket-book, and compleat family cook. Containing above three hundred curious and uncommon receipts in Cookery, Pastry, Preserving, Pickling, Candying, Collaring, &c. With Plain and Easy Instructions for preparing and dressing every thing suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding With many Fxcellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, Such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year, that no Person need be at a Loss to provide an agreeable Variety of Dishes. By Mrs. Sarah Harrison of Devonshire.","Harrison, Sarah",210,1,5,7,6,3,7,0,5,1,2,4,8,3,1,1,8,3,5,0,8,8,0,5,2,2,4,1,5,0,11,3,2,1,4,4,1,3,2,1,1,3,2,4,13,1,3,0,2,0,5,4,3,6,2,7,0,2,8,3,4,1733,1,1,"London : printed for T. Worrall, at Judge Coke's Head, over against St. Dunstan's Church, Fleetstreet, [1733].",London,233,female,1733,1777,FALSE,"put it in galley pots , when it is cold Paper it, but your your inside Paper must be dipped in Brandy, and that will keep it a great while. A Carrot tpudding. rt ACHE raw Carrots and grate them, to a quarter of a Pound of Carrot, put half"
0094802200_000024,"The compleat city and country cook: or, accomplish'd housewife. Containing, Several Hundred of the most approv'd Receipts in Cookery, Confectionary, Cordials, Cosmeticks, Jellies, Pastry, Pickles, Preserving, Syrups, English Wines, &c. Illustrated with Forty-Nine large Copper Plates, directing the regular placing the various Dishes on the Table, from one to four or five Courses: Also, Bills of Fare according to the several Seasons for every Month of the Year. Likewise, The Horse-Shoe Table for the Ladies at the late Instalment at Windsor, the Lord Mayor's Table, and other Hall Dinners in the City of London; with a Fish Table, &c. By Charles Carter, Lately Cook to his Grace the Duke of Argyle, the Earl of Pontefract, the Lord Cornwallis, &c. To which is added by way of appendix, Near Two Hundred of the most approv'd Receipts in Physick and Surgery for the Cure of the most common Diseases incident to Families: The collection of a Noble Lady Deceased. A Work design'd for the Good, and absolutely Necessary for all Families.","Carter, Charles",238,5,5,3,8,0,11,0,2,1,2,6,6,5,4,0,9,4,2,6,7,12,2,0,2,4,6,1,3,1,6,3,1,3,7,1,12,0,3,1,1,2,5,2,15,4,5,0,1,1,7,0,3,12,2,3,2,9,6,1,3,1732,1,1,"London : printed for A. Bettesworth and C. Hitch; and C. Davis in Pater-Noster Row: T. Green at Charing-Cross; and S. Austen in St. Paul's Church-Yard, M.DCC.XXXII. [1732].",London,336,unknown,,,FALSE,"cover it. When it comes out of the Oven , pour in the Liquor you have made of the Bones boiled , and shake all well together . A Veal Pasty. TAKE a quarter of a Peck of fine Flour , and a Pound of Butter , break the Butter"
0643300700_000021,"The new book of cookery; or, every woman a perfect cook: containing the greatest variety of approved receipts in all the branches of cookery and confectionary, viz. Boiling, Roasting, Broiling, Frying, Stewing, Hashing, Baking, Fricassees, Ragouts, Made-Dishes, Soups and Sauces, Puddings, Pies and Tarts, Cakes, Custards, Cheesecakes, Creams, Syllabubs, Jellies, Pickling, Preserving, Candying, Drying, Potting, Collaring, English Wines, &c. &c. &c. To Which are Added, The best Instructions for Marketing, and sundry Modern Bills of Fare; also Directions for Clear Starching, and the Ladies' Toilet, or, Art of preserving and improving Beauty: Likewise a Collection of Physical Receipts for Families, &c. The Whole calculated to assist the prudent Housewife and her Servants, in furnishing the cheapest and most elegant Set of Dishes in the various Departments of Cookery, and to instruct Ladies in many other Particulars of great Importance too numerous to mention in this Title Page. By Mrs. Eliz. Price, of Berkeley-Square, Assisted by others who have made the Art of Cookery their constant Study. A New Edition for the Present Year, with great Additions.","Price, Elizabeth, Mrs",219,2,8,5,5,2,17,0,3,1,2,1,5,1,4,0,8,4,10,0,6,8,0,0,4,3,8,1,5,1,3,2,5,2,10,4,2,3,5,1,2,4,4,1,13,2,2,1,1,1,4,3,4,6,0,6,0,5,3,1,5,1780,1,1,"London : printed for the authoress, and sold by Alex Hogg, No. 16, Pater-Noster-Row, [1780?].",London,109,female,,,FALSE,"loaf sugar , a pint of cream , some lemon juice , and grated  nutmeg ; mix all together , put a thin puff pafte on the bottom and rims of your dish , pour the pudding in, and let it be baked in a slack oven . A"
1021700400_000003,"English housewifry improved; or, a supplement to Moxon's cookery. Containing upwards of sixty modern and valuable receipts in Pastry, Preserving, Made Dishes, Made Wines, &c. &c. Collected by a person of judgment.",,227,0,5,13,8,4,11,0,3,0,3,4,6,2,2,0,7,6,2,1,3,5,0,4,1,3,0,0,4,0,11,5,3,1,6,1,3,9,5,1,5,5,5,5,13,4,7,1,3,2,2,0,4,7,0,3,1,3,6,7,2,1758,1,1,"Leedes : printed by Griffith Wright, for George Copperthwaite, Bookseller, M,DCC,L,VIII. [1758].",Leeds,28,unknown,,,FALSE,"hot , then put in the Lobster with a little Salt; make it hot , and send it up with Sippets round your Dish . 17 .To do CHICKENS, or any fowl's FEET. Scald the Feet till the Skin will come off, then cut off the Nails; stew them in"
0825800500_000065,"The complete family-piece: and, country gentleman, and farmer's, best guide. In three parts. ... With a complete alphabetical index to each part.",,269,2,4,2,12,7,11,0,2,3,3,2,10,2,4,0,11,9,2,7,13,12,0,1,5,1,2,0,4,0,11,1,3,3,7,6,6,4,3,2,2,0,7,1,24,2,7,0,3,1,3,3,3,12,0,6,1,7,5,0,5,1737,1,1,"London : printed for A. Bettesworth and C. Hitch; C. Rivington; S. Birt; T. Longman; and J. Clarke, 1737.",London,600,unknown,,,FALSE,"good Butter , and sweeten it to your Taste. Add Sweet Meats if you please. To make an Oat meal Pudding. Take 3 Pints of thick Cream , and 3 Qarters of a. Pound of beef fuet shred very fine ; when the Cream boils , put into it the"
0366900500_000049,"The universal cook; or, lady's complete assistant. ... By John Townshend, ...","Townshend, John, master of the Greyhound Tavern, Greenwich",244,4,6,5,17,8,10,3,2,3,3,1,3,2,2,0,8,3,3,2,6,11,0,2,3,3,2,1,3,0,7,0,1,1,10,6,8,2,4,4,5,3,2,2,16,2,4,0,0,0,4,3,4,7,0,7,2,14,6,1,3,1773,1,1,"London : printed for S. Bladon, 1773.",London,325,unknown,,,FALSE,"as Turkey, Bustard, Peacock, Pheasant, Partridge, ci TAKE sliced onions, being boiled , stew them in C some water , salt, pepper , some grated bread , and the gravey of the fowl. 2 Take slices of white bread , and boil them in fair water with two or three"
0972600500_000043,"The country housewife, and lady's director, for every month of the year. Both in the Frugal Management of the House, and in the Delights and Profits of the farm. Containing the whole art of cookery, laid down in a great Variety of the Best and Cheapest Receipts for Dressing all Sorts of Flesh, Fish, Fowl, Fruits, and Herbs, which are the Productions of a Farm, or any foreign Parts. Likewise The best Methods to be observed in Brewing Malt Liquors, and Making the several Sorts of English Wines. The Arts of Pickling, Preserving, Confectionary, Pastry, &c. &c. Together with a few of the Most approved and efficacious Medicines, proper to be kept in every private Family. Published for the Good of the Public. By R. Bradley, Professor of Botany in the University of Cambridge, and Fellow of the Royal Society.",Richard Bradley,182,3,6,2,13,6,9,2,2,1,2,2,2,2,2,3,4,5,2,3,1,7,0,2,5,3,3,2,4,4,8,2,2,5,3,3,7,1,1,0,2,2,4,2,4,2,3,0,1,1,3,1,1,6,2,2,1,6,4,0,1,1762,1,1,"London : printed for W. Bristow, the West-End of St. Paul's Cathedral, and C. Ethrington, at York, 1762.",London,358,male,1688,1732,FALSE,"the too great Bitterrlefs; but do not boil them too soft, nor to lose their Whiteness . When this is done, make a strong jellied Syrup with Water and fine Sugar , and add some Juice of Lemon or Orange to it; then pour it on the Leaves of the"
0734400700_000060,"English housewifery, exemplified in above four hundred and fifty receipts, giving directions in most parts of cookery; And how to prepare various Sorts of Soups, Made Dishes, Pastes, Pickles, Cakes, Creams, Jellies, Made Wines, &c. &c. &c. With cuts, for the orderly placing the dishes and courses; also Bills of Fare for every Month in the Year; and an Alphabetical Index to the Whole. A Book necessary for Mistresses of Families, higher and lower Women Servants, and confined to Things Useful, Substantial, and Splendid, and calculated for the Preservation of Health, and upon the Measures of Frugality, being the Result of Thirty Years Practice and Experience. By Elizabeth Moxon. With an appendix, containing upwards of eighty receipts, of the most valuable Kind, (many never before printed) communicated to the Publisher by several Gentlewomen in the Neighbourhood, distinguished by their extraordinary Skill in Housewifery. - To this Edition is now added, An Introduction, giving an Account of the Times when River Fish are in Season; and a Table, shewing at one View the proper Seasons for Sea Fish.",Elizabeth Moxon,230,0,5,14,7,4,11,0,3,0,3,4,6,2,1,0,8,4,2,1,3,8,0,2,1,3,0,0,5,0,10,5,3,1,6,1,2,9,5,1,5,5,5,5,14,4,7,1,3,3,2,0,4,8,0,3,1,5,7,6,2,1800,1,1,"London : published for the booksellers; and printed and sold by H. and G. Mozley, Market-Place, Gainsbrough, 1800.",London,224,female,,,TRUE,"it up with fippett round your dill. 17 To do CHICKENS or any Fowls Feet. Scald the feet till the skin will come off, then cut off the nails; few them in a pot close covered set in water , and rome pieces of Ms meat till they are very"
0643201300_000044,"The house-Keeper's pocket-book; and compleat family cook. Containing above seven hundred curious and uncommon receipts, in Cookery, Pastry, Preserving, Pickling, Candying, Collaring, &c. With plain and easy Instructions for preparing, and dressing every Thing suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for ranging them in their proper Order. To which is prefix'd, Such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year, that no Person need be at a Loss to provide an agreeable Variety of Dishes, at a moderate Expence. With Directions for making all Sorts of Wines, Mead, Cyder, Shrub, &c. and distilling Strong-Waters, &c. after the most approved Method. And Directions for managing and breeding Poultry to Advantage. Concluding with many excellent Prescriptions, of singular Efficacy in most Distempers incident to the Human Body; extracted from the Writings of the most eminent Physicians. By Mrs. Sarah Harrison, of Devonshire.","Harrison, Sarah",237,2,5,4,8,7,15,0,2,2,2,2,6,2,4,0,12,2,4,3,5,6,0,5,7,2,0,1,3,0,11,2,4,6,7,6,3,3,1,2,1,1,7,0,8,1,10,0,3,2,2,5,13,6,0,8,1,3,6,0,4,1751,1,1,"London : printed for R. Ware, at the Bible and Sun on Ludgate-Hill, [1751].",London,315,female,1733,1777,FALSE,"Let the Sauce be sack and orange flower water , with the Juice of Lemons , and drawn Butter . Anctker. T A KEA Pint of thick Cream , ten Yolks , and three. Whites of Eggs ; beat them well with two Spoonfuls of rosewater, mix it well with"
1036000400_000024,"Mrs. Taylor's family companion; or the whole art of cookery display'd, in the newest and most easy method, being a collection of receipts to set out a table cheap, Under the following Heads: Boiling Roasting Frying Broiling Stewing Hashing Baking Ragouts Fricassees Made-Dishes Sauces Soups Puddings Pies Tarts Cakes Cheesecakes Custards Syllabues Creams Jellis Pickling Preserving Candying Collaring Potting Drying, &c. To which are added, instructions for marketing, sundry bills of fare, Directions for Clear-Starching, The Lady's Toilet, or Art of Preserving Beauty, &c. &c. &c. The whole calculated to assist the prudent mistress and her servant, in providing the cheapest and most elegant Set of Dishes in the various Departments of Cookery. By Mrs. Margaret Taylor, Late Cook from the Crown and Anchor.","Taylor, Margaret, Mrs",248,4,9,2,15,4,14,3,1,6,3,1,7,1,3,0,10,2,5,0,9,5,0,1,7,3,5,1,6,0,6,1,7,9,13,8,1,1,3,2,1,1,7,3,11,2,6,0,0,1,2,1,5,8,0,7,0,4,4,1,6,1795,1,1,"London : printed for W. Lane, Leadenhall-Street, and sold by all other booksellers, [1795?].",London,160,female,,,FALSE,"Cuflards. Mix halfa pound of flour with three or four spoonfuls of cream , six ounces of butter , and the yolks of two eggs ; when mixed , let it stand a quarter of an hour , then work it. up well, and roll it out thin. ( 8i)"
