PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(answer),termFreq(appear),termFreq(author),termFreq(cafe),termFreq(concern),termFreq(copi),termFreq(countri),termFreq(court),termFreq(date),termFreq(desir),termFreq(duke),termFreq(end),termFreq(england),termFreq(fend),termFreq(follow),termFreq(form),termFreq(friend),termFreq(gener),termFreq(god),termFreq(hand),termFreq(hope),termFreq(hous),termFreq(inform),termFreq(know),termFreq(ladi),termFreq(late),termFreq(law),termFreq(letter),termFreq(life),termFreq(littl),termFreq(london),termFreq(love),termFreq(manner),termFreq(mean),termFreq(mention),termFreq(noth),termFreq(number),termFreq(offic),termFreq(order),termFreq(paper),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(return),termFreq(servant),termFreq(sever),termFreq(taken),termFreq(think),termFreq(thought),termFreq(word),termFreq(write),termFreq(written),termFreq(wrote),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0210800201_000022,"The works of the Right Reverend Thomas Newton, ... with some account of his life, and anecdotes of several of his friends. Written by himself. In six volumes. ...",Thomas Newton,66,2,1,0,0,0,1,3,0,1,3,1,4,0,0,0,0,0,2,1,0,3,2,2,0,1,1,0,0,5,2,3,0,0,0,1,1,3,1,0,0,1,0,2,3,2,1,1,2,0,2,0,0,1,1,1,1,1,3,1787,1,6,"London : printed for John, Francis, and Charles Rivington, 1787.",London,427,male,1704,1782,FALSE,"the good effeca of the King's gracious intentions. In 1749 was published Dr. Newton's edition of Milton's Paradise Lost, which it is hoped has not been ill received by the public, having in 1775 gone through 68 through eight editions. So full and particular an account has been given of"
0347501600_000006,"The king versus Tandy. Proceedings on the trial of James Napper Tandy, Esq. in the Court of King's Bench, before the Right Honourable Lord Chief Justice Clonmell, the Hon. Mr. Justice Boyd, and the Hon. Mr. Justice Hewit, upon an indictment for sending a challenge to Joh Toler, Esq; His Majesty's Solicitor General.",James Napper Tandy,86,0,3,1,1,17,1,2,0,1,1,2,0,0,1,0,1,0,0,0,0,8,1,1,1,1,1,0,1,6,0,0,0,0,1,1,2,2,0,1,0,2,0,2,0,0,3,1,6,2,1,0,0,2,1,0,6,1,1,1792,1,1,"Dublin : printed for Messrs. P. Byrne and J. Moore, M.DCC.XCII. [1792].",Dublin,42,male,1740,1803,FALSE,"He returned much later than I imagine. ithin the ipace of three quarters of an hour. .ind borough: the following answ er; [Az'i, ifr read ] "" SI, When I called for a plain and candid ex - of a very simple. question, whether you did or did not mean"
1320900301_000239,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by Himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,74,2,1,3,0,0,1,2,0,3,2,2,1,1,6,0,1,0,2,1,0,1,0,0,4,1,0,1,5,10,0,1,2,0,1,1,0,0,0,0,3,1,1,0,0,2,0,1,2,1,0,3,1,0,0,0,1,1,2,1776,1,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,724,male,1736,1796,TRUE,"to go back to England , and to recommend himself, at the expense of all those who came over to France during the war; and, among the rest, lord Aylefburv will undoubtedly be beheaded. Againfit To great an evil there is no remedy, unless the King will be graciously pleased"
1320900302_000156,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by Himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,74,1,4,1,0,1,1,3,0,3,0,1,6,1,3,0,1,0,5,1,0,0,3,0,3,1,0,0,0,7,0,1,0,0,2,0,2,3,0,1,3,3,0,1,1,0,0,0,2,1,0,1,1,0,1,1,2,1,1,1776,2,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,699,male,1736,1796,TRUE,"either to send or carry the originals of these infiruments, when he has his answer from the French Court ; but still I Shall wait for his orders in that. I do not question, my lord, but you will like the obliging manner that the duke's passport is worded ,"
0950500102_000158,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are Prefixed Extracts from the Life of James II. As Written by Himself. The whole arranged and published by James Macpherson, Esq; in Two Volumes. ...",James Macpherson,72,1,4,1,0,1,1,3,0,3,0,1,6,1,3,0,1,0,4,1,0,0,3,0,3,2,0,0,0,6,0,1,0,0,2,0,2,3,0,1,3,2,0,1,1,0,0,0,2,1,0,1,1,0,1,1,2,1,1,1775,2,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXV. [1775].",London,716,male,1736,1796,TRUE,"affair. I do not know , whether the duke intends to charge me, either to send or carry the originals of there instruments, when he has his answer from the French Court ; but still I Thall wait for his orders in that. I do not question, my lord, but"
1394200101_000239,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,73,2,1,3,0,0,1,1,0,3,2,3,1,1,5,0,1,1,2,1,0,0,0,0,2,1,0,1,6,11,0,1,1,0,1,2,0,0,0,0,3,1,1,0,0,2,0,1,2,1,0,3,1,1,0,0,1,1,1,1775,1,2,"Dublin : printed for Messrs. J. Exshaw, D. Chamberlaine, J. Potts, W. Sleator, J. Williams, W. Wilson, T. Walker, R. Moncrieffe, C. Jenkin, and M. Mills, M.DCC.LXXV. [1775].",Dublin,725,male,1736,1796,TRUE,"to send him silently to the Antilles, St. domingo, or Canada, with an order to the governors to confine him; and by this means , if he is demandedf, it may be answered with truth, that he is not in France; the evil is immediate; and, therefore, the King of"
0134600102_000073,"A select collection of letters of the late Reverend George Whitefield, M. A. Of Pembroke-College, Oxford, And Chaplain to the Rt. Hon. the Countess of Huntingdon; written to his most intimate friends, and persons of distinction, in England, Scotland, Ireland, and America, from the year 1734, to 1770. Including the whole Period of his Ministry. With an account of the orphan-house in Georgia, to th time of his death. In three volumes. ...",George Whitefield,69,1,1,1,1,0,0,1,1,0,0,3,0,0,2,0,1,0,2,0,5,1,3,2,2,1,5,3,0,5,0,0,3,1,1,2,0,0,1,0,0,1,0,1,0,2,1,0,1,0,2,0,0,2,1,2,3,1,3,1772,2,3,"London : printed for Edward and Charles Dilly, in the Poultry; and Messrs. Kincaid and Creech, at Edinburgh, MDCCLXXII. [1772].",London,468,male,1714,1770,TRUE,"yet closer to himself, he is pleased to visit you with croflcs. They are the christian's portion, honoured madam: They are the believer's birthright. "" In the world you shall have tribulation; "" but what follows ? "" Be not afraid, I have overcome the world."" Look, therefore, to Him,"
0822200601_000088,"The works of the Most Reverend Dr. John Tillotson, Lord Archbishop of Canterbury. In three volumes. To this edition is now first prefix'd the life of the author, compiled chiefly from his original papers and letters. By Thomas Birch, M. A. Rector of the United Parishes of St. Margaret Pattens and St. Gabriel Fenchurch, and Secretary to the Royal Society.",John Tillotson,65,3,1,0,4,0,1,2,0,1,0,0,1,1,0,0,0,0,2,0,4,1,1,0,1,2,3,3,0,3,1,2,1,0,0,0,2,1,0,1,1,0,0,0,0,1,6,0,1,1,2,2,0,0,2,1,1,2,3,1752,1,3,"London : printed for J. and R. Tonson and S. Draper, R. Ware, J. and P. Knapton, S. Birt, T. Longman, C. Hitch and L. Hawes, J. Hodges, A. Millar, J. and J. Rivington, J. Ward, W. Johnston, C. Corbet, and M. Cooper, M.DCC.LII. [1752].",London,787,male,1630,1694,TRUE,"seems to me the fairest and softest way of  ridding your hands of this business. ""With my humble service to Mrs. SHARP, and my hearty prayers for your health and a "" long life to do GOD and his church much service, I remain, My Lord, ""Your Grace's very"
0125000400_000002,"Mr. Archibald Bower's affidavit in answer to the false accusation brought against him by papists. To which are added, I. A circumstantial narrative of what hath since passed between Mr. Bower and Sir Henry Bedingfeld in relation thereto. II. Copies of the said pretended letters sent him by Sir Henry Bedingfeld, and of a subsequent Affidavit made by Mr. Bower of their not being wrote by him, or with his Privity. With some short observations on those pretended letters, proving them to be spurious.",Archibald Bower,85,1,5,0,3,0,0,3,0,0,1,4,0,0,1,1,7,0,0,0,0,2,0,0,1,1,0,0,1,20,0,1,1,0,0,1,2,0,0,0,1,2,1,4,0,0,0,0,2,0,2,1,0,2,1,5,1,2,5,1756,1,1,"London : printed for W. Sandby, at the Ship, opposite St. Dunstan's Church, Fleet-Street, MDCCLVI. [1756].",London,52,male,1686,1766,FALSE,"thereto, to the Effect following , was wrote and fent'to the said Sir Henry bedingf2ld: : 12 Feb. 1756 Sir, I have juit received the  Favour of your Letter in Answer to mine of f raft Night, and Iliall be always glad to renew "" and to cultivate an"
0548000400_000001,"The chronology of ancient kingdoms amended. To which is prefixed, a short chronicle, from the first memory of things in Europe, to the conquest of Persia by Alexander the Great. By Sir Isaac Newton. A new edition. To which is added, a letter from the Right Reverend Zachary Pearce, the present Lord Bishop of Rochester, written in 1754, to the Reverend Dr Hunt, the Hebrew Professor at Oxford, relating to the publication of the work in 1728.",Isaac Newton,69,4,1,0,3,0,0,5,1,1,2,2,0,1,1,0,3,1,0,0,0,4,0,2,4,0,0,3,0,6,0,1,1,0,2,1,1,0,1,0,0,0,0,1,0,1,1,1,2,0,0,0,1,2,1,1,2,4,1,1770,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.LXX. [1770].",London,408,male,1642,1727,TRUE,"THB CHRONO LG Y o F ANCIENT KINGDOMS A M E N D E D. To which is Prefixed, A SHORT CHRONICLE, from the First Memory of Things in Europe, to the Conquest of Per'fa by Akxandrr the Great. By Sir ISAAC NEWTON. A NEW E D ITION. To wlich"
